0B-E;0B-D;1B-E;1B-D;16B-E;16B-D;32B-E;32B-D;48B-E;48B-D;64B-E;64B-D
202;391;261;512;366;728;478;963;591;1190;701;1418
194;391;261;513;366;735;472;963;589;1190;699;1420
201;393;254;520;359;733;480;963;583;1190;694;1425
195;398;253;520;361;728;478;963;591;1191;701;1418
194;391;255;518;361;734;478;963;583;1198;694;1426
195;398;253;520;359;736;472;956;582;1190;700;1425
194;400;254;521;360;735;473;956;581;1190;700;1425
195;400;254;521;360;736;473;956;581;1190;699;1425
194;400;253;513;359;736;472;963;589;1193;700;1427
195;393;260;513;367;735;470;963;589;1191;702;1420
202;393;261;511;367;729;478;962;590;1190;702;1418
194;391;254;513;367;728;471;963;591;1190;701;1420
202;391;256;519;361;733;478;963;583;1198;694;1425
194;398;253;520;359;736;472;963;589;1193;700;1428
195;393;261;513;367;728;470;963;590;1190;702;1420
202;391;255;519;361;734;477;963;584;1198;694;1418
196;398;254;521;359;736;472;963;588;1193;699;1427
195;393;260;513;366;729;470;963;591;1192;702;1420
201;391;256;519;361;733;477;963;583;1197;695;1425
195;398;254;513;360;736;472;963;589;1193;699;1427
195;393;261;513;367;728;470;963;591;1191;702;1420
202;391;255;518;361;733;479;963;583;1198;694;1418
197;398;254;521;360;736;472;963;588;1192;700;1427
195;392;260;514;367;729;471;963;590;1190;702;1420
201;391;256;519;362;734;478;963;584;1190;694;1418
197;399;254;520;360;735;472;955;581;1190;700;1425
195;393;253;513;367;735;472;963;589;1191;699;1420
195;391;253;511;369;729;477;964;590;1191;702;1418
197;399;254;520;360;736;473;956;581;1191;694;1425
195;393;253;513;367;735;473;963;589;1190;700;1420
201;391;253;511;362;729;477;963;591;1191;701;1418
196;398;253;520;359;735;472;955;581;1190;700;1426
194;393;261;514;367;735;470;964;589;1191;702;1420
202;390;255;519;361;728;478;963;591;1190;701;1418
197;398;254;520;360;736;472;956;581;1191;699;1425
194;398;253;518;362;729;477;963;591;1190;701;1420
194;393;261;514;359;735;472;955;581;1191;694;1425
195;399;254;519;362;728;478;963;590;1191;702;1418
195;391;260;513;360;733;472;963;583;1190;694;1425
194;391;255;518;362;734;480;963;584;1198;694;1425
195;398;254;519;361;728;477;963;590;1190;702;1418
197;391;255;511;367;735;471;963;589;1191;701;1420
202;392;260;513;360;735;472;955;581;1191;695;1426
194;393;254;520;359;733;479;964;583;1197;695;1425
195;399;254;518;361;728;478;963;591;1191;702;1418
197;391;256;513;366;736;470;963;588;1191;701;1420
202;393;260;514;366;736;473;963;589;1193;700;1428
195;401;253;518;362;733;478;963;584;1198;694;1418
196;391;256;512;366;728;471;963;590;1190;701;1420
202;393;260;514;367;736;472;963;588;1192;700;1427
195;400;254;518;362;733;478;963;584;1198;695;1418
197;391;255;512;369;729;470;964;591;1190;701;1420
202;393;260;512;366;728;471;963;590;1190;702;1420
202;393;261;514;360;736;473;956;581;1191;695;1425
195;399;254;518;362;728;478;963;590;1191;702;1419
197;391;255;514;366;736;470;961;588;1190;701;1420
202;393;261;514;359;736;473;964;589;1194;700;1428
195;400;253;519;361;733;478;963;584;1198;694;1418
