0B-E;0B-D;1B-E;1B-D;16B-E;16B-D;32B-E;32B-D;48B-E;48B-D;64B-E;64B-D
183;371;241;496;359;728;487;980;606;1224;725;1468
182;369;249;486;359;737;487;981;597;1233;716;1477
182;369;240;486;368;737;478;980;606;1224;725;1476
183;379;241;496;359;728;487;981;606;1224;725;1468
191;369;249;487;368;737;477;980;606;1223;724;1477
182;379;240;496;358;737;486;980;597;1223;725;1468
182;369;240;486;368;737;477;981;606;1223;724;1477
182;378;240;495;359;730;487;981;605;1224;724;1467
182;369;240;487;368;737;478;981;606;1224;725;1477
182;378;240;495;359;728;487;981;606;1224;724;1467
191;369;249;486;369;737;477;973;597;1224;716;1476
183;379;240;495;358;728;487;981;606;1224;725;1468
189;369;249;487;368;737;478;981;606;1224;725;1476
183;379;240;495;359;730;487;980;606;1224;724;1467
182;369;241;486;367;737;478;980;606;1223;725;1476
182;378;240;495;358;738;487;981;596;1226;725;1467
182;369;240;486;367;737;477;980;605;1224;725;1467
182;369;241;495;358;737;487;981;597;1233;715;1469
182;370;240;487;368;737;478;981;605;1225;725;1467
182;369;241;495;358;737;487;980;596;1233;715;1469
182;370;240;486;368;728;478;981;606;1223;725;1468
191;370;249;486;359;737;478;980;597;1224;715;1476
182;379;241;496;359;737;487;980;597;1226;725;1467
182;369;240;486;367;737;477;981;606;1224;725;1477
182;369;240;495;359;737;478;973;597;1224;716;1476
182;378;240;495;359;737;478;981;607;1224;724;1476
182;369;250;486;368;728;478;980;605;1223;725;1467
184;369;247;486;366;728;487;981;605;1224;725;1467
182;369;241;495;359;737;487;980;596;1233;716;1469
182;379;240;496;358;737;478;981;596;1223;716;1476
182;369;240;486;358;737;478;980;606;1224;724;1477
182;369;240;495;359;737;478;973;597;1224;715;1477
182;378;241;495;359;737;486;981;597;1234;716;1477
182;378;240;496;359;737;485;979;597;1224;715;1476
182;378;241;495;359;737;487;981;597;1233;716;1476
182;378;241;495;359;737;487;981;597;1233;715;1469
182;371;241;495;358;738;487;981;597;1226;725;1467
182;370;240;486;367;728;487;980;606;1223;725;1467
190;369;240;486;368;728;487;980;605;1224;725;1467
191;369;241;487;359;728;487;981;606;1224;725;1467
189;369;248;486;368;728;478;980;606;1224;725;1467
184;369;250;486;368;737;477;980;607;1224;725;1467
182;369;250;486;368;728;478;980;606;1224;725;1467
191;369;250;486;368;738;478;981;605;1224;725;1467
182;369;250;486;359;737;478;981;606;1223;725;1477
182;379;241;496;359;737;478;973;597;1224;715;1476
182;378;240;496;359;737;487;980;596;1233;716;1470
182;369;240;487;368;728;487;981;606;1224;725;1467
189;369;241;487;368;728;478;980;607;1224;725;1467
191;369;249;486;368;728;478;981;606;1224;725;1467
182;369;250;486;368;738;478;981;605;1224;725;1477
182;369;241;495;359;737;477;981;606;1223;725;1477
182;379;240;495;358;737;478;973;596;1224;716;1476
182;378;240;495;359;737;487;980;597;1233;715;1469
182;371;240;495;359;737;487;981;596;1226;725;1468
