0B-E;0B-D;1B-E;1B-D;16B-E;16B-D;32B-E;32B-D;48B-E;48B-D;64B-E;64B-D
169;387;218;485;335;721;460;970;570;1211;697;1451
169;395;218;493;334;730;452;961;570;1210;697;1460
169;386;218;485;343;730;452;970;580;1210;696;1451
178;387;218;484;334;721;461;970;570;1210;696;1451
169;395;218;493;334;730;452;971;579;1210;697;1460
169;386;227;485;343;721;461;970;579;1211;696;1451
170;387;218;493;335;730;461;970;570;1220;688;1460
169;395;218;484;334;730;452;970;579;1211;697;1451
169;387;218;485;335;721;461;970;570;1210;697;1451
170;387;218;494;334;730;461;970;570;1210;688;1461
170;395;218;485;335;730;453;970;579;1210;696;1451
170;386;227;485;343;721;461;971;579;1211;698;1451
170;387;218;493;334;729;461;970;570;1219;688;1460
169;395;218;494;334;729;452;970;579;1211;696;1459
169;386;227;484;343;721;461;970;579;1210;697;1451
170;387;218;493;334;730;461;970;570;1219;688;1460
169;396;217;494;334;730;452;970;579;1211;696;1459
170;386;227;484;343;721;462;970;579;1210;697;1451
169;386;217;494;334;729;461;970;570;1219;688;1459
170;395;218;484;334;730;452;970;579;1210;697;1450
169;386;226;485;344;721;461;971;579;1210;696;1450
169;396;218;493;334;729;452;961;570;1210;688;1460
170;396;217;485;334;730;452;970;579;1211;696;1452
169;386;227;484;343;721;452;970;579;1211;696;1451
179;387;218;494;335;730;460;970;570;1220;688;1460
169;395;218;485;343;729;452;970;579;1210;697;1451
178;386;226;484;343;720;461;971;579;1210;697;1451
169;387;217;494;335;730;461;970;570;1219;688;1459
169;395;218;494;335;730;452;970;579;1210;697;1460
169;387;227;485;343;721;452;970;579;1210;697;1451
179;387;218;484;335;720;460;970;570;1211;697;1451
169;395;218;494;335;730;452;961;570;1211;696;1460
169;386;218;485;343;730;452;970;579;1210;696;1450
178;386;218;493;334;730;460;970;570;1220;688;1460
169;396;218;493;334;730;452;970;579;1210;697;1460
169;387;227;484;343;721;461;970;578;1211;698;1450
169;386;218;493;334;729;461;970;570;1219;687;1459
169;395;217;494;335;730;452;970;578;1211;697;1460
169;387;227;484;343;721;453;970;579;1210;696;1451
178;387;218;493;335;730;460;971;570;1219;688;1459
169;396;218;494;334;730;452;970;579;1210;697;1460
170;386;227;484;343;721;452;970;579;1210;696;1451
179;386;218;493;334;730;461;970;570;1219;688;1450
169;395;218;494;334;730;453;961;570;1211;688;1460
170;395;218;485;334;730;452;970;579;1210;697;1451
169;387;227;484;344;721;461;970;579;1211;697;1451
169;386;218;494;335;730;461;971;570;1220;688;1461
169;396;218;485;334;730;452;970;579;1211;697;1451
169;387;227;484;344;721;462;970;580;1211;697;1451
170;386;218;493;335;730;461;971;570;1219;688;1461
169;395;218;494;334;730;453;971;580;1211;697;1460
170;386;227;484;344;721;453;970;579;1210;697;1451
178;386;218;494;334;730;462;970;570;1220;688;1460
170;396;218;493;334;730;453;970;579;1211;697;1460
170;386;227;485;344;721;461;970;579;1211;697;1451
169;386;218;493;334;731;462;970;570;1220;688;1460
170;396;217;494;334;730;452;971;579;1211;697;1461
169;387;227;484;343;721;461;971;579;1210;697;1451
169;386;217;494;334;731;461;970;570;1211;688;1460
170;396;217;484;343;730;453;971;579;1210;698;1451
178;387;227;485;334;721;461;971;570;1211;697;1452
169;386;218;494;334;730;461;970;570;1212;688;1460
170;396;218;484;334;730;452;970;579;1211;697;1451
169;387;227;485;343;721;461;971;579;1211;697;1451
170;387;218;493;334;730;461;970;570;1220;688;1460
169;396;218;494;335;731;452;970;579;1211;697;1460
170;387;227;485;344;721;452;970;580;1210;697;1451
179;387;218;495;334;730;461;970;571;1219;688;1451
170;395;218;494;335;730;452;970;579;1210;697;1451
170;387;227;485;344;721;452;970;579;1211;697;1451
179;387;218;493;334;730;461;970;570;1220;688;1461
170;396;218;494;335;730;452;971;579;1211;698;1461
169;386;218;485;344;730;452;971;579;1211;697;1451
178;387;227;485;343;721;461;970;570;1211;697;1451
169;387;217;493;334;731;461;971;570;1220;688;1460
169;395;218;484;343;731;452;971;579;1210;697;1451
178;386;227;485;335;721;462;970;570;1211;697;1451
169;395;218;494;334;730;452;970;579;1211;697;1460
170;386;227;485;344;721;461;970;580;1210;697;1451
170;386;218;493;334;730;461;970;570;1211;687;1460
169;396;217;485;334;730;452;971;580;1211;697;1451
170;387;227;485;344;721;459;970;579;1211;697;1452
169;387;218;494;334;730;461;971;570;1220;688;1451
169;395;217;493;334;730;452;961;570;1211;688;1460
169;395;218;484;335;730;452;970;580;1210;697;1453
169;386;227;485;343;721;461;970;580;1210;697;1451
169;387;218;493;334;730;461;971;570;1220;687;1461
169;395;218;493;334;730;452;971;579;1210;697;1460
169;387;218;484;344;730;453;971;580;1211;697;1451
179;387;217;484;335;721;461;970;570;1211;697;1451
170;396;218;493;334;730;452;970;580;1211;697;1460
169;386;218;485;343;730;452;970;579;1210;697;1451
179;387;218;494;334;730;462;971;570;1220;688;1461
170;396;217;485;335;730;453;970;579;1210;697;1451
169;386;227;484;344;721;452;971;579;1211;698;1451
179;386;218;485;335;721;461;971;571;1211;697;1451
169;395;218;494;334;730;452;970;570;1212;687;1460
169;395;218;485;344;730;452;970;580;1211;697;1451
169;386;227;484;343;721;462;971;579;1211;697;1451
170;386;218;493;334;730;461;970;570;1210;688;1460
169;386;218;484;343;730;452;971;579;1211;697;1451
179;386;218;493;335;730;461;970;570;1220;688;1460
169;395;218;485;344;730;453;971;580;1211;697;1451
178;386;218;493;334;730;461;970;570;1219;688;1460
169;396;218;484;335;730;452;971;579;1210;697;1453
169;387;227;484;344;721;453;971;579;1211;698;1452
178;387;218;484;335;721;461;970;572;1210;697;1451
169;395;218;493;334;730;452;971;579;1210;698;1461
169;387;227;484;343;721;452;970;579;1210;697;1451
178;387;218;493;334;730;461;971;570;1221;688;1461
169;396;218;494;335;730;453;971;580;1211;697;1460
170;386;227;484;344;721;461;971;579;1210;697;1451
169;386;218;493;334;730;461;970;570;1210;688;1461
169;396;218;493;335;730;452;970;579;1210;697;1460
170;387;227;485;344;721;461;970;579;1210;697;1451
169;387;218;495;334;730;461;971;570;1220;688;1460
169;396;218;493;334;730;452;971;579;1211;698;1461
169;387;227;485;343;721;462;971;579;1210;698;1451
169;386;218;493;334;730;461;970;570;1220;688;1461
169;396;218;494;334;730;452;970;580;1211;697;1461
169;387;227;485;343;721;459;971;579;1212;697;1451
170;386;218;494;335;730;462;971;570;1220;688;1460
169;396;218;484;335;730;452;970;580;1211;697;1451
169;387;227;484;344;721;461;970;579;1210;698;1451
170;386;218;494;334;730;462;970;570;1219;688;1460
169;395;218;485;334;731;452;970;579;1211;697;1451
169;386;227;485;344;721;461;971;579;1211;697;1451
169;386;217;494;334;730;461;971;570;1211;687;1461
169;396;218;485;334;730;453;971;579;1211;697;1451
169;386;227;484;343;721;461;970;580;1211;697;1452
169;387;217;494;335;730;461;971;570;1220;688;1460
170;396;218;494;334;730;452;970;580;1211;698;1461
169;387;227;485;344;721;452;971;579;1211;697;1451
178;386;218;494;335;730;461;970;570;1220;688;1451
170;396;218;494;335;730;452;962;570;1211;697;1460
170;396;218;485;343;730;452;971;580;1211;697;1451
179;387;218;485;334;721;461;970;570;1211;697;1451
170;395;218;494;335;731;452;961;571;1211;688;1460
169;389;218;485;344;730;452;971;579;1211;697;1451
178;386;227;485;335;721;462;970;579;1210;697;1451
169;386;218;494;335;730;462;971;570;1211;688;1461
170;395;218;485;335;730;452;970;579;1210;697;1451
170;386;227;485;343;721;461;970;579;1211;698;1451
169;387;218;494;334;730;461;971;570;1220;688;1460
169;396;218;484;334;730;452;971;580;1212;697;1451
169;386;227;485;343;721;462;970;580;1210;697;1451
169;387;218;493;334;730;461;971;570;1219;688;1460
170;396;218;494;334;730;452;970;579;1210;697;1460
170;386;227;484;343;721;462;970;579;1210;697;1451
170;387;218;494;334;730;461;970;570;1220;688;1460
169;396;218;494;334;730;452;970;580;1211;697;1460
169;386;227;485;344;721;459;971;579;1211;697;1451
170;387;218;493;334;730;461;971;570;1211;688;1461
169;396;218;485;341;730;452;971;579;1210;697;1452
169;386;221;484;334;721;461;970;572;1211;697;1451
170;387;218;494;335;730;462;971;570;1211;688;1460
170;396;218;485;334;730;452;971;579;1211;697;1451
