0B-E;0B-D;1B-E;1B-D;16B-E;16B-D;32B-E;32B-D;48B-E;48B-D;64B-E;64B-D
121;245;165;339;237;490;315;650;393;811;481;973
121;245;163;332;237;487;315;651;396;809;478;973
122;253;163;332;237;480;317;641;401;812;471;973
123;245;163;334;237;482;322;643;393;811;473;965
122;245;164;332;237;490;315;651;395;809;479;973
121;247;171;332;239;488;317;648;395;804;478;972
122;252;163;334;244;481;324;642;400;811;472;972
122;245;163;341;237;482;323;643;393;811;473;965
122;245;165;339;237;482;315;651;393;812;481;973
122;245;165;339;237;490;315;651;393;811;481;972
122;247;163;331;239;487;315;651;395;810;479;972
122;247;163;331;239;480;317;642;400;811;471;972
123;245;163;333;237;482;322;644;394;812;473;965
121;245;163;339;237;490;315;651;395;809;478;973
122;247;163;331;237;480;317;641;400;804;471;973
124;245;164;342;237;482;315;650;393;811;473;972
122;245;164;332;237;489;315;650;395;809;478;973
122;247;170;331;239;488;315;648;396;812;480;973
122;252;164;332;244;481;317;641;401;812;471;972
122;245;164;334;237;482;322;643;393;812;473;965
121;245;163;339;237;490;315;651;393;810;481;973
121;247;170;332;239;488;318;649;395;805;478;973
122;252;164;332;244;481;317;641;401;805;472;973
123;245;163;341;237;482;322;643;393;811;473;972
129;245;164;341;237;482;322;643;393;812;473;965
122;245;163;339;237;489;315;651;396;810;480;973
122;246;171;332;239;488;317;649;396;804;478;973
122;252;163;331;244;480;317;642;400;811;472;972
123;245;163;341;237;482;322;651;393;811;473;965
122;245;163;332;237;488;315;650;395;809;479;972
122;247;163;331;239;480;317;641;401;811;471;973
124;245;163;333;237;483;323;644;393;812;474;973
122;245;163;339;237;490;315;651;393;810;481;972
122;246;171;331;239;487;317;649;395;804;479;973
121;252;163;333;244;480;322;643;400;811;471;971
122;245;164;333;237;483;322;643;393;812;473;972
129;245;163;339;237;482;315;651;394;812;473;965
122;245;164;331;237;488;315;650;395;810;479;973
122;247;171;332;239;488;318;649;395;804;479;973
