0B-E;0B-D;1B-E;1B-D;16B-E;16B-D;32B-E;32B-D;48B-E;48B-D;64B-E;64B-D
129;265;171;348;256;532;341;708;436;876;512;1059
130;265;172;357;256;524;341;708;427;883;521;1059
130;267;171;348;258;523;343;699;434;883;512;1059
130;265;173;355;256;531;341;708;428;883;519;1059
130;272;171;350;263;523;348;701;427;884;521;1060
129;267;178;348;257;529;343;706;435;884;512;1059
137;265;171;357;256;532;341;708;426;881;519;1060
129;272;172;348;264;522;351;700;434;883;514;1060
130;265;179;348;256;529;341;705;436;877;512;1060
130;265;171;357;256;531;342;708;426;884;521;1059
130;272;171;348;263;522;350;701;434;884;514;1059
130;265;173;348;256;532;341;708;428;876;519;1060
131;265;172;357;256;525;341;707;426;883;521;1059
130;274;171;348;263;523;350;701;434;884;514;1059
130;265;178;348;255;530;341;706;435;876;512;1060
129;265;172;357;256;531;341;708;427;884;521;1060
130;272;171;348;263;522;351;700;434;883;514;1060
130;264;171;348;256;531;341;708;435;876;511;1059
132;265;171;357;256;525;341;708;427;883;521;1060
129;274;171;348;266;523;350;701;433;883;513;1059
130;265;174;348;256;532;341;708;428;876;519;1059
132;272;171;350;263;522;348;701;427;885;521;1060
129;265;173;349;256;532;341;708;436;876;512;1059
130;265;171;357;256;524;341;708;426;884;521;1060
130;274;171;348;265;522;351;701;433;884;513;1060
130;265;173;349;256;532;341;708;436;876;512;1059
132;265;172;357;256;524;341;708;427;883;521;1059
130;274;171;349;263;523;350;701;433;884;514;1059
130;265;178;348;256;530;341;706;435;884;512;1060
130;264;172;357;256;532;342;708;426;884;521;1059
130;274;171;348;265;523;351;700;434;884;514;1060
130;265;179;349;256;530;341;706;436;876;512;1059
131;264;171;357;256;525;342;707;426;884;521;1059
130;273;172;348;263;522;350;700;434;884;514;1060
130;265;179;348;256;530;341;706;435;877;512;1059
130;265;171;357;256;524;342;708;427;884;521;1060
130;266;171;348;258;522;351;699;434;883;513;1060
130;265;174;348;256;531;341;708;436;877;511;1059
132;265;171;357;256;524;341;708;426;884;521;1060
130;274;171;348;263;522;350;700;434;883;514;1059
130;265;173;348;256;531;341;707;429;877;519;1060
132;265;171;357;256;525;341;707;426;884;520;1060
130;272;171;348;263;523;351;700;434;884;514;1059
130;265;179;348;255;532;342;707;436;876;512;1059
132;264;171;357;256;525;341;708;427;883;521;1059
130;273;171;348;263;522;350;701;433;884;513;1060
130;265;173;349;256;531;341;708;436;877;512;1059
132;264;172;357;256;524;341;707;426;883;521;1060
130;275;171;348;265;523;351;700;434;884;514;1060
130;265;173;349;256;532;342;707;436;876;512;1060
132;265;171;357;256;525;341;708;426;884;521;1060
130;274;171;348;265;522;351;700;434;883;514;1060
129;265;171;348;256;532;341;708;436;877;512;1060
132;264;172;358;256;524;342;707;427;884;521;1060
130;266;178;348;257;523;343;699;434;884;514;1059
130;265;173;349;256;532;341;707;436;876;512;1059
132;264;172;357;256;525;342;707;426;883;521;1060
130;267;178;348;258;523;343;698;434;884;512;1059
130;265;173;348;256;532;341;708;435;876;512;1060
132;265;171;357;256;524;341;708;426;884;521;1060
130;275;171;348;265;523;350;699;434;884;514;1059
130;264;173;348;256;531;342;708;436;877;512;1060
131;265;171;357;256;524;341;708;426;884;521;1060
130;274;171;348;265;523;350;699;434;884;513;1060
130;265;171;356;256;531;341;708;427;881;519;1060
130;272;171;348;263;522;349;700;426;884;520;1060
130;267;179;348;257;530;343;698;434;884;512;1059
137;265;173;355;256;532;342;708;428;876;519;1060
132;264;171;357;256;524;341;708;427;883;521;1060
130;266;178;348;258;522;343;699;433;885;514;1060
130;264;171;355;256;531;341;708;428;881;519;1060
130;272;171;350;263;524;348;700;427;883;521;1059
130;267;179;348;258;522;344;698;433;884;512;1059
137;265;173;355;256;532;341;708;429;881;519;1060
129;273;172;350;263;523;349;700;426;884;521;1060
130;267;178;348;258;530;343;706;436;884;512;1060
137;264;171;356;256;531;341;707;427;881;521;1060
130;272;172;348;263;523;349;700;427;884;521;1060
129;267;178;348;258;530;343;706;436;883;512;1059
137;265;171;358;255;533;341;707;429;882;519;1060
130;272;171;350;263;522;349;700;426;884;520;1059
130;267;179;348;258;530;343;706;435;884;512;1060
137;265;172;357;256;531;341;708;428;882;519;1060
129;272;172;350;263;523;349;701;426;883;520;1060
130;267;180;348;258;530;343;705;436;883;512;1059
137;265;171;357;256;531;341;707;427;881;521;1059
129;272;172;348;263;522;349;701;426;883;521;1060
130;267;178;349;258;529;343;705;436;883;512;1059
137;265;171;357;256;532;341;708;428;881;519;1060
129;272;172;348;264;522;350;700;434;884;514;1060
130;264;179;348;256;531;341;705;436;876;512;1060
132;265;171;357;256;525;341;708;426;883;521;1059
130;274;172;348;265;523;350;698;434;884;514;1059
129;264;173;348;256;531;341;707;436;876;512;1059
132;265;171;357;256;525;342;707;426;883;521;1060
130;274;171;349;265;522;350;699;434;884;513;1059
130;265;174;348;256;531;341;708;436;876;511;1060
132;265;172;357;256;524;341;707;427;883;521;1059
130;274;171;348;265;522;350;700;435;884;514;1059
130;264;173;356;256;532;341;708;428;882;519;1059
130;273;171;349;265;523;350;699;434;883;514;1060
130;265;172;355;256;532;342;708;426;882;519;1060
129;267;171;348;258;522;350;698;434;883;514;1059
129;264;171;355;256;531;341;709;429;882;519;1059
130;265;171;350;256;524;349;707;427;883;521;1059
130;274;171;349;265;522;350;699;434;883;513;1061
129;264;171;356;256;532;342;708;427;882;519;1060
129;274;171;348;265;522;350;698;434;884;513;1060
130;264;173;355;256;532;342;708;429;882;519;1060
129;272;171;348;263;523;348;701;426;884;521;1060
130;265;178;348;256;529;341;706;436;884;512;1059
130;265;171;357;256;524;341;708;427;884;521;1060
129;274;172;348;264;522;351;700;434;883;514;1060
130;265;173;348;256;531;341;708;436;877;512;1060
132;265;171;357;256;524;341;708;427;884;521;1060
