0B-E;0B-D;1B-E;1B-D;16B-E;16B-D;32B-E;32B-D;48B-E;48B-D;64B-E;64B-D
186;375;249;503;372;742;490;993;612;1251;737;1494
186;373;249;503;371;742;490;992;612;1252;736;1501
186;374;249;503;372;742;488;985;612;1244;735;1502
186;373;249;512;364;740;497;992;621;1243;745;1493
188;373;251;503;371;741;488;993;619;1242;743;1503
186;383;250;510;366;733;495;993;621;1243;745;1494
193;373;259;505;364;742;490;985;612;1251;736;1502
186;374;249;503;373;733;495;992;621;1242;745;1494
193;374;257;505;364;742;490;985;612;1244;736;1503
186;382;250;512;364;733;497;993;621;1243;745;1493
193;374;258;505;364;742;490;993;612;1252;738;1493
186;383;249;503;366;733;495;993;621;1243;745;1496
186;374;249;513;365;742;497;992;612;1252;737;1493
186;374;249;503;373;742;487;993;621;1243;745;1504
186;383;249;513;364;742;497;993;611;1250;744;1494
186;373;249;503;373;742;488;993;621;1242;745;1502
186;383;250;512;364;733;497;992;621;1243;745;1494
196;373;259;505;364;742;490;985;612;1244;735;1502
186;373;250;512;364;733;497;992;621;1243;745;1494
195;373;259;505;364;741;490;985;612;1244;736;1502
186;374;249;503;373;734;488;992;621;1242;745;1495
186;376;250;512;364;742;497;992;613;1243;745;1493
188;374;252;503;372;742;488;992;621;1243;745;1502
186;373;257;512;364;742;497;993;612;1252;737;1494
186;374;250;512;365;733;495;992;621;1243;744;1494
193;374;258;505;364;742;490;986;612;1253;736;1500
186;383;250;512;364;742;488;992;619;1243;743;1503
186;383;249;512;364;733;497;992;621;1242;745;1494
195;373;257;503;374;741;488;992;621;1242;745;1502
186;383;249;512;364;733;497;992;621;1243;745;1493
193;373;259;505;364;742;488;993;619;1243;743;1503
186;382;250;510;364;733;495;992;621;1242;745;1493
194;374;259;512;364;741;498;992;612;1252;736;1501
187;373;250;503;373;735;495;993;621;1243;745;1494
193;374;251;503;366;732;497;992;621;1243;745;1494
193;374;251;503;367;733;497;993;621;1243;744;1494
193;373;250;510;366;739;497;992;621;1243;745;1493
189;373;250;513;365;740;497;992;614;1244;745;1494
188;374;249;512;364;740;497;993;614;1242;745;1493
188;373;250;512;364;741;497;993;613;1243;745;1494
188;373;249;512;364;741;497;993;613;1243;745;1494
188;374;249;512;364;743;497;993;612;1250;745;1493
186;383;250;512;364;742;490;993;612;1252;736;1501
186;384;249;512;364;741;488;992;612;1244;735;1502
186;383;250;505;364;742;488;993;619;1243;743;1503
186;374;256;503;373;742;488;992;621;1242;745;1502
186;374;257;503;373;735;488;993;621;1243;745;1495
186;373;259;503;373;733;495;992;621;1243;744;1493
194;374;252;503;366;733;497;993;621;1243;745;1494
195;374;249;512;364;742;497;992;613;1243;745;1493
188;374;249;512;364;743;497;993;612;1250;738;1493
186;383;249;513;364;741;490;985;612;1244;736;1503
186;383;249;512;364;742;488;993;619;1243;743;1503
186;375;249;504;371;741;488;992;621;1242;745;1503
186;373;257;503;373;734;488;992;621;1243;745;1503
186;373;259;503;373;732;495;992;621;1244;745;1495
186;373;252;503;366;732;497;992;621;1243;745;1494
195;374;250;512;364;742;497;993;614;1243;745;1494
188;374;249;512;364;742;497;993;612;1250;738;1493
186;383;249;513;364;743;489;985;612;1244;736;1503
186;383;250;505;364;742;488;992;619;1243;743;1502
186;375;250;503;371;742;488;992;621;1243;745;1502
186;374;259;503;373;734;488;992;621;1242;745;1496
186;374;259;503;374;733;495;993;620;1242;745;1494
193;374;249;511;364;740;497;993;620;1244;745;1493
188;374;250;512;364;741;497;992;614;1243;745;1493
188;374;249;512;364;742;497;993;612;1250;738;1494
187;383;249;512;364;742;490;992;611;1252;736;1501
186;383;250;512;364;742;488;990;619;1243;736;1503
186;383;250;505;372;742;488;992;621;1243;745;1502
186;373;257;503;373;735;488;992;621;1243;745;1502
187;373;259;503;373;733;495;992;621;1243;745;1494
186;373;251;503;366;732;497;992;621;1242;744;1494
195;374;249;512;364;741;497;993;614;1243;744;1494
188;374;250;513;364;742;497;992;611;1250;744;1494
186;383;249;513;365;742;497;993;612;1251;735;1500
186;382;249;513;365;742;488;993;619;1243;735;1502
186;375;250;503;371;742;488;992;621;1243;744;1502
186;374;257;503;373;734;488;992;621;1243;744;1495
186;373;260;503;373;733;495;992;621;1243;745;1493
193;373;252;503;366;733;497;992;621;1243;745;1494
194;374;250;510;366;733;497;992;621;1243;745;1493
195;374;250;510;364;740;497;992;614;1243;744;1493
188;374;250;512;364;742;497;993;614;1243;745;1493
188;374;249;513;364;742;498;993;612;1250;745;1493
186;382;250;512;364;742;497;992;612;1252;736;1501
186;383;249;513;364;742;488;993;612;1245;736;1503
186;383;249;505;364;741;488;992;619;1242;743;1502
186;376;249;503;372;742;488;992;621;1243;745;1502
186;374;257;503;374;735;488;992;621;1242;745;1496
186;373;259;503;373;732;495;992;621;1243;745;1493
193;374;251;503;366;733;497;992;621;1243;744;1493
193;373;252;504;366;733;497;992;621;1243;745;1494
195;373;250;513;364;742;497;993;614;1250;745;1494
186;381;249;512;364;742;497;992;612;1252;738;1493
186;382;249;512;364;742;490;985;612;1245;736;1503
187;373;250;503;373;741;488;993;621;1243;745;1503
186;383;250;511;366;733;496;992;621;1243;745;1496
186;375;249;512;364;733;497;992;622;1243;745;1493
195;373;251;503;366;733;497;992;621;1243;744;1493
195;374;251;503;373;733;496;993;621;1243;745;1494
193;373;251;503;373;732;495;993;621;1242;745;1493
193;374;251;503;373;733;495;992;621;1243;745;1493
193;374;251;504;373;732;495;993;621;1243;745;1494
193;374;259;503;373;732;495;992;621;1243;745;1494
193;374;251;503;366;732;498;992;621;1244;745;1493
193;373;250;511;364;740;497;992;614;1243;745;1494
188;374;250;512;364;741;498;993;612;1250;737;1493
186;383;250;512;364;742;490;993;612;1252;736;1500
186;383;250;512;364;742;488;992;619;1243;743;1503
186;376;250;504;371;742;488;992;621;1242;745;1503
186;374;258;504;373;741;488;992;621;1243;745;1503
186;374;258;503;373;733;495;992;621;1243;745;1496
186;373;252;503;366;732;497;992;621;1243;745;1493
196;374;249;512;364;740;497;992;614;1243;745;1493
188;373;249;512;365;742;497;993;612;1250;738;1493
186;383;249;512;364;742;490;993;611;1244;736;1500
186;383;249;505;364;742;488;992;620;1243;743;1503
186;376;249;503;371;742;488;992;621;1243;745;1503
186;373;256;503;373;735;488;992;621;1243;745;1495
186;374;260;503;373;733;495;992;621;1243;745;1493
193;374;252;504;366;732;497;992;621;1243;745;1494
195;374;249;512;364;740;497;993;614;1243;745;1494
188;374;249;512;364;742;497;993;612;1251;737;1494
186;382;249;513;364;741;490;985;612;1245;736;1503
