0B-E;0B-D;1B-E;1B-D;16B-E;16B-D;32B-E;32B-D;48B-E;48B-D;64B-E;64B-D
207;416;279;547;389;782;504;1031;627;1290;750;1532
207;416;274;547;392;781;505;1031;634;1282;756;1542
207;424;272;547;392;774;504;1031;636;1282;758;1541
207;425;272;556;382;780;513;1031;636;1282;757;1532
214;418;279;556;383;781;514;1032;629;1289;758;1531
209;415;274;547;392;774;504;1032;635;1282;758;1541
207;425;272;556;383;781;513;1031;636;1282;757;1532
216;416;281;547;390;781;505;1033;634;1284;749;1541
207;415;272;547;392;781;504;1031;636;1281;755;1541
207;425;272;556;383;782;513;1032;626;1289;757;1531
209;416;274;547;393;772;511;1032;636;1282;757;1541
207;418;279;547;390;782;505;1032;634;1284;756;1541
207;424;271;556;382;782;513;1032;627;1289;758;1532
209;416;272;556;383;779;514;1032;636;1283;758;1531
214;415;274;547;392;774;512;1031;636;1282;757;1541
208;415;279;547;392;781;505;1032;636;1281;756;1540
207;424;272;556;382;781;506;1032;626;1290;750;1531
208;423;272;557;383;781;514;1032;635;1282;757;1532
216;415;274;554;384;773;511;1031;635;1282;757;1534
207;416;281;547;391;781;504;1031;636;1282;758;1541
207;418;272;549;382;782;506;1031;627;1291;750;1532
207;422;272;556;382;781;513;1031;636;1282;758;1532
214;416;274;547;392;773;513;1032;636;1282;758;1541
207;417;272;548;383;782;507;1032;626;1291;751;1539
207;426;272;556;382;782;514;1031;628;1282;757;1532
216;415;281;547;392;774;504;1031;635;1281;758;1541
208;425;272;556;382;781;506;1032;627;1291;750;1532
207;415;272;554;384;772;511;1032;635;1281;757;1534
208;415;279;547;390;782;505;1032;634;1282;756;1541
207;424;271;557;383;781;514;1032;627;1289;758;1532
209;415;274;554;384;772;512;1032;636;1282;758;1535
207;415;279;547;392;782;505;1032;636;1282;756;1541
207;424;272;556;382;781;507;1031;627;1292;750;1532
207;416;274;554;384;772;512;1032;636;1282;758;1534
207;416;279;547;389;782;504;1032;634;1283;748;1540
207;423;272;556;382;781;513;1031;635;1281;757;1532
217;415;281;547;392;774;505;1031;636;1281;758;1540
207;425;272;556;382;781;506;1032;627;1291;750;1532
208;422;272;556;382;781;514;1031;636;1282;758;1532
214;416;273;547;392;773;511;1032;636;1282;758;1541
207;415;279;547;391;782;504;1031;636;1281;756;1541
207;417;272;549;382;781;507;1032;626;1291;750;1539
207;425;272;556;382;782;513;1031;629;1282;758;1532
216;416;272;554;384;772;512;1032;635;1282;758;1533
207;415;281;547;392;774;505;1032;635;1283;758;1541
208;418;272;549;383;782;506;1032;627;1291;750;1539
207;424;272;556;383;781;515;1032;628;1281;758;1532
217;416;271;554;385;772;512;1032;636;1281;758;1534
207;415;282;546;391;781;504;1031;635;1282;758;1541
208;417;272;548;383;781;506;1032;627;1290;750;1540
208;425;272;556;383;782;514;1031;629;1281;758;1532
217;415;272;554;385;772;512;1032;637;1281;757;1534
208;415;281;547;392;781;505;1031;635;1281;756;1541
207;417;272;549;382;782;506;1031;627;1291;750;1539
208;424;272;556;382;781;514;1031;628;1281;758;1532
217;416;272;554;385;772;512;1031;636;1282;758;1534
208;415;281;547;391;781;504;1031;635;1281;758;1541
207;417;272;548;382;781;506;1031;627;1290;751;1539
208;424;272;556;383;782;514;1032;628;1281;758;1532
217;415;272;554;385;773;511;1032;635;1281;758;1534
207;416;281;547;393;781;505;1032;636;1282;757;1541
207;417;272;549;382;781;507;1031;627;1291;750;1539
207;424;272;556;382;782;514;1031;628;1282;757;1532
216;415;274;547;392;781;504;1031;627;1292;751;1539
207;416;274;547;389;781;506;1032;627;1291;751;1532
207;415;273;547;391;782;506;1031;627;1289;758;1532
