0B-E;0B-D;1B-E;1B-D;16B-E;16B-D;32B-E;32B-D;48B-E;48B-D;64B-E;64B-D
197;399;264;519;394;792;516;1059;654;1324;778;1593
197;408;257;529;386;790;525;1057;656;1321;785;1595
197;409;258;519;396;792;516;1058;653;1324;778;1594
198;407;257;528;386;782;523;1057;655;1321;785;1595
197;401;257;528;386;783;524;1057;656;1322;784;1595
198;406;257;520;396;791;517;1057;646;1331;778;1594
199;399;259;521;394;792;525;1057;648;1329;785;1586
205;399;265;520;396;784;517;1057;654;1324;784;1595
198;399;258;519;396;792;518;1057;646;1331;778;1586
199;400;267;529;386;790;525;1056;655;1321;785;1588
198;408;257;527;388;785;517;1057;656;1322;783;1596
198;400;257;519;393;791;518;1056;649;1329;786;1587
199;400;259;519;397;792;517;1056;654;1323;784;1596
197;406;257;526;388;785;523;1057;656;1321;785;1596
198;406;257;527;389;789;526;1057;655;1321;785;1595
197;409;257;529;387;791;526;1057;648;1321;785;1589
204;399;265;522;394;792;518;1056;647;1331;778;1587
200;399;259;520;395;785;516;1057;655;1321;783;1595
197;406;258;527;388;784;524;1056;656;1322;784;1595
198;408;257;529;387;790;526;1056;655;1322;786;1589
198;401;257;529;387;792;527;1057;648;1322;785;1589
204;399;264;522;394;791;519;1057;646;1330;778;1587
200;399;259;519;396;792;516;1058;653;1324;779;1594
197;399;259;527;388;785;523;1057;655;1322;783;1596
198;408;258;528;387;790;526;1056;655;1321;785;1596
197;401;258;528;386;792;525;1056;648;1322;785;1588
205;400;264;521;387;792;519;1056;646;1329;785;1587
207;400;259;519;394;792;517;1057;653;1324;784;1596
198;399;259;520;396;785;516;1057;656;1322;783;1596
198;406;257;527;388;782;523;1056;655;1321;785;1596
198;409;258;529;386;792;526;1056;655;1322;785;1589
198;400;267;519;394;791;516;1059;653;1324;778;1595
197;399;260;519;395;785;516;1056;655;1321;783;1596
197;406;257;519;396;785;523;1057;655;1322;785;1596
197;408;257;528;386;791;525;1057;656;1321;786;1588
198;399;267;520;394;792;516;1059;653;1324;778;1594
198;407;258;527;389;790;526;1057;656;1321;786;1595
197;408;257;529;386;792;525;1057;648;1322;786;1588
205;400;264;522;386;792;518;1056;646;1328;785;1587
200;399;267;519;393;792;517;1057;653;1324;778;1594
198;399;260;520;396;791;516;1057;653;1324;784;1595
197;409;257;529;386;791;518;1057;648;1329;785;1587
205;399;259;527;388;782;524;1057;656;1322;785;1595
198;402;258;522;394;792;517;1057;646;1331;778;1587
199;399;259;527;388;790;526;1057;655;1321;785;1595
197;401;265;520;393;791;517;1057;653;1323;776;1595
197;408;257;528;386;791;526;1056;648;1321;786;1589
205;399;260;519;395;784;524;1056;656;1322;786;1595
198;401;258;522;387;791;518;1058;646;1329;785;1586
199;399;257;529;386;790;526;1057;656;1321;785;1588
198;400;265;519;395;792;517;1059;653;1323;778;1593
198;399;257;527;388;790;526;1057;655;1321;785;1596
197;400;265;520;396;792;516;1056;653;1324;784;1595
198;408;258;529;386;792;526;1057;648;1329;785;1587
204;399;259;526;388;782;524;1057;656;1322;785;1595
197;401;264;520;393;793;517;1059;653;1323;778;1594
198;406;257;528;386;791;525;1056;648;1322;785;1588
206;399;259;520;395;785;523;1056;655;1321;785;1596
198;401;258;522;393;791;518;1056;647;1332;778;1587
200;399;258;527;389;790;526;1057;656;1321;785;1596
197;399;265;520;396;784;516;1057;655;1322;783;1596
197;409;257;529;386;791;518;1057;647;1329;785;1587
207;399;258;527;389;790;525;1056;655;1322;785;1595
197;400;265;520;396;792;516;1057;654;1324;776;1595
197;409;257;529;386;792;526;1056;648;1329;785;1586
204;399;259;527;389;783;524;1057;656;1322;785;1596
197;402;257;521;394;791;518;1057;646;1330;778;1586
199;407;258;529;386;792;526;1057;656;1321;786;1588
197;401;257;528;387;790;526;1057;656;1322;785;1596
198;408;258;529;386;783;524;1056;655;1322;785;1595
197;408;258;527;388;785;517;1058;656;1321;784;1595
198;400;258;520;396;792;517;1057;647;1330;778;1587
199;399;260;522;393;792;518;1057;648;1329;785;1587
205;399;260;519;396;784;516;1057;655;1322;783;1596
197;408;257;528;387;792;518;1057;646;1329;785;1586
207;400;259;519;395;784;525;1057;655;1321;785;1596
198;408;258;521;386;792;518;1057;646;1331;785;1586
199;400;258;529;389;790;525;1056;656;1322;785;1596
197;399;265;520;396;784;517;1057;655;1324;784;1595
197;408;258;529;386;791;518;1057;646;1328;786;1587
200;399;259;526;389;782;523;1057;655;1322;785;1595
198;402;264;520;394;792;517;1058;653;1323;778;1594
197;407;258;529;387;791;525;1057;648;1321;785;1589
205;400;260;520;396;784;524;1057;655;1322;786;1596
197;401;258;522;387;792;518;1057;647;1329;785;1586
207;399;257;527;388;790;525;1057;656;1322;786;1596
198;399;265;519;396;792;517;1057;656;1324;783;1595
198;409;258;528;386;792;518;1057;647;1328;785;1586
199;399;258;529;389;790;526;1057;656;1322;785;1596
198;399;264;519;396;791;516;1056;655;1321;783;1595
198;408;258;528;386;791;518;1056;646;1329;785;1586
207;399;258;527;388;790;526;1057;655;1322;786;1596
198;400;264;520;395;784;517;1058;656;1322;784;1596
198;408;258;521;386;792;519;1056;646;1329;785;1586
199;400;257;530;389;790;525;1057;656;1322;785;1595
198;401;258;521;386;792;518;1056;646;1328;786;1587
207;399;257;526;388;790;526;1056;656;1321;785;1595
197;402;265;520;394;792;517;1059;654;1323;778;1593
197;399;257;526;388;789;523;1056;655;1321;785;1595
197;401;264;520;395;791;516;1058;653;1323;778;1594
