0B-E;0B-D;1B-E;1B-D;16B-E;16B-D;32B-E;32B-D;48B-E;48B-D;64B-E;64B-D
155;321;209;427;317;640;414;856;529;1073;633;1289
155;328;207;427;310;640;414;857;530;1073;633;1291
155;330;208;428;310;638;414;857;527;1074;625;1291
155;328;207;428;317;632;416;857;527;1073;626;1298
155;328;209;427;318;631;415;856;520;1073;626;1298
155;321;209;427;317;631;423;857;519;1073;625;1296
155;321;209;427;317;632;416;856;527;1073;625;1298
155;321;210;428;318;631;416;856;519;1073;625;1298
155;321;210;428;317;631;416;857;519;1072;625;1299
155;321;209;428;317;631;423;856;520;1073;625;1297
155;321;209;428;318;631;423;857;519;1073;625;1297
155;320;209;427;318;631;423;857;520;1072;625;1297
155;321;209;428;318;631;423;857;519;1073;625;1296
155;321;217;428;316;634;423;855;520;1074;627;1296
157;320;215;430;308;633;422;854;521;1072;634;1289
162;321;208;429;309;641;421;850;521;1073;634;1289
162;323;207;437;308;641;414;857;528;1073;635;1289
155;330;208;435;310;638;414;856;527;1074;632;1291
155;328;209;428;317;632;416;856;527;1073;625;1298
155;320;210;427;318;631;423;856;519;1074;625;1297
155;321;216;427;315;633;423;856;519;1073;627;1296
157;321;215;430;308;633;421;854;522;1073;635;1289
162;321;207;436;308;640;414;850;529;1072;635;1289
155;330;207;435;310;639;414;857;529;1073;633;1291
155;328;207;427;310;639;416;857;527;1074;625;1291
155;321;209;428;318;631;416;857;520;1072;625;1297
155;321;216;428;315;633;423;855;519;1072;627;1289
157;321;207;429;308;640;421;849;522;1072;634;1289
162;323;207;437;308;641;414;856;529;1073;634;1289
155;330;207;435;310;638;414;856;527;1073;632;1292
155;328;208;427;318;632;416;856;527;1073;626;1299
155;321;209;428;318;631;423;856;520;1073;625;1297
155;321;214;428;316;633;423;854;519;1073;627;1296
157;321;214;430;309;633;421;855;522;1073;634;1289
163;321;207;437;308;640;414;849;528;1072;634;1289
155;323;207;435;308;641;413;857;528;1073;633;1291
155;329;208;427;317;631;415;857;527;1073;626;1298
155;320;215;428;315;633;423;854;520;1073;634;1289
157;320;208;429;308;640;421;849;521;1073;634;1289
162;322;208;437;308;641;414;857;529;1073;633;1289
155;328;207;427;310;638;416;856;527;1075;625;1290
155;320;210;427;316;632;423;856;520;1080;627;1297
155;321;215;430;308;634;421;855;521;1073;635;1289
162;321;208;436;309;640;414;850;529;1073;635;1289
155;322;208;435;308;642;413;857;528;1073;633;1290
155;328;207;428;310;638;415;857;527;1075;625;1291
155;320;210;427;316;631;424;856;520;1073;627;1297
156;320;207;430;308;641;421;849;521;1073;634;1289
157;321;209;436;308;634;421;856;520;1073;628;1296
157;321;214;430;316;632;415;857;527;1073;625;1291
155;330;207;430;309;631;416;857;527;1073;632;1291
155;323;208;428;315;633;423;855;519;1073;635;1289
157;321;215;429;308;634;421;855;521;1073;634;1289
162;321;207;430;308;640;421;849;521;1073;635;1289
163;322;207;437;308;641;414;857;529;1073;634;1289
155;323;207;434;309;640;414;856;528;1072;633;1291
155;329;207;428;317;631;416;857;519;1073;625;1297
155;321;215;427;315;633;423;854;520;1073;634;1289
157;321;208;429;309;640;422;849;522;1072;635;1289
162;322;207;436;308;640;414;856;529;1073;634;1290
155;328;207;428;310;638;416;857;527;1075;626;1291
155;320;210;428;315;631;423;856;520;1080;627;1296
157;321;215;429;309;633;421;855;521;1073;635;1289
163;322;207;437;308;641;414;849;528;1073;634;1290
155;323;208;435;308;641;414;857;528;1073;633;1291
155;327;209;428;317;631;415;856;519;1073;625;1298
155;321;214;428;316;633;424;855;519;1072;635;1289
156;321;208;437;308;640;414;849;529;1073;635;1289
155;321;208;429;308;640;422;850;521;1073;634;1290
162;323;208;435;308;640;414;857;529;1073;633;1289
155;328;208;428;317;632;416;857;520;1073;625;1298
155;321;215;427;315;633;423;855;520;1073;634;1289
157;321;208;437;309;640;414;850;530;1073;634;1289
155;323;207;434;308;641;414;857;528;1073;632;1291
155;328;209;427;317;631;415;856;528;1073;625;1298
155;320;214;427;315;633;423;855;520;1073;634;1289
157;321;208;429;308;640;421;850;521;1073;635;1289
162;323;207;435;308;640;414;849;529;1072;634;1289
155;321;214;430;308;641;422;855;520;1073;634;1289
157;321;209;435;308;640;414;857;529;1073;635;1289
155;328;208;428;311;639;416;857;528;1073;625;1291
155;321;210;428;316;631;423;857;519;1080;627;1297
157;321;214;430;308;633;421;855;522;1073;634;1289
163;320;207;429;308;633;421;855;522;1073;634;1289
162;321;207;429;308;641;421;850;521;1073;634;1289
163;321;208;429;309;641;421;850;521;1073;634;1289
162;321;207;437;308;640;414;850;529;1074;635;1289
155;323;207;437;308;640;414;857;528;1073;634;1289
155;328;207;427;310;638;415;857;527;1076;626;1291
155;321;209;427;317;631;423;856;520;1073;625;1297
155;320;215;429;308;633;424;855;519;1072;635;1289
162;322;207;436;308;641;414;850;529;1073;634;1289
155;322;208;435;309;641;414;857;528;1073;633;1291
155;327;208;428;310;638;416;857;526;1073;625;1291
155;321;209;427;316;631;423;857;520;1073;627;1297
157;321;214;429;309;634;422;855;522;1073;635;1290
162;322;208;437;309;641;414;857;529;1073;634;1290
155;330;208;435;310;638;413;856;527;1075;632;1291
155;321;209;428;316;631;423;857;520;1073;627;1297
157;320;207;430;308;640;421;849;522;1073;634;1289
162;323;207;435;308;640;414;857;529;1073;632;1289
155;328;207;428;317;631;416;856;527;1075;626;1291
155;322;207;437;309;640;414;856;529;1073;634;1289
156;329;208;428;310;638;415;857;526;1074;625;1291
155;328;209;427;317;632;416;857;527;1073;626;1299
155;321;216;428;316;633;423;855;519;1073;635;1290
156;320;214;430;308;634;421;854;521;1073;635;1289
162;321;207;430;308;640;421;849;522;1072;635;1289
162;321;208;437;308;641;414;850;528;1073;635;1290
155;322;208;438;308;641;414;857;529;1072;634;1289
155;328;207;427;310;638;416;856;527;1075;625;1291
155;321;209;427;316;633;423;857;520;1073;628;1297
157;321;215;430;308;634;421;855;521;1073;635;1289
162;323;207;436;308;641;414;857;529;1073;635;1289
155;328;207;435;310;639;414;857;527;1075;625;1291
155;328;209;428;317;632;415;857;527;1073;625;1298
155;320;214;430;315;633;423;855;519;1073;634;1290
157;320;208;436;308;640;414;849;528;1073;634;1289
155;330;207;435;310;638;414;856;527;1075;633;1290
155;321;209;428;315;633;423;858;519;1073;628;1296
157;321;207;429;308;640;422;849;522;1073;634;1289
162;320;215;428;317;640;414;857;529;1072;635;1289
155;321;207;428;316;638;416;857;529;1073;632;1291
155;323;208;435;309;641;422;850;521;1072;634;1289
162;321;208;429;309;641;421;850;522;1073;635;1289
162;320;208;437;308;641;414;850;529;1073;634;1289
155;323;208;437;308;640;414;850;529;1073;634;1289
155;323;208;437;308;641;414;857;529;1073;632;1289
155;322;207;435;308;640;414;856;529;1073;632;1291
155;330;208;435;310;639;414;857;527;1075;633;1291
155;320;209;428;315;632;423;856;520;1072;625;1296
155;321;215;429;308;633;424;855;520;1073;634;1289
157;321;208;429;309;641;422;849;521;1073;634;1289
162;323;208;437;308;641;414;858;529;1073;632;1291
155;328;207;428;317;632;416;856;519;1073;626;1297
