0B-E;0B-D;1B-E;1B-D;16B-E;16B-D;32B-E;32B-D;48B-E;48B-D;64B-E;64B-D
173;376;226;474;357;732;473;988;606;1243;730;1505
175;369;232;475;356;726;482;988;606;1243;731;1497
180;369;225;476;348;726;482;988;604;1245;728;1498
173;371;224;482;348;733;480;986;597;1250;722;1499
173;371;225;483;348;733;479;988;596;1250;721;1500
173;371;225;483;348;733;472;988;599;1250;723;1507
173;378;225;481;350;733;472;988;605;1244;723;1507
173;378;225;481;350;734;473;988;606;1243;731;1507
173;369;226;473;357;731;475;989;606;1243;731;1505
175;369;232;474;355;726;481;988;606;1242;731;1498
180;369;232;476;348;726;481;989;605;1245;731;1498
181;369;224;476;348;727;481;988;604;1245;729;1498
173;371;225;482;348;734;480;987;597;1251;721;1499
173;378;225;481;350;733;473;988;599;1243;723;1507
173;376;225;481;350;733;473;988;606;1243;731;1507
173;369;227;473;357;732;475;989;606;1244;731;1498
175;369;232;473;355;726;481;989;606;1243;730;1497
180;369;232;475;348;726;481;989;604;1245;729;1499
173;371;225;482;348;733;480;988;597;1244;729;1500
173;371;225;482;348;734;480;988;597;1250;721;1500
173;371;225;482;348;734;479;988;599;1250;724;1507
173;379;224;481;349;734;472;989;599;1243;723;1507
173;379;224;480;349;733;472;988;606;1243;730;1507
173;376;225;473;349;733;472;988;606;1243;731;1505
173;369;227;474;357;732;474;988;606;1244;730;1497
175;369;232;475;355;726;482;988;604;1245;730;1498
180;369;224;483;348;734;481;989;597;1244;729;1499
173;371;224;482;348;733;480;988;597;1250;721;1500
173;370;225;483;348;735;479;989;598;1250;724;1507
173;378;224;480;348;733;472;981;599;1243;723;1507
174;379;225;481;350;734;473;988;605;1243;731;1507
173;369;227;474;357;732;474;988;606;1243;731;1499
175;369;231;474;355;727;481;989;605;1243;731;1498
175;369;232;476;355;727;482;989;604;1245;730;1497
180;368;224;475;348;726;481;988;605;1245;729;1500
173;371;225;483;348;733;480;989;597;1252;728;1500
173;371;224;483;348;734;480;988;597;1244;729;1500
174;371;225;482;348;734;480;989;596;1250;721;1500
173;378;225;481;350;733;472;988;606;1243;730;1506
173;369;235;474;355;724;474;989;606;1243;730;1498
175;369;225;476;348;726;482;988;604;1245;728;1500
174;371;224;483;347;734;480;986;597;1250;722;1500
173;370;225;482;348;733;480;986;597;1251;721;1500
173;371;225;483;348;733;479;988;598;1250;723;1507
173;378;224;481;349;733;472;988;599;1243;724;1507
173;378;225;480;350;734;473;988;606;1243;731;1506
173;376;225;474;350;734;473;988;606;1243;730;1507
173;376;227;473;357;731;475;988;606;1243;730;1505
175;369;235;473;356;725;474;988;606;1243;730;1498
175;369;232;475;355;726;482;988;606;1243;730;1498
180;369;225;475;348;726;482;988;604;1245;729;1498
173;371;225;482;348;733;480;988;597;1253;721;1500
173;370;224;483;348;733;480;988;597;1250;722;1500
173;371;224;483;348;733;480;989;597;1250;721;1500
174;370;225;483;348;734;479;989;599;1250;723;1499
173;371;225;483;348;734;479;989;599;1250;723;1507
173;378;225;481;350;733;472;988;606;1243;730;1507
174;377;225;474;350;733;472;988;606;1243;730;1507
173;376;226;474;357;732;472;988;606;1243;730;1506
173;369;226;473;357;731;475;988;606;1243;731;1498
175;369;232;475;355;726;481;988;604;1244;730;1497
181;369;225;476;347;726;481;988;605;1245;729;1497
173;371;225;482;348;734;481;990;597;1245;729;1499
173;371;225;482;348;734;480;988;597;1250;722;1499
173;371;225;483;348;734;480;988;597;1250;721;1506
173;378;224;481;348;733;472;988;599;1243;724;1507
173;379;225;481;350;733;472;988;606;1243;731;1507
173;369;227;473;357;732;475;988;606;1243;731;1499
176;369;232;474;355;727;482;989;606;1243;730;1498
180;369;232;475;348;726;481;988;604;1246;730;1497
180;369;225;476;347;726;481;988;604;1245;729;1497
173;371;224;483;347;733;480;989;597;1250;721;1500
173;371;225;482;348;734;479;988;599;1250;723;1507
174;378;225;480;348;734;472;988;599;1243;724;1507
174;376;225;474;350;734;472;989;606;1242;731;1507
173;369;235;474;357;725;474;989;606;1243;731;1498
175;369;225;476;348;726;482;988;604;1245;728;1500
173;371;225;482;348;733;480;988;599;1250;723;1507
173;378;224;481;350;733;472;988;606;1242;732;1506
173;376;225;473;350;734;472;988;606;1243;730;1504
173;377;227;474;357;731;472;988;607;1243;730;1504
175;369;234;473;355;726;474;988;606;1243;730;1498
175;369;232;475;355;726;483;988;604;1243;731;1498
181;369;232;475;348;726;482;988;604;1245;728;1497
173;371;225;484;348;733;480;988;597;1252;721;1499
173;371;225;483;347;734;480;988;599;1250;723;1508
173;376;224;473;350;734;472;988;606;1243;731;1505
173;369;227;474;357;731;474;989;607;1243;732;1498
175;369;232;474;355;724;474;988;606;1243;730;1497
175;369;232;475;355;727;482;988;605;1245;731;1497
