0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
178;360;223;459;305;625;393;803;481;971;567;1155
183;354;225;458;307;623;395;802;487;978;568;1155
175;355;223;453;313;618;400;802;482;980;574;1156
177;354;224;458;308;623;394;800;487;979;568;1156
176;355;230;451;312;618;400;795;480;979;577;1156
177;361;223;453;313;618;392;801;482;978;574;1157
175;353;225;458;305;625;394;800;489;979;569;1156
176;354;223;451;307;623;394;795;487;979;576;1156
176;356;222;453;312;618;399;802;481;979;574;1156
177;360;223;453;305;625;392;802;481;978;567;1158
183;353;225;458;305;623;394;800;489;979;569;1162
176;355;222;450;308;623;394;794;486;978;576;1156
175;355;230;453;312;617;399;802;483;979;574;1155
178;361;223;453;305;625;393;802;481;980;574;1158
183;353;225;458;306;625;395;799;489;978;568;1155
175;353;223;450;307;623;394;795;486;979;577;1156
175;355;223;453;312;618;399;802;482;979;574;1155
178;361;223;452;306;625;392;802;482;979;567;1158
183;353;224;458;305;623;394;800;487;979;568;1163
176;356;230;450;307;616;400;794;480;979;576;1155
176;360;223;452;313;618;393;802;481;979;574;1158
176;354;225;457;306;625;395;800;489;979;569;1155
175;354;223;451;307;623;395;795;487;978;576;1155
176;356;223;452;312;618;399;802;481;979;574;1156
177;360;223;452;306;625;393;802;482;972;567;1155
183;354;225;458;307;623;394;802;486;978;569;1156
176;355;230;450;313;615;400;795;479;979;577;1156
176;361;223;453;312;618;399;802;481;979;574;1155
175;361;223;460;306;625;392;802;488;979;568;1156
183;353;224;458;307;623;394;802;487;978;569;1156
176;356;230;451;306;615;400;794;479;978;576;1155
176;360;223;452;314;617;400;802;482;979;574;1155
176;360;223;460;305;625;392;802;488;979;568;1155
182;353;225;458;307;623;394;794;487;979;576;1156
175;355;230;453;312;618;400;802;480;979;574;1156
178;361;223;453;305;624;392;802;481;980;574;1157
182;353;224;458;306;625;394;800;489;978;569;1155
176;353;223;451;308;623;394;794;487;979;576;1156
175;356;230;453;312;618;399;802;480;979;574;1155
178;361;223;453;305;625;392;802;481;979;567;1156
183;353;224;458;307;623;394;802;487;979;569;1163
176;356;230;450;308;616;400;794;480;979;576;1156
176;361;223;453;313;618;400;802;481;978;573;1155
175;360;223;460;306;625;392;801;482;972;567;1156
183;354;225;457;307;624;394;802;486;979;568;1155
175;355;230;450;312;618;400;801;480;979;574;1156
177;361;223;453;312;618;393;802;482;979;574;1157
175;354;225;458;306;625;395;799;489;979;568;1156
176;353;222;450;307;623;395;795;487;978;577;1156
175;355;230;453;312;618;399;802;479;979;574;1156
177;360;223;452;312;617;392;801;482;978;574;1158
176;354;225;457;305;625;394;800;489;979;568;1155
176;353;223;451;307;624;394;795;487;979;576;1156
176;355;230;453;313;618;400;802;480;978;574;1155
178;360;223;453;313;618;392;802;481;979;574;1157
176;354;225;458;306;625;394;800;489;979;569;1156
176;354;223;451;307;623;395;795;487;978;576;1155
175;355;223;453;312;618;399;802;481;979;574;1155
178;360;223;452;306;625;393;802;481;971;566;1156
183;353;224;458;307;623;395;800;487;978;569;1156
176;356;230;450;306;616;399;794;480;978;576;1156
177;360;222;452;312;617;393;802;481;979;574;1158
175;353;225;458;305;625;394;800;489;978;569;1155
175;353;223;451;307;623;394;794;487;978;576;1155
