0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
176;374;229;467;311;628;392;801;468;966;557;1131
178;379;222;467;310;628;393;801;470;967;557;1132
176;379;224;472;303;635;387;799;477;966;552;1132
184;374;222;465;305;633;393;794;475;966;561;1132
176;374;222;467;310;628;393;801;470;967;557;1132
179;379;223;466;303;635;386;800;470;966;558;1134
177;374;222;472;305;633;388;794;475;966;560;1131
177;372;222;467;311;628;393;801;470;967;557;1132
177;372;225;472;303;633;388;799;475;966;552;1131
177;374;222;465;305;634;393;794;475;967;560;1132
177;379;222;467;304;637;386;800;470;959;552;1131
183;374;222;464;305;634;386;793;475;966;560;1132
176;374;229;467;310;628;393;802;470;967;557;1132
178;372;224;472;306;634;387;799;476;967;552;1132
177;374;229;467;303;628;392;794;468;967;557;1131
176;379;222;474;303;636;386;801;470;959;553;1132
184;374;222;464;305;633;385;794;476;966;561;1131
176;379;222;467;303;635;385;801;470;966;558;1134
177;372;224;472;303;634;387;799;475;967;552;1132
177;374;222;464;305;634;385;794;475;967;559;1132
176;372;222;467;310;628;392;801;470;967;558;1132
176;379;222;475;303;635;385;799;470;959;553;1132
184;372;224;472;305;634;388;801;475;966;552;1139
177;373;229;464;304;633;394;793;475;966;559;1131
176;372;222;467;311;628;393;801;470;966;557;1132
176;379;222;474;303;636;386;801;470;959;552;1132
184;374;223;465;306;634;385;793;475;966;559;1132
177;379;222;467;303;635;385;800;470;966;559;1133
177;372;224;472;305;634;388;801;476;966;552;1139
176;374;229;467;310;628;392;801;470;966;558;1132
178;379;223;472;303;636;386;799;470;959;552;1132
184;372;222;472;305;633;388;801;475;966;552;1139
177;374;230;466;310;629;393;801;470;966;557;1132
179;379;222;472;303;636;388;799;470;959;552;1131
184;374;223;465;305;634;386;793;475;966;559;1131
176;372;222;467;310;628;392;801;470;966;557;1132
177;372;224;472;305;634;387;802;475;967;552;1131
177;374;229;465;304;628;393;794;468;967;557;1132
