0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
119;251;152;319;207;418;273;539;333;659;390;787
119;241;159;310;207;428;266;547;324;667;383;788
119;248;152;309;209;418;265;546;324;665;392;779
127;241;152;318;207;418;273;538;333;660;390;787
119;241;160;309;207;428;265;547;324;668;383;788
119;241;152;309;213;418;267;538;333;659;392;788
119;241;154;309;206;428;265;548;324;668;383;788
120;250;152;310;208;418;265;547;324;668;385;778
120;241;152;318;207;418;272;538;333;658;390;788
119;241;159;309;207;427;265;547;324;668;383;787
119;241;152;309;215;418;267;538;326;658;392;781
119;241;154;317;207;420;266;540;332;660;383;787
119;243;152;309;207;426;266;547;324;667;383;787
119;241;152;311;207;418;274;538;333;659;390;788
120;241;154;309;206;427;266;547;324;667;383;788
120;250;152;310;208;418;266;547;325;667;384;779
119;241;152;320;207;418;273;538;334;659;390;788
119;244;159;310;207;428;266;547;324;667;383;788
119;248;152;309;215;418;265;545;324;665;385;778
126;241;152;319;206;418;273;538;331;660;390;788
119;241;159;309;207;428;265;547;324;667;383;788
119;241;152;309;213;418;267;538;326;658;392;780
119;241;154;317;206;420;266;541;324;668;383;788
119;250;152;310;208;418;265;546;327;666;392;781
127;241;152;311;207;418;275;538;333;659;392;788
119;241;154;309;206;427;266;547;324;668;383;788
119;250;152;309;208;419;266;547;325;667;385;778
120;241;152;318;206;419;273;539;333;660;391;788
119;241;160;309;207;427;265;547;324;668;382;788
119;248;152;309;216;418;265;546;325;665;385;778
126;241;152;318;206;418;273;538;333;660;390;788
120;241;160;309;207;427;265;548;324;668;383;788
120;249;152;309;215;418;265;546;324;658;392;781
120;241;154;316;207;420;265;540;324;667;383;788
119;250;152;310;208;418;266;547;325;667;385;779
120;241;152;319;206;418;273;539;334;660;390;788
120;241;160;309;207;427;265;547;324;667;383;788
119;241;152;309;214;418;267;539;326;658;392;781
120;241;154;316;207;420;265;541;324;668;383;787
119;250;152;309;209;419;265;547;325;668;385;779
128;241;152;318;207;419;273;539;332;660;390;788
119;241;159;309;206;428;265;548;324;668;383;788
119;249;152;309;208;418;266;547;324;667;385;779
128;241;152;311;207;418;274;538;334;658;392;787
119;242;154;309;207;427;266;547;324;668;383;787
119;248;152;309;208;418;265;548;324;667;385;779
119;241;152;311;206;418;274;538;333;659;390;788
119;241;153;309;206;427;265;540;324;668;383;788
120;243;152;310;206;426;265;547;324;668;383;786
120;241;152;311;206;418;275;539;334;658;390;788
119;241;153;310;207;427;266;540;324;667;383;788
120;250;152;309;208;425;265;547;324;668;385;786
122;241;152;311;207;418;274;539;333;658;391;788
119;241;154;310;206;427;265;548;324;668;383;788
120;250;152;310;208;418;265;548;324;668;385;779
128;241;152;311;207;418;274;539;333;659;392;788
119;241;154;309;206;427;265;548;324;668;383;788
120;250;152;310;209;425;265;547;324;667;385;786
121;241;152;311;206;419;274;538;333;658;390;788
119;241;152;318;206;420;273;538;331;660;383;788
119;241;153;310;206;427;266;548;325;667;383;788
119;251;152;309;209;418;265;547;324;667;384;779
119;241;152;311;206;419;274;539;333;658;391;788
119;242;154;316;207;420;265;540;324;667;383;788
119;243;152;310;208;426;266;547;324;668;383;786
122;241;152;311;207;419;274;539;333;658;390;788
120;241;154;310;206;427;265;547;324;668;383;788
119;250;152;309;208;419;266;547;325;667;384;779
119;241;152;318;206;418;273;539;334;658;390;788
119;241;159;309;207;428;266;547;324;667;383;787
119;249;152;309;209;418;266;547;324;667;385;779
120;241;152;311;207;418;275;539;333;659;390;788
119;241;154;309;207;428;265;541;324;668;383;788
119;243;152;309;208;426;265;548;324;667;383;786
122;241;152;311;207;419;275;539;334;659;390;787
119;241;154;309;206;427;265;541;324;668;383;788
119;251;152;309;208;418;265;548;324;668;384;778
120;241;152;311;207;418;274;538;333;659;390;788
120;241;154;309;207;427;265;540;324;667;383;787
120;242;152;309;209;426;266;547;324;667;382;788
119;249;152;310;209;418;265;548;324;668;385;778
120;241;152;311;206;418;274;539;333;659;390;788
119;242;154;309;206;427;265;540;324;668;383;788
120;243;152;310;208;426;265;547;324;668;383;785
121;241;152;311;206;418;274;539;334;659;390;788
119;241;154;309;206;427;265;540;324;668;383;788
120;243;159;309;206;428;265;547;324;667;383;787
119;251;152;309;209;418;265;547;324;668;385;779
119;241;152;319;206;418;272;538;333;659;390;788
119;241;153;309;207;427;265;541;324;668;383;788
120;243;152;309;208;425;265;547;324;667;383;786
121;241;152;311;206;418;274;538;333;658;392;788
119;241;154;309;207;427;265;548;324;668;383;788
120;250;152;309;208;426;265;548;324;668;385;786
121;241;152;311;214;418;267;539;326;658;392;781
119;241;152;317;206;420;265;541;331;668;383;788
119;243;152;309;206;425;266;548;324;667;383;786
120;241;152;311;207;418;274;538;333;659;391;788
119;241;154;310;206;427;265;540;324;668;383;788
120;248;152;309;208;418;265;548;324;668;385;779
119;241;152;319;207;418;273;538;334;659;391;788
119;241;154;309;206;427;265;547;324;667;383;787
120;250;152;309;208;426;265;548;324;668;385;786
122;241;152;311;206;418;274;538;333;659;390;788
120;242;154;310;206;427;265;541;324;667;383;788
119;243;152;310;206;426;265;547;324;667;383;788
119;241;152;309;215;418;268;538;326;659;392;780
119;241;152;316;207;420;265;540;331;661;383;788
120;243;159;309;206;428;265;548;324;668;383;788
120;248;152;309;216;418;265;545;325;666;392;781
126;241;152;318;207;418;273;539;333;659;390;788
119;241;154;309;207;427;266;541;324;668;383;787
119;250;152;309;208;426;266;548;324;668;383;785
121;241;152;311;207;418;273;538;333;659;390;788
120;241;154;309;207;428;265;540;325;668;383;787
119;243;152;309;207;426;266;547;324;668;383;788
119;241;152;309;214;418;268;538;326;658;392;781
120;241;152;316;206;420;266;540;331;661;383;788
120;242;159;310;207;428;266;547;324;667;383;787
119;250;152;309;209;418;265;548;324;668;385;779
119;241;152;309;214;418;267;538;326;658;392;780
120;241;152;317;207;420;265;540;331;660;383;788
120;243;159;309;206;427;266;548;324;668;383;787
119;248;152;309;214;418;267;546;326;666;392;780
126;241;152;318;207;419;273;538;334;658;390;788
119;241;154;309;206;427;266;547;324;667;382;787
120;250;152;309;208;425;266;547;325;668;385;785
121;249;152;309;216;418;265;547;324;665;385;779
120;241;152;311;206;418;274;538;333;658;390;788
120;241;153;309;207;428;265;540;324;668;383;788
120;250;152;309;208;426;265;548;324;667;383;785
122;249;152;310;215;418;267;546;326;666;392;781
127;241;152;318;206;418;272;539;333;658;390;788
119;241;152;316;207;420;265;540;324;668;383;788
119;243;152;309;208;426;265;548;324;668;383;785
121;241;152;311;206;418;275;538;334;658;391;788
119;241;154;309;206;427;265;540;324;668;383;787
119;243;152;310;206;426;265;547;324;668;383;788
119;242;152;311;214;418;267;539;326;659;392;781
119;241;152;316;207;420;265;540;325;668;383;788
120;243;152;310;208;426;266;547;325;668;383;785
121;241;152;311;206;418;274;539;333;658;390;787
119;241;152;319;207;421;265;540;325;668;383;787
119;243;159;309;207;427;266;547;324;667;383;787
119;248;152;309;216;419;266;545;324;665;385;779
126;241;152;311;206;418;274;538;334;658;390;788
119;241;152;317;206;420;265;540;324;668;383;788
119;243;159;309;206;427;265;548;324;668;383;787
119;250;152;309;209;426;265;547;324;668;385;786
121;249;152;309;215;418;268;546;324;666;384;779
126;241;152;311;213;419;267;538;326;658;392;780
119;241;152;319;206;419;274;539;333;659;391;788
119;242;152;318;206;420;272;539;331;660;390;788
120;241;154;317;207;427;266;540;324;668;383;788
119;241;160;309;206;427;265;548;324;668;383;788
119;243;152;309;206;425;265;548;324;668;383;786
122;249;152;309;208;419;265;546;324;668;384;779
119;241;152;311;214;418;267;538;326;658;392;780
119;241;152;318;207;418;273;538;333;661;390;788
120;241;153;316;206;420;266;540;332;667;382;788
119;241;159;309;206;427;265;547;324;667;382;788
119;243;160;309;206;427;265;548;324;668;383;786
119;248;152;309;208;418;266;547;324;667;385;779
119;241;152;311;214;418;267;538;326;659;392;780
120;241;152;319;207;419;275;538;334;659;390;787
119;241;152;319;207;420;273;538;332;660;390;788
119;241;154;309;207;428;266;547;324;667;383;788
119;243;160;309;207;428;266;547;324;668;383;788
119;243;152;309;208;426;265;547;324;668;383;786
120;249;152;310;208;418;265;548;324;668;385;779
120;241;152;311;214;419;267;538;326;659;392;781
120;241;152;318;207;418;275;538;333;659;390;787
119;241;152;318;207;420;272;539;332;660;390;788
119;241;154;317;207;420;266;540;324;668;383;788
119;241;159;309;206;427;265;548;324;668;383;787
120;243;152;309;207;425;265;547;324;667;383;788
120;250;152;309;208;418;265;548;324;668;385;779
119;241;152;311;214;418;268;539;326;659;392;781
119;241;152;318;207;418;274;539;333;659;390;788
120;241;152;319;207;420;273;539;331;660;391;788
119;241;154;316;207;420;265;540;332;660;383;788
119;241;154;310;207;427;266;547;324;668;383;788
119;243;159;309;206;427;265;548;324;667;383;788
120;243;152;309;207;425;266;548;325;668;383;788
119;241;152;309;214;418;267;539;326;659;392;781
119;242;152;316;207;420;266;540;332;668;383;788
119;243;152;310;210;426;265;547;324;668;383;787
119;241;152;310;214;418;267;546;326;666;392;781
126;241;152;318;206;420;273;538;334;660;390;788
119;241;152;309;206;427;265;548;324;668;383;788
119;249;152;309;209;418;265;547;325;668;385;779
119;241;152;311;207;418;275;538;333;659;390;788
120;241;154;316;207;427;265;540;324;667;383;788
119;243;152;309;208;425;266;547;324;667;383;786
121;241;152;311;206;418;275;538;334;658;390;788
119;241;154;316;207;420;266;540;324;668;383;788
120;250;152;309;208;426;265;547;324;668;385;786
121;241;152;311;214;418;267;538;326;658;392;781
120;241;152;316;206;420;265;540;324;668;383;788
119;243;152;309;209;426;265;548;324;667;383;786
119;241;152;311;214;419;267;539;326;658;392;781
119;241;152;317;207;421;265;540;324;667;383;787
120;243;152;309;208;426;265;548;324;668;385;786
121;241;152;311;207;419;274;538;333;659;392;788
119;241;154;316;207;420;265;541;331;661;383;788
120;243;152;309;208;425;265;547;324;667;383;788
119;241;152;309;213;418;267;539;326;659;392;780
119;241;152;316;207;420;265;540;324;667;383;787
119;243;152;309;209;425;265;547;324;668;385;786
121;241;152;311;206;418;275;539;333;659;390;788
119;241;154;309;206;427;266;540;324;667;383;788
119;250;152;309;208;418;265;547;324;667;385;779
119;241;152;311;206;418;275;538;333;658;390;788
119;241;154;310;206;427;265;540;324;667;382;788
119;250;152;309;209;418;265;548;324;668;385;779
