0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
187;373;240;479;328;646;416;842;506;1030;601;1218
186;373;238;481;321;648;421;842;509;1030;608;1218
186;383;238;486;323;653;413;843;514;1030;599;1218
186;380;240;479;323;653;416;843;514;1030;601;1225
188;374;245;479;328;648;423;841;506;1030;608;1217
193;373;246;480;321;648;421;842;509;1030;608;1217
186;375;238;487;321;655;414;835;516;1030;606;1220
185;380;240;485;323;653;416;842;514;1030;601;1225
188;373;240;479;328;645;416;842;506;1030;601;1218
186;373;245;480;328;648;424;841;508;1030;608;1218
193;375;238;488;321;655;414;842;515;1030;607;1220
186;380;240;479;330;645;416;843;507;1030;601;1217
189;374;238;480;322;655;421;835;509;1030;608;1218
186;380;238;486;323;653;413;842;514;1030;599;1225
188;374;245;480;329;648;423;840;508;1030;608;1217
193;375;238;487;321;654;413;842;516;1031;607;1220
186;381;240;479;329;646;415;842;506;1030;601;1217
188;373;238;480;321;648;421;842;509;1030;609;1217
186;382;238;485;323;653;414;842;514;1030;599;1218
186;373;240;478;328;647;423;842;506;1030;601;1218
186;374;238;480;321;655;421;835;508;1030;608;1218
186;380;238;486;323;653;416;842;513;1030;598;1226
188;374;245;480;329;648;423;841;509;1030;608;1218
194;375;238;488;321;655;414;835;516;1030;606;1219
186;381;240;479;324;653;416;842;513;1030;601;1225
188;374;245;481;321;648;421;842;508;1030;608;1218
185;382;238;487;323;653;414;842;513;1030;599;1218
186;373;240;479;329;646;416;842;507;1030;601;1218
188;373;238;481;321;647;421;843;508;1030;608;1218
185;382;238;486;323;652;413;843;514;1032;599;1218
186;373;240;478;328;646;416;842;507;1030;601;1217
185;373;238;481;321;655;421;835;509;1030;608;1218
186;383;238;485;324;652;416;843;514;1030;599;1225
188;373;246;480;328;647;423;840;508;1030;608;1217
193;375;238;488;321;655;413;842;516;1030;607;1220
186;373;240;479;330;646;416;842;506;1030;601;1218
188;373;238;481;321;647;421;842;508;1031;608;1218
186;375;238;486;321;654;413;843;516;1030;606;1220
186;373;240;479;328;645;416;843;506;1031;601;1218
188;373;238;480;322;648;422;842;508;1030;608;1218
186;375;238;485;322;654;414;842;516;1030;607;1220
186;381;240;479;330;646;416;842;506;1030;601;1218
186;373;238;481;321;647;421;842;508;1030;608;1219
186;382;238;486;323;652;414;843;514;1032;599;1218
186;373;240;479;329;647;423;843;506;1030;601;1217
186;373;238;481;321;647;421;842;508;1030;608;1218
186;383;238;486;323;653;414;843;514;1030;599;1218
186;373;240;479;328;646;416;843;506;1030;600;1218
186;374;238;480;321;654;421;835;508;1030;608;1217
186;380;238;487;323;653;416;843;513;1030;599;1217
186;373;240;478;328;648;423;842;507;1030;601;1218
193;375;238;481;321;647;421;842;509;1030;608;1217
186;375;238;486;321;655;413;842;516;1030;606;1219
186;373;240;478;329;646;416;842;506;1030;601;1217
185;373;238;481;321;655;421;835;508;1030;608;1218
185;382;238;486;324;652;414;843;514;1030;599;1218
186;373;240;479;329;647;423;842;506;1030;601;1218
186;373;238;481;322;654;421;835;508;1030;608;1217
186;382;238;486;323;652;414;842;514;1032;599;1217
186;373;240;479;329;648;423;841;506;1031;601;1218
186;373;238;480;321;655;421;835;509;1030;608;1218
186;381;238;486;323;653;415;843;513;1031;601;1225
188;373;245;481;328;647;421;841;508;1030;608;1218
185;375;238;486;322;655;414;842;516;1030;607;1220
185;373;240;478;329;646;415;842;507;1030;601;1218
188;373;246;480;321;647;421;842;509;1030;608;1219
186;375;238;487;322;655;414;835;516;1030;606;1218
185;380;240;478;323;653;415;842;513;1030;601;1225
187;373;240;479;323;652;416;842;513;1030;601;1225
187;373;246;480;328;647;421;842;509;1030;608;1218
186;375;238;481;328;646;416;842;514;1030;599;1225
187;373;240;478;331;645;416;842;507;1030;601;1217
186;373;245;480;328;647;421;841;509;1030;608;1218
193;375;238;488;322;655;414;842;516;1030;606;1219
186;381;240;479;323;653;415;842;513;1030;601;1224
188;373;245;479;329;648;423;841;506;1030;601;1218
186;373;246;481;329;648;421;840;508;1031;608;1218
193;375;238;487;321;655;413;835;515;1030;607;1220
186;380;240;487;323;653;414;842;514;1030;599;1218
186;381;240;478;331;645;415;842;506;1030;601;1218
188;373;245;481;329;647;423;841;508;1030;608;1218
193;375;238;480;321;654;421;835;508;1030;609;1218
186;375;238;488;321;655;414;842;515;1030;606;1220
185;380;240;486;323;652;416;842;513;1030;599;1225
188;373;245;481;329;647;424;840;508;1030;608;1217
193;375;238;488;322;654;414;835;516;1030;606;1219
186;381;238;485;323;653;416;843;514;1030;601;1225
188;373;245;481;328;647;423;840;509;1030;608;1217
193;375;238;488;321;654;413;836;517;1030;606;1219
186;380;240;486;323;653;416;842;513;1030;601;1225
188;374;246;481;329;647;423;841;509;1030;608;1217
193;375;238;487;322;654;414;835;516;1031;606;1219
186;380;240;479;323;653;415;842;513;1031;601;1225
188;373;245;479;328;648;423;840;507;1031;608;1217
193;375;238;481;321;647;421;842;508;1030;609;1218
186;375;238;486;321;654;421;835;508;1030;608;1218
186;375;238;487;322;654;414;842;515;1030;607;1220
185;381;240;479;329;646;416;842;506;1030;601;1218
188;373;245;481;329;648;421;841;508;1030;608;1219
193;375;238;488;321;654;414;843;516;1030;606;1220
186;381;240;479;329;646;416;842;507;1030;601;1218
186;373;238;481;321;655;421;835;508;1030;608;1218
186;383;238;485;323;653;414;842;514;1030;599;1218
186;374;240;478;329;645;415;842;507;1030;601;1218
188;373;238;481;321;648;421;842;509;1030;608;1217
186;382;238;486;323;653;414;842;514;1030;599;1218
186;373;245;478;328;647;423;841;506;1030;608;1218
193;375;238;488;321;656;414;835;516;1030;606;1219
186;381;240;479;323;652;416;842;514;1030;601;1225
187;373;246;481;329;647;424;840;506;1030;608;1218
193;375;238;481;321;648;421;842;508;1030;608;1218
186;375;238;486;321;655;414;843;515;1030;606;1219
186;380;240;478;323;652;416;842;514;1030;601;1225
188;373;245;480;329;647;421;843;509;1030;608;1217
186;375;238;486;322;654;414;842;515;1030;607;1220
186;373;240;479;328;648;416;843;506;1030;600;1218
188;373;238;481;321;647;421;843;508;1030;608;1217
186;383;238;486;323;652;414;842;514;1031;599;1218
186;373;240;478;328;648;423;842;506;1030;601;1218
193;375;238;480;321;655;421;835;508;1030;609;1218
186;376;238;486;321;654;414;843;516;1030;606;1219
186;380;240;479;323;652;415;842;514;1030;600;1226
188;373;245;481;328;648;423;841;507;1030;608;1217
193;373;238;480;322;648;421;840;508;1030;608;1219
186;375;238;488;321;654;414;843;516;1030;607;1220
186;380;240;486;323;652;414;842;513;1030;599;1219
186;373;240;479;328;648;423;843;506;1030;601;1218
193;375;238;481;322;648;421;842;508;1030;608;1218
186;375;238;488;321;655;414;843;516;1030;606;1219
186;374;240;478;328;646;416;843;506;1030;600;1218
188;373;238;480;321;647;421;840;508;1030;608;1218
186;375;238;485;321;654;414;843;516;1030;606;1220
186;373;240;479;329;646;416;842;507;1030;601;1217
188;373;238;480;321;647;421;843;508;1030;608;1218
185;382;238;486;324;653;414;842;514;1030;599;1218
186;373;239;479;328;647;422;842;507;1030;601;1217
193;375;238;481;321;655;422;835;509;1030;608;1218
185;380;238;486;323;652;416;843;514;1029;599;1225
188;374;245;481;328;648;421;842;509;1030;608;1217
193;375;238;488;321;654;414;843;515;1030;607;1220
