0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
207;416;258;528;336;682;425;853;523;1038;610;1217
207;422;261;527;338;680;427;860;521;1037;610;1216
209;421;261;521;338;680;427;860;521;1038;604;1223
208;414;266;523;343;675;427;858;514;1037;604;1223
207;416;267;522;343;675;432;860;516;1038;612;1216
214;416;259;523;336;675;433;860;516;1038;612;1216
214;416;258;528;336;682;425;853;523;1038;610;1218
207;421;260;527;338;680;425;859;521;1038;610;1216
207;421;260;528;338;680;427;860;522;1038;605;1215
208;414;258;523;343;675;427;860;513;1038;604;1224
206;416;266;522;343;675;433;860;516;1038;612;1215
213;416;259;529;336;682;433;852;516;1038;610;1215
207;416;259;528;336;683;425;853;523;1038;610;1218
207;421;261;528;338;680;427;860;521;1038;610;1215
209;422;261;520;336;680;427;860;521;1038;605;1223
208;415;266;522;343;675;427;858;514;1038;605;1215
206;417;267;522;343;675;432;860;515;1038;612;1215
213;416;258;529;336;682;432;860;516;1038;610;1216
206;416;259;529;336;683;425;853;523;1038;610;1218
207;422;261;528;338;680;427;860;521;1038;610;1216
209;422;259;523;336;680;427;860;521;1038;604;1223
209;414;266;522;343;675;427;858;514;1037;605;1215
206;414;266;522;344;675;427;858;514;1038;605;1216
207;417;266;522;344;675;432;860;515;1038;612;1216
213;416;259;530;336;683;432;860;516;1038;610;1215
207;417;259;528;336;682;432;853;516;1038;610;1217
207;422;259;528;338;681;425;860;521;1038;610;1218
207;422;261;527;338;680;427;860;521;1038;604;1216
208;422;258;523;338;681;427;860;522;1038;605;1223
209;414;266;523;343;675;427;858;514;1038;604;1216
207;416;266;522;343;675;433;860;516;1038;605;1216
214;417;266;523;336;675;432;860;516;1038;612;1215
214;416;259;523;336;675;433;860;516;1038;612;1216
214;416;259;529;336;682;432;860;516;1038;610;1215
207;416;259;528;336;683;425;853;523;1037;610;1217
206;421;261;528;338;680;426;860;522;1038;610;1216
209;421;259;520;336;680;427;861;521;1037;605;1223
209;415;266;522;344;675;434;858;516;1038;605;1216
207;416;266;522;343;675;432;861;516;1038;612;1215
214;416;259;523;336;675;432;860;516;1038;612;1215
214;416;259;522;336;675;432;861;515;1037;612;1215
214;416;259;529;336;682;433;853;516;1038;610;1217
207;416;259;527;336;682;425;853;523;1038;610;1217
207;422;261;528;338;680;427;859;521;1038;610;1215
206;422;261;520;336;680;427;860;521;1038;605;1223
208;414;266;522;343;675;427;858;514;1038;605;1223
207;416;266;522;343;675;432;860;516;1039;604;1215
207;416;266;522;343;675;432;860;516;1037;612;1215
214;416;259;523;336;675;432;859;516;1038;612;1215
207;417;259;529;336;682;432;853;516;1038;610;1218
