0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
197;399;253;492;343;676;435;870;517;1056;608;1241
198;398;253;492;344;676;435;870;518;1055;609;1241
197;399;253;493;342;676;435;870;517;1056;617;1241
207;399;244;494;335;678;435;870;517;1055;618;1241
207;399;244;492;344;676;435;870;518;1056;618;1241
207;398;244;494;334;677;435;870;517;1056;618;1242
206;398;244;494;335;678;435;871;517;1055;617;1241
206;399;244;494;335;678;435;870;517;1055;617;1241
207;399;244;495;335;678;435;870;518;1055;618;1241
207;398;244;494;335;678;435;871;517;1056;618;1242
207;399;244;494;335;678;435;871;517;1056;617;1241
207;399;244;494;335;678;435;871;517;1055;617;1241
206;399;244;495;335;678;435;870;517;1056;618;1241
206;398;244;494;334;678;435;871;517;1055;618;1242
206;399;244;494;334;677;435;870;518;1056;618;1241
206;399;244;501;335;685;426;861;517;1056;618;1241
198;400;244;501;335;685;426;863;526;1055;618;1240
198;408;244;501;334;685;426;871;526;1056;618;1241
198;407;244;492;334;685;426;871;526;1055;608;1243
198;398;244;493;344;676;426;870;517;1057;608;1251
198;398;253;492;344;676;435;870;517;1056;617;1241
207;399;244;502;335;685;435;862;517;1056;618;1241
197;409;244;502;335;685;426;871;526;1055;617;1241
197;407;244;492;335;685;426;871;526;1056;608;1243
197;398;244;493;344;676;426;870;517;1058;609;1250
197;399;253;492;343;676;435;871;517;1056;618;1241
206;399;244;503;334;686;435;861;518;1055;618;1241
198;400;244;502;335;686;426;863;526;1056;617;1240
197;401;244;502;335;686;435;861;517;1056;618;1241
197;398;244;495;335;678;435;871;517;1056;617;1241
206;398;244;492;341;677;435;870;517;1055;618;1241
206;398;253;492;344;676;435;870;517;1055;608;1241
198;399;254;493;344;676;426;870;518;1055;609;1250
198;398;244;493;335;685;426;870;527;1055;609;1243
197;408;244;493;335;685;426;871;526;1055;609;1243
198;406;244;492;344;676;426;870;517;1056;609;1250
198;398;254;492;344;676;435;870;517;1056;618;1241
206;399;244;494;334;678;435;871;517;1056;617;1240
207;399;244;502;335;685;435;862;517;1055;618;1241
197;401;244;501;335;685;426;864;527;1056;618;1241
197;408;244;503;334;685;426;871;526;1056;617;1241
197;408;244;492;335;685;426;870;526;1055;609;1243
198;398;244;492;345;676;426;870;517;1055;609;1250
197;398;253;492;343;676;435;871;517;1056;609;1241
197;399;253;493;334;676;435;870;517;1056;618;1241
206;399;244;501;335;685;435;862;517;1056;618;1241
198;400;244;501;335;686;426;863;526;1055;618;1241
197;408;244;501;335;685;426;870;526;1055;617;1241
198;408;244;493;335;685;426;870;526;1056;608;1243
197;399;244;493;344;676;426;870;518;1055;609;1250
198;399;253;492;344;676;436;870;518;1055;609;1241
197;399;254;493;335;678;435;870;518;1055;618;1241
207;399;244;501;335;685;436;861;517;1056;617;1241
197;401;244;502;334;685;426;863;526;1055;617;1241
197;408;244;501;335;685;426;871;527;1055;618;1241
197;408;244;492;335;685;425;870;526;1056;609;1242
197;399;244;493;344;676;426;871;517;1056;608;1250
198;399;254;492;344;676;435;870;517;1056;617;1241
206;399;244;502;335;685;435;862;517;1056;618;1241
198;401;244;502;335;685;425;863;526;1056;618;1241
197;408;244;502;335;685;425;871;527;1056;617;1240
198;408;244;492;334;685;426;870;527;1056;609;1250
197;399;253;493;344;676;435;870;517;1057;608;1250
198;398;253;492;344;676;435;870;517;1056;617;1241
206;399;244;502;334;685;435;861;517;1057;618;1241
198;398;244;501;335;685;426;861;527;1056;618;1241
197;408;244;502;334;685;426;870;527;1057;617;1241
197;407;244;492;335;686;426;870;527;1055;609;1241
197;399;244;492;343;676;426;870;527;1056;608;1250
197;399;253;493;344;676;435;871;517;1056;609;1241
197;398;244;492;335;676;435;871;517;1055;618;1241
206;398;244;501;335;685;435;861;517;1056;618;1241
198;399;244;502;334;685;426;870;526;1056;619;1241
197;407;244;502;335;685;426;871;526;1055;608;1240
198;398;244;492;344;676;426;870;527;1055;609;1250
198;399;253;492;344;676;435;871;517;1056;609;1240
197;398;253;492;335;676;435;870;517;1056;618;1242
206;398;244;502;334;685;435;862;517;1056;617;1241
