0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
159;319;200;408;280;560;351;717;431;865;514;1029
161;318;202;406;276;550;360;709;436;872;508;1028
167;317;200;406;275;557;353;714;438;865;506;1028
159;317;201;413;273;560;351;716;431;872;514;1029
159;324;200;408;281;553;359;716;429;872;516;1029
159;319;200;407;281;552;358;709;429;872;509;1029
158;319;200;415;274;558;353;714;438;865;507;1028
159;317;200;413;273;560;352;715;431;873;514;1028
159;324;200;408;281;552;358;716;429;872;516;1028
158;319;200;407;281;553;359;708;429;873;509;1029
159;319;207;406;275;551;360;709;436;872;509;1029
166;318;202;406;275;558;353;714;438;872;507;1028
159;317;201;413;274;559;352;716;431;872;514;1029
159;324;200;408;274;552;352;716;429;870;516;1029
159;324;200;408;280;552;359;709;429;872;509;1028
158;319;208;405;274;550;358;708;436;872;508;1029
166;317;202;413;273;559;351;716;431;873;515;1028
159;325;200;407;274;552;351;715;429;870;516;1028
159;319;201;408;281;552;359;708;429;872;509;1028
158;319;208;406;275;551;354;708;436;872;508;1029
166;317;202;413;273;558;353;714;431;865;514;1028
160;317;201;415;274;560;352;717;431;870;514;1029
159;324;200;408;281;553;358;709;429;872;508;1029
159;319;207;406;273;551;359;709;436;872;509;1029
159;317;200;406;276;558;353;714;436;872;507;1029
159;317;201;412;274;559;352;716;431;872;514;1028
159;324;200;408;282;552;358;708;429;873;508;1029
159;319;208;406;276;558;354;714;437;872;507;1028
159;317;202;413;273;559;351;716;431;873;514;1028
158;324;200;407;273;552;351;716;429;870;516;1028
158;319;201;408;281;552;359;709;429;872;509;1029
159;319;207;406;275;550;360;708;436;873;509;1029
166;318;202;412;274;558;353;714;431;865;515;1029
160;325;200;407;274;553;351;716;430;871;516;1029
159;319;201;407;280;552;358;708;429;872;509;1029
159;319;207;406;275;550;353;709;436;872;509;1029
166;317;202;413;273;560;351;714;431;865;514;1029
161;317;200;413;273;560;352;715;431;870;514;1028
159;325;200;407;281;553;358;708;429;873;508;1029
159;319;207;406;276;558;353;714;436;872;507;1031
158;318;202;413;273;559;351;717;430;872;514;1029
159;324;200;408;281;552;358;709;429;873;516;1029
159;319;208;406;275;551;353;708;437;872;509;1029
166;318;202;413;273;557;351;714;431;865;514;1028
161;325;200;415;273;552;351;716;429;870;516;1028
158;319;200;407;282;552;359;709;429;872;508;1029
159;319;207;406;275;558;353;709;436;872;509;1028
166;317;202;413;273;559;351;714;431;865;514;1029
161;317;200;415;273;560;351;716;431;870;514;1029
159;325;200;407;281;552;358;709;429;873;509;1029
159;317;200;406;275;557;353;714;439;865;507;1029
159;324;200;408;273;552;351;716;429;870;516;1029
159;319;207;406;275;551;361;709;437;872;509;1029
166;318;202;413;273;559;351;716;431;873;514;1029
161;324;200;408;281;553;358;708;436;873;509;1030
159;317;202;413;274;557;351;714;431;865;514;1028
161;324;200;407;280;552;358;716;429;872;516;1029
159;319;200;406;275;558;353;714;438;873;507;1028
159;324;200;414;273;552;351;716;429;871;516;1029
159;319;207;406;273;550;353;708;436;873;509;1028
166;317;203;413;273;559;352;716;431;873;514;1029
159;324;200;408;280;553;358;709;436;872;509;1028
159;317;202;413;275;558;353;714;431;865;514;1028
160;325;200;407;273;552;351;716;429;870;516;1029
159;319;207;406;275;551;353;708;437;873;509;1028
166;318;202;413;273;559;351;716;431;872;514;1029
159;319;200;408;281;550;359;709;436;872;509;1028
159;317;202;412;274;558;353;714;431;865;514;1029
161;325;200;408;281;553;358;716;429;873;516;1029
158;319;201;406;275;557;353;714;438;873;507;1029
159;317;200;415;273;559;351;716;431;870;514;1029
159;319;200;408;281;551;358;708;436;872;509;1030
159;317;202;413;274;557;351;714;431;865;514;1028
160;324;200;407;280;552;359;716;430;872;516;1029
159;319;200;406;276;559;353;714;438;873;507;1028
159;324;200;407;273;552;351;716;431;870;516;1029
159;319;208;405;276;551;353;708;436;873;509;1029
166;317;203;413;274;560;352;716;431;873;514;1028
161;324;200;408;281;553;358;709;437;872;508;1028
159;317;201;406;275;557;353;714;438;865;507;1028
159;324;200;408;273;552;351;716;431;870;516;1028
158;319;208;406;275;550;353;709;437;872;508;1029
166;317;203;413;273;559;351;716;431;872;514;1028
159;325;201;407;281;550;359;708;436;872;509;1029
158;317;202;413;273;558;353;714;431;865;514;1028
160;324;201;407;281;552;359;709;429;873;516;1029
159;319;200;405;275;558;353;715;438;873;507;1028
159;324;201;407;274;552;351;715;429;871;516;1029
159;319;208;406;276;551;353;708;436;872;508;1029
166;317;202;413;274;560;352;716;431;872;514;1029
161;325;200;408;280;553;358;709;436;873;509;1029
159;317;200;406;275;559;353;714;438;872;507;1029
158;317;200;415;273;552;351;716;431;871;516;1029
159;319;207;405;276;550;353;708;436;873;509;1028
166;317;203;412;274;559;351;716;431;872;514;1029
159;319;200;407;280;550;359;708;436;873;508;1028
159;317;202;413;274;558;354;714;430;866;514;1028
160;324;201;408;281;552;358;709;429;873;509;1028
159;317;200;406;275;558;353;714;439;865;507;1029
159;324;200;407;273;553;351;716;429;870;516;1028
158;319;208;406;275;550;353;708;436;872;508;1028
166;317;202;413;273;559;351;716;431;872;514;1029
159;319;201;408;280;551;358;709;436;872;509;1029
159;317;202;413;274;557;353;714;431;865;514;1028
160;324;200;407;280;552;359;716;429;872;516;1028
158;319;200;406;275;557;353;714;438;873;507;1030
159;324;200;407;273;552;351;716;429;870;516;1028
159;325;200;408;280;552;359;708;429;872;509;1029
158;317;201;405;276;559;353;714;438;865;507;1029
159;325;200;407;273;552;351;716;429;870;516;1028
159;319;208;405;275;557;353;709;437;873;509;1028
166;317;202;413;274;559;352;716;431;872;515;1028
159;324;201;407;281;552;358;716;429;872;516;1029
158;319;209;405;276;558;353;714;438;872;507;1028
159;317;201;415;274;552;351;716;431;870;514;1029
159;319;208;406;276;550;354;709;437;872;509;1028
166;317;202;413;274;559;352;716;431;873;514;1028
