0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
126;263;159;324;221;435;272;562;331;681;397;794
134;257;159;324;215;432;280;552;338;672;399;801
126;256;159;333;214;440;274;553;333;680;390;801
126;255;161;324;213;441;272;561;331;681;390;801
126;258;159;323;223;432;280;554;338;674;399;799
127;256;159;333;214;433;275;552;333;680;389;801
126;256;160;324;214;442;273;562;331;681;390;794
133;258;159;324;216;433;280;552;339;672;399;801
127;255;159;333;214;439;274;552;333;679;390;802
127;256;161;324;214;442;273;562;331;681;390;794
134;258;159;324;215;432;280;552;338;672;399;800
126;256;159;333;213;440;275;553;333;679;390;802
126;255;161;323;214;442;272;562;331;682;390;794
134;257;159;323;216;432;280;552;338;673;399;800
127;256;159;326;213;440;273;560;331;682;390;801
126;263;161;324;213;441;272;561;331;681;390;794
134;258;159;324;216;432;280;552;340;672;399;801
126;256;159;325;214;440;272;560;332;681;390;802
127;263;161;324;213;435;272;561;331;681;397;794
134;258;159;324;215;432;280;553;338;673;399;802
126;255;159;333;214;439;275;552;333;680;390;801
126;256;160;324;214;442;273;562;331;681;390;801
126;258;159;324;223;432;272;554;331;674;399;792
128;255;159;331;214;433;281;553;341;672;391;801
126;256;167;325;213;442;273;561;331;681;390;801
127;263;159;324;213;435;273;562;331;681;390;794
134;257;159;324;215;432;280;552;338;672;399;799
126;256;159;333;214;440;275;552;333;679;389;801
127;255;161;324;213;441;272;562;331;681;390;794
133;257;159;324;223;433;280;555;339;674;399;799
126;255;159;333;214;432;274;552;333;680;390;802
127;255;161;324;214;442;272;562;331;682;389;794
133;257;159;323;215;432;280;555;338;674;399;799
127;256;159;333;214;432;274;552;333;679;390;801
126;255;168;324;214;442;273;562;332;681;390;801
127;264;159;323;220;434;272;561;331;674;399;799
129;256;159;331;213;432;281;552;340;672;392;801
127;256;166;326;213;441;272;560;331;681;390;801
127;263;159;324;214;434;273;562;331;681;397;794
134;257;159;324;216;433;280;554;338;674;399;799
126;255;159;332;214;439;274;552;333;679;390;801
127;256;161;324;213;441;272;561;331;682;390;801
126;258;159;324;222;433;279;554;331;674;399;799
128;256;159;331;213;433;282;552;341;672;392;802
127;256;167;326;214;442;273;560;331;682;390;801
126;263;159;324;213;434;272;561;331;682;390;794
133;258;159;324;215;432;280;553;339;673;399;801
126;256;159;333;213;439;274;552;333;679;390;801
126;256;160;324;214;442;273;562;331;682;390;794
133;258;159;323;223;433;279;555;339;675;399;799
127;256;159;333;214;432;275;552;340;679;392;801
126;256;166;326;214;442;272;561;331;681;390;801
126;263;159;324;221;434;273;562;331;682;397;794
134;256;159;331;216;433;281;552;340;672;399;802
126;255;159;326;213;439;272;559;331;681;390;801
127;263;161;324;214;434;272;561;331;682;397;794
134;257;159;324;216;432;280;553;338;672;399;801
126;256;159;333;214;432;274;553;333;680;390;802
126;256;160;323;214;442;272;561;332;682;389;801
127;258;159;324;222;432;272;554;338;674;399;799
128;255;159;333;213;432;274;552;333;679;390;801
127;256;161;324;213;441;272;561;331;682;390;801
127;258;159;324;223;432;280;554;339;674;399;800
126;256;159;333;213;433;274;552;333;679;389;801
126;255;161;323;213;441;272;561;331;682;390;794
133;257;159;324;215;432;279;552;338;672;399;800
126;256;159;333;213;439;274;553;333;679;390;801
127;256;161;323;213;441;272;561;331;682;390;801
126;258;159;324;223;433;273;555;331;674;399;799
128;256;159;331;214;432;281;552;340;672;392;801
126;256;166;326;214;442;273;560;331;682;390;801
126;263;159;324;214;434;272;562;331;681;397;794
133;257;159;324;215;432;280;552;338;673;399;801
126;256;159;333;214;440;274;552;333;680;390;801
126;256;161;324;214;442;273;561;332;682;390;794
133;258;159;324;215;432;280;552;338;673;398;801
127;255;159;333;214;440;274;552;333;680;390;801
127;256;161;324;214;442;272;562;331;681;390;801
127;258;159;324;222;433;272;554;331;674;399;800
128;256;159;333;214;433;274;553;333;680;390;801
126;256;160;324;214;442;273;561;331;682;390;794
133;257;159;324;215;433;280;553;339;672;399;801
126;256;159;333;214;433;275;553;333;680;390;801
126;255;161;324;214;441;272;562;331;681;390;794
134;257;159;324;223;432;279;554;338;674;399;799
126;256;159;333;214;432;274;553;333;680;390;801
126;256;161;324;213;442;272;561;331;681;390;794
133;258;159;324;215;433;280;553;338;672;399;801
127;256;159;333;213;432;274;552;333;680;390;801
127;255;161;324;214;442;272;561;331;681;390;801
126;257;159;324;222;432;279;554;338;674;399;799
126;255;159;333;214;432;281;553;340;672;392;801
126;255;166;326;213;442;272;559;331;682;390;802
126;263;159;324;213;434;272;562;331;681;390;794
134;257;159;324;215;433;279;552;338;673;400;801
126;255;159;333;213;440;273;553;333;682;389;801
126;255;161;324;213;441;273;562;331;681;389;794
133;258;159;324;222;432;279;554;338;674;400;799
126;256;159;333;214;433;274;553;333;679;390;802
126;256;168;324;214;442;272;562;331;682;390;802
126;265;159;323;220;433;273;554;332;674;400;799
128;255;159;333;213;432;281;552;340;672;392;801
126;255;166;323;213;435;272;561;331;681;390;794
134;256;159;331;214;432;274;552;333;680;390;802
127;256;161;324;214;442;273;562;331;681;390;794
133;255;159;331;213;432;281;552;340;672;392;801
127;256;166;324;214;442;273;561;331;682;390;801
126;256;159;331;215;432;282;553;340;673;392;801
127;255;166;326;213;441;272;559;331;681;390;801
127;263;161;324;213;435;272;561;331;682;390;794
134;256;159;324;216;432;281;552;340;672;399;801
126;256;166;324;214;442;273;562;331;681;390;801
126;257;159;324;223;433;280;555;339;674;399;799
126;256;159;333;214;432;274;552;333;679;390;802
127;255;168;324;214;442;273;561;331;682;390;801
126;257;159;323;223;432;280;554;339;674;399;799
127;256;159;325;213;442;272;559;331;681;390;801
126;263;159;324;213;434;273;562;331;681;397;794
134;256;159;324;216;432;281;553;341;672;399;801
126;256;159;326;214;442;273;563;331;681;389;801
126;263;159;324;220;434;273;562;331;682;397;794
133;256;159;331;213;432;281;552;340;672;392;801
127;256;168;324;213;442;272;561;331;681;390;801
126;255;159;324;216;433;282;553;340;673;399;801
126;256;159;325;213;440;273;560;331;681;390;801
126;263;159;324;213;435;272;561;331;681;390;794
133;256;159;324;216;432;279;552;340;672;399;801
127;255;159;325;214;440;272;560;331;681;390;801
127;263;159;324;214;434;272;561;331;681;390;794
133;255;159;331;214;433;282;553;341;672;391;801
126;256;166;323;213;441;273;563;331;682;390;801
126;257;159;324;222;433;280;554;338;674;399;799
126;255;159;333;214;432;275;552;333;679;390;801
126;255;161;324;214;442;272;563;331;681;390;801
