0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
195;390;255;496;338;663;422;859;524;1045;607;1242
195;391;256;496;339;662;431;859;515;1045;617;1232
203;390;246;496;330;663;431;859;515;1046;616;1233
204;390;247;496;329;663;432;860;515;1046;617;1232
194;390;247;506;329;672;431;849;515;1046;616;1233
195;390;247;506;330;672;431;850;515;1045;617;1233
194;391;247;505;330;672;432;850;514;1046;616;1233
194;391;246;505;329;671;431;849;515;1045;616;1232
194;390;246;506;330;672;431;849;515;1045;617;1232
194;390;247;506;330;672;432;849;515;1046;616;1233
195;391;247;505;330;672;422;849;524;1046;616;1233
195;400;246;505;330;672;422;859;525;1046;616;1233
194;399;246;505;329;671;422;858;524;1046;607;1233
194;391;247;496;339;662;422;858;515;1046;608;1241
195;390;256;496;339;663;431;859;515;1046;617;1233
204;390;246;505;329;672;423;850;524;1046;616;1232
194;399;246;506;329;672;422;859;523;1046;608;1233
194;390;247;496;338;663;423;858;515;1046;607;1241
195;390;247;496;330;671;422;859;524;1046;608;1241
194;400;247;496;330;672;422;858;524;1046;607;1242
195;391;246;496;330;671;422;859;524;1046;607;1242
195;390;255;496;338;663;431;858;514;1045;607;1232
195;391;256;496;329;663;431;859;515;1046;616;1232
204;390;246;504;329;671;422;850;523;1045;617;1232
194;399;247;505;330;671;422;858;524;1045;616;1232
195;399;247;496;338;663;423;859;514;1045;607;1242
195;390;256;496;339;663;431;858;515;1045;616;1232
203;391;247;505;330;671;431;850;515;1045;616;1233
195;390;247;505;330;672;423;859;524;1045;617;1232
194;400;246;504;329;671;422;858;524;1046;608;1233
194;390;247;496;338;663;423;858;515;1045;607;1242
195;391;255;496;330;663;431;858;514;1046;616;1233
204;391;247;505;330;672;422;849;523;1045;616;1233
195;390;247;505;330;672;422;850;524;1045;616;1232
194;390;246;505;329;671;422;859;524;1046;616;1232
194;399;246;505;329;671;422;858;524;1045;616;1232
194;401;247;496;329;672;422;859;524;1046;607;1241
194;390;255;496;338;663;431;858;515;1046;607;1233
195;390;247;505;330;672;431;849;514;1045;617;1233
195;390;246;496;339;672;422;859;524;1046;607;1233
195;400;247;505;330;672;422;858;524;1045;607;1232
194;399;247;505;330;671;422;859;524;1045;607;1234
194;400;246;505;329;672;422;859;524;1045;607;1232
195;399;246;496;338;671;422;859;524;1045;607;1242
195;391;256;495;339;662;422;859;515;1045;607;1242
194;391;256;496;339;663;431;859;515;1045;617;1233
204;391;247;496;330;662;431;859;514;1045;616;1232
204;390;246;496;329;663;431;858;515;1045;616;1232
204;390;247;496;330;662;431;859;514;1045;616;1232
205;390;247;496;330;662;432;859;515;1046;616;1233
204;391;247;505;330;672;422;850;524;1046;616;1232
195;399;247;505;330;671;423;859;524;1045;607;1232
195;391;247;496;339;662;423;858;514;1045;607;1241
194;390;247;496;338;662;423;858;514;1045;607;1241
194;391;256;496;338;662;431;858;515;1045;607;1233
195;390;256;496;338;663;431;859;515;1045;616;1232
203;390;256;496;338;663;431;859;515;1045;617;1232
203;390;246;505;329;671;431;850;524;1045;616;1233
195;399;247;506;330;672;422;858;524;1045;616;1233
