0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
143;274;175;359;228;465;291;593;355;722;418;852
135;274;175;359;226;458;297;588;360;724;418;852
135;279;177;351;233;460;297;587;360;716;423;850
137;272;175;353;227;459;290;595;353;716;423;852
135;274;175;359;229;465;292;593;354;721;417;852
136;272;174;351;226;459;297;587;360;723;418;850
136;279;174;353;234;460;289;588;359;716;423;851
135;273;175;351;227;464;291;593;354;721;416;852
135;274;175;359;229;457;290;588;355;722;417;852
136;273;176;351;227;459;297;588;360;716;417;850
135;272;175;354;227;459;290;594;353;723;423;851
136;272;174;351;227;464;291;593;355;721;416;852
142;275;175;359;229;457;289;593;355;722;418;852
135;280;174;353;234;459;289;588;360;716;423;852
137;272;174;354;227;459;289;594;352;716;423;852
136;272;181;353;226;464;291;593;354;723;416;845
143;275;174;359;229;458;289;593;355;722;418;852
135;272;176;352;226;460;297;587;360;716;418;850
136;272;182;353;227;464;290;593;352;723;423;845
135;275;174;358;229;457;289;588;354;722;418;853
136;273;176;351;227;459;297;588;360;716;418;850
136;279;174;354;234;459;290;588;360;716;423;852
138;272;182;353;227;464;290;593;353;724;423;844
135;273;174;352;227;464;291;593;355;724;416;844
142;275;174;359;229;465;290;593;355;722;418;852
135;274;174;359;227;459;297;588;360;723;418;851
135;279;174;352;234;459;289;588;360;716;423;852
138;272;181;353;226;465;290;593;353;723;423;845
136;272;174;352;227;464;292;593;355;722;416;852
135;274;174;359;227;458;297;588;360;724;417;852
135;272;177;352;226;459;296;587;360;716;418;850
136;280;174;353;234;459;290;595;353;716;424;851
136;273;181;354;227;464;291;593;355;723;416;845
143;273;175;359;226;459;297;588;360;724;417;852
135;279;175;352;234;459;290;587;360;716;423;851
138;272;182;354;226;464;290;593;353;724;423;845
135;274;174;358;229;457;290;588;354;722;417;852
135;273;176;351;227;459;297;588;360;717;418;849
135;280;174;353;227;459;290;595;353;716;423;851
136;274;174;351;227;465;291;593;355;722;416;852
135;273;174;358;226;459;297;587;360;724;417;851
136;280;176;352;234;459;290;587;360;716;423;852
137;272;182;351;227;464;291;593;355;723;416;844
143;274;175;358;229;457;290;586;355;721;418;852
135;273;175;359;227;460;297;588;360;724;418;852
136;280;174;351;234;459;290;588;360;716;423;852
138;272;175;354;227;459;290;595;352;716;423;852
135;272;182;354;227;465;291;593;355;722;416;851
135;272;175;352;226;459;296;588;360;716;417;850
135;280;175;354;234;460;290;594;353;716;423;852
136;273;181;353;227;464;292;593;353;723;416;845
143;272;175;359;226;459;297;588;360;723;418;852
135;280;174;351;233;459;290;587;360;716;423;852
138;273;182;354;227;465;289;593;353;723;423;844
135;274;174;358;228;457;290;588;354;721;418;852
136;279;174;353;234;459;289;595;353;716;423;852
136;272;182;353;227;465;291;593;355;723;416;845
143;275;174;358;228;457;289;588;355;722;418;851
135;272;176;351;227;459;297;587;360;716;418;851
136;280;174;353;234;460;290;595;352;716;423;852
136;273;181;354;227;465;290;593;353;723;423;844
135;275;174;359;229;464;290;593;355;722;418;852
135;275;175;359;227;457;297;587;360;723;418;852
135;279;176;351;234;459;297;588;360;716;424;850
137;273;174;354;226;459;290;595;352;716;423;852
135;274;174;351;226;464;291;593;354;721;415;851
135;275;174;358;228;457;290;587;355;721;417;852
136;273;176;351;226;459;297;588;360;716;418;850
136;272;174;354;226;459;289;595;353;716;423;852
136;272;181;353;227;464;291;593;355;723;416;845
143;274;174;358;228;464;290;593;354;722;417;851
136;279;176;351;233;459;297;588;360;716;423;850
137;272;174;353;226;459;290;595;353;723;423;851
135;274;174;358;228;464;290;593;355;721;418;852
136;279;176;351;234;459;297;588;360;716;423;850
137;273;174;353;227;459;290;595;352;716;423;852
135;273;174;352;227;465;292;593;355;721;416;845
142;275;174;359;228;457;289;588;354;722;418;852
135;272;176;351;227;459;298;588;360;716;418;850
135;280;175;354;234;459;290;595;353;716;423;852
136;272;174;352;227;465;292;593;355;721;416;852
136;274;174;359;227;457;297;587;360;723;418;852
135;280;174;354;234;459;289;588;360;716;423;852
