0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
215;421;261;514;352;698;438;890;535;1076;626;1261
208;426;256;520;345;698;443;891;528;1076;621;1269
209;425;256;514;344;706;438;891;535;1076;621;1269
210;426;254;514;352;698;443;891;529;1077;621;1261
208;419;262;514;352;698;438;891;535;1076;621;1269
209;426;256;519;346;703;438;890;535;1078;626;1263
207;426;254;519;347;706;437;883;537;1076;626;1262
207;420;254;515;344;698;443;891;529;1076;628;1261
208;421;262;515;352;698;444;889;530;1076;620;1262
207;419;261;515;352;698;445;891;527;1076;621;1268
209;418;254;513;347;703;438;891;534;1076;626;1261
208;426;256;519;347;703;438;891;535;1078;626;1263
207;426;256;520;347;704;438;891;534;1078;626;1263
207;426;256;519;347;703;438;891;535;1078;626;1264
208;426;256;520;347;703;438;891;535;1076;626;1263
207;426;256;519;347;703;436;892;534;1076;626;1263
207;426;256;519;347;703;438;890;535;1076;626;1264
207;426;256;520;346;705;436;891;529;1077;628;1261
214;420;262;515;352;698;444;891;530;1076;620;1261
207;418;255;514;352;706;438;890;534;1076;621;1262
209;426;256;513;346;703;438;891;534;1076;626;1262
207;426;256;520;346;704;438;891;535;1078;626;1264
207;426;256;520;347;703;438;891;535;1078;626;1263
207;426;256;520;346;706;437;891;537;1076;626;1263
207;426;254;520;346;705;436;890;536;1076;626;1264
207;426;254;519;347;706;436;883;529;1076;628;1261
208;421;254;520;345;705;443;883;529;1076;628;1262
208;421;254;521;345;706;443;883;529;1076;628;1261
207;421;254;520;344;706;444;883;529;1076;628;1261
207;421;261;514;353;698;443;889;530;1076;621;1268
207;421;261;515;352;698;444;889;530;1076;620;1261
207;418;261;514;353;698;438;890;535;1076;621;1269
210;419;262;515;352;698;438;891;535;1076;620;1268
209;419;254;512;352;706;438;891;535;1076;621;1261
209;426;255;512;347;703;438;890;534;1076;626;1261
207;426;256;513;346;704;438;891;535;1078;626;1264
208;426;256;520;347;703;438;891;535;1078;626;1263
207;425;256;521;346;703;438;891;535;1078;626;1264
207;426;256;520;347;704;438;890;535;1078;626;1263
207;426;256;520;347;704;436;890;535;1076;626;1264
207;426;256;519;346;704;436;891;534;1076;626;1264
208;426;254;521;347;705;436;883;536;1076;626;1263
207;421;254;515;345;698;444;891;530;1076;620;1261
207;418;262;514;352;705;438;890;534;1076;621;1262
210;426;254;513;346;703;438;891;534;1076;626;1264
207;427;256;520;347;705;436;883;537;1076;626;1263
207;421;254;519;344;705;436;884;529;1076;628;1261
207;421;254;515;352;699;444;891;529;1076;621;1261
207;420;261;515;352;698;446;888;527;1076;621;1269
210;426;254;512;346;704;438;891;535;1076;626;1261
207;426;256;512;347;704;438;891;535;1076;626;1264
207;426;256;520;346;703;438;890;534;1078;626;1264
207;426;256;519;347;703;438;890;534;1078;626;1264
208;426;256;520;347;703;438;891;535;1078;626;1264
207;426;256;519;347;703;438;890;535;1078;626;1264
207;426;256;519;346;704;438;890;535;1076;626;1263
