0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
166;335;207;432;282;577;358;733;442;884;510;1049
166;334;209;425;282;577;359;727;440;891;512;1047
174;336;215;427;287;579;357;733;435;884;510;1049
166;335;208;428;287;572;365;728;441;891;512;1048
167;337;215;427;287;571;364;728;433;891;519;1047
166;336;208;427;287;571;364;735;433;892;519;1047
166;342;208;427;280;579;356;735;435;891;517;1047
166;342;207;434;280;579;356;735;435;891;517;1048
169;342;208;434;279;579;356;735;435;891;517;1047
168;342;208;427;279;579;356;735;435;891;517;1047
168;342;208;435;280;579;356;735;435;891;517;1047
168;342;208;427;280;572;356;735;435;889;517;1047
166;337;208;427;287;572;364;728;433;891;519;1047
166;337;215;425;282;577;358;727;441;891;512;1047
173;334;209;432;280;579;356;733;435;884;510;1050
166;342;207;435;280;571;357;735;435;889;518;1047
166;335;208;427;287;572;363;728;433;892;512;1047
166;337;215;425;282;578;359;735;441;891;512;1047
173;334;210;432;280;579;357;733;435;884;517;1048
166;342;207;427;279;571;357;735;435;890;517;1048
166;337;208;427;287;571;364;728;433;891;519;1047
166;337;215;425;282;577;358;728;441;891;512;1048
174;335;210;432;280;579;357;733;435;883;517;1047
166;342;208;427;279;571;357;735;435;889;518;1047
166;337;208;427;287;572;365;728;434;891;519;1047
166;337;215;425;282;577;358;736;440;891;512;1047
173;335;209;432;279;579;357;735;435;891;517;1047
168;342;207;427;287;572;363;735;434;891;519;1048
166;337;215;426;281;570;364;728;440;891;512;1048
174;335;209;433;282;577;358;733;442;883;510;1047
166;342;208;434;280;572;357;735;435;889;517;1047
166;336;208;427;287;571;364;728;441;892;512;1047
166;336;208;425;281;577;358;733;440;891;510;1047
166;335;208;433;280;578;356;735;435;891;518;1048
167;342;208;427;287;572;364;728;434;891;519;1047
166;336;215;425;282;577;358;728;440;891;511;1048
173;335;210;433;280;580;358;733;435;884;510;1047
166;334;208;433;280;579;357;735;435;891;517;1047
168;342;207;427;287;572;363;735;433;892;519;1048
166;336;215;425;282;570;364;728;440;891;512;1048
166;334;208;432;282;577;358;733;442;884;510;1047
166;343;208;434;279;571;356;735;435;890;517;1047
166;336;208;427;287;571;364;728;440;892;512;1048
166;336;207;425;281;577;359;734;441;891;512;1047
166;335;210;432;280;579;357;735;435;891;517;1048
168;342;208;427;287;572;364;728;433;891;519;1048
166;337;215;425;281;577;358;728;440;891;512;1048
173;334;209;432;279;579;356;733;435;884;517;1047
168;342;207;427;279;572;357;735;435;889;517;1047
166;336;207;427;287;572;364;728;440;891;512;1047
166;337;208;425;282;577;359;733;441;891;510;1048
166;335;208;432;280;578;356;735;435;891;517;1047
168;342;207;427;287;572;364;728;433;891;519;1048
166;336;215;426;282;577;359;728;440;892;512;1048
174;335;210;432;280;577;358;733;435;884;510;1049
166;335;208;432;280;579;357;735;436;891;517;1047
166;342;207;427;280;579;356;735;435;891;517;1048
166;342;208;427;280;578;357;735;435;890;517;1047
166;342;207;427;280;571;357;735;435;890;518;1048
166;336;208;427;287;571;363;728;441;891;511;1048
166;336;208;425;282;576;358;733;440;891;512;1047
166;335;210;432;280;579;356;735;435;891;517;1047
168;342;207;427;287;572;364;728;433;891;519;1047
166;337;215;427;287;579;357;733;435;884;510;1047
