0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
177;373;216;454;303;630;391;808;479;979;567;1165
185;364;216;454;303;629;391;801;488;986;576;1165
177;364;225;445;312;620;400;806;479;986;577;1166
176;373;216;445;303;627;391;807;479;986;568;1165
186;364;223;445;302;628;400;798;488;987;576;1165
176;373;216;445;312;619;400;808;479;986;576;1165
177;366;216;454;303;629;391;808;488;987;567;1166
176;364;216;445;303;629;399;799;488;986;576;1165
177;373;216;445;312;620;390;808;479;987;577;1166
177;364;216;454;303;629;391;808;488;987;568;1167
177;364;216;444;312;620;400;808;479;986;576;1166
177;373;216;454;303;629;391;807;479;980;567;1165
185;364;216;454;302;629;391;807;488;986;567;1167
177;364;225;445;312;620;400;807;479;986;576;1165
176;373;216;445;303;629;391;808;479;986;567;1165
186;363;216;454;303;629;391;807;489;987;567;1168
177;364;225;445;312;619;401;807;479;986;577;1165
176;373;216;445;303;627;391;808;479;979;567;1165
185;364;215;454;303;629;391;807;488;986;567;1168
177;364;225;445;312;619;400;807;479;986;576;1166
177;372;216;444;303;628;391;807;479;986;567;1165
185;364;216;454;302;629;391;807;488;986;567;1167
177;364;216;445;312;620;400;808;479;987;576;1165
177;373;216;454;303;629;391;808;479;979;567;1166
186;364;216;454;303;630;391;808;489;987;567;1174
176;364;226;445;303;621;400;799;480;986;576;1165
177;373;216;445;303;627;391;808;479;979;567;1165
186;363;216;454;302;629;391;807;489;986;567;1167
176;364;225;445;312;619;400;807;479;987;577;1165
177;373;216;453;303;629;391;808;479;979;568;1165
185;364;216;454;303;629;391;808;489;986;568;1167
177;364;225;445;312;620;400;806;479;987;577;1165
177;373;216;445;303;627;391;807;479;980;567;1165
186;364;216;454;303;628;391;807;488;986;567;1167
176;364;225;445;312;620;400;807;479;986;576;1165
177;373;216;455;303;629;391;807;479;980;568;1165
185;364;216;454;303;628;391;808;488;986;568;1175
177;364;225;445;302;619;401;799;479;986;576;1165
176;373;216;445;302;630;391;808;479;987;567;1165
186;363;216;455;303;629;391;807;489;987;568;1167
177;364;225;444;312;620;400;808;479;986;577;1165
176;373;216;444;302;629;391;808;479;979;567;1165
186;364;216;454;303;629;391;808;488;986;567;1167
177;364;225;445;310;619;400;806;479;986;576;1166
177;373;216;445;303;629;391;808;479;987;568;1165
186;363;216;454;303;629;391;808;489;987;567;1174
176;364;226;445;303;622;400;799;479;986;577;1165
176;373;216;445;312;620;400;808;479;986;577;1166
177;364;216;454;303;630;391;807;488;987;568;1174
176;364;226;445;312;620;400;799;479;986;576;1166
176;373;216;444;302;629;391;808;479;986;567;1165
186;364;216;454;303;629;391;807;488;987;568;1167
176;364;225;445;312;619;400;807;479;987;576;1165
176;373;216;454;303;628;391;808;480;979;568;1165
186;364;216;455;303;629;391;808;488;987;567;1175
177;364;225;445;303;621;400;798;479;987;577;1165
176;373;215;445;303;627;390;807;479;986;568;1165
187;363;216;454;303;629;391;808;488;987;568;1167
177;364;216;445;312;620;400;807;479;986;576;1165
176;373;216;455;302;629;391;808;486;986;567;1165
176;364;216;445;303;629;400;798;488;986;577;1165
177;363;216;445;312;619;401;808;479;987;576;1166
177;373;216;454;303;629;391;808;486;986;567;1165
176;364;225;445;310;620;400;807;479;987;576;1165
176;373;216;445;303;626;391;807;479;986;567;1166
185;364;215;454;302;628;391;807;489;987;567;1168
177;364;225;445;312;620;401;808;479;987;576;1165
176;373;215;445;303;628;391;807;479;979;567;1166
186;364;216;445;302;622;400;798;479;986;577;1165
177;373;215;454;303;628;391;807;479;980;568;1165
187;364;216;454;303;629;391;808;488;986;567;1168
177;364;216;445;312;620;400;808;479;987;576;1165
176;364;216;455;302;629;391;808;489;986;567;1168
177;364;225;445;310;619;400;807;479;986;576;1165
176;366;216;455;303;629;391;808;488;987;568;1173
176;364;225;445;302;622;400;798;479;987;576;1165
177;373;216;444;302;629;391;809;479;979;567;1166
186;364;216;454;303;629;391;808;488;987;568;1167
177;364;216;445;312;619;400;807;479;987;577;1165
176;373;216;445;303;629;391;808;479;979;568;1165
185;364;216;447;303;628;391;798;488;986;577;1165
177;364;216;445;312;620;400;808;479;986;576;1165
177;366;216;454;303;629;391;808;488;986;567;1166
177;364;216;446;303;629;398;799;488;987;577;1165
177;373;216;445;303;629;391;807;479;979;567;1165
186;364;224;445;303;622;400;798;479;986;576;1166
177;373;216;445;303;629;391;808;479;979;567;1165
186;363;216;447;303;629;391;801;489;986;577;1165
177;364;216;445;312;620;400;808;479;986;577;1165
176;373;216;453;303;629;391;808;479;979;567;1165
185;363;216;454;302;629;391;807;488;986;567;1167
177;364;225;445;312;620;400;798;479;987;576;1165
177;373;216;445;311;620;400;808;479;987;577;1165
177;366;216;454;302;629;391;807;488;986;567;1166
176;364;225;445;303;622;400;798;479;986;576;1165
177;373;216;444;312;620;391;807;479;986;576;1165
177;364;216;454;303;629;391;808;488;986;567;1174
176;364;224;445;303;628;399;798;488;986;577;1165
176;373;216;445;313;620;391;808;479;987;576;1165
177;363;216;454;303;629;391;807;489;986;567;1165
176;364;225;445;303;622;401;799;479;986;576;1166
176;373;216;445;312;620;401;807;480;986;577;1165
176;366;216;454;303;629;391;808;489;987;568;1165
177;364;226;445;303;620;400;799;479;987;577;1165
177;373;216;445;312;620;400;808;479;986;578;1165
177;366;216;454;303;629;391;808;488;986;567;1165
176;364;216;447;303;629;391;798;488;986;577;1166
176;364;216;445;312;620;400;808;479;987;577;1165
177;373;216;454;303;629;391;808;488;987;568;1165
177;363;216;447;303;628;391;800;488;986;576;1165
176;364;216;445;312;619;400;808;479;987;577;1165
176;373;216;454;303;629;391;808;479;979;567;1165
186;364;216;447;303;629;391;801;489;986;577;1166
177;364;225;445;312;620;400;809;479;986;577;1166
177;372;216;445;302;628;391;807;479;979;567;1165
185;364;216;454;303;629;391;808;488;987;567;1168
177;364;225;445;303;620;400;799;479;987;577;1166
177;373;216;445;312;620;391;807;479;987;577;1166
176;366;216;454;302;629;391;807;488;986;567;1172
176;364;216;445;302;629;400;799;489;987;577;1165
177;372;216;445;312;620;391;807;479;986;576;1165
184;363;216;454;302;629;390;807;489;987;568;1175
176;364;216;447;302;629;390;801;489;986;576;1165
177;364;216;445;312;619;400;807;479;986;577;1165
177;364;216;454;303;629;391;809;488;987;568;1175
177;364;225;445;303;622;400;798;479;987;576;1165
176;374;216;445;303;629;390;808;479;987;567;1165
186;364;216;447;303;629;391;798;488;986;577;1165
177;373;216;445;312;620;400;808;479;987;578;1165
177;366;216;454;303;629;391;808;488;986;567;1174
177;364;225;445;302;619;400;798;479;986;577;1166
177;373;216;445;302;629;391;808;479;979;567;1165
186;364;216;454;303;629;391;808;488;987;567;1165
176;364;216;445;312;620;401;808;479;987;576;1165
176;373;216;445;303;627;391;808;479;986;567;1165
186;364;216;445;303;630;391;800;488;987;576;1166
176;364;216;445;312;620;400;808;479;987;577;1166
176;373;216;454;303;628;391;808;479;979;567;1165
186;363;216;454;303;628;390;808;489;987;567;1168
177;364;216;445;312;619;400;807;479;988;576;1165
176;366;216;454;303;629;391;808;489;987;568;1165
176;364;216;447;302;628;390;799;488;987;577;1165
177;364;216;445;312;620;401;808;479;986;576;1166
176;366;216;454;303;629;391;808;488;986;567;1165
177;364;216;447;302;629;391;798;489;986;576;1166
176;364;216;444;312;619;401;808;479;986;576;1165
177;364;216;455;302;629;391;808;488;986;567;1176
177;364;216;445;303;629;400;799;489;986;577;1166
177;373;216;445;312;620;400;808;480;987;576;1165
177;363;216;454;303;628;391;807;488;986;567;1167
176;364;216;445;312;619;400;808;479;986;576;1165
177;366;216;454;302;629;391;807;488;986;567;1174
177;364;225;445;303;620;400;798;479;987;577;1165
177;373;216;445;312;620;391;808;479;986;576;1165
177;364;216;454;303;628;391;807;488;986;568;1165
177;364;225;445;303;620;400;799;479;986;576;1165
176;373;216;445;312;620;391;808;480;986;577;1166
176;364;216;454;303;628;391;808;488;986;567;1174
177;364;225;445;303;620;401;798;479;986;576;1166
176;373;216;455;303;628;391;808;480;977;567;1165
186;364;216;454;303;629;391;808;488;986;567;1165
177;364;225;445;311;620;401;799;479;987;576;1165
176;373;216;445;312;619;391;807;479;986;576;1165
177;364;216;454;302;628;391;807;489;986;567;1165
177;364;225;445;303;620;400;798;479;986;576;1165
177;373;216;445;312;619;400;808;479;986;577;1165
176;373;216;454;303;629;391;807;489;986;568;1166
176;364;225;445;303;619;401;798;479;987;577;1166
177;373;216;445;312;620;391;807;479;986;577;1165
