0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
115;237;125;242;120;254;127;263;170;346;263;535;413;820;705;1408;1331;2653
115;239;118;242;120;246;132;256;177;346;268;529;406;828;704;1410;1325;2659
115;237;118;249;120;246;125;258;170;348;260;529;408;827;698;1416;1323;2655
115;237;125;241;120;247;125;263;170;353;261;534;413;827;706;1410;1323;2661
117;237;117;244;120;248;124;257;170;348;261;529;408;825;706;1415;1325;2659
122;237;117;249;120;254;126;256;172;347;263;535;413;820;705;1408;1330;2653
116;239;117;243;120;246;125;255;170;348;261;529;408;825;705;1415;1324;2659
123;237;117;242;120;254;127;256;170;348;263;535;413;820;706;1408;1330;2653
116;239;117;244;120;247;125;256;170;353;261;534;413;828;706;1410;1323;2661
117;237;117;244;120;249;124;256;177;346;267;530;406;827;704;1412;1325;2659
116;236;117;249;122;246;125;257;170;348;261;529;408;827;699;1416;1323;2654
115;237;125;241;120;253;127;256;170;348;263;535;413;820;706;1409;1329;2654
115;238;118;244;120;247;125;256;170;354;260;528;413;827;704;1410;1322;2661
116;244;118;242;120;248;124;256;177;347;268;530;406;828;704;1411;1325;2659
115;236;118;249;120;246;125;257;170;348;260;529;408;827;698;1416;1322;2654
116;237;125;242;120;254;126;256;170;348;262;534;413;820;698;1408;1330;2653
115;239;118;242;128;246;124;256;170;353;260;527;413;827;704;1410;1323;2659
115;244;119;241;120;248;125;256;177;346;268;530;406;827;704;1410;1324;2659
115;237;117;249;120;246;125;257;170;348;261;529;408;827;698;1416;1323;2654
115;237;125;241;120;254;127;256;170;348;262;534;413;820;705;1408;1331;2654
115;239;117;244;120;246;125;256;170;354;261;527;413;827;704;1410;1323;2662
116;244;120;241;120;248;125;256;177;346;268;529;406;827;704;1411;1325;2659
115;237;118;249;120;246;125;258;170;348;260;529;408;827;698;1416;1322;2654
115;237;126;242;120;254;126;256;170;347;262;535;413;820;706;1408;1329;2654
115;239;118;243;120;246;124;256;170;354;261;528;413;827;704;1410;1323;2658
115;244;118;241;120;249;124;255;177;346;269;529;406;825;703;1415;1324;2659
115;237;117;249;120;247;125;256;170;348;261;535;408;820;698;1409;1330;2654
115;239;118;241;120;246;132;255;177;346;268;530;406;827;703;1416;1325;2659
116;236;118;249;120;246;124;257;170;348;261;535;408;820;699;1409;1330;2654
115;238;118;241;128;247;124;256;170;346;267;527;406;827;704;1410;1324;2659
115;245;120;242;120;248;125;257;170;348;260;530;408;828;698;1416;1323;2654
115;237;125;242;120;254;125;263;170;354;260;535;413;828;705;1410;1322;2662
117;236;118;243;120;248;124;257;170;348;261;529;408;826;705;1416;1325;2659
123;237;118;242;120;254;125;264;172;354;262;535;413;827;706;1408;1323;2661
115;236;118;244;120;246;125;256;170;354;261;527;413;827;704;1411;1323;2661
116;244;118;242;120;248;125;255;178;346;267;530;406;825;704;1415;1324;2659
115;237;118;249;122;247;124;257;170;349;260;537;408;828;698;1415;1330;2653
116;237;124;241;120;254;125;263;172;354;262;535;413;829;706;1409;1323;2661
115;237;118;244;120;246;132;256;177;347;268;529;405;827;704;1411;1324;2659
115;237;118;249;120;246;125;257;170;348;261;529;408;827;699;1415;1324;2654
115;237;125;241;120;254;127;256;170;347;263;535;413;820;706;1408;1330;2655
115;238;118;242;127;246;124;263;172;354;263;535;413;827;706;1410;1323;2662
117;237;117;244;120;248;124;256;177;346;267;529;406;827;703;1411;1324;2659
115;244;120;242;120;248;124;258;170;347;267;530;408;826;705;1415;1325;2659
123;237;118;248;122;246;125;257;170;348;261;536;408;827;699;1415;1330;2654
116;237;125;242;120;246;125;263;172;353;263;535;413;827;706;1408;1323;2661
116;237;118;243;120;246;132;256;170;353;260;528;413;828;704;1410;1323;2661
115;244;118;241;120;249;125;256;177;346;268;529;406;827;703;1411;1324;2659
116;236;117;249;122;246;125;258;170;349;260;529;408;827;698;1416;1324;2653
115;237;124;242;120;254;127;256;172;354;263;535;413;827;706;1408;1323;2661
115;237;117;244;120;246;125;256;178;347;268;530;406;826;703;1416;1324;2660
115;236;118;249;122;246;124;257;170;348;261;536;408;827;699;1415;1330;2654
115;237;125;242;120;254;126;256;170;353;261;527;413;827;703;1410;1323;2659
115;244;119;242;120;249;125;256;177;347;267;529;406;825;704;1416;1325;2659
116;237;118;248;120;246;125;257;170;348;260;530;408;827;698;1415;1322;2654
116;237;124;242;120;246;125;263;172;353;263;534;414;827;706;1408;1323;2661
116;236;118;243;120;246;132;256;170;347;267;527;413;827;705;1410;1323;2658
115;244;120;241;120;248;125;258;170;348;261;530;408;825;706;1417;1325;2659
123;237;118;248;122;246;125;257;170;349;261;536;408;827;699;1415;1330;2653
115;237;125;241;120;253;127;256;170;346;263;535;413;820;706;1409;1330;2655
115;239;117;244;120;247;125;256;177;347;267;529;406;827;703;1411;1325;2658
115;237;118;249;121;247;125;256;170;349;263;535;413;820;706;1409;1330;2654
115;239;118;244;120;247;132;256;171;346;268;529;405;827;703;1410;1325;2659
116;244;119;242;120;248;127;256;172;354;263;535;413;827;706;1408;1323;2661
115;237;117;244;120;246;132;256;170;346;269;529;406;827;704;1410;1325;2658
116;245;120;242;120;248;125;257;170;346;268;529;408;826;706;1416;1325;2658
123;237;118;248;120;254;127;256;172;354;262;535;413;820;707;1408;1330;2654
115;239;117;243;120;246;125;255;170;354;261;534;413;827;706;1410;1323;2661
115;237;118;244;120;248;125;256;177;346;268;530;405;827;704;1410;1325;2660
116;237;117;249;122;246;125;256;170;348;260;537;408;820;698;1409;1329;2654
115;239;118;241;120;247;132;256;170;347;268;529;406;827;704;1410;1325;2659
116;245;119;242;120;253;125;255;170;348;261;529;408;827;699;1416;1323;2653
115;237;125;242;120;246;125;256;170;346;267;527;413;827;704;1410;1323;2659
115;244;119;242;120;255;132;256;170;346;268;530;406;827;704;1411;1324;2659
115;244;120;241;120;248;125;258;170;349;263;534;413;820;705;1408;1330;2654
115;238;117;242;120;248;125;263;172;354;262;534;414;820;705;1409;1330;2653
116;239;118;243;120;246;125;256;170;353;261;527;414;827;704;1410;1322;2659
116;244;120;241;120;248;124;258;170;349;261;530;408;826;706;1416;1325;2659
122;236;118;249;122;254;125;257;170;348;261;537;408;828;698;1417;1330;2654
115;236;125;242;120;247;125;263;172;354;263;535;413;820;705;1409;1330;2661
116;237;117;243;120;254;127;256;170;348;262;535;413;828;703;1411;1322;2662
115;244;118;244;120;248;125;256;178;346;268;529;405;827;703;1410;1324;2660
116;237;118;248;120;253;125;263;172;347;262;534;413;820;706;1409;1330;2653
115;237;118;243;120;246;125;255;170;348;261;529;408;827;698;1416;1323;2653
115;237;125;242;120;247;125;258;170;348;261;529;407;827;699;1415;1322;2654
116;236;124;241;120;253;126;256;170;346;262;534;413;820;706;1409;1330;2654
116;239;117;242;120;246;124;256;177;346;269;529;407;825;704;1416;1325;2659
123;237;118;249;122;246;125;258;170;348;261;530;408;828;699;1416;1322;2653
115;237;124;242;120;254;126;256;170;349;263;535;413;820;706;1408;1329;2654
115;239;117;243;120;246;125;256;170;354;261;527;414;828;704;1411;1323;2659
116;244;119;242;120;248;125;256;170;348;261;529;408;825;699;1415;1325;2654
116;237;125;241;120;253;127;256;170;348;262;535;413;820;705;1409;1330;2655
116;238;118;243;120;246;125;256;170;353;260;528;413;827;703;1411;1323;2659
115;245;120;242;120;254;132;256;170;347;268;529;406;827;704;1410;1325;2659
115;244;119;242;120;248;124;258;170;349;260;530;408;826;706;1416;1325;2659
122;237;117;249;127;246;125;256;170;347;268;530;408;825;706;1416;1325;2658
122;237;118;249;121;246;125;258;170;348;261;536;408;827;699;1416;1330;2653
115;237;125;242;120;254;127;255;170;346;263;535;414;820;705;1408;1330;2653
116;237;117;244;120;246;132;256;170;346;268;530;406;827;704;1410;1325;2659
115;244;119;242;120;249;125;258;170;349;261;530;408;826;705;1416;1324;2659
123;237;118;249;120;253;124;263;172;354;263;534;413;827;706;1409;1324;2661
115;237;117;244;120;246;132;256;170;354;261;527;413;827;704;1411;1322;2660
115;244;119;241;120;253;125;256;170;354;260;528;413;827;703;1411;1323;2662
115;244;118;241;120;249;125;255;177;346;268;530;406;827;704;1411;1325;2659
116;237;118;249;120;254;127;256;172;353;262;535;414;820;706;1409;1330;2661
115;239;118;249;122;246;124;263;177;346;268;530;408;825;706;1416;1325;2659
123;237;117;248;120;253;126;256;172;354;262;534;413;820;705;1408;1330;2653
116;239;118;243;120;246;125;256;170;347;269;527;406;827;704;1410;1325;2659
115;237;118;242;120;253;125;256;170;346;268;529;406;827;704;1410;1325;2659
115;244;119;242;120;249;125;258;170;348;263;535;413;820;706;1409;1330;2653
115;239;118;244;120;246;132;255;170;354;260;528;413;828;704;1411;1322;2661
115;244;118;242;122;247;124;257;170;348;260;537;408;827;698;1415;1331;2654
115;237;124;241;120;253;127;263;170;346;262;535;413;820;699;1408;1330;2654
115;239;117;242;120;246;132;256;170;346;267;530;406;827;704;1411;1325;2660
115;244;120;241;120;248;124;258;170;348;261;529;408;826;698;1416;1324;2661
116;236;117;242;120;253;127;256;170;349;263;535;413;820;706;1408;1330;2654
115;239;118;244;120;246;125;256;170;354;261;528;414;828;704;1411;1322;2659
116;244;120;241;120;248;125;257;170;348;261;529;408;825;706;1416;1325;2659
122;237;117;249;122;247;124;258;170;348;260;537;408;828;699;1416;1330;2653
115;237;125;242;120;253;127;263;172;346;263;534;413;820;707;1408;1330;2653
116;239;118;244;120;247;124;256;170;354;261;527;413;827;704;1410;1322;2659
115;244;120;241;120;248;125;256;177;346;268;529;406;825;704;1416;1325;2660
115;237;118;249;122;246;125;258;170;348;261;529;408;827;698;1416;1323;2654
115;237;125;241;120;254;127;256;172;354;262;535;413;827;705;1411;1322;2661
115;237;118;244;120;246;125;256;177;346;268;529;406;825;704;1416;1325;2659
115;237;118;248;122;246;127;255;170;347;262;535;413;820;706;1408;1330;2654
115;239;117;241;120;246;132;256;170;346;268;529;405;827;703;1410;1325;2659
115;244;120;242;122;246;125;258;170;348;261;538;408;827;698;1415;1330;2654
115;237;125;242;120;254;125;263;172;354;262;534;413;828;705;1411;1323;2661
115;237;118;243;120;246;125;255;178;347;268;529;406;825;704;1417;1324;2659
123;236;118;248;122;247;125;258;170;349;260;537;408;827;698;1415;1331;2654
115;237;124;242;120;246;125;263;170;354;263;535;414;828;705;1411;1323;2661
117;236;117;244;120;249;125;255;177;347;268;529;406;827;704;1410;1324;2660
115;237;117;249;122;246;124;258;170;348;260;529;408;827;698;1416;1322;2654
115;237;126;242;120;254;127;256;170;348;263;535;413;820;698;1409;1330;2653
115;238;118;241;127;246;125;256;170;353;260;528;413;827;704;1410;1323;2659
115;244;120;242;120;249;125;256;177;346;268;530;408;825;704;1416;1324;2659
122;237;118;249;122;246;125;258;170;348;260;536;408;828;698;1415;1330;2654
115;237;125;241;120;253;127;263;170;346;263;534;413;820;707;1408;1330;2654
115;239;118;243;120;247;124;256;170;354;260;528;413;828;704;1411;1323;2660
116;244;120;241;120;248;125;257;170;348;261;529;408;825;706;1416;1325;2659
123;237;118;241;120;253;127;256;170;347;263;535;413;820;706;1409;1330;2654
115;239;117;244;120;247;132;256;177;347;267;530;406;826;704;1411;1325;2659
116;237;117;249;122;246;126;256;171;354;262;535;413;820;706;1409;1330;2654
115;239;118;243;120;246;132;256;177;346;268;529;406;825;704;1411;1325;2659
