0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
122;247;124;257;129;266;137;280;196;385;298;590;464;939;812;1624;1532;3077
120;249;124;256;129;264;137;288;189;391;291;590;462;939;812;1629;1538;3077
120;247;125;263;131;264;137;280;189;385;293;595;469;939;813;1625;1533;3077
123;247;125;257;129;265;137;280;196;383;298;590;463;939;805;1624;1533;3077
121;247;132;255;128;264;137;287;190;391;291;596;469;940;812;1630;1538;3077
121;254;125;255;128;266;137;282;188;385;292;598;464;932;813;1625;1532;3077
120;249;125;257;129;264;144;281;188;383;299;591;464;939;805;1630;1538;3078
128;247;124;255;129;271;139;280;190;383;293;596;469;939;811;1632;1540;3076
121;255;127;255;128;265;137;280;196;385;299;591;464;939;813;1625;1532;3076
121;249;124;255;136;263;137;287;188;390;291;596;469;939;813;1630;1538;3076
121;254;125;263;129;264;137;282;189;385;291;598;464;932;813;1624;1533;3076
121;249;124;257;129;264;144;280;189;383;299;591;464;940;805;1630;1538;3079
128;247;124;255;129;263;137;280;189;383;298;590;464;939;805;1630;1538;3078
127;247;125;256;128;272;138;281;190;391;293;596;469;940;810;1631;1539;3077
121;254;126;256;129;264;137;283;188;385;291;598;464;932;812;1624;1532;3077
121;247;125;256;129;264;137;282;189;385;291;598;464;932;812;1624;1532;3076
121;249;124;257;129;264;145;281;195;384;299;591;464;939;805;1632;1537;3077
121;247;132;256;129;271;139;280;190;391;293;595;469;940;811;1631;1540;3077
120;254;127;256;129;266;137;283;189;385;291;598;464;939;812;1624;1532;3076
120;249;125;256;136;263;137;280;188;383;298;590;464;939;806;1629;1538;3078
128;247;125;255;129;264;137;288;188;391;291;590;462;939;813;1629;1538;3076
121;247;124;262;131;264;137;280;189;385;293;596;469;940;812;1624;1533;3076
122;247;124;258;128;266;137;281;196;383;299;591;464;939;806;1625;1532;3077
121;247;132;255;136;264;138;281;188;391;299;591;465;937;813;1630;1537;3077
127;248;124;262;128;264;137;281;189;385;293;597;469;940;812;1625;1532;3076
122;247;125;257;128;266;137;280;196;383;299;591;464;940;805;1625;1533;3076
120;247;132;256;129;263;137;288;190;390;291;595;470;939;813;1630;1538;3077
120;255;124;255;129;264;137;282;188;385;291;598;464;932;813;1624;1533;3076
120;249;125;257;129;263;137;280;188;385;292;590;464;940;813;1624;1532;3077
120;249;124;255;136;264;137;288;189;390;292;590;462;940;813;1630;1538;3077
121;247;125;263;131;264;137;283;190;390;298;590;464;940;805;1629;1537;3079
121;247;125;256;129;271;137;287;190;391;293;595;469;940;811;1629;1538;3076
120;255;124;263;129;264;137;282;188;385;292;591;464;941;813;1624;1532;3077
121;247;124;256;129;266;137;287;189;383;292;590;464;939;813;1624;1533;3076
121;249;125;255;136;263;137;288;188;390;291;591;462;940;812;1630;1538;3076
120;247;125;263;129;271;139;287;191;390;293;596;470;939;811;1632;1540;3076
120;254;126;256;129;266;137;283;189;385;291;596;469;939;812;1625;1532;3076
122;247;125;257;128;266;137;281;196;385;299;591;464;940;812;1625;1532;3077
121;249;124;255;136;264;144;281;196;384;298;591;464;940;806;1624;1532;3077
121;247;131;255;128;264;137;287;189;391;292;596;470;940;813;1630;1538;3076
120;255;125;263;129;264;137;282;188;385;291;598;464;932;813;1625;1532;3076
121;247;124;257;128;264;145;281;188;383;298;591;464;940;814;1630;1537;3077
128;247;125;263;129;271;139;281;191;390;293;596;469;940;811;1632;1540;3077
121;254;126;256;129;266;137;282;189;385;291;590;464;939;814;1624;1532;3076
120;249;124;255;136;264;137;288;189;391;292;590;462;939;813;1630;1538;3077
