0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
168;344;172;352;176;361;184;376;248;504;378;768;593;1184;1009;2024;1898;3802
168;350;172;358;176;365;183;381;247;504;384;768;591;1183;1009;2024;1900;3804
168;343;174;350;177;358;185;373;248;509;376;760;586;1191;1010;2025;1899;3803
168;344;173;352;176;360;183;375;248;504;378;768;594;1184;1009;2024;1899;3801
168;343;172;350;176;358;183;373;255;504;376;765;592;1185;1009;2024;1898;3803
169;350;172;357;176;366;184;381;248;509;384;761;586;1183;1009;2024;1899;3797
170;342;172;350;176;359;184;374;250;510;376;768;586;1184;1009;2024;1899;3805
175;344;179;352;183;360;191;376;255;504;378;766;592;1185;1010;2025;1898;3802
168;349;172;358;176;365;184;381;248;509;383;761;586;1183;1010;2025;1898;3797
170;343;173;350;178;358;186;374;250;509;376;767;586;1184;1009;2025;1899;3804
175;345;180;352;183;360;191;376;255;504;378;766;592;1186;1010;2024;1896;3804
168;350;172;358;176;366;183;381;248;509;384;760;586;1184;1009;2024;1899;3796
170;343;174;350;178;358;184;374;250;509;376;767;586;1183;1009;2024;1898;3805
175;345;179;353;183;360;191;376;255;504;378;766;591;1185;1010;2025;1898;3802
169;350;172;358;176;365;184;381;248;509;383;761;586;1183;1009;2025;1899;3797
170;342;174;350;178;358;185;374;250;509;376;767;586;1184;1009;2024;1899;3803
175;345;179;353;183;360;191;376;255;504;378;765;591;1186;1009;2024;1896;3804
168;350;172;350;176;360;190;375;248;503;378;768;593;1184;1009;2025;1898;3803
168;343;172;351;176;360;183;375;248;504;378;768;593;1184;1009;2024;1899;3802
168;350;172;357;176;365;183;381;247;504;383;768;591;1184;1009;2024;1899;3796
168;343;174;350;178;358;185;374;248;509;376;761;586;1190;1010;2025;1898;3803
169;344;172;352;176;360;184;375;248;503;378;767;594;1183;1009;2024;1899;3802
168;343;172;351;176;359;184;373;256;504;378;766;591;1186;1009;2025;1899;3804
168;350;172;359;176;366;184;381;247;510;383;761;586;1191;1009;2025;1892;3797
170;342;172;353;176;360;184;376;248;502;378;768;593;1184;1009;2024;1899;3804
175;342;172;350;176;358;183;375;255;504;376;766;591;1185;1009;2024;1898;3804
168;349;172;357;175;365;183;381;248;510;383;760;586;1191;1010;2024;1892;3796
170;342;172;350;178;358;186;374;250;509;376;768;586;1183;1009;2024;1898;3804
175;344;179;352;183;360;191;375;256;504;378;766;591;1185;1009;2025;1897;3802
168;350;172;359;176;365;184;381;248;509;383;761;586;1183;1009;2025;1899;3798
170;343;174;351;178;358;186;373;250;509;376;767;586;1183;1009;2024;1899;3805
176;344;179;352;183;360;191;375;255;504;378;765;591;1185;1009;2025;1896;3803
168;349;172;357;176;366;184;381;247;509;383;760;586;1183;1010;2025;1898;3797
170;343;174;351;178;358;185;373;249;509;376;768;586;1183;1009;2024;1898;3804
175;344;179;352;183;360;191;376;255;503;378;765;591;1185;1009;2024;1896;3804
168;343;172;352;183;360;184;376;248;502;378;768;593;1184;1009;2025;1899;3804
175;346;172;351;176;358;184;373;255;504;383;766;591;1183;1009;2025;1900;3804
168;349;172;358;176;366;183;375;255;504;376;766;591;1186;1009;2026;1898;3803
168;349;172;357;176;365;184;381;248;509;384;761;586;1191;1009;2024;1899;3804
168;344;172;350;177;358;186;374;248;509;384;760;586;1191;1009;2025;1899;3803
168;344;172;352;176;360;184;375;248;504;378;768;593;1183;1009;2025;1898;3802
168;345;179;353;176;360;184;376;250;502;378;768;593;1184;1009;2024;1899;3804
176;342;172;350;176;358;184;374;255;503;376;765;591;1185;1009;2025;1899;3803
168;350;172;358;176;366;183;381;248;509;384;761;586;1183;1009;2025;1898;3797
170;343;174;351;176;358;184;374;250;510;376;768;586;1185;1010;2025;1899;3804
175;345;180;352;183;360;190;376;255;504;378;766;592;1185;1009;2024;1897;3804
168;350;172;357;176;367;184;381;248;509;383;760;586;1184;1009;2025;1898;3797
170;342;174;350;178;358;186;374;250;509;376;768;586;1183;1009;2025;1899;3804
175;345;179;352;183;360;191;376;256;504;378;766;591;1186;1009;2025;1898;3802
168;350;172;358;176;365;184;381;248;509;384;760;586;1183;1009;2026;1899;3797
170;343;174;350;178;358;184;381;248;509;384;761;586;1192;1009;2024;1892;3796
170;343;172;350;176;360;184;376;250;502;378;768;593;1183;1009;2025;1898;3803
175;343;172;350;176;358;183;374;255;503;376;765;591;1185;1009;2025;1899;3805
168;350;172;357;176;365;184;381;247;509;383;760;586;1183;1009;2024;1898;3797
170;343;174;351;178;359;186;373;250;509;376;768;586;1184;1009;2025;1900;3803
168;345;172;353;176;361;191;375;248;504;378;768;593;1184;1010;2025;1898;3802
