0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
154;314;156;318;158;322;163;332;227;445;333;682;522;1042;883;1771;1658;3316
154;314;156;318;166;323;172;332;229;446;340;682;523;1042;882;1771;1659;3315
154;314;156;318;158;323;163;332;220;455;334;682;522;1043;881;1771;1650;3324
153;315;156;320;159;332;163;341;222;446;341;675;513;1042;882;1772;1658;3315
153;313;156;318;158;323;163;334;220;455;336;673;513;1043;883;1762;1650;3324
154;314;156;318;160;322;164;332;229;446;340;682;515;1042;883;1771;1659;3315
153;314;163;318;158;323;163;332;220;446;334;683;522;1042;883;1772;1657;3325
153;316;156;318;158;323;163;332;220;448;333;683;523;1042;883;1771;1657;3324
154;315;156;318;158;322;162;332;220;455;334;674;514;1042;875;1762;1649;3324
154;322;155;327;158;332;163;334;220;455;333;683;520;1043;881;1771;1650;3324
154;322;156;320;158;324;163;334;220;455;333;673;514;1042;875;1762;1650;3324
153;323;156;327;158;331;162;334;219;455;335;673;513;1043;875;1762;1650;3325
154;323;155;327;158;331;163;333;220;455;334;673;513;1042;882;1763;1649;3325
153;323;156;327;158;332;163;334;220;455;335;674;514;1042;875;1762;1650;3325
154;322;156;327;158;332;163;334;220;455;335;673;513;1043;875;1762;1650;3324
154;322;156;327;158;332;163;334;220;455;334;683;521;1042;881;1772;1651;3324
153;323;156;327;158;332;163;341;219;446;342;673;513;1042;883;1772;1659;3315
160;313;164;318;158;323;163;332;220;455;342;673;514;1042;883;1762;1659;3315
155;313;157;318;160;323;163;332;219;446;333;682;522;1043;883;1772;1657;3324
153;315;156;320;158;325;163;334;220;455;334;682;513;1042;875;1762;1650;3324
154;323;165;318;158;322;163;332;220;455;336;674;513;1042;875;1762;1650;3324
154;322;156;327;158;331;163;342;222;446;342;675;513;1043;883;1771;1659;3315
160;314;165;318;160;322;163;332;222;446;343;675;513;1042;883;1772;1659;3315
162;313;158;318;160;322;165;332;229;446;343;675;513;1042;883;1771;1659;3315
161;313;165;318;168;323;172;332;229;446;342;675;513;1043;882;1772;1659;3316
154;313;163;318;167;322;172;332;229;445;341;682;516;1042;882;1771;1659;3316
154;313;156;318;166;323;170;332;227;446;333;683;523;1042;883;1771;1658;3316
154;313;156;318;158;322;170;332;220;446;333;682;523;1042;882;1771;1660;3315
154;313;155;318;158;323;170;332;229;446;333;683;523;1042;882;1771;1659;3315
153;314;163;318;167;323;172;332;229;446;341;683;516;1042;882;1772;1659;3315
153;313;163;318;165;322;172;332;229;446;341;682;515;1042;883;1771;1659;3314
154;313;156;318;158;323;163;334;220;455;335;673;513;1042;875;1762;1650;3323
153;313;156;318;168;322;170;332;219;446;334;683;523;1043;883;1771;1658;3315
153;313;156;318;158;322;163;332;220;445;333;683;523;1043;882;1771;1659;3315
153;313;156;318;158;323;163;332;220;445;334;682;523;1042;883;1771;1659;3315
153;314;156;318;159;323;162;332;220;446;333;683;522;1042;882;1771;1659;3315
154;313;156;318;158;323;163;332;220;448;334;682;522;1042;882;1771;1657;3324
154;315;156;318;158;323;163;332;220;448;333;682;522;1043;882;1772;1657;3316
154;315;155;318;158;323;162;332;219;448;334;682;523;1043;883;1771;1657;3317
154;315;155;318;158;323;163;332;220;447;333;683;523;1043;883;1771;1657;3324
153;316;156;318;158;323;163;334;220;455;333;682;521;1042;880;1769;1650;3325
154;323;156;320;158;325;163;341;220;455;334;680;513;1042;875;1762;1650;3324
154;322;156;327;158;332;163;334;220;455;334;683;520;1043;874;1762;1650;3324
153;323;156;327;158;331;163;333;219;455;333;682;520;1042;881;1771;1649;3324
153;322;156;320;158;325;163;334;219;455;335;673;514;1042;875;1763;1650;3322
154;323;156;327;158;331;162;341;220;455;333;673;514;1042;883;1762;1650;3322
154;323;156;327;158;332;162;334;220;455;334;683;520;1042;874;1762;1650;3324
154;323;156;325;158;332;170;332;219;448;334;683;523;1043;882;1771;1657;3324
153;315;156;318;158;323;163;332;220;445;334;683;522;1042;882;1771;1659;3317
154;314;156;318;158;322;163;332;219;448;333;683;522;1043;882;1771;1657;3324
153;315;156;318;159;323;163;332;219;446;334;683;522;1043;882;1771;1659;3316
153;314;155;318;158;323;163;332;219;446;333;682;522;1043;882;1771;1659;3315
154;313;156;318;158;323;163;332;220;445;334;682;523;1042;882;1771;1658;3315
153;313;156;318;158;323;163;332;220;446;334;682;523;1042;882;1771;1659;3315
153;313;156;318;159;323;170;332;227;446;334;682;523;1043;882;1771;1659;3316
154;314;156;318;165;322;172;332;228;446;341;682;516;1042;883;1771;1659;3316
153;313;163;318;167;323;165;332;222;445;341;675;515;1042;883;1771;1659;3316
160;314;163;318;158;323;163;334;221;445;342;675;515;1042;883;1771;1660;3315
161;313;163;318;166;323;172;332;229;446;341;682;515;1043;883;1772;1659;3315
154;313;163;318;168;323;165;332;222;446;342;675;515;1042;882;1772;1658;3315
161;313;165;318;160;323;164;332;222;445;343;675;515;1043;883;1771;1658;3315
153;313;163;318;167;323;165;332;222;445;343;675;517;1043;882;1771;1659;3315
154;313;163;318;168;323;165;332;222;446;343;675;515;1043;883;1771;1659;3314
154;314;163;319;167;322;165;332;222;446;343;675;515;1043;882;1771;1659;3315
153;314;163;318;168;323;165;332;221;446;343;675;515;1042;882;1771;1658;3315
161;313;165;318;160;323;165;339;222;453;343;673;513;1042;882;1764;1659;3315
155;313;157;318;160;323;165;332;222;445;342;675;517;1042;882;1771;1659;3315
154;313;163;318;168;323;165;332;222;445;343;675;517;1043;882;1772;1659;3315
161;313;166;318;160;323;165;332;222;445;342;675;517;1043;883;1771;1659;3315
154;313;163;318;167;323;164;332;222;446;342;675;514;1042;882;1771;1659;3315
160;314;165;318;167;323;165;332;228;446;340;675;513;1043;882;1771;1659;3316
153;313;163;318;167;323;164;332;228;446;341;675;514;1043;882;1771;1659;3316
153;313;163;318;165;323;172;332;221;446;343;675;513;1043;882;1771;1660;3315
161;313;165;318;160;322;165;332;222;446;343;675;516;1042;883;1771;1660;3315
161;313;163;318;168;323;165;332;221;446;342;675;516;1042;882;1772;1659;3315
153;313;163;318;166;323;165;332;229;446;340;676;515;1042;883;1772;1659;3315
153;313;163;318;165;323;172;332;220;446;333;682;523;1042;883;1771;1659;3315
154;313;155;318;158;323;163;332;219;446;333;683;522;1043;883;1771;1659;3315
154;314;156;318;159;323;163;332;227;445;334;682;524;1042;882;1771;1659;3314
153;313;156;318;158;322;163;332;226;445;334;683;523;1042;882;1771;1659;3315
154;313;156;318;165;323;170;332;228;445;333;683;523;1042;883;1771;1658;3315
154;313;163;318;167;323;165;332;222;446;343;675;513;1042;883;1771;1659;3315
