0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
120;249;124;257;128;264;195;382;263;519;391;793;667;1336;1207;2423;2296;4602
120;255;124;256;131;264;187;384;257;524;392;795;661;1341;1208;2428;2295;4598
120;247;132;255;129;271;188;389;255;524;397;795;668;1334;1215;2424;2294;4597
120;247;125;257;129;265;195;384;262;518;392;793;669;1335;1209;2421;2297;4603
120;255;125;256;129;263;189;390;257;524;397;788;669;1334;1215;2423;2302;4598
121;247;127;256;128;271;188;382;262;518;392;794;668;1335;1210;2428;2298;4603
121;247;124;262;129;264;189;389;257;523;397;788;668;1334;1215;2423;2302;4597
120;249;125;257;129;266;188;384;255;526;392;795;661;1342;1208;2428;2294;4598
120;247;125;255;136;264;188;384;257;524;397;788;661;1334;1207;2421;2302;4598
121;248;125;257;129;264;188;384;255;518;391;795;669;1334;1210;2429;2296;4603
121;247;125;255;128;271;188;389;255;524;397;796;666;1336;1215;2423;2295;4604
122;248;125;258;128;266;195;384;262;518;392;794;666;1336;1207;2423;2297;4603
120;247;125;263;131;264;190;382;257;524;397;787;661;1334;1207;2421;2302;4597
121;248;125;255;136;263;188;382;262;519;389;795;666;1336;1207;2424;2296;4603
120;255;126;256;128;266;187;384;255;519;391;795;661;1341;1209;2429;2294;4604
128;247;125;255;129;271;188;389;255;524;397;795;668;1334;1215;2423;2302;4598
123;247;125;258;129;263;195;384;262;519;392;793;666;1334;1207;2422;2296;4602
120;254;124;256;130;264;188;384;257;524;392;796;661;1342;1207;2429;2294;4597
120;247;125;255;129;271;188;389;255;524;397;795;668;1334;1215;2423;2295;4597
122;248;124;257;130;263;189;389;257;524;397;788;669;1334;1214;2423;2302;4597
120;249;124;258;135;264;195;381;262;518;390;793;666;1336;1208;2424;2296;4603
120;255;126;256;129;266;187;384;255;518;392;796;661;1342;1209;2428;2295;4603
128;247;132;255;136;264;188;382;262;518;390;795;667;1336;1208;2423;2297;4603
120;247;126;255;129;265;188;383;256;518;392;795;661;1341;1209;2429;2295;4604
127;248;125;262;129;263;195;384;256;518;392;795;661;1342;1209;2429;2295;4602
128;247;125;263;129;271;190;390;255;524;398;788;668;1335;1215;2423;2302;4598
120;249;125;257;136;264;188;382;262;518;390;795;667;1336;1207;2423;2297;4603
120;254;124;255;130;264;188;384;257;524;392;795;661;1342;1208;2429;2294;4597
121;247;132;255;129;271;188;389;255;524;397;796;669;1334;1215;2423;2294;4597
123;247;124;257;128;264;195;382;262;519;392;793;667;1336;1208;2423;2297;4604
121;254;124;255;131;264;188;383;255;523;391;795;661;1342;1207;2428;2295;4597
120;247;125;255;129;271;188;389;255;519;397;795;667;1336;1207;2423;2295;4604
120;248;127;255;128;266;187;384;255;519;392;796;662;1341;1207;2428;2295;4605
128;247;124;256;128;271;188;389;255;524;397;795;668;1334;1214;2424;2295;4597
122;247;125;257;129;265;195;384;262;519;392;793;668;1334;1209;2429;2297;4603
120;247;124;256;128;271;188;389;255;524;397;788;669;1334;1215;2423;2302;4597
121;249;125;255;131;264;188;389;262;519;392;793;667;1336;1208;2423;2297;4603
120;254;131;256;129;265;189;382;257;524;397;788;669;1334;1215;2424;2301;4598
120;247;125;257;131;264;188;382;257;524;390;787;661;1342;1208;2429;2301;4598
120;249;125;255;136;263;195;383;255;518;392;793;668;1335;1210;2428;2297;4603
121;247;124;255;136;263;187;384;256;518;392;795;662;1341;1210;2428;2295;4605
