0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
154;313;163;320;165;325;243;479;320;649;489;979;817;1637;1476;2968;2807;5612
154;316;156;320;158;323;235;478;319;649;489;980;819;1642;1482;2967;2805;5613
153;314;156;325;158;330;243;480;319;649;489;980;817;1645;1476;2960;2805;5613
155;314;156;325;158;331;235;479;325;644;482;979;819;1638;1478;2966;2800;5613
154;315;156;320;158;325;243;480;319;649;489;979;817;1637;1476;2967;2807;5613
154;316;156;320;166;325;243;479;320;649;489;979;817;1638;1475;2967;2808;5613
154;313;157;318;158;325;235;479;319;649;489;979;819;1643;1476;2959;2805;5613
155;313;156;326;158;330;243;480;320;649;481;979;817;1638;1476;2967;2807;5613
154;314;158;318;159;323;236;485;325;643;483;979;812;1638;1477;2966;2806;5620
162;316;156;318;158;323;236;480;325;643;483;979;820;1638;1478;2966;2800;5620
160;315;164;320;166;325;243;480;324;651;482;972;818;1637;1475;2967;2807;5613
153;316;156;320;158;325;242;479;320;649;489;979;818;1645;1476;2960;2805;5612
155;314;156;319;159;325;235;480;320;649;489;979;820;1643;1476;2959;2805;5613
156;313;156;318;158;324;236;479;319;649;489;979;819;1642;1476;2960;2805;5613
156;314;156;319;158;325;236;479;320;649;489;980;819;1643;1475;2960;2805;5613
156;313;156;319;159;324;236;480;319;649;489;979;819;1643;1476;2959;2806;5613
156;313;158;319;158;324;236;477;320;649;489;980;820;1643;1483;2967;2805;5613
153;313;156;318;160;323;238;484;318;651;489;979;819;1643;1483;2967;2808;5618
154;321;156;318;158;330;235;484;325;644;484;979;812;1645;1485;2967;2807;5619
154;314;156;325;159;330;235;485;325;643;484;979;812;1637;1477;2967;2807;5621
161;315;156;318;158;323;236;480;325;643;482;979;819;1637;1477;2967;2800;5614
154;315;163;320;165;325;243;480;318;649;481;972;817;1638;1476;2967;2807;5612
153;316;156;320;159;325;243;479;320;649;489;979;817;1638;1475;2966;2807;5614
154;316;156;320;159;325;243;480;319;649;489;979;817;1637;1475;2967;2806;5613
154;315;156;321;158;325;242;480;320;649;489;980;817;1638;1475;2967;2807;5613
154;316;156;320;158;325;243;480;319;649;489;979;818;1637;1476;2967;2807;5613
154;316;156;321;158;325;243;479;319;649;489;980;818;1637;1476;2966;2807;5613
153;315;156;320;159;325;243;480;319;649;489;979;817;1638;1475;2966;2807;5612
153;315;156;320;165;325;242;479;319;649;489;980;817;1637;1476;2967;2807;5613
153;316;156;320;159;325;243;479;320;649;489;979;818;1644;1475;2959;2805;5613
155;314;156;319;158;325;235;480;319;649;489;980;819;1643;1476;2960;2805;5613
155;314;156;319;158;325;238;485;318;651;491;979;819;1643;1483;2967;2807;5618
154;321;156;325;158;323;235;480;319;649;490;980;819;1643;1476;2966;2805;5613
155;313;158;318;160;323;237;484;318;651;491;979;819;1643;1482;2967;2807;5618
154;321;156;325;159;323;235;485;318;643;484;979;819;1644;1482;2965;2807;5619
154;321;156;325;159;330;235;485;318;643;484;979;812;1645;1485;2967;2807;5618
153;321;156;325;159;331;236;485;325;644;484;979;812;1645;1485;2967;2807;5619
153;314;156;325;158;330;236;486;325;643;484;979;812;1638;1478;2967;2807;5619
161;315;156;319;159;323;236;480;325;643;482;979;817;1637;1478;2967;2799;5613
154;315;156;321;158;323;237;478;318;651;489;979;820;1643;1483;2967;2805;5618
153;313;156;319;159;323;236;484;317;652;491;979;819;1646;1483;2967;2807;5619
154;321;156;325;158;323;235;485;318;651;491;979;819;1645;1483;2967;2806;5618
154;321;156;325;158;330;235;485;318;643;484;979;819;1645;1483;2968;2807;5619
153;321;156;326;158;330;236;485;325;644;484;979;812;1644;1485;2968;2806;5619
153;313;156;326;158;330;236;487;326;644;484;979;812;1637;1478;2967;2807;5621
161;314;156;318;158;323;236;480;325;644;482;979;819;1637;1478;2968;2799;5613
154;316;163;320;166;325;243;480;317;649;481;972;817;1637;1476;2967;2807;5613
154;315;156;321;158;325;243;480;320;649;489;979;817;1645;1476;2967;2805;5613
156;313;156;318;159;324;236;479;319;649;489;979;817;1643;1476;2959;2805;5613
156;314;159;318;160;323;236;485;325;644;484;979;812;1637;1478;2967;2807;5620
