0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
169;343;175;361;179;373;270;535;365;732;555;1111;936;1878;1702;3409;3228;6468
168;350;174;354;179;366;270;535;360;730;554;1111;936;1877;1696;3409;3227;6462
175;346;181;355;179;366;263;535;360;731;555;1110;929;1870;1703;3402;3234;6463
169;345;174;356;179;367;263;535;360;732;555;1110;928;1870;1695;3401;3235;6463
168;345;173;356;179;367;263;535;360;730;555;1112;935;1878;1695;3402;3234;6463
176;346;181;356;186;366;271;535;360;729;555;1111;936;1878;1695;3409;3227;6460
176;344;181;354;187;364;271;535;358;729;555;1110;935;1877;1695;3410;3227;6468
169;344;174;353;179;364;270;534;358;732;555;1111;936;1877;1695;3409;3227;6468
169;344;174;353;179;365;270;534;358;731;554;1110;935;1878;1702;3409;3227;6468
168;344;174;353;179;364;270;534;358;731;555;1110;935;1877;1695;3410;3227;6468
168;344;173;354;179;365;271;535;358;729;555;1110;936;1878;1695;3409;3227;6469
169;343;174;354;179;366;266;540;365;724;550;1110;936;1877;1701;3404;3227;6461
171;343;175;354;181;365;266;540;358;725;549;1111;936;1877;1701;3405;3227;6463
169;345;174;356;179;366;265;540;360;731;550;1110;936;1870;1702;3404;3235;6462
168;345;174;356;179;366;264;535;360;732;555;1110;928;1870;1702;3402;3234;6463
168;345;181;356;187;367;271;535;360;730;554;1112;936;1877;1695;3410;3227;6460
176;344;181;354;187;364;270;535;358;730;555;1111;936;1877;1695;3409;3228;6468
176;343;174;354;179;364;271;535;358;731;555;1111;935;1877;1703;3409;3227;6469
169;350;174;361;179;371;263;534;365;731;555;1111;936;1878;1703;3409;3227;6468
168;351;174;362;180;372;263;534;366;731;555;1111;936;1878;1702;3409;3228;6468
168;350;174;361;179;372;263;535;365;732;555;1110;935;1877;1703;3409;3227;6469
169;350;174;361;179;372;263;540;365;724;549;1110;933;1875;1704;3402;3229;6468
169;351;174;361;179;372;264;540;365;724;550;1110;935;1877;1700;3403;3229;6468
171;343;176;354;181;364;265;540;365;724;549;1110;935;1877;1700;3404;3227;6461
171;343;176;353;180;364;265;540;358;724;550;1110;935;1878;1700;3404;3228;6462
168;343;174;353;179;364;265;540;358;731;550;1110;936;1877;1702;3405;3227;6462
169;346;174;355;179;366;264;534;360;732;556;1110;928;1870;1702;3402;3234;6463
168;345;174;356;179;366;263;534;360;729;555;1112;936;1878;1695;3402;3234;6463
175;345;181;356;187;366;271;535;359;730;554;1110;935;1878;1695;3410;3227;6460
175;343;181;353;186;367;263;541;358;731;549;1110;936;1870;1702;3404;3235;6463
168;345;174;356;179;367;263;535;360;731;557;1110;929;1870;1702;3402;3234;6464
168;345;174;356;186;366;271;535;360;730;555;1113;936;1877;1695;3410;3228;6463
176;343;181;354;187;364;271;535;358;730;554;1111;935;1877;1695;3409;3227;6468
169;343;174;354;179;364;271;535;358;731;554;1111;936;1877;1702;3409;3227;6469
168;343;174;354;179;364;270;534;358;731;555;1111;936;1878;1695;3410;3227;6467
169;343;174;354;180;365;270;535;358;731;555;1111;935;1877;1702;3409;3228;6467
168;351;173;361;180;372;264;535;365;732;554;1111;936;1875;1702;3409;3229;6468
169;351;174;361;179;372;263;540;365;724;550;1110;934;1876;1704;3402;3229;6468
169;350;174;362;179;371;263;540;365;724;549;1110;934;1875;1702;3402;3230;6468
169;350;174;361;179;372;263;540;365;724;550;1118;936;1877;1701;3404;3230;6469
170;351;175;362;181;372;266;541;366;725;549;1110;936;1877;1701;3404;3227;6461
170;344;176;354;181;365;265;540;358;724;549;1110;936;1877;1701;3403;3228;6463
