0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
115;236;119;241;126;248;124;264;170;353;260;536;415;825;706;1408;1324;2659
115;236;118;241;122;246;132;258;170;348;267;529;407;827;706;1408;1322;2661
115;246;117;241;120;246;124;255;172;346;270;527;405;827;705;1415;1322;2661
122;238;118;248;120;246;125;255;169;346;260;534;406;827;696;1417;1330;2653
115;237;125;243;119;255;124;262;170;346;261;536;413;819;703;1409;1331;2651
115;236;118;241;122;246;133;257;170;348;268;529;408;827;705;1408;1323;2661
115;244;117;241;120;246;125;256;172;346;262;527;405;826;705;1415;1322;2660
122;238;118;248;120;246;125;255;170;346;260;535;406;828;696;1417;1329;2653
115;236;125;243;120;247;125;262;170;353;261;536;415;825;705;1408;1332;2658
115;236;117;241;121;246;132;258;170;355;260;528;415;827;706;1408;1322;2660
115;243;117;241;120;246;126;256;177;348;270;527;407;827;705;1408;1323;2661
115;238;118;249;120;246;125;256;171;346;262;527;406;826;698;1418;1323;2654
117;236;117;241;120;246;125;257;170;355;261;529;415;827;706;1408;1322;2660
115;244;117;241;120;246;126;256;177;346;270;527;406;827;706;1415;1323;2660
115;239;118;248;120;246;124;255;170;346;260;527;406;827;698;1417;1323;2653
117;237;117;243;120;248;124;263;170;354;260;536;414;825;704;1408;1324;2658
115;237;117;241;122;246;132;255;169;346;260;534;406;827;696;1417;1329;2653
115;236;125;243;120;248;124;262;170;353;261;536;415;826;706;1408;1325;2658
115;236;118;241;122;246;131;257;170;348;267;529;415;827;705;1408;1322;2660
115;244;117;241;120;246;125;255;179;345;270;527;405;827;706;1415;1323;2661
122;236;120;241;120;248;124;262;170;353;260;536;412;818;703;1410;1331;2651
115;237;117;241;120;245;125;258;170;355;260;528;415;827;706;1408;1323;2661
115;243;117;241;119;246;126;255;176;346;270;527;406;826;705;1415;1323;2660
122;239;117;249;120;246;125;255;170;346;260;534;405;827;698;1417;1323;2653
117;236;124;243;120;253;124;255;170;346;261;536;412;820;704;1410;1332;2651
115;244;117;241;120;246;127;255;177;346;270;527;406;826;705;1415;1323;2660
