0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
176;359;180;374;184;375;200;391;260;529;398;809;619;1249;1067;2142;2010;4027
178;366;182;375;186;382;194;398;261;527;404;809;626;1250;1074;2140;2012;4026
176;360;180;369;184;382;194;397;262;527;404;809;626;1249;1067;2140;2010;4027
176;361;181;369;184;382;194;398;261;528;397;810;624;1251;1067;2141;2010;4027
176;361;182;374;184;382;199;391;260;529;398;807;624;1251;1067;2140;2011;4027
178;366;183;375;186;382;195;398;262;534;404;809;627;1250;1067;2148;2011;4027
184;359;187;367;191;375;199;391;267;529;399;807;624;1252;1067;2141;2010;4027
178;366;182;375;186;382;194;398;262;535;404;809;627;1250;1067;2147;2010;4026
184;360;188;367;192;375;199;391;260;529;399;807;624;1251;1067;2141;2010;4026
178;367;182;374;186;382;194;398;262;534;404;809;626;1250;1067;2148;2011;4027
183;359;187;367;191;375;192;393;261;529;399;807;625;1250;1067;2140;2011;4026
178;367;182;375;187;382;194;398;263;534;404;809;626;1250;1068;2148;2010;4027
183;359;187;369;184;377;192;392;260;537;399;809;619;1257;1067;2142;2010;4027
178;359;180;367;193;375;199;393;260;529;399;809;619;1249;1067;2142;2011;4027
178;367;183;375;185;382;192;391;267;529;397;809;624;1252;1067;2140;2011;4026
176;361;180;369;184;377;192;393;261;536;399;809;619;1257;1067;2142;2010;4027
176;366;180;374;184;382;192;398;260;527;404;809;627;1249;1074;2140;2010;4026
177;361;181;368;184;377;192;392;261;536;399;809;619;1249;1067;2142;2010;4026
179;367;182;374;187;382;194;398;261;534;404;809;627;1250;1067;2140;2010;4030
177;361;180;368;184;377;193;393;260;536;398;809;619;1250;1067;2143;2010;4026
179;366;182;374;187;382;194;398;261;527;404;809;625;1250;1075;2140;2013;4026
176;361;181;369;184;376;192;398;262;534;405;802;627;1250;1067;2140;2010;4026
184;359;187;369;185;377;193;393;263;534;404;801;626;1250;1067;2140;2010;4027
184;359;188;367;184;377;192;393;263;534;404;801;626;1250;1067;2141;2011;4027
183;359;187;369;185;377;192;393;262;534;404;802;619;1250;1068;2140;2010;4026
184;359;187;367;191;375;199;390;267;529;397;810;624;1252;1067;2141;2010;4027
177;361;180;368;184;376;192;400;262;534;404;809;627;1250;1067;2147;2010;4027
184;359;187;367;191;375;199;391;260;529;398;807;624;1252;1067;2140;2010;4026
178;366;182;374;186;382;194;398;262;535;404;802;626;1249;1067;2141;2010;4026
183;359;188;367;191;375;199;390;267;529;399;807;624;1252;1067;2140;2010;4026
178;366;182;375;187;382;194;398;263;535;404;801;626;1249;1067;2141;2010;4027
183;359;188;367;184;375;192;392;260;536;399;809;619;1257;1067;2142;2010;4027
178;366;182;374;187;382;194;398;262;535;404;809;626;1250;1067;2140;2011;4028
176;361;181;369;185;377;192;392;261;529;399;809;619;1250;1068;2142;2010;4026
178;366;183;374;186;382;194;398;263;534;404;810;627;1250;1067;2140;2010;4029
176;361;180;369;184;377;192;392;261;529;399;807;619;1250;1067;2142;2010;4027
178;366;182;374;186;382;194;398;263;534;404;808;627;1250;1068;2148;2010;4027
184;359;188;367;192;375;192;392;262;535;406;802;619;1249;1067;2141;2010;4026
184;359;188;367;192;374;192;393;260;529;399;809;619;1251;1067;2142;2010;4026
179;366;182;374;186;382;194;398;262;535;404;809;626;1250;1067;2140;2010;4028
177;361;180;369;184;377;193;392;260;536;399;809;619;1257;1067;2142;2010;4027
177;366;180;374;184;382;192;397;261;527;404;809;626;1249;1074;2141;2011;4026
176;361;180;369;184;377;192;393;260;536;399;809;619;1257;1068;2143;2010;4027
178;367;182;375;186;382;194;398;261;527;403;809;626;1250;1074;2140;2010;4026
176;361;180;369;185;377;192;400;262;534;404;801;626;1250;1067;2140;2010;4027
184;359;187;367;191;374;200;391;260;529;398;807;624;1252;1068;2140;2010;4027
179;366;182;374;186;382;194;398;262;534;404;808;626;1249;1067;2148;2010;4026
184;361;181;369;185;377;192;398;262;534;404;809;627;1250;1067;2141;2010;4028
177;360;181;369;185;376;192;392;260;536;399;802;619;1256;1067;2140;2010;4027
177;359;181;367;184;375;199;391;267;529;396;809;625;1252;1067;2140;2010;4027
