0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
122;254;125;257;129;265;137;280;188;385;292;597;464;932;812;1624;1532;3077
120;249;125;255;129;263;137;280;189;383;291;598;464;932;813;1624;1533;3077
120;249;124;255;129;264;137;281;188;383;291;598;464;932;812;1625;1532;3077
120;249;125;255;129;263;137;281;195;383;291;590;464;940;813;1622;1530;3078
120;247;124;256;129;264;137;280;196;383;298;591;464;939;812;1622;1530;3078
120;247;125;256;129;264;139;288;189;390;293;596;469;939;811;1632;1540;3076
122;255;124;265;128;266;137;281;188;385;291;598;464;932;813;1625;1533;3076
121;249;124;256;128;264;137;281;190;383;298;589;462;940;812;1630;1539;3077
127;248;125;255;130;271;137;282;189;392;291;596;469;939;813;1631;1540;3077
121;254;125;258;129;264;137;280;195;383;298;590;464;939;813;1622;1530;3079
121;247;125;255;129;263;139;287;190;390;293;589;462;940;811;1631;1540;3078
120;247;126;262;128;265;138;282;188;385;291;597;471;940;813;1625;1532;3077
120;249;124;257;129;264;137;281;195;384;291;590;464;940;812;1623;1531;3079
121;247;125;255;136;263;137;280;190;391;300;588;462;940;811;1630;1538;3077
128;247;126;262;129;273;137;282;188;385;291;598;469;940;812;1632;1540;3077
120;249;125;258;128;263;137;281;195;383;298;591;464;940;812;1623;1531;3079
120;247;125;256;136;264;144;281;189;383;298;589;462;940;806;1630;1537;3077
128;247;125;255;131;271;137;282;188;392;293;596;469;939;812;1632;1540;3077
122;254;124;258;129;266;137;283;189;392;293;596;469;939;813;1632;1539;3077
122;254;125;257;128;266;137;281;188;383;291;597;463;932;813;1625;1532;3077
120;249;125;256;129;264;137;280;190;383;298;588;462;940;812;1630;1538;3077
129;247;124;256;131;270;137;283;188;385;291;598;471;939;812;1632;1540;3076
120;249;124;257;129;264;137;280;195;383;298;590;462;937;806;1622;1531;3076
120;247;133;255;129;263;139;287;189;390;293;596;469;939;811;1632;1539;3076
123;254;125;265;129;266;137;280;189;383;291;598;464;932;813;1624;1532;3077
120;249;124;256;128;264;137;280;189;383;291;598;464;932;813;1625;1533;3076
121;249;125;258;129;266;137;283;189;385;291;598;471;940;813;1631;1539;3076
121;256;125;257;129;263;137;280;196;383;291;591;464;940;812;1622;1530;3078
120;247;124;256;128;264;138;288;191;391;293;596;469;939;810;1632;1539;3076
123;254;125;264;129;266;137;280;189;383;291;598;464;932;813;1625;1533;3076
121;249;125;255;129;263;145;280;191;384;298;589;462;939;805;1630;1538;3076
127;247;124;255;130;271;137;290;188;392;291;596;469;939;813;1631;1539;3077
121;254;125;257;129;266;137;281;189;383;291;598;464;933;812;1625;1532;3076
121;249;125;255;129;264;144;280;188;383;298;589;462;939;813;1630;1538;3076
128;247;124;256;130;271;137;282;189;393;291;597;471;939;812;1632;1540;3077
120;249;125;257;129;263;137;280;188;383;291;598;463;932;813;1625;1532;3077
120;249;124;255;129;264;137;281;191;383;299;589;461;939;805;1630;1538;3076
121;247;125;255;131;271;137;282;189;392;293;596;469;940;813;1632;1540;3077
122;255;124;257;129;266;137;280;189;383;292;599;464;932;812;1624;1533;3076
120;249;125;255;129;264;137;281;188;383;292;599;464;940;812;1625;1531;3077
120;248;124;256;136;263;137;281;191;383;298;589;462;940;812;1630;1538;3076
127;247;124;256;130;271;137;282;188;385;291;598;472;940;813;1631;1539;3077
121;249;125;257;128;264;137;280;196;383;298;591;464;940;812;1622;1530;3077
121;247;132;255;136;263;139;287;190;390;293;589;462;940;811;1632;1538;3077
120;247;127;263;128;266;138;283;188;385;291;597;471;940;813;1625;1532;3076
120;249;125;257;128;264;137;281;195;384;298;591;464;940;812;1623;1530;3078
121;247;125;255;129;263;139;287;190;390;293;596;469;939;812;1632;1540;3076
120;247;126;262;129;265;137;282;188;385;292;598;471;939;814;1625;1532;3076
120;249;124;257;129;264;137;280;196;383;299;591;464;937;806;1622;1531;3076
121;247;131;255;129;271;137;287;188;392;293;596;469;939;813;1632;1539;3076
122;254;125;257;129;264;137;280;189;383;291;598;464;939;813;1624;1531;3078
120;247;124;256;136;264;139;288;191;390;293;596;470;939;810;1633;1540;3076
120;255;124;258;128;266;137;280;188;383;291;597;464;932;813;1624;1532;3076
120;249;124;255;129;264;144;280;191;390;301;589;462;939;811;1629;1538;3076
127;247;126;263;129;271;137;283;188;385;291;598;471;939;813;1631;1540;3077
121;249;125;257;128;264;137;281;196;383;298;590;463;937;806;1623;1531;3077
120;248;131;256;129;264;139;287;190;390;293;589;462;939;811;1632;1538;3076
120;247;127;263;129;266;137;283;189;385;291;598;469;940;812;1631;1540;3077
120;257;124;257;129;264;137;280;195;383;291;590;464;939;813;1622;1531;3079
120;247;124;256;129;264;139;288;190;390;293;596;469;940;811;1632;1540;3077
120;254;125;262;129;266;137;280;188;383;291;597;464;932;812;1624;1533;3077
121;249;124;256;129;264;144;280;188;384;298;588;462;939;806;1629;1538;3077
128;247;125;255;130;271;139;288;189;392;293;596;470;939;813;1632;1540;3077
122;254;124;257;129;266;137;280;189;383;291;598;464;932;812;1624;1532;3078
121;249;124;256;129;264;137;281;195;383;298;591;464;940;805;1622;1530;3078
120;247;132;255;129;264;139;288;191;390;293;596;469;939;811;1632;1540;3077
120;255;124;263;129;265;137;284;189;385;292;598;471;932;812;1624;1532;3077
