0B-A;0B-V;8B-A;8B-V;16B-A;16B-V
62;138;63;136;66;135
62;130;65;134;64;136
62;130;64;134;64;137
61;130;64;134;64;137
62;130;63;133;64;144
62;130;64;133;64;135
62;130;64;134;64;135
62;130;66;134;64;135
62;130;66;134;64;135
61;131;66;134;65;135
61;130;65;133;64;135
62;130;70;135;64;135
62;130;63;135;64;135
62;130;64;143;64;135
61;131;64;133;64;135
62;130;64;134;64;135
64;131;64;134;64;135
69;132;63;134;64;135
62;132;64;133;64;136
62;132;63;133;64;135
62;132;64;134;65;135
62;132;64;134;65;135
62;132;64;133;64;135
62;137;63;134;64;135
62;131;64;134;66;135
62;130;63;134;71;137
62;131;64;133;64;137
62;131;64;134;64;137
62;130;63;134;65;143
61;130;63;133;64;136
62;130;65;134;65;135
62;131;65;134;65;135
62;131;71;135;64;135
62;130;63;135;64;135
61;130;64;143;64;136
62;131;64;133;65;135
64;130;64;134;65;135
62;133;64;134;64;136
61;140;64;134;64;136
62;131;64;133;66;136
62;130;64;134;66;135
62;130;64;133;66;135
61;130;64;134;64;137
62;130;64;134;64;137
62;130;64;134;64;138
62;130;64;133;64;145
62;131;63;133;65;142
62;131;65;134;64;135
61;131;65;134;64;136
62;130;71;136;64;135
62;130;63;143;64;135
61;130;63;133;64;135
62;130;63;134;64;135
64;131;64;134;64;135
64;130;63;134;64;135
64;130;64;133;64;135
64;130;63;134;64;136
69;132;64;133;64;135
62;133;63;133;64;135
62;137;63;134;65;135
62;131;64;133;66;135
62;130;63;133;71;137
62;130;64;134;71;138
61;130;63;133;64;137
62;130;64;133;65;138
62;130;64;133;64;137
62;130;64;134;64;142
62;131;64;134;65;135
62;131;66;134;65;135
62;130;66;133;64;135
62;130;64;135;64;135
62;130;64;135;65;135
62;131;63;136;64;135
62;131;63;135;65;135
62;130;63;136;64;135
62;130;63;142;64;135
62;130;63;141;64;135
64;130;63;134;64;136
64;131;63;134;64;135
64;130;63;133;64;135
64;130;64;133;64;135
62;132;63;133;64;135
62;140;63;134;65;135
62;137;64;133;64;135
62;131;63;134;67;135
62;130;63;134;64;137
62;130;63;134;64;137
62;130;64;133;65;144
61;130;63;134;64;135
62;130;65;134;64;135
61;130;66;134;64;135
62;130;71;136;64;135
62;131;63;135;64;135
62;131;64;135;64;135
62;131;64;141;65;136
62;130;63;134;64;135
62;130;63;134;64;135
63;130;64;134;64;135
62;132;64;133;64;136
62;132;64;134;64;136
62;132;63;134;64;136
62;132;64;133;64;135
62;132;64;133;64;135
61;132;64;133;64;135
62;137;64;133;64;135
62;130;63;134;66;136
62;130;63;134;72;137
62;131;63;134;65;137
62;130;63;133;64;137
62;130;63;133;64;137
62;130;63;134;65;144
62;130;63;133;64;143
61;130;63;133;65;143
62;131;65;134;64;135
62;131;65;134;65;135
62;131;67;133;65;135
62;131;63;136;64;135
62;130;63;136;65;135
62;130;63;143;64;135
62;131;64;141;64;135
63;130;63;134;64;135
63;130;64;133;64;135
64;130;63;133;65;135
70;132;63;134;64;135
62;132;64;134;65;135
62;138;63;133;65;135
62;130;63;133;66;135
62;130;64;134;66;135
62;130;63;133;64;137
62;130;63;134;65;137
62;131;63;134;64;143
62;131;64;134;65;135
62;131;66;134;64;136
61;131;66;134;64;135
62;131;71;135;64;136
62;130;63;144;64;135
62;131;63;133;65;135
64;130;63;133;65;135
69;132;63;133;64;135
62;133;63;133;64;136
62;132;64;134;65;136
61;132;63;134;64;136
61;138;64;134;64;135
62;130;63;134;66;135
61;131;64;134;71;137
62;131;63;134;64;137
62;130;63;134;64;137
61;131;64;134;64;137
61;130;64;133;64;137
62;130;64;133;64;142
62;130;63;134;64;142
62;130;65;133;64;135
62;130;65;133;64;135
62;130;65;133;64;135
61;131;65;134;64;136
62;131;64;136;64;136
62;131;64;135;65;136
62;131;63;135;64;135
62;130;64;136;65;135
62;130;64;141;65;135
62;130;64;134;64;135
64;130;63;134;65;135
62;132;63;133;64;135
61;133;64;134;64;136
62;140;63;134;64;135
62;138;63;134;64;135
62;130;63;133;66;135
62;130;64;133;66;136
62;130;63;134;66;135
62;130;63;134;64;137
62;130;63;134;65;137
61;130;64;133;64;137
62;130;63;133;64;137
62;131;63;133;64;137
62;131;63;134;64;144
61;131;63;133;64;143
62;131;63;134;64;135
61;130;66;134;64;135
62;130;65;134;64;135
62;130;65;134;64;135
62;130;71;136;65;135
62;131;64;136;64;135
62;131;63;136;64;136
62;131;63;143;64;135
61;130;63;134;65;135
64;130;64;134;64;135
69;132;63;133;64;135
62;132;63;134;64;136
61;132;63;134;65;135
62;138;64;134;64;135
62;131;64;134;66;135
62;130;64;134;67;135
62;130;64;134;67;135
62;131;64;134;64;137
62;130;64;134;64;137
62;130;64;133;64;138
62;130;64;133;65;143
62;130;63;133;64;136
62;131;65;133;65;135
62;130;65;134;64;135
62;130;65;133;64;135
62;130;71;135;64;135
62;130;63;135;65;135
62;130;64;135;65;135
61;130;64;136;64;135
61;130;64;141;65;136
62;131;64;133;65;135
63;131;63;133;64;135
69;132;63;133;64;135
62;133;63;134;64;135
61;138;64;134;64;135
62;138;64;133;66;135
62;131;64;133;67;136
62;130;63;133;71;137
62;130;64;134;64;137
62;131;64;134;64;137
61;130;64;133;64;142
62;131;64;134;64;142
62;130;65;133;65;135
62;130;65;134;64;135
62;131;63;136;64;136
62;130;64;136;64;135
62;131;64;141;64;135
62;130;64;134;64;135
64;131;64;134;64;135
69;132;64;134;65;136
61;132;63;134;65;135
62;133;64;134;64;135
62;132;64;134;64;135
61;138;64;133;64;135
62;130;63;134;66;135
62;130;63;134;66;135
62;130;63;133;71;137
62;130;63;134;64;138
62;130;64;134;64;137
62;130;63;134;65;143
61;130;63;133;64;135
62;130;65;134;64;135
62;130;64;136;64;136
62;130;64;135;64;135
62;130;63;135;64;135
61;130;63;135;64;135
62;130;64;140;64;135
62;130;63;134;64;136
64;130;63;134;64;135
69;132;63;133;64;135
62;132;63;134;64;135
62;138;63;134;64;136
61;131;63;133;66;136
62;131;64;133;66;135
62;130;64;134;66;135
62;130;63;133;66;135
62;130;63;133;64;137
62;130;63;133;64;137
62;130;63;133;64;137
62;130;64;134;64;142
62;130;64;133;64;142
62;130;66;133;64;136
62;130;66;134;64;135
62;130;66;133;64;135
61;131;71;136;64;135
62;130;63;136;64;135
62;130;63;135;64;135
62;131;63;136;64;135
62;130;63;136;64;135
62;130;63;135;64;135
62;131;64;135;65;136
62;131;64;141;65;135
62;130;63;133;64;135
64;131;63;134;65;136
61;133;63;134;64;136
62;132;64;134;64;136
62;132;64;134;65;135
62;132;64;133;64;135
62;137;63;134;65;135
62;130;63;134;66;135
62;131;63;134;66;135
62;130;63;134;66;135
61;130;63;134;72;137
62;130;64;134;64;144
62;130;63;134;64;135
62;130;65;133;64;135
62;130;65;134;64;135
61;130;63;135;64;135
62;131;64;141;65;135
62;130;64;134;64;135
64;131;64;134;64;135
64;130;63;133;64;136
61;132;63;134;64;135
62;138;64;134;65;135
62;130;63;133;66;135
62;130;63;134;66;135
61;130;63;133;64;137
62;130;64;133;64;145
62;131;64;134;64;135
62;130;65;133;64;135
62;131;66;134;64;135
62;130;65;134;65;135
61;131;66;134;64;135
62;131;65;134;64;135
62;131;71;136;64;136
62;130;63;135;64;135
61;130;64;141;64;135
61;130;64;142;64;135
63;130;63;134;64;135
63;130;64;134;65;135
62;132;64;134;64;135
62;132;64;133;64;135
62;137;63;133;65;135
62;131;64;133;66;135
62;130;63;133;66;135
62;131;63;133;66;135
62;130;64;133;72;137
62;130;64;133;65;137
62;130;63;133;65;138
62;130;63;134;64;138
62;130;63;133;64;138
62;130;64;134;64;137
61;130;64;134;64;144
62;130;63;134;64;143
62;130;66;133;64;135
62;130;65;134;64;135
62;131;71;135;64;135
62;130;64;143;65;135
62;131;64;133;64;135
63;130;64;134;64;136
64;130;63;133;64;135
69;133;64;134;65;136
62;133;64;134;64;135
62;133;63;133;64;135
62;138;63;134;65;135
61;138;64;133;67;136
62;130;64;134;66;135
61;130;63;133;65;137
62;130;63;134;65;137
62;131;64;134;64;143
62;130;63;134;65;135
62;131;65;133;65;135
61;131;71;136;65;136
62;130;64;136;65;136
62;130;64;135;64;135
62;130;63;135;64;135
61;130;64;143;64;136
62;130;64;134;64;135
62;130;63;133;64;135
63;130;63;134;64;135
63;131;63;134;64;135
69;132;64;134;65;135
62;132;64;134;64;136
62;132;64;134;64;135
62;140;64;134;64;135
62;131;63;134;67;135
61;130;64;134;66;135
61;130;64;134;66;135
62;130;63;134;66;135
62;131;63;133;72;137
62;131;63;134;64;137
62;131;63;133;64;143
61;131;63;134;64;136
62;130;65;133;64;135
62;131;71;135;65;136
62;130;71;136;64;143
62;130;63;133;64;136
62;137;63;134;65;135
62;130;64;134;67;135
61;131;64;134;71;137
62;130;63;133;64;137
61;130;64;134;64;143
62;131;64;134;64;135
62;130;66;133;64;135
62;130;63;136;64;135
61;130;64;136;65;135
