0B-A;0B-V;8B-A;8B-V;16B-A;16B-V
98;203;101;209;104;215
98;203;102;210;106;214
98;205;109;210;104;215
98;210;101;209;104;214
98;203;103;210;104;217
98;205;102;210;112;215
98;203;101;217;104;223
98;202;101;210;104;216
98;203;101;210;106;215
98;204;109;209;104;222
98;203;102;212;103;215
98;203;102;210;106;215
98;205;109;210;104;222
98;203;101;212;112;215
98;210;102;210;104;217
98;202;101;210;104;215
100;203;101;212;111;214
98;210;101;209;104;216
105;203;101;217;104;214
98;205;102;210;104;215
98;203;103;210;104;216
106;203;101;217;104;214
98;205;109;209;104;222
98;203;101;212;104;215
98;210;101;210;104;217
98;203;102;210;104;214
100;203;102;211;111;215
98;210;101;209;104;217
106;203;101;217;104;214
98;203;101;210;104;215
98;202;103;210;104;217
105;203;102;210;105;215
98;205;101;210;103;222
98;202;101;211;112;215
98;210;101;210;104;215
98;203;101;210;104;215
100;203;101;211;111;215
98;210;101;209;104;216
98;203;101;217;104;214
98;203;101;210;104;222
98;203;101;210;103;216
98;203;102;210;106;215
98;204;109;210;104;222
100;203;101;211;111;215
98;210;102;209;104;216
106;202;101;216;104;215
98;205;101;210;103;222
98;203;103;210;103;216
105;203;101;217;104;214
98;205;109;210;104;222
98;203;102;211;104;215
98;210;102;210;104;215
98;203;102;210;104;215
100;203;101;212;111;215
98;210;102;210;104;216
98;203;102;218;104;215
98;204;102;210;104;215
98;203;103;210;104;217
105;203;102;209;106;214
98;205;109;209;104;222
98;203;101;211;104;215
98;210;101;209;104;214
98;203;101;210;104;215
99;203;101;211;111;214
98;210;102;209;104;217
105;202;102;217;104;215
98;204;101;210;104;222
98;203;103;210;104;217
105;203;102;217;104;215
98;205;109;209;104;221
98;203;101;211;104;214
98;202;102;209;106;215
98;204;108;210;104;222
98;202;101;212;111;214
98;211;102;210;104;215
98;203;102;210;104;214
100;203;102;211;111;215
98;210;102;210;104;217
105;203;101;217;104;214
98;205;102;209;104;222
98;203;101;210;104;214
98;203;101;209;106;215
98;205;101;210;104;222
98;203;101;211;111;214
98;210;102;209;104;216
98;203;102;217;104;215
100;203;101;212;111;214
98;210;101;210;103;216
105;203;101;217;104;215
98;205;101;210;104;222
98;203;102;210;104;217
98;203;101;210;106;214
98;205;109;209;104;222
100;203;102;212;111;215
98;210;103;210;104;217
105;203;101;217;104;215
98;205;101;210;104;215
98;203;103;209;104;217
106;203;101;216;105;214
98;205;109;210;103;222
98;203;101;212;103;215
98;203;101;210;106;215
98;205;109;210;104;222
98;203;102;211;111;215
98;211;101;210;104;216
98;203;101;216;104;214
98;203;102;209;104;215
98;203;103;209;104;216
105;203;101;217;104;214
98;204;108;209;104;222
98;203;101;212;104;215
98;211;101;209;104;216
98;203;101;210;104;215
100;203;101;211;111;215
98;210;103;210;104;216
105;202;101;217;104;214
98;205;101;209;104;222
98;203;103;209;104;216
98;203;101;210;106;215
98;204;108;209;104;222
98;203;101;211;111;215
98;210;101;209;104;216
98;203;101;217;104;214
100;202;101;211;111;214
98;210;101;209;104;216
106;203;101;217;104;215
98;205;102;209;104;215
98;203;103;209;104;216
105;203;101;217;104;214
98;204;108;210;104;222
98;203;101;211;104;215
98;210;101;209;105;214
98;205;101;210;104;222
99;203;102;211;111;215
98;210;101;209;104;216
105;203;101;217;104;215
98;205;101;209;104;222
98;203;102;211;103;215
98;202;101;209;105;214
98;205;109;209;104;222
99;203;101;211;111;215
98;210;101;210;104;217
105;203;101;217;104;214
98;205;102;210;104;222
98;203;102;211;104;214
98;203;102;209;106;214
98;205;109;209;104;222
98;203;102;212;111;215
98;210;101;210;104;217
98;203;102;217;104;215
100;203;102;212;103;215
98;210;103;210;104;217
105;203;102;217;104;215
98;204;108;210;104;222
98;203;102;212;104;215
98;210;102;210;104;215
98;206;101;209;104;215
100;203;101;212;104;214
98;203;103;209;103;216
105;203;102;217;104;215
98;205;108;210;103;222
98;203;102;211;103;214
98;210;101;209;105;215
98;204;102;209;104;222
99;203;102;211;111;215
98;210;103;210;103;217
106;203;102;217;104;215
98;204;109;210;104;222
98;202;102;210;104;215
98;203;101;210;106;215
98;205;101;210;104;221
100;203;102;212;111;215
