0B-A;0B-V;8B-A;8B-V;16B-A;16B-V
69;144;72;150;74;155
68;144;72;150;74;155
68;144;72;150;74;155
68;143;72;157;74;155
69;144;72;150;74;155
68;143;79;152;74;162
68;144;71;150;74;155
68;143;73;150;81;157
68;145;71;157;74;155
68;144;72;150;74;155
69;144;72;150;74;155
69;144;74;150;74;155
68;144;74;150;74;162
68;143;74;150;74;162
68;143;74;150;74;162
68;143;73;150;74;162
68;143;73;150;74;162
68;143;73;150;74;162
68;143;73;150;74;162
68;143;72;150;74;162
68;144;73;150;74;162
69;143;73;150;74;162
69;143;71;150;74;157
68;144;71;150;74;157
68;144;72;150;74;157
69;143;72;150;81;157
69;144;72;150;81;157
68;144;72;150;81;157
69;143;72;150;81;156
68;144;72;150;76;155
69;143;72;150;76;154
68;143;72;150;76;154
68;143;71;150;77;154
68;143;72;150;76;155
68;144;71;150;74;155
68;144;72;150;76;154
69;144;71;150;77;154
69;143;71;150;76;154
68;143;71;150;76;154
68;143;72;150;75;155
68;144;72;150;75;155
69;152;72;150;76;155
68;150;72;150;74;154
68;150;72;150;76;154
68;151;72;150;76;155
69;151;71;150;76;155
68;150;71;150;76;154
68;151;71;150;74;155
68;151;72;150;74;154
68;146;71;150;74;155
75;146;71;150;74;155
75;146;72;150;74;155
70;143;72;150;74;155
69;144;71;150;74;155
71;143;71;150;74;155
70;143;71;157;74;155
70;143;72;157;74;155
70;144;72;158;74;155
70;144;72;157;74;155
70;144;72;157;74;155
68;143;71;157;74;154
69;143;71;157;74;155
68;143;71;158;74;155
69;144;72;151;74;155
68;143;79;152;74;155
69;143;71;152;74;155
68;144;72;152;74;155
69;143;71;151;74;154
68;144;72;152;74;155
68;144;72;152;74;155
69;143;72;152;74;154
69;144;71;151;74;154
68;144;78;152;74;154
68;144;79;152;74;155
68;143;74;150;74;162
68;144;73;150;74;155
69;144;74;150;74;162
69;144;74;150;74;162
68;143;72;150;73;162
68;144;72;150;74;162
69;144;72;150;74;156
68;144;72;150;74;156
68;144;72;150;74;157
68;143;72;150;74;156
69;144;72;150;74;157
68;144;72;150;74;157
69;143;72;150;74;157
68;143;72;150;81;157
68;143;72;150;74;157
69;143;72;150;74;156
68;144;72;150;74;156
69;144;72;150;74;157
68;143;72;150;81;156
68;143;72;150;81;156
68;143;71;150;74;155
69;143;72;150;76;155
68;143;72;150;76;155
69;151;71;150;76;155
68;151;71;150;76;155
68;143;72;150;74;154
