0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
115;236;117;243;120;247;177;367;246;484;363;741;619;1237;1123;2237;2117;4244
114;238;118;241;120;255;179;360;246;484;362;741;621;1237;1115;2236;2115;4244
114;238;117;241;119;248;177;370;246;484;362;741;620;1237;1123;2236;2117;4245
115;238;117;243;120;246;177;369;241;484;370;740;619;1236;1118;2244;2115;4239
115;238;117;242;120;248;177;370;240;484;370;741;620;1236;1117;2244;2116;4246
115;238;117;241;120;246;177;362;238;494;365;732;611;1244;1115;2238;2115;4237
115;236;125;241;122;253;179;360;247;484;370;741;620;1236;1115;2237;2115;4244
115;238;118;241;119;248;177;369;239;491;372;734;612;1236;1117;2243;2115;4239
115;236;117;241;127;245;179;361;248;484;370;741;620;1236;1115;2237;2116;4245
115;239;117;241;119;248;177;362;239;493;372;734;612;1243;1116;2238;2115;4237
115;236;117;241;120;245;185;360;246;484;363;742;619;1237;1116;2236;2115;4237
115;244;117;243;120;256;179;360;246;484;370;741;619;1236;1115;2237;2115;4245
115;239;117;241;120;246;177;360;238;486;362;739;618;1238;1115;2237;2116;4237
122;236;117;241;120;246;177;362;238;491;370;733;612;1236;1118;2245;2116;4239
115;236;118;241;120;246;185;360;247;484;363;741;621;1236;1115;2237;2115;4244
115;239;118;241;120;246;177;360;238;486;362;741;619;1236;1115;2237;2123;4237
117;245;117;243;119;248;179;367;241;484;370;741;620;1237;1117;2244;2116;4240
115;238;117;241;120;248;176;370;239;492;372;734;612;1236;1115;2245;2115;4238
115;236;117;241;119;245;177;368;247;484;363;741;620;1237;1115;2237;2115;4236
115;243;117;243;120;253;178;367;248;484;370;741;620;1236;1116;2236;2115;4244
115;238;117;243;120;253;179;367;248;484;370;740;619;1237;1115;2236;2115;4245
115;238;118;241;120;247;177;369;241;484;370;741;620;1237;1117;2245;2115;4239
115;236;117;243;120;248;177;369;240;484;370;741;619;1238;1117;2244;2116;4239
115;236;117;241;120;246;177;367;247;484;362;741;620;1237;1123;2236;2117;4245
115;244;117;250;119;248;177;370;239;493;372;733;613;1244;1115;2238;2115;4238
115;236;124;241;120;246;177;360;239;494;364;739;611;1239;1115;2237;2116;4237
115;236;117;241;119;246;184;360;239;486;363;741;617;1236;1115;2237;2122;4237
