0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
120;249;124;258;129;273;190;389;263;517;390;795;667;1336;1208;2423;2295;4605
122;247;124;262;128;264;195;381;255;526;399;788;662;1334;1209;2422;2302;4595
121;248;125;255;129;264;188;383;256;525;392;793;660;1342;1207;2428;2296;4595
120;247;125;255;128;264;187;381;255;525;392;786;661;1341;1209;2429;2303;4596
120;247;131;255;131;264;194;382;262;516;390;795;668;1336;1207;2423;2296;4604
122;255;124;264;128;273;187;389;257;516;397;795;669;1335;1208;2421;2294;4604
121;249;124;255;129;264;188;384;255;527;391;793;660;1343;1207;2430;2297;4595
120;247;131;256;129;264;187;391;257;524;397;796;668;1334;1208;2421;2296;4604
121;256;125;257;129;273;190;389;264;517;397;795;668;1334;1208;2421;2295;4604
121;256;125;258;129;266;188;391;255;526;400;788;668;1334;1215;2421;2302;4597
120;249;125;257;129;266;187;384;255;524;399;795;668;1335;1215;2421;2302;4598
121;249;125;255;129;264;195;382;255;519;389;795;667;1336;1207;2431;2294;4604
120;247;125;255;129;271;188;391;255;524;399;788;669;1335;1215;2421;2302;4597
121;247;124;256;129;264;196;382;262;517;390;795;669;1336;1207;2424;2295;4606
122;254;125;258;128;265;188;383;255;526;392;786;661;1341;1209;2429;2305;4595
120;247;132;256;130;264;190;389;257;517;397;795;668;1334;1208;2421;2295;4605
120;249;124;255;129;264;188;381;255;518;389;796;667;1336;1207;2430;2295;4604
120;247;125;264;129;266;188;384;256;526;399;788;662;1334;1210;2422;2302;4596
121;247;124;256;135;264;189;382;264;516;390;795;668;1334;1208;2421;2295;4605
121;249;125;258;128;264;187;382;255;519;390;793;659;1344;1208;2431;2296;4602
128;247;126;262;129;272;188;391;255;526;399;788;669;1334;1215;2422;2301;4598
121;247;125;255;129;264;195;382;262;517;390;795;669;1336;1207;2423;2294;4605
123;254;125;257;129;265;188;384;255;526;399;788;662;1335;1210;2422;2301;4595
120;247;125;255;136;264;190;381;265;517;390;795;669;1334;1207;2422;2294;4605
120;249;124;258;129;264;188;382;255;519;390;795;659;1343;1207;2431;2297;4604
128;247;126;263;129;273;187;391;255;526;399;788;661;1334;1209;2421;2302;4596
120;247;124;255;136;264;189;382;264;517;390;795;668;1334;1208;2421;2294;4605
120;257;125;257;129;263;188;382;255;518;390;796;659;1343;1208;2430;2297;4603
128;247;126;263;129;273;188;391;256;526;399;788;669;1334;1215;2422;2302;4598
120;247;125;255;136;263;195;382;262;516;390;796;668;1334;1207;2423;2295;4605
120;256;124;257;129;264;188;382;255;518;390;795;659;1344;1208;2430;2296;4602
128;247;127;263;128;266;188;391;256;526;399;788;669;1334;1214;2421;2301;4597
120;247;125;255;136;264;195;382;262;516;389;795;668;1334;1208;2424;2295;4605
121;256;125;257;129;263;188;382;255;519;390;793;660;1343;1208;2431;2296;4602
127;247;127;263;128;273;187;391;255;526;399;788;662;1334;1210;2422;2302;4596
120;247;125;256;136;264;196;382;263;517;389;795;668;1336;1207;2423;2294;4605
122;254;124;258;129;266;188;391;255;526;399;788;668;1334;1214;2421;2302;4597
120;247;125;255;129;264;188;382;255;525;392;787;661;1342;1211;2429;2303;4595
120;247;132;256;131;264;190;389;257;516;398;795;668;1335;1207;2422;2294;4605
120;249;125;256;129;264;188;382;255;519;390;796;667;1343;1207;2431;2294;4603
120;247;125;262;129;265;188;384;255;526;399;788;661;1334;1210;2422;2302;4595
120;247;124;256;136;264;189;382;265;517;390;795;669;1335;1208;2421;2295;4604
120;256;125;257;128;264;188;382;255;519;390;793;659;1343;1208;2430;2296;4603
127;247;126;262;129;273;188;391;255;525;399;788;668;1335;1214;2422;2302;4597
121;247;125;255;136;264;195;381;262;516;390;795;669;1334;1207;2424;2295;4604
121;255;124;257;129;266;188;384;255;526;399;788;668;1334;1214;2421;2302;4597
120;247;125;256;129;264;195;382;262;516;390;795;668;1336;1207;2423;2295;4605
122;255;124;258;129;266;188;384;255;525;392;786;661;1341;1209;2429;2304;4595
120;247;132;255;131;263;190;390;257;516;397;795;668;1335;1207;2421;2295;4605
121;249;125;255;129;263;188;382;255;518;390;795;659;1344;1208;2430;2297;4603
129;247;126;263;129;273;188;391;255;526;399;788;661;1334;1210;2421;2302;4596
