0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
167;351;175;352;181;363;272;531;357;729;555;1108;933;1874;1689;3403;3220;6456
168;342;182;353;185;363;270;531;357;729;555;1107;931;1872;1690;3395;3229;6446
175;342;181;352;186;363;270;531;357;729;555;1107;933;1872;1689;3403;3222;6446
177;342;182;353;188;363;271;531;357;729;555;1107;933;1873;1690;3404;3220;6456
168;350;173;362;179;372;262;531;364;730;555;1107;933;1872;1698;3404;3220;6455
168;351;173;362;187;363;263;532;357;730;546;1108;933;1865;1699;3394;3228;6446
167;342;173;352;178;363;262;532;357;729;555;1107;932;1870;1691;3394;3229;6447
175;342;173;353;178;363;262;540;357;730;546;1108;933;1865;1700;3394;3227;6446
167;342;173;353;178;363;262;531;356;729;555;1108;931;1871;1692;3394;3230;6446
175;342;181;353;185;363;269;531;357;729;555;1108;934;1872;1689;3403;3222;6447
177;342;183;353;187;363;271;531;357;729;555;1108;933;1872;1690;3404;3220;6454
170;342;175;353;180;363;271;531;357;729;555;1107;933;1872;1696;3403;3221;6455
168;351;173;362;178;373;263;539;366;730;547;1108;933;1872;1698;3396;3220;6456
168;351;173;362;179;372;262;540;366;720;546;1109;933;1873;1699;3394;3220;6448
168;344;173;354;178;365;262;540;359;720;546;1108;933;1872;1698;3394;3220;6446
168;342;173;353;178;363;263;540;357;729;554;1107;933;1865;1698;3394;3227;6447
168;342;173;353;179;363;262;531;357;729;555;1107;933;1863;1691;3394;3229;6446
176;342;180;352;186;363;270;531;357;729;555;1107;933;1873;1690;3404;3221;6446
177;342;182;352;188;363;272;531;357;730;555;1107;933;1873;1690;3404;3220;6456
168;350;173;359;178;373;264;531;364;730;555;1107;933;1873;1697;3403;3220;6456
168;351;173;362;178;372;262;540;366;722;547;1107;934;1873;1698;3397;3220;6455
167;351;173;361;178;372;262;540;367;720;546;1109;933;1872;1699;3394;3220;6448
168;344;173;355;179;365;262;540;359;720;546;1107;933;1873;1699;3394;3220;6447
168;342;173;353;179;363;262;540;357;729;553;1108;933;1866;1698;3395;3227;6446
167;342;173;353;178;363;263;531;357;729;555;1107;931;1863;1691;3394;3229;6446
