0B;8B;16B;32B;64B;128B;256B;512B;1024B
269;316;371;482;700;1146;2025;3781;7304
264;326;379;488;705;1143;2026;3786;7305
262;318;379;488;705;1144;2025;3788;7313
262;319;379;488;708;1143;2027;3788;7312
262;317;373;489;707;1151;2025;3789;7307
269;317;373;482;707;1144;2025;3781;7306
269;324;371;482;700;1145;2025;3788;7305
264;324;378;480;706;1144;2025;3786;7305
262;319;379;488;706;1144;2025;3789;7312
262;319;378;488;706;1144;2025;3788;7311
262;317;373;489;707;1151;2025;3788;7307
270;317;374;489;708;1151;2025;3788;7307
269;317;373;482;707;1144;2025;3781;7306
269;317;372;482;700;1147;2025;3781;7305
265;324;371;480;701;1144;2025;3786;7305
262;318;378;487;706;1143;2025;3788;7313
262;319;380;487;708;1143;2027;3789;7312
263;317;373;489;707;1152;2025;3788;7307
270;316;373;490;707;1150;2025;3788;7308
270;317;373;483;707;1144;2026;3780;7307
269;316;371;482;700;1146;2025;3781;7304
264;324;371;482;700;1146;2025;3788;7305
264;324;371;480;700;1144;2025;3786;7305
262;319;379;487;706;1144;2025;3789;7312
263;319;379;488;706;1144;2026;3788;7312
262;319;380;487;708;1144;2025;3788;7307
262;316;373;489;707;1150;2025;3788;7307
269;317;373;482;708;1143;2025;3782;7306
269;317;372;483;701;1143;2026;3781;7305
264;324;371;483;700;1145;2025;3788;7305
264;324;371;480;701;1143;2025;3786;7305
262;318;379;487;706;1143;2025;3788;7312
263;318;379;488;706;1144;2026;3788;7311
262;319;380;488;708;1144;2025;3788;7307
262;317;373;482;708;1143;2025;3781;7307
269;317;372;482;701;1144;2025;3781;7304
264;324;371;480;700;1144;2026;3786;7304
262;319;380;488;706;1144;2026;3788;7312
263;318;379;488;706;1143;2025;3788;7312
263;318;381;487;708;1144;2025;3789;7308
262;317;373;483;707;1145;2025;3781;7306
270;317;371;482;700;1145;2025;3780;7305
265;324;371;483;700;1144;2025;3786;7306
262;318;379;488;706;1144;2025;3789;7311
262;319;379;487;706;1144;2025;3788;7312
262;318;380;488;707;1143;2025;3787;7305
262;317;373;489;707;1151;2025;3788;7306
269;317;372;482;700;1144;2025;3780;7304
264;324;371;482;700;1145;2025;3787;7304
264;324;371;481;701;1144;2025;3786;7305
262;318;378;487;705;1143;2025;3789;7311
262;318;379;488;705;1143;2026;3788;7312
262;319;381;488;708;1144;2026;3788;7305
262;317;373;489;708;1151;2025;3788;7307
269;316;373;482;707;1144;2025;3781;7306
269;317;372;482;701;1144;2025;3780;7305
264;324;371;480;701;1143;2025;3786;7305
262;318;379;488;706;1143;2025;3788;7312
262;319;378;487;706;1144;2025;3789;7312
263;318;379;488;708;1144;2026;3788;7311
262;317;373;490;708;1151;2025;3788;7307
270;317;373;490;708;1143;2025;3787;7307
269;317;373;483;707;1144;2025;3781;7306
269;317;372;482;700;1144;2025;3780;7304
264;324;372;483;700;1146;2025;3788;7305
265;324;371;481;700;1144;2026;3786;7305
264;319;378;480;705;1143;2025;3787;7312
262;319;381;488;707;1143;2025;3788;7304
262;317;373;489;707;1151;2025;3788;7308
269;317;374;483;708;1144;2025;3781;7308
269;324;371;483;701;1145;2025;3782;7305
265;324;371;483;701;1147;2025;3788;7304
264;324;371;480;700;1144;2025;3786;7305
262;318;379;487;706;1144;2026;3788;7313
262;319;379;488;706;1144;2025;3789;7312
262;319;380;488;707;1144;2025;3788;7304
262;317;374;482;708;1143;2025;3781;7307
269;317;371;483;701;1144;2025;3781;7304
264;324;372;480;700;1144;2025;3786;7304
264;324;379;480;706;1144;2025;3786;7312
262;319;378;488;705;1144;2025;3788;7313
263;318;378;488;706;1144;2026;3788;7312
263;318;373;487;708;1144;2025;3788;7304
263;317;373;489;708;1151;2025;3788;7307
270;317;373;482;708;1143;2025;3781;7307
