0B;8B;16B;32B;64B;128B;256B;512B;1024B
263;326;372;479;696;1135;2007;3750;7229
263;324;380;480;703;1136;2007;3751;7229
262;325;380;480;703;1135;2007;3750;7229
263;324;380;480;704;1134;2006;3750;7229
263;325;380;480;704;1134;2007;3751;7228
263;317;380;481;703;1135;2006;3750;7228
263;324;379;480;703;1135;2006;3750;7229
263;324;379;480;703;1134;2006;3751;7229
263;324;380;481;703;1135;2006;3751;7228
263;324;380;480;704;1135;2006;3751;7228
263;325;380;480;704;1135;2007;3750;7229
262;324;380;480;704;1134;2006;3750;7230
263;324;380;481;703;1135;2007;3751;7229
263;324;379;480;703;1135;2006;3750;7228
263;325;380;481;703;1134;2006;3750;7229
263;324;380;481;703;1135;2007;3750;7230
262;324;380;480;703;1134;2007;3751;7228
263;326;373;478;696;1136;2006;3750;7228
263;326;373;479;696;1135;2007;3750;7229
263;325;372;478;696;1135;2006;3751;7229
263;326;380;478;696;1135;2006;3751;7228
263;326;373;478;696;1136;2006;3750;7228
263;327;372;478;696;1134;2006;3750;7230
263;324;380;479;696;1134;2006;3750;7229
263;326;373;479;696;1135;2006;3751;7229
263;326;379;478;696;1136;2007;3750;7228
263;326;372;479;696;1135;2006;3751;7229
263;326;373;478;696;1134;2006;3750;7230
263;326;373;479;696;1135;2006;3751;7228
263;326;373;478;696;1136;2007;3750;7229
263;326;372;479;696;1135;2006;3750;7229
263;326;372;478;696;1135;2006;3750;7229
263;325;372;479;696;1135;2007;3751;7228
263;326;372;478;696;1135;2007;3750;7228
263;327;372;479;696;1135;2007;3750;7230
263;326;372;478;696;1135;2007;3750;7229
263;326;373;478;696;1135;2007;3751;7229
263;326;372;478;696;1136;2007;3750;7228
263;327;373;478;697;1135;2007;3750;7229
263;324;380;480;703;1134;2007;3751;7229
263;324;380;481;704;1135;2007;3751;7228
263;324;379;480;703;1135;2006;3751;7228
263;325;379;481;703;1134;2006;3750;7229
262;324;380;481;703;1135;2007;3750;7230
263;324;380;481;703;1134;2006;3751;7229
263;317;380;487;704;1136;2006;3750;7228
263;316;380;487;703;1134;2007;3751;7231
263;317;380;487;704;1135;2007;3750;7238
263;317;380;488;703;1134;2006;3751;7231
263;317;380;487;703;1135;2006;3750;7229
263;317;379;487;703;1135;2007;3750;7229
263;317;380;488;704;1134;2006;3750;7231
263;317;380;488;704;1135;2007;3751;7230
263;317;380;488;703;1136;2007;3750;7230
263;317;380;487;704;1134;2006;3751;7229
262;317;380;487;703;1134;2006;3750;7231
263;317;380;488;703;1135;2007;3750;7230
263;316;379;488;703;1135;2006;3750;7228
263;317;380;488;704;1134;2007;3750;7229
