0B;8B;16B;32B;64B;128B;256B;512B;1024B
271;335;385;496;726;1174;2079;3871;7469
271;329;383;501;724;1179;2071;3870;7463
271;335;385;496;726;1174;2079;3871;7468
272;327;385;497;727;1172;2071;3871;7464
273;327;390;502;726;1172;2071;3869;7469
279;329;385;494;726;1171;2071;3865;7463
271;334;390;496;726;1174;2071;3869;7468
279;330;383;502;727;1171;2071;3864;7464
271;334;390;497;726;1174;2071;3871;7469
272;329;382;502;725;1178;2073;3872;7463
271;334;385;496;727;1174;2079;3871;7469
272;329;383;502;724;1179;2071;3871;7464
272;334;385;496;719;1172;2071;3872;7468
274;329;390;501;724;1171;2072;3871;7462
271;335;385;497;719;1171;2072;3871;7469
274;328;390;501;726;1171;2072;3871;7462
279;327;385;496;726;1171;2071;3871;7463
274;327;390;502;726;1172;2072;3869;7468
280;329;384;496;726;1171;2072;3870;7464
274;328;390;502;726;1172;2072;3870;7468
278;329;385;494;726;1172;2072;3864;7463
272;334;391;496;726;1173;2071;3871;7469
272;329;383;501;724;1178;2073;3871;7464
271;335;385;496;727;1174;2071;3872;7468
271;329;383;502;724;1180;2074;3871;7463
272;335;385;497;726;1173;2072;3871;7469
272;330;383;502;724;1179;2073;3871;7463
271;334;385;496;726;1173;2072;3871;7468
272;329;383;501;725;1179;2073;3871;7464
271;334;384;496;718;1174;2078;3871;7469
272;329;383;501;724;1178;2071;3872;7463
272;334;385;496;719;1172;2079;3870;7469
272;329;383;502;724;1178;2072;3871;7464
271;334;385;496;719;1171;2071;3871;7469
273;327;390;501;724;1171;2071;3871;7462
272;334;384;496;719;1172;2072;3870;7469
273;327;390;502;724;1172;2072;3871;7464
271;335;385;497;719;1172;2071;3872;7468
274;327;390;502;724;1171;2072;3871;7463
271;334;385;496;719;1172;2072;3871;7469
273;327;390;501;724;1171;2071;3871;7464
271;334;384;496;719;1172;2072;3871;7469
273;327;390;501;724;1172;2071;3870;7463
272;335;385;496;719;1171;2071;3870;7469
273;327;390;501;724;1171;2071;3871;7463
271;335;385;496;719;1172;2072;3871;7468
274;327;390;503;724;1171;2071;3870;7464
272;335;385;496;719;1172;2072;3871;7469
274;328;390;502;724;1172;2072;3872;7463
272;335;385;496;719;1172;2071;3871;7468
273;327;390;501;725;1171;2071;3871;7464
272;334;385;496;719;1171;2072;3872;7468
273;328;390;501;724;1171;2072;3871;7463
272;335;385;496;718;1171;2071;3871;7469
273;327;390;501;724;1172;2071;3871;7464
272;334;384;496;719;1171;2072;3872;7468
273;328;390;501;724;1171;2071;3871;7463
272;335;385;497;719;1172;2071;3871;7469
273;327;390;502;724;1171;2072;3871;7463
271;335;385;496;719;1171;2072;3871;7468
273;327;390;501;724;1171;2071;3871;7464
272;335;385;496;719;1171;2071;3871;7469
273;327;390;501;724;1171;2071;3871;7461
278;327;385;497;719;1171;2072;3871;7463
274;328;390;502;726;1172;2072;3869;7469
279;329;385;495;726;1172;2071;3864;7464
272;335;391;496;726;1173;2071;3870;7469
271;329;383;501;724;1180;2073;3863;7463
271;335;383;496;726;1174;2079;3871;7469
272;329;383;501;724;1179;2071;3872;7463
271;335;385;496;718;1171;2080;3871;7468
272;329;383;502;724;1178;2072;3871;7463
272;335;385;497;719;1172;2071;3871;7469
273;327;390;501;724;1172;2072;3872;7463
271;335;385;497;719;1172;2071;3871;7468
274;327;390;501;724;1172;2071;3871;7464
272;334;385;497;719;1172;2071;3872;7468
273;327;390;501;724;1171;2072;3871;7463
272;335;385;496;719;1171;2072;3870;7469
273;327;391;501;724;1171;2071;3871;7463
271;335;384;496;719;1171;2072;3872;7469
273;327;390;501;724;1171;2071;3870;7463
272;335;385;496;719;1171;2072;3871;7469
273;327;390;502;724;1172;2071;3871;7463
271;335;385;497;719;1171;2071;3871;7468
273;327;391;502;725;1171;2071;3871;7464
271;335;385;496;718;1171;2071;3871;7469
274;327;391;502;725;1172;2072;3872;7463
271;335;385;496;718;1171;2072;3871;7468
