0B;8B;16B;32B;64B;128B;256B;512B;1024B
295;364;418;544;798;1291;2288;4287;8263
297;357;425;549;796;1298;2289;4279;8271
295;359;418;549;797;1291;2294;4281;8264
301;359;420;543;790;1291;2295;4279;8266
295;365;420;543;797;1291;2289;4287;8264
297;356;426;549;796;1297;2289;4280;8270
295;359;420;548;797;1291;2294;4280;8264
302;356;420;543;790;1293;2287;4286;8266
295;364;425;544;797;1291;2289;4279;8270
297;356;426;549;795;1298;2287;4281;8264
302;358;420;543;797;1291;2294;4280;8264
301;364;420;544;797;1293;2287;4286;8266
295;363;425;550;797;1291;2289;4279;8271
297;357;425;548;795;1298;2287;4281;8263
302;359;420;543;797;1290;2294;4279;8264
302;363;420;543;790;1292;2287;4287;8266
294;364;425;550;798;1291;2289;4279;8271
296;356;425;548;796;1298;2287;4281;8264
302;358;420;543;790;1291;2294;4280;8265
295;363;420;544;797;1291;2289;4286;8264
297;356;426;549;795;1298;2289;4280;8271
294;358;418;548;797;1291;2295;4281;8263
302;358;419;544;791;1290;2294;4279;8266
294;363;420;543;798;1291;2288;4286;8263
296;357;425;549;796;1298;2289;4279;8271
295;359;420;548;798;1290;2294;4281;8263
302;356;420;544;790;1293;2287;4286;8265
295;364;425;543;797;1291;2288;4279;8271
297;356;425;549;795;1297;2287;4282;8264
302;358;420;543;790;1291;2294;4279;8266
295;363;420;543;797;1291;2289;4287;8264
296;357;426;549;795;1298;2289;4279;8271
295;358;418;549;797;1291;2294;4280;8264
302;357;420;544;790;1293;2287;4287;8265
294;363;426;544;798;1292;2289;4279;8271
296;356;426;548;796;1298;2287;4281;8264
302;359;420;543;790;1291;2295;4279;8265
295;364;420;544;797;1290;2288;4286;8264
297;356;425;549;795;1298;2289;4279;8271
295;358;419;549;797;1292;2294;4281;8264
302;358;420;543;790;1291;2294;4279;8266
295;363;420;543;797;1290;2289;4287;8263
297;357;425;549;795;1297;2289;4279;8271
295;358;418;549;797;1291;2295;4282;8263
302;358;420;544;790;1293;2294;4279;8265
294;363;420;543;797;1291;2289;4286;8264
296;357;426;549;795;1298;2288;4280;8271
294;358;418;549;798;1291;2294;4280;8264
302;356;420;543;790;1292;2286;4287;8265
295;363;425;544;797;1291;2289;4279;8271
296;356;425;549;796;1298;2287;4281;8264
302;358;420;543;790;1290;2294;4280;8265
295;364;420;543;798;1291;2289;4286;8264
296;356;425;549;795;1298;2289;4279;8271
294;359;420;548;797;1291;2295;4281;8263
302;357;420;544;790;1293;2287;4286;8267
295;363;425;544;797;1291;2289;4279;8271
296;356;425;548;795;1298;2287;4281;8264
302;358;420;543;791;1290;2294;4279;8266
295;364;420;543;797;1291;2290;4286;8263
297;356;426;549;796;1298;2289;4279;8271
295;358;418;549;797;1291;2294;4282;8263
302;358;420;543;790;1294;2287;4286;8266
295;364;425;543;797;1291;2289;4279;8271
296;356;425;549;796;1298;2287;4281;8271
295;358;418;550;798;1290;2294;4281;8264
302;356;420;543;790;1293;2287;4287;8266
295;363;425;544;797;1291;2289;4279;8271
296;356;426;549;796;1297;2287;4279;8272
294;358;420;549;798;1291;2294;4281;8263
302;356;420;543;790;1293;2286;4287;8266
295;363;425;544;797;1291;2289;4280;8270
297;356;425;549;795;1298;2287;4281;8263
303;358;420;544;790;1291;2294;4279;8266
295;364;420;543;798;1291;2289;4287;8264
297;356;426;549;797;1298;2289;4279;8272
294;359;418;549;797;1290;2294;4281;8263
302;358;419;543;790;1291;2294;4279;8265
295;364;420;543;797;1291;2289;4286;8264
296;357;426;549;796;1298;2288;4280;8270
295;358;418;549;797;1291;2294;4281;8264
302;356;420;543;790;1293;2287;4286;8266
295;364;425;543;797;1291;2289;4279;8270
296;356;426;549;796;1298;2287;4281;8264
302;358;420;543;797;1291;2294;4280;8263
302;364;420;543;797;1293;2287;4286;8266
295;364;425;550;797;1290;2288;4279;8272
296;356;426;549;795;1298;2287;4281;8264
302;359;420;544;790;1290;2294;4279;8266
295;363;419;544;797;1290;2289;4287;8263
297;356;425;548;795;1299;2289;4279;8271
294;358;418;548;798;1291;2294;4281;8264
302;358;419;543;790;1291;2294;4280;8265
295;364;420;544;797;1290;2289;4286;8264
297;356;425;548;795;1298;2289;4279;8271
294;358;418;548;798;1290;2295;4281;8263
303;359;420;543;790;1293;2287;4286;8266
294;364;425;544;797;1290;2288;4279;8270
297;357;425;548;796;1298;2287;4281;8264
302;358;420;543;790;1291;2294;4280;8263
302;363;420;543;797;1292;2287;4286;8265
295;364;425;551;798;1291;2288;4279;8271
297;356;425;549;796;1298;2286;4282;8263
302;359;420;543;797;1291;2294;4279;8264
302;364;420;544;798;1293;2287;4286;8266
295;363;425;550;798;1290;2289;4279;8270
296;356;426;549;795;1298;2287;4279;8272
295;359;419;549;798;1291;2294;4281;8263
302;357;420;543;790;1294;2287;4286;8266
295;363;425;543;797;1290;2288;4279;8271
297;357;425;548;795;1298;2287;4281;8264
302;358;420;543;798;1290;2294;4279;8266
295;363;420;543;797;1291;2289;4287;8264
297;356;425;549;795;1298;2289;4279;8272
295;358;420;548;797;1291;2294;4281;8264
302;357;420;543;790;1293;2287;4287;8265
295;364;425;551;797;1291;2289;4279;8271
