0B;8B;16B;32B;64B;128B;256B;512B;1024B
314;369;427;533;747;1179;2030;3744;7166
314;369;422;528;747;1172;2029;3737;7167
322;367;422;528;740;1173;2029;3744;7165
314;374;420;528;748;1172;2029;3742;7166
316;375;428;533;746;1171;2029;3742;7166
316;369;428;533;746;1172;2030;3745;7173
314;369;422;535;747;1179;2030;3737;7165
322;367;422;528;741;1172;2029;3737;7167
322;374;420;528;740;1174;2029;3744;7166
316;375;428;527;748;1172;2030;3743;7165
316;367;427;534;745;1171;2030;3744;7172
314;369;427;534;747;1179;2029;3744;7166
314;369;423;528;748;1171;2029;3737;7168
321;367;422;528;740;1174;2030;3745;7165
316;375;427;526;748;1172;2029;3742;7165
316;375;428;534;745;1172;2030;3744;7173
314;369;427;533;747;1179;2029;3744;7166
315;369;422;535;748;1171;2030;3737;7167
321;367;422;528;740;1175;2029;3744;7165
314;376;420;528;747;1171;2029;3742;7166
317;375;427;534;745;1172;2029;3742;7165
316;369;427;533;746;1172;2029;3745;7172
315;370;423;534;747;1179;2029;3744;7165
322;367;422;528;747;1172;2029;3737;7168
321;367;422;528;740;1174;2029;3745;7165
314;374;420;528;748;1172;2030;3742;7165
316;375;428;534;747;1172;2029;3742;7165
316;369;427;533;746;1172;2029;3744;7173
315;369;422;537;748;1179;2029;3745;7165
322;367;423;528;748;1171;2030;3737;7167
321;367;423;528;740;1174;2029;3744;7165
315;374;420;528;748;1172;2029;3742;7166
316;367;427;533;746;1172;2029;3745;7172
314;370;427;533;748;1179;2030;3744;7165
314;369;422;537;747;1171;2030;3737;7168
322;367;422;528;740;1174;2030;3744;7165
316;374;428;534;746;1171;2029;3743;7165
316;369;428;534;746;1172;2029;3744;7172
314;369;422;535;748;1171;2029;3737;7165
321;367;422;528;740;1171;2029;3737;7167
321;374;420;529;740;1174;2030;3743;7165
316;374;427;526;747;1172;2029;3742;7165
316;367;427;533;746;1172;2029;3744;7173
314;369;427;534;747;1178;2030;3744;7165
315;369;423;536;747;1172;2029;3737;7165
321;367;423;529;740;1172;2029;3737;7166
322;374;420;528;740;1174;2036;3742;7165
316;374;427;533;746;1172;2029;3743;7165
316;369;428;534;746;1172;2032;3745;7172
314;370;422;536;749;1178;2029;3737;7166
321;367;422;528;741;1171;2029;3737;7168
322;374;420;528;740;1173;2030;3745;7164
316;375;428;527;748;1172;2029;3743;7165
316;367;428;535;745;1172;2029;3744;7173
315;369;428;533;747;1179;2029;3744;7165
314;369;422;535;747;1172;2029;3738;7167
321;367;422;528;740;1173;2030;3744;7165
314;374;420;528;747;1172;2029;3742;7166
317;367;428;534;746;1171;2029;3744;7173
315;369;427;533;748;1179;2030;3745;7165
314;369;422;536;748;1173;2029;3737;7167
322;367;422;529;741;1173;2029;3742;7165
316;374;428;526;747;1171;2029;3742;7166
316;367;427;533;745;1172;2029;3745;7172
314;369;429;534;748;1179;2029;3744;7164
322;367;422;528;747;1171;2029;3736;7168
321;367;422;528;741;1173;2029;3745;7165
314;374;420;528;747;1172;2030;3742;7165
316;367;427;533;746;1171;2029;3744;7173
314;369;428;534;747;1179;2029;3744;7166
314;369;422;528;747;1172;2029;3738;7167
322;367;422;529;740;1173;2030;3742;7165
316;374;428;526;746;1172;2029;3742;7166
316;369;428;533;746;1171;2029;3745;7173
314;369;429;533;748;1178;2030;3744;7165
315;369;423;536;748;1171;2030;3737;7166
322;368;422;528;740;1173;2030;3744;7166
314;374;420;529;747;1171;2029;3742;7166
316;367;427;533;745;1172;2029;3745;7172
314;369;429;533;747;1180;2029;3744;7165
314;369;422;536;748;1171;2030;3737;7168
322;367;422;528;740;1173;2029;3744;7166
314;375;421;529;747;1171;2029;3743;7165
316;374;428;533;745;1172;2029;3744;7165
316;369;427;534;747;1171;2031;3744;7173
314;369;422;535;748;1179;2029;3737;7165
321;367;423;528;747;1172;2029;3737;7167
321;368;422;528;740;1174;2030;3742;7165
316;375;428;527;748;1171;2029;3743;7165
316;375;427;534;745;1171;2029;3745;7172
314;369;427;534;748;1179;2030;3744;7165
314;369;422;535;748;1172;2029;3737;7168
322;367;422;529;741;1173;2029;3737;7166
321;374;420;528;740;1173;2029;3743;7165
316;375;428;526;748;1172;2029;3743;7165
316;367;427;534;745;1171;2029;3744;7173
314;369;430;533;747;1178;2029;3744;7165
314;369;422;536;748;1171;2030;3737;7166
322;368;423;528;740;1173;2029;3744;7165
315;374;420;528;748;1172;2029;3742;7166
316;367;427;533;745;1172;2029;3744;7173
315;369;427;533;747;1179;2029;3745;7164
314;369;422;535;747;1173;2029;3737;7167
321;367;422;528;740;1174;2030;3745;7165
314;375;421;528;747;1171;2029;3743;7166
316;374;427;534;745;1171;2029;3745;7165
316;369;427;533;747;1172;2031;3744;7172
314;369;422;535;747;1172;2029;3737;7166
322;367;423;528;740;1172;2029;3737;7167
322;375;421;528;741;1174;2029;3742;7165
316;375;427;526;748;1171;2029;3742;7165
316;367;428;534;746;1171;2029;3744;7173
