0B;8B;16B;32B;64B;128B;256B;512B;1024B
348;420;500;660;990;1640;2932;5517;10692
339;429;510;669;989;1631;2932;5525;10702
339;420;499;660;990;1641;2932;5525;10702
341;429;509;669;990;1640;2925;5517;10700
339;419;499;670;989;1641;2932;5526;10702
349;426;506;667;990;1641;2932;5516;10693
339;419;509;669;990;1638;2933;5525;10702
349;427;499;667;990;1640;2932;5516;10692
339;422;509;669;989;1631;2932;5525;10703
348;419;499;660;990;1641;2932;5515;10693
339;429;508;669;989;1631;2932;5526;10702
346;420;499;660;989;1641;2932;5518;10701
341;429;509;669;990;1633;2924;5515;10700
339;419;502;669;990;1640;2932;5525;10702
348;426;499;667;989;1640;2932;5516;10692
339;422;509;669;989;1631;2931;5525;10702
349;419;499;659;989;1641;2932;5516;10693
339;428;508;669;989;1631;2932;5525;10702
346;419;500;660;990;1641;2932;5518;10701
339;429;509;669;991;1633;2930;5515;10700
339;420;499;662;989;1640;2933;5524;10702
348;429;507;667;990;1640;2932;5517;10692
339;419;510;669;990;1638;2932;5525;10702
349;419;500;660;990;1640;2932;5516;10692
339;429;508;669;990;1631;2932;5526;10702
339;419;500;659;990;1640;2932;5526;10701
341;429;509;669;990;1640;2925;5516;10700
339;420;500;661;988;1640;2932;5524;10702
348;429;507;669;990;1640;2932;5517;10700
339;420;500;662;988;1640;2932;5525;10702
349;428;506;667;990;1641;2932;5516;10693
339;419;509;669;990;1638;2932;5526;10702
348;427;499;667;990;1640;2932;5517;10693
340;421;508;669;990;1631;2932;5524;10702
346;420;499;660;990;1640;2933;5517;10701
339;429;509;669;990;1633;2930;5516;10700
340;419;500;661;987;1640;2932;5525;10702
348;429;507;667;990;1641;2932;5515;10693
340;419;509;669;990;1638;2932;5526;10702
349;426;499;667;989;1640;2932;5516;10692
339;421;509;669;990;1631;2932;5525;10702
346;420;500;660;990;1641;2933;5518;10702
339;429;509;669;990;1631;2930;5516;10701
339;419;500;662;988;1640;2932;5524;10702
348;428;507;669;990;1641;2932;5516;10700
339;419;500;662;987;1640;2931;5526;10702
349;426;499;667;990;1641;2932;5516;10692
339;419;509;669;990;1638;2932;5524;10702
349;419;499;667;989;1640;2933;5515;10693
339;419;509;669;989;1638;2932;5525;10701
348;419;499;660;989;1640;2932;5515;10693
339;428;509;669;990;1632;2932;5524;10702
340;419;500;660;990;1640;2932;5526;10703
341;429;509;669;989;1633;2930;5517;10699
340;419;499;661;988;1640;2932;5525;10702
348;428;506;669;989;1640;2933;5516;10692
339;419;509;669;990;1638;2932;5526;10701
349;419;500;660;989;1640;2932;5516;10693
339;429;509;669;990;1631;2932;5525;10702
339;419;500;660;990;1640;2932;5525;10702
341;429;509;669;989;1633;2925;5516;10699
340;420;499;669;989;1640;2932;5525;10702
348;427;499;667;989;1640;2933;5516;10693
339;419;508;669;989;1638;2932;5526;10701
348;419;499;660;989;1640;2932;5516;10693
339;428;509;669;989;1632;2932;5525;10702
339;419;499;660;989;1641;2932;5526;10702
342;429;509;669;990;1640;2924;5516;10702
339;419;499;661;989;1641;2932;5525;10702
348;428;507;669;990;1640;2933;5516;10703
340;420;500;662;990;1640;2932;5526;10701
348;430;507;667;990;1640;2932;5516;10693
339;419;509;669;990;1639;2932;5525;10702
348;419;499;659;990;1640;2932;5515;10693
339;429;509;669;990;1631;2932;5525;10701
339;419;499;660;990;1640;2932;5525;10702
341;428;508;669;990;1640;2926;5515;10702
340;420;500;662;990;1640;2932;5526;10701
349;430;507;667;990;1640;2932;5516;10693
