0B;8B;16B;32B;64B;128B;256B;512B;1024B
231;290;337;442;652;1079;1926;3616;7006
233;283;343;442;659;1079;1926;3615;7006
231;285;335;447;658;1079;1927;3621;7007
230;283;338;440;659;1079;1926;3621;7007
233;283;343;442;652;1079;1927;3617;7006
231;283;343;448;659;1079;1927;3623;7006
238;285;337;448;657;1079;1926;3622;7006
231;291;338;442;652;1079;1927;3616;7007
233;283;343;442;659;1078;1926;3616;7007
231;285;336;447;657;1079;1927;3624;7006
231;283;337;440;659;1078;1927;3621;7006
231;290;335;442;652;1078;1927;3616;7006
231;283;343;447;659;1079;1927;3623;7007
238;285;337;441;657;1079;1927;3621;7007
230;290;337;442;652;1079;1926;3617;7006
232;283;343;442;659;1079;1927;3616;7006
231;285;335;447;658;1079;1927;3623;7006
230;283;337;440;659;1079;1927;3621;7007
230;290;335;442;652;1079;1927;3616;7006
232;283;343;447;659;1080;1920;3617;7006
238;285;335;448;658;1079;1928;3621;7006
231;291;337;442;652;1079;1925;3621;7006
232;283;343;442;652;1079;1926;3616;7007
231;283;343;448;659;1079;1927;3623;7007
238;285;337;448;657;1078;1927;3621;7006
230;291;338;442;652;1079;1928;3615;7006
232;283;343;443;660;1079;1927;3615;7007
230;285;343;448;657;1078;1927;3623;7007
237;283;338;441;658;1086;1927;3621;7007
231;291;337;442;652;1079;1927;3617;7007
233;283;343;442;659;1079;1927;3616;7007
230;285;335;449;658;1079;1927;3623;7007
230;284;337;441;659;1079;1926;3621;7007
230;291;336;442;652;1079;1926;3616;7006
230;283;343;448;659;1078;1920;3624;7007
238;285;336;447;657;1079;1927;3621;7006
231;290;337;442;652;1078;1925;3623;7007
232;283;343;443;660;1079;1927;3615;7007
231;285;335;448;657;1079;1927;3624;7006
231;283;338;440;659;1079;1927;3622;7006
233;283;342;442;659;1079;1927;3616;7006
230;285;335;448;657;1078;1927;3623;7007
230;283;337;441;659;1079;1926;3621;7007
231;290;335;443;652;1079;1927;3617;7006
230;283;343;447;659;1080;1920;3616;7006
238;285;335;448;658;1080;1926;3621;7006
230;291;337;442;652;1079;1924;3621;7007
232;283;343;443;659;1079;1926;3616;7007
230;285;335;448;657;1078;1927;3624;7006
230;283;337;441;659;1079;1928;3621;7006
230;290;336;442;652;1079;1927;3616;7006
233;283;343;447;659;1080;1920;3616;7007
238;285;336;448;657;1079;1926;3621;7007
230;290;337;442;652;1079;1925;3622;7006
233;284;343;442;659;1078;1927;3616;7006
231;285;336;448;658;1079;1927;3621;7006
230;283;338;440;660;1079;1927;3621;7006
233;283;343;442;652;1079;1927;3615;7006
231;283;343;448;659;1078;1927;3623;7006
238;285;335;448;657;1079;1927;3621;7006
231;290;338;443;652;1079;1927;3623;7007
233;283;343;442;660;1079;1927;3615;7007
230;285;336;448;657;1078;1927;3621;7007
231;283;337;440;659;1079;1926;3622;7006
232;283;342;442;652;1079;1927;3616;7006
230;285;343;448;657;1078;1927;3623;7007
238;283;337;441;657;1078;1927;3621;7006
230;290;338;442;652;1079;1926;3616;7006
233;283;343;442;659;1078;1926;3617;7006
231;285;336;447;657;1079;1927;3622;7006
231;283;338;443;659;1079;1927;3621;7007
233;283;342;442;659;1079;1927;3616;7006
230;285;335;448;657;1078;1927;3623;7006
231;283;337;440;659;1079;1927;3622;7006
233;283;342;442;652;1079;1927;3616;7006
230;284;343;447;657;1078;1927;3622;7007
238;283;337;440;658;1079;1927;3621;7007
231;290;337;442;652;1079;1926;3617;7006
233;283;343;443;659;1079;1927;3616;7006
231;285;335;447;657;1079;1926;3623;7006
231;283;337;443;659;1079;1927;3621;7007
230;290;335;442;652;1079;1927;3616;7007
232;283;343;448;660;1081;1919;3616;7006
238;285;335;448;657;1078;1927;3621;7006
231;290;338;442;652;1079;1927;3623;7006
233;283;342;442;659;1079;1927;3616;7007
231;285;335;448;658;1079;1927;3622;7007
231;283;338;440;660;1079;1927;3622;7006
231;290;336;442;652;1078;1928;3616;7006
233;283;343;448;660;1081;1920;3616;7006
238;285;336;448;658;1079;1927;3621;7007
230;290;337;443;652;1078;1925;3621;7006
233;283;343;443;652;1078;1927;3616;7006
230;283;343;447;660;1079;1928;3623;7006
237;285;337;447;658;1078;1927;3621;7006
230;290;338;442;652;1078;1927;3615;7007
232;283;343;442;659;1079;1927;3616;7007
230;285;336;447;658;1079;1926;3624;7008
230;283;337;440;659;1079;1927;3621;7006
233;283;343;443;659;1078;1926;3616;7007
230;285;336;447;657;1079;1926;3623;7009
231;283;337;440;659;1078;1926;3621;7007
230;290;336;442;652;1078;1927;3617;7006
232;283;342;448;659;1080;1920;3615;7006
238;285;336;448;657;1079;1927;3621;7007
230;290;338;442;652;1079;1927;3622;7007
232;283;342;442;659;1079;1927;3615;7006
230;285;335;448;658;1078;1927;3624;7006
231;283;338;440;659;1080;1927;3621;7006
230;290;336;442;652;1078;1927;3616;7007
231;283;343;448;659;1080;1920;3616;7007
237;285;335;448;657;1079;1927;3621;7006
230;291;338;442;652;1078;1925;3621;7006
233;284;343;442;659;1079;1927;3616;7006
231;285;335;447;658;1079;1926;3621;7007
230;283;337;440;659;1079;1926;3621;7007
231;290;335;442;652;1079;1927;3616;7006
231;283;343;447;659;1079;1919;3623;7006
238;285;335;447;657;1079;1927;3621;7006
231;291;337;442;652;1079;1925;3621;7007
233;283;342;442;652;1079;1927;3615;7007
230;283;342;447;659;1079;1926;3623;7007
238;285;337;447;658;1079;1928;3621;7006
230;290;338;442;652;1078;1927;3616;7007
233;283;342;442;659;1079;1927;3616;7007
230;285;336;447;657;1078;1927;3623;7007
231;283;338;441;659;1079;1926;3622;7006
232;283;342;442;652;1079;1927;3616;7006
230;283;342;448;660;1078;1927;3623;7006
239;285;336;448;657;1079;1927;3621;7007
231;290;337;442;652;1079;1924;3621;7006
232;283;342;442;659;1079;1927;3616;7006
230;284;336;447;657;1079;1928;3623;7006
230;283;338;441;660;1078;1927;3621;7006
232;283;343;442;660;1079;1927;3615;7007
231;285;335;447;657;1079;1926;3623;7007
231;283;338;440;659;1078;1927;3621;7006
231;291;336;442;652;1079;1927;3616;7006
230;285;343;448;657;1079;1927;3623;7006
238;283;337;441;657;1078;1927;3621;7007
231;290;337;442;652;1079;1927;3616;7006
232;283;343;443;660;1079;1927;3616;7006
230;285;335;448;658;1079;1927;3621;7007
231;283;337;442;659;1079;1926;3621;7007
232;283;343;442;652;1078;1926;3616;7007
231;283;343;447;659;1078;1927;3623;7006
237;285;337;441;657;1086;1927;3622;7006
231;291;338;442;652;1079;1927;3615;7007
233;283;344;447;660;1079;1927;3615;7007
231;285;336;448;658;1079;1927;3623;7007
230;283;337;441;659;1079;1927;3622;7006
231;291;335;442;652;1079;1927;3615;7006
230;283;343;448;660;1080;1927;3623;7006
238;285;335;447;658;1079;1927;3621;7007
231;290;338;442;652;1079;1926;3616;7007
232;283;343;442;659;1079;1927;3616;7006
231;285;335;447;657;1079;1928;3623;7008
231;283;337;441;659;1079;1926;3621;7006
230;291;335;442;652;1079;1926;3616;7007
233;283;342;447;659;1080;1919;3616;7007
237;285;336;448;658;1079;1927;3622;7006
230;290;338;443;652;1079;1925;3621;7006
232;283;343;443;652;1079;1927;3615;7006
231;283;343;448;659;1078;1927;3623;7007
238;285;339;447;657;1078;1926;3621;7007
230;290;337;443;652;1079;1927;3617;7006
233;283;343;442;660;1079;1928;3615;7006
231;285;335;448;658;1079;1926;3623;7008
239;283;337;440;659;1078;1927;3621;7007
233;283;342;442;659;1079;1927;3616;7006
231;285;336;447;657;1079;1927;3623;7006
230;283;337;441;660;1079;1928;3621;7006
233;283;342;442;652;1079;1926;3616;7007
231;283;343;447;659;1079;1926;3623;7007
238;285;337;448;658;1079;1927;3621;7007
231;290;337;442;652;1079;1927;3616;7006
233;283;343;442;659;1079;1927;3616;7007
231;285;335;449;658;1079;1927;3623;7008
230;283;337;441;659;1079;1927;3621;7007
230;291;336;442;652;1079;1926;3616;7006
232;283;343;448;659;1081;1920;3623;7006
237;285;335;448;657;1079;1927;3621;7006
230;291;338;442;652;1079;1928;3622;7007
233;283;342;442;660;1079;1927;3615;7007
230;285;335;447;658;1079;1926;3623;7008
230;283;337;441;659;1079;1926;3621;7006
232;283;343;442;659;1080;1927;3615;7006
231;285;336;447;657;1078;1927;3622;7007
230;283;338;440;659;1079;1927;3621;7007
233;283;343;442;652;1079;1927;3617;7006
231;283;343;447;659;1078;1928;3623;7006
237;285;337;448;657;1079;1927;3621;7006
231;291;338;443;652;1079;1925;3621;7007
232;283;343;443;659;1078;1926;3616;7007
231;285;335;448;658;1079;1927;3622;7006
230;283;337;441;659;1078;1928;3621;7007
230;290;336;442;652;1079;1926;3616;7006
232;283;343;448;660;1081;1919;3616;7006
238;285;335;447;657;1079;1926;3621;7007
230;290;338;442;652;1079;1924;3622;7006
233;283;343;442;652;1079;1927;3616;7006
230;283;343;448;660;1079;1927;3623;7006
238;285;336;447;657;1079;1927;3621;7006
231;290;337;443;652;1079;1927;3623;7006
233;283;342;442;660;1079;1927;3616;7006
230;285;336;447;657;1078;1927;3623;7006
231;283;338;440;660;1079;1927;3621;7006
230;290;336;442;652;1079;1926;3616;7007
231;284;343;448;659;1079;1919;3623;7006
238;285;336;448;657;1079;1927;3622;7006
230;290;337;442;652;1078;1925;3621;7006
232;283;343;442;659;1079;1927;3615;7007
231;285;335;448;657;1079;1927;3623;7007
231;283;337;440;659;1079;1927;3621;7007
231;290;336;443;652;1079;1927;3616;7006
233;283;343;448;659;1080;1928;3615;7006
238;285;336;448;657;1079;1926;3621;7006
231;290;337;442;652;1079;1925;3621;7007
233;284;343;442;659;1079;1927;3616;7006
230;285;335;447;657;1079;1926;3624;7006
231;283;337;441;659;1079;1927;3621;7006
231;290;336;442;652;1079;1926;3616;7007
232;283;343;448;659;1081;1920;3616;7007
238;285;335;448;657;1078;1927;3622;7007
231;290;338;443;652;1079;1925;3623;7006
233;283;342;442;659;1080;1927;3615;7007
231;285;336;448;658;1079;1926;3623;7007
231;283;338;440;659;1079;1927;3621;7007
231;290;335;443;652;1079;1927;3617;7006
232;283;343;447;659;1081;1919;3615;7006
238;285;336;448;658;1080;1927;3621;7006
230;291;338;442;652;1079;1925;3623;7007
233;283;343;442;659;1079;1927;3616;7007
231;285;336;447;657;1078;1927;3624;7006
231;283;338;440;660;1079;1927;3621;7006
231;290;336;442;652;1079;1927;3616;7006
233;283;343;447;659;1080;1919;3616;7007
238;285;335;448;657;1078;1927;3621;7007
230;291;338;442;652;1079;1925;3622;7006
232;283;342;442;659;1078;1927;3616;7006
230;285;336;447;658;1078;1927;3621;7006
230;283;338;442;660;1079;1927;3621;7006
231;290;335;442;652;1078;1927;3616;7006
230;283;343;448;660;1079;1926;3623;7006
238;285;338;440;657;1086;1928;3621;7006
231;290;335;442;652;1079;1927;3615;7007
232;283;343;448;659;1080;1920;3616;7007
238;285;336;447;657;1079;1927;3622;7007
231;290;338;442;652;1078;1926;3624;7006
232;283;342;442;659;1079;1927;3616;7007
231;285;336;448;657;1078;1927;3623;7007
231;283;338;440;660;1079;1927;3621;7006
231;290;335;442;652;1079;1926;3616;7006
231;283;342;447;659;1078;1927;3624;7006
238;285;337;441;657;1078;1926;3621;7006
231;290;337;442;652;1079;1926;3616;7007
232;283;343;443;659;1078;1926;3616;7007
230;285;335;447;657;1079;1926;3624;7006
230;283;337;441;659;1078;1926;3621;7006
232;283;342;442;659;1079;1927;3616;7006
