0B;8B;16B;32B;64B;128B;256B;512B;1024B
349;429;511;676;1014;1682;3007;5658;10974
349;431;512;678;1014;1681;3006;5658;10973
349;432;511;678;1014;1681;3006;5658;10974
349;431;514;678;1015;1681;3006;5657;10974
356;431;513;678;1014;1682;3007;5658;10974
350;431;514;677;1014;1681;3006;5658;10973
349;432;514;678;1014;1681;3006;5657;10973
356;431;514;678;1015;1681;3006;5657;10975
356;431;514;679;1015;1679;3007;5657;10974
354;432;514;678;1014;1679;3006;5666;10973
355;439;514;685;1014;1679;3006;5666;10973
355;439;513;686;1015;1679;3006;5664;10974
354;438;514;685;1014;1679;3007;5664;10974
354;439;521;685;1014;1679;3006;5666;10973
355;436;521;686;1015;1672;3006;5665;10973
354;436;521;685;1015;1672;3006;5665;10974
354;436;521;685;1014;1674;3007;5665;10974
347;437;521;685;1014;1674;3006;5665;10973
348;436;521;685;1014;1674;3006;5666;10971
347;436;521;686;1015;1674;3006;5665;10972
347;436;520;685;1016;1674;3007;5665;10972
347;436;519;685;1014;1674;3006;5666;10973
348;436;519;686;1014;1673;3006;5664;10973
347;429;519;683;1015;1674;3006;5663;10974
347;429;518;683;1014;1681;3006;5662;10974
349;429;519;683;1015;1681;3006;5664;10966
349;429;519;684;1014;1681;3006;5663;10973
349;429;512;683;1014;1682;3006;5663;10974
349;429;512;683;1014;1681;3006;5663;10974
349;430;512;683;1014;1681;3006;5656;10974
349;430;512;678;1014;1681;3005;5658;10973
349;431;513;678;1015;1681;3006;5658;10974
356;431;513;678;1015;1681;3007;5658;10974
356;431;514;678;1014;1681;3006;5658;10974
356;431;514;678;1014;1679;3006;5658;10973
357;431;513;678;1014;1679;3006;5658;10974
355;432;513;678;1014;1680;3007;5665;10974
354;438;513;685;1014;1679;3006;5666;10974
354;439;514;685;1014;1679;3006;5665;10973
354;439;520;686;1014;1680;3006;5665;10975
355;437;521;686;1014;1672;3006;5665;10974
354;436;521;685;1014;1672;3006;5665;10975
355;437;521;685;1014;1673;3006;5665;10973
347;437;521;686;1014;1674;3006;5665;10975
347;436;521;685;1014;1674;3006;5665;10974
347;437;520;685;1016;1674;3006;5666;10972
347;437;521;686;1014;1674;3006;5665;10973
347;436;518;686;1014;1674;3006;5662;10974
347;429;518;684;1014;1682;3006;5663;10974
349;430;519;683;1014;1681;3006;5664;10967
349;429;518;683;1014;1681;3006;5664;10974
349;429;519;684;1014;1681;3006;5662;10974
349;430;512;683;1015;1682;3005;5655;10974
349;429;511;676;1014;1681;3006;5656;10974
349;429;512;676;1014;1681;3006;5658;10973
349;432;512;678;1014;1681;3006;5658;10975
349;431;514;678;1014;1682;3006;5658;10974
357;431;513;678;1014;1681;3006;5657;10974
357;431;513;678;1014;1681;3006;5658;10973
357;431;513;678;1014;1681;3006;5657;10974
355;431;513;678;1014;1680;3006;5665;10974
354;438;513;685;1014;1679;3007;5665;10974
354;439;521;686;1014;1679;3006;5666;10974
355;439;522;685;1014;1679;3006;5665;10974
355;437;521;685;1014;1675;3006;5664;10974
347;437;520;685;1014;1674;3007;5665;10974
347;437;520;685;1014;1674;3006;5666;10973
347;437;522;685;1014;1674;3006;5665;10974
347;436;520;685;1016;1674;3006;5665;10972
347;437;521;686;1014;1674;3006;5665;10974
347;437;519;685;1014;1674;3006;5666;10974
347;437;519;685;1014;1673;3006;5663;10974
347;430;519;684;1014;1682;3006;5663;10975
350;429;519;683;1014;1681;3007;5662;10974
349;429;511;683;1015;1681;3006;5664;10973
349;429;511;683;1014;1681;3006;5655;10974
349;430;511;684;1014;1682;3006;5656;10974
349;429;512;676;1014;1681;3007;5658;10974
349;432;512;678;1014;1681;3006;5658;10973
349;431;513;678;1014;1681;3006;5657;10974
356;432;514;678;1014;1682;3006;5657;10974
357;431;514;678;1014;1681;3007;5658;10974
354;431;514;678;1014;1680;3006;5666;10974
354;439;513;685;1014;1679;3006;5665;10974
354;438;521;685;1014;1680;3006;5665;10974
354;439;521;685;1014;1679;3007;5665;10974
354;437;521;685;1014;1672;3006;5665;10973
354;438;521;685;1014;1674;3006;5665;10974
348;437;521;685;1014;1674;3006;5665;10974
347;437;521;685;1016;1674;3007;5665;10972
347;437;521;685;1014;1674;3006;5666;10973
347;437;519;685;1014;1674;3006;5665;10974
347;436;519;685;1014;1674;3006;5663;10974
347;429;519;683;1014;1681;3006;5663;10974
349;429;519;684;1015;1681;3006;5664;10966
349;429;511;684;1014;1682;3006;5663;10973
349;429;512;683;1015;1681;3006;5655;10974
349;430;512;676;1014;1681;3007;5657;10974
350;431;514;678;1014;1681;3006;5658;10973
357;431;513;678;1014;1681;3005;5658;10973
356;432;514;678;1015;1681;3006;5658;10974
356;431;514;686;1014;1679;3007;5665;10974
355;439;514;686;1015;1679;3006;5666;10974
355;439;520;685;1014;1679;3006;5665;10973
355;438;521;685;1015;1679;3006;5665;10974
355;439;521;686;1014;1679;3007;5664;10974
355;437;520;685;1014;1674;3006;5665;10973
347;436;520;685;1014;1674;3006;5665;10973
347;437;521;686;1015;1673;3006;5665;10974
347;437;521;685;1014;1673;3007;5664;10974
347;436;520;685;1016;1674;3006;5665;10971
347;436;518;685;1014;1674;3006;5666;10973
347;437;519;685;1015;1674;3006;5665;10974
347;437;519;686;1014;1674;3007;5663;10974
347;429;519;683;1015;1681;3006;5664;10974
349;429;519;683;1014;1681;3006;5664;10966
349;429;512;683;1014;1681;3006;5663;10974
349;430;512;684;1014;1681;3007;5663;10974
349;429;512;683;1014;1681;3006;5656;10973
349;429;511;676;1014;1681;3006;5658;10973
349;432;512;678;1014;1681;3006;5658;10974
349;431;514;678;1014;1681;3006;5658;10974
349;431;513;678;1014;1681;3005;5658;10974
356;431;514;678;1014;1681;3006;5659;10973
357;431;514;678;1014;1679;3006;5658;10974
354;431;513;678;1014;1679;3007;5665;10974
354;438;513;685;1014;1679;3006;5665;10974
355;438;514;685;1014;1679;3006;5666;10973
354;438;520;686;1014;1679;3006;5665;10974
354;437;521;685;1014;1672;3006;5665;10974
355;438;521;685;1014;1672;3006;5665;10974
354;437;521;685;1014;1674;3006;5665;10973
348;437;521;686;1014;1673;3006;5664;10974
347;436;520;685;1014;1674;3005;5665;10974
348;437;521;685;1014;1674;3006;5666;10974
347;436;521;685;1014;1673;3006;5666;10973
347;437;521;686;1016;1674;3006;5665;10972
347;437;520;685;1014;1674;3006;5665;10972
347;437;521;685;1014;1674;3006;5665;10974
347;437;519;685;1014;1674;3006;5663;10973
347;429;519;685;1014;1681;3006;5663;10974
350;430;519;683;1014;1682;3006;5663;10967
349;429;518;684;1014;1681;3006;5664;10967
349;429;518;683;1014;1681;3006;5664;10973
349;430;511;684;1014;1681;3006;5663;10974
349;430;512;683;1014;1682;3006;5656;10974
349;429;511;678;1014;1681;3006;5657;10974
349;431;511;678;1014;1681;3006;5659;10973
349;432;514;678;1015;1681;3006;5657;10974
357;431;513;678;1014;1682;3006;5658;10974
356;432;514;678;1014;1682;3006;5658;10974
357;432;513;678;1014;1679;3006;5658;10973
354;432;514;678;1014;1679;3006;5665;10974
354;438;513;685;1014;1680;3006;5665;10974
354;438;513;685;1014;1679;3007;5664;10974
354;438;520;685;1014;1679;3006;5665;10974
354;439;521;685;1014;1680;3006;5665;10974
354;438;521;685;1014;1673;3006;5665;10974
354;436;520;685;1014;1674;3006;5665;10974
348;436;521;685;1014;1674;3006;5666;10974
347;437;522;686;1014;1674;3006;5665;10974
347;437;521;686;1017;1675;3006;5665;10972
347;436;521;686;1014;1674;3007;5665;10973
347;436;518;686;1014;1674;3006;5664;10973
347;429;519;683;1014;1681;3006;5663;10974
349;429;518;683;1014;1682;3006;5663;10974
349;430;512;683;1014;1682;3007;5655;10974
349;429;511;676;1015;1681;3006;5659;10974
350;431;512;678;1014;1681;3006;5658;10974
349;432;512;678;1014;1682;3006;5658;10974
349;431;513;678;1014;1681;3006;5658;10974
356;431;513;678;1014;1681;3006;5659;10974
356;431;514;678;1014;1681;3006;5658;10974
356;431;514;678;1014;1682;3006;5657;10974
357;432;514;678;1014;1679;3007;5658;10974
354;432;514;678;1014;1679;3006;5666;10974
355;439;513;685;1014;1679;3006;5665;10974
354;438;521;685;1014;1680;3006;5665;10974
354;438;520;686;1014;1672;3006;5665;10974
354;436;521;685;1014;1674;3006;5665;10973
347;437;520;685;1014;1674;3006;5665;10974
347;437;521;686;1015;1674;3006;5665;10974
347;436;521;686;1016;1674;3007;5665;10976
347;437;518;685;1015;1674;3006;5664;10973
347;438;519;685;1014;1674;3006;5662;10974
347;430;519;683;1014;1681;3006;5662;10974
349;430;519;683;1014;1681;3007;5663;10967
349;429;512;683;1014;1682;3006;5664;10973
349;430;511;683;1014;1681;3006;5656;10973
349;429;512;676;1015;1681;3006;5657;10974
349;431;512;678;1014;1681;3006;5658;10974
349;431;512;678;1015;1681;3006;5658;10973
349;431;512;678;1014;1681;3006;5657;10973
349;431;511;678;1015;1681;3006;5657;10974
349;432;514;678;1014;1681;3007;5658;10974
356;432;514;678;1014;1682;3006;5658;10973
349;432;514;678;1014;1681;3006;5657;10973
356;431;513;678;1015;1681;3006;5658;10974
357;431;514;678;1015;1681;3007;5657;10974
355;432;513;678;1014;1679;3006;5666;10974
355;439;514;685;1015;1679;3006;5665;10973
354;439;513;685;1015;1679;3006;5665;10974
355;439;514;686;1015;1679;3007;5665;10974
355;439;521;685;1014;1679;3006;5665;10973
356;439;521;685;1014;1672;3006;5666;10974
354;436;520;685;1015;1672;3006;5665;10975
355;437;521;685;1014;1674;3007;5665;10974
347;437;520;685;1014;1674;3006;5665;10974
347;437;520;685;1016;1674;3006;5666;10971
347;437;521;685;1015;1674;3006;5665;10972
347;436;519;686;1014;1674;3006;5665;10974
348;437;518;685;1014;1674;3006;5664;10974
347;436;519;686;1014;1674;3006;5663;10973
347;430;519;683;1015;1674;3006;5663;10974
347;429;519;683;1014;1681;3007;5663;10974
349;429;519;684;1014;1681;3006;5664;10966
350;429;519;684;1014;1681;3006;5663;10974
349;429;512;683;1014;1681;3006;5662;10974
349;430;512;683;1014;1681;3007;5663;10974
349;429;512;683;1014;1681;3006;5657;10974
349;430;512;676;1014;1681;3006;5656;10973
349;429;511;676;1014;1681;3006;5656;10975
349;430;512;678;1014;1681;3006;5658;10974
349;432;512;678;1014;1681;3006;5659;10974
350;431;514;678;1014;1681;3006;5658;10973
349;431;513;678;1014;1681;3006;5657;10974
356;431;513;678;1014;1681;3007;5658;10974
357;431;514;678;1014;1681;3006;5658;10974
357;431;513;678;1014;1681;3006;5659;10973
354;431;514;686;1014;1679;3006;5665;10974
354;438;521;685;1014;1679;3006;5664;10974
