0B;8B;16B;32B;64B;128B;256B;512B;1024B
240;301;350;457;674;1116;1992;3736;7237
246;296;348;456;680;1115;1992;3741;7238
242;294;348;465;682;1115;1991;3741;7245
241;294;355;466;682;1116;1992;3743;7239
239;294;357;458;682;1116;1991;3744;7237
240;301;349;459;675;1116;1993;3743;7237
240;303;350;456;673;1116;1991;3736;7238
247;296;348;456;673;1115;1991;3734;7238
246;296;348;456;680;1122;1991;3742;7237
242;294;348;464;682;1115;1992;3743;7244
240;293;355;465;683;1115;1991;3743;7239
239;294;358;458;682;1115;1992;3743;7238
240;301;350;458;674;1115;1991;3743;7237
240;301;350;458;675;1115;1991;3743;7237
240;301;350;456;674;1116;1991;3735;7238
247;296;348;457;680;1115;1991;3741;7238
241;296;348;456;680;1123;1991;3741;7237
242;296;348;464;680;1122;1992;3742;7237
242;294;348;465;682;1118;1991;3743;7246
240;294;355;466;682;1116;1991;3743;7240
240;301;350;458;675;1116;1991;3743;7238
240;301;350;456;675;1116;1991;3736;7237
239;296;348;456;680;1117;1991;3734;7237
247;296;348;457;680;1122;1991;3741;7238
241;294;348;463;680;1116;1992;3741;7246
241;294;355;465;682;1116;1991;3744;7239
240;294;357;459;682;1116;1992;3743;7237
240;301;350;459;675;1116;1991;3743;7238
240;301;357;459;675;1116;1991;3742;7238
240;301;350;456;675;1116;1992;3737;7237
240;296;348;457;673;1116;1992;3734;7237
247;294;348;464;681;1116;1991;3741;7245
242;294;355;466;682;1116;1991;3743;7240
240;294;357;458;682;1115;1985;3744;7239
239;301;350;458;675;1116;1992;3743;7237
240;301;350;456;675;1115;1991;3735;7238
247;296;348;456;680;1116;1991;3734;7238
246;293;348;464;682;1115;1992;3742;7244
242;294;355;465;682;1116;1992;3742;7239
239;294;358;458;683;1116;1984;3743;7239
240;301;350;458;675;1116;1992;3743;7238
240;303;350;456;675;1116;1991;3736;7237
247;296;348;456;680;1115;1991;3742;7237
242;296;348;457;681;1124;1991;3741;7237
242;294;348;463;683;1115;1992;3743;7246
240;294;355;466;682;1115;1991;3743;7240
240;301;349;458;675;1115;1992;3744;7238
240;303;350;456;673;1116;1991;3736;7238
247;295;348;457;680;1123;1991;3741;7238
242;296;348;464;680;1123;1991;3741;7245
242;294;348;464;682;1116;1992;3742;7244
242;294;355;466;682;1115;1991;3743;7239
240;294;358;458;682;1115;1991;3743;7238
240;301;349;457;674;1115;1991;3736;7238
247;296;348;457;680;1116;1992;3742;7237
241;294;348;463;682;1115;1992;3741;7245
242;294;355;466;682;1116;1991;3743;7240
240;294;357;458;683;1115;1991;3743;7238
240;301;350;456;674;1116;1989;3737;7237
240;296;348;456;680;1115;1992;3741;7237
247;294;348;464;682;1115;1991;3743;7245
242;294;355;465;682;1115;1992;3743;7240
239;294;357;459;682;1116;1991;3744;7237
240;301;350;459;675;1116;1992;3743;7237
240;301;350;456;675;1116;1989;3736;7237
240;296;348;456;673;1115;1992;3734;7238
247;294;348;463;683;1115;1991;3741;7245
242;293;356;466;682;1115;1991;3744;7239
239;293;358;458;682;1116;1992;3743;7238
240;302;350;456;675;1115;1990;3736;7238
240;296;348;456;673;1115;1991;3735;7238
247;296;348;464;681;1123;1991;3742;7245
241;294;355;465;682;1118;1991;3743;7239
240;294;357;459;683;1115;1984;3743;7240
240;301;350;459;675;1116;1991;3742;7238
240;303;350;457;675;1115;1991;3736;7237
247;296;348;457;680;1122;1992;3741;7237
241;294;348;464;682;1115;1991;3743;7245
240;293;355;466;682;1115;1992;3743;7240
240;301;357;458;675;1116;1992;3743;7237
240;303;350;456;673;1116;1992;3736;7237
247;296;348;463;681;1123;1991;3741;7238
242;294;348;463;682;1116;1992;3741;7245
242;294;355;465;682;1115;1991;3744;7239
240;294;358;458;682;1115;1992;3743;7237
240;301;350;456;675;1115;1992;3735;7237
248;296;348;457;680;1116;1991;3734;7238
247;294;348;464;680;1115;1991;3741;7245
242;294;355;465;682;1116;1991;3744;7239
240;294;358;458;682;1116;1991;3743;7237
240;302;350;456;675;1116;1991;3736;7238
246;295;348;456;680;1115;1991;3741;7238
241;294;348;464;683;1115;1991;3744;7244
239;294;355;466;683;1115;1991;3743;7239
239;301;358;459;675;1115;1991;3742;7238
240;303;350;456;673;1115;1992;3736;7238
247;295;348;457;680;1123;1992;3742;7237
241;294;348;464;682;1116;1992;3743;7244
240;294;356;467;682;1116;1991;3743;7240
240;301;357;458;675;1115;1991;3743;7238
239;303;350;456;673;1115;1991;3736;7238
247;296;348;464;680;1122;1992;3741;7237
242;294;348;466;683;1117;1991;3743;7245
239;294;355;466;682;1115;1991;3743;7240
240;301;350;458;675;1115;1991;3744;7237
240;303;350;457;673;1116;1991;3736;7237
247;296;348;456;681;1124;1991;3741;7237
241;294;348;464;682;1115;1991;3743;7245
240;294;355;465;682;1115;1992;3743;7240
240;301;357;459;675;1116;1991;3744;7237
239;303;350;457;675;1117;1991;3736;7237
247;296;348;456;680;1122;1991;3741;7238
242;294;348;463;682;1116;1991;3743;7246
239;294;355;465;682;1116;1992;3744;7239
240;301;357;459;675;1115;1992;3743;7237
240;303;350;456;674;1116;1991;3736;7238
247;295;348;456;680;1123;1991;3741;7238
242;294;348;463;682;1116;1991;3744;7244
240;294;355;465;682;1116;1992;3743;7239
240;301;357;458;675;1116;1992;3743;7238
239;301;350;456;675;1115;1991;3736;7237
240;296;348;456;673;1115;1991;3734;7237
247;293;348;463;680;1116;1993;3741;7244
242;294;355;465;683;1117;1991;3743;7239
240;294;358;458;683;1115;1991;3743;7238
239;301;350;458;674;1115;1991;3743;7237
240;303;350;456;673;1116;1991;3736;7237
247;296;348;457;680;1124;1991;3741;7237
242;294;348;463;682;1115;1991;3743;7245
240;294;355;465;682;1116;1991;3743;7240
239;301;357;458;675;1116;1991;3744;7237
240;303;350;456;675;1116;1991;3735;7238
247;295;348;456;680;1122;1991;3741;7238
242;293;348;464;682;1116;1991;3743;7245
239;294;355;465;683;1115;1991;3744;7239
240;301;350;459;675;1116;1992;3743;7237
239;303;350;457;673;1116;1991;3736;7237
247;296;348;457;680;1123;1991;3741;7237
242;294;348;463;682;1116;1991;3744;7244
240;294;356;466;683;1115;1992;3742;7239
240;301;357;458;675;1115;1992;3743;7237
240;303;350;456;673;1115;1991;3735;7238
