0B;8B;16B;32B;64B;128B;256B;512B;1024B
356;439;522;685;1011;1666;2987;5625;10894
356;440;515;684;1012;1671;2988;5619;10893
357;433;515;684;1011;1671;2988;5618;10893
357;433;514;685;1011;1671;2988;5619;10892
357;433;515;678;1011;1671;2987;5619;10894
351;432;514;677;1011;1674;2987;5618;10886
351;431;520;683;1011;1673;2988;5624;10893
349;431;519;682;1011;1673;2988;5625;10892
350;438;521;683;1011;1666;2987;5623;10894
349;438;519;685;1011;1667;2988;5626;10892
356;438;522;684;1011;1666;2988;5626;10894
356;440;515;684;1011;1671;2987;5619;10892
356;433;515;677;1011;1671;2987;5618;10894
357;433;515;677;1011;1672;2988;5618;10894
356;433;514;677;1011;1671;2988;5619;10894
351;433;515;678;1011;1672;2987;5619;10893
352;433;512;685;1011;1673;2987;5624;10886
352;431;519;683;1011;1674;2988;5624;10893
350;438;519;683;1011;1666;2987;5624;10894
349;438;520;683;1011;1666;2988;5625;10891
349;438;521;685;1013;1666;2987;5626;10893
357;440;515;685;1011;1671;2981;5625;10893
356;433;515;678;1012;1671;2987;5619;10894
356;433;514;678;1011;1672;2988;5619;10892
357;433;515;678;1011;1671;2987;5618;10894
351;433;514;677;1011;1671;2988;5619;10894
351;433;513;678;1011;1673;2987;5624;10886
351;430;519;683;1011;1673;2987;5625;10893
349;438;519;683;1012;1666;2988;5624;10894
350;439;520;683;1012;1666;2988;5624;10891
357;438;522;685;1012;1666;2988;5626;10892
357;439;514;685;1012;1671;2980;5627;10893
356;433;515;678;1012;1671;2987;5619;10894
357;433;515;685;1011;1671;2989;5618;10893
356;433;514;678;1011;1671;2988;5619;10892
357;433;515;678;1011;1671;2988;5619;10893
356;433;515;678;1012;1671;2988;5618;10894
356;433;514;678;1011;1671;2988;5618;10893
356;433;514;678;1012;1671;2987;5620;10892
358;432;514;677;1011;1671;2988;5618;10893
356;433;515;677;1012;1671;2987;5619;10893
351;433;515;677;1011;1671;2988;5618;10894
351;433;512;685;1011;1673;2988;5624;10886
351;431;519;683;1011;1673;2988;5623;10894
350;438;520;683;1011;1666;2988;5624;10894
349;438;520;683;1011;1666;2989;5623;10892
357;439;522;685;1012;1665;2988;5626;10893
356;441;514;685;1011;1671;2987;5619;10894
357;433;514;677;1011;1672;2987;5618;10893
356;433;515;678;1011;1671;2988;5618;10894
351;432;514;677;1011;1673;2988;5619;10886
351;431;520;683;1011;1673;2987;5624;10894
349;438;519;682;1011;1667;2987;5624;10893
349;438;520;683;1012;1666;2988;5624;10892
356;438;521;685;1011;1665;2987;5626;10893
356;440;514;685;1011;1671;2987;5618;10893
357;433;514;677;1011;1672;2987;5619;10893
357;433;514;678;1011;1671;2988;5619;10894
356;433;514;678;1011;1671;2988;5619;10892
356;433;514;678;1011;1671;2987;5618;10894
351;433;515;678;1011;1674;2988;5618;10886
