0B;8B;16B;32B;64B;128B;256B;512B;1024B
327;394;467;616;923;1530;2731;5135;9955
318;392;467;616;924;1520;2732;5136;9953
318;393;476;626;924;1520;2722;5136;9955
318;401;476;625;923;1529;2732;5136;9954
327;401;467;618;923;1529;2732;5135;9953
327;393;467;616;923;1530;2731;5136;9954
318;393;467;625;923;1520;2722;5137;9954
318;393;477;625;923;1520;2722;5136;9954
318;401;476;625;923;1529;2733;5143;9954
327;402;467;618;923;1529;2732;5136;9954
327;392;467;616;924;1529;2731;5136;9954
318;392;467;625;923;1520;2722;5137;9953
318;392;476;626;924;1521;2729;5135;9954
318;402;476;626;924;1529;2732;5145;9954
327;392;467;617;924;1529;2732;5136;9954
318;392;467;616;924;1520;2731;5136;9954
318;392;475;625;923;1520;2722;5136;9953
318;401;476;625;924;1529;2732;5135;9954
327;401;467;618;924;1530;2732;5136;9954
327;393;467;616;923;1529;2731;5137;9953
318;392;474;626;923;1520;2722;5136;9955
317;393;476;625;923;1520;2723;5135;9955
318;402;476;625;924;1529;2732;5145;9954
327;402;467;616;923;1530;2731;5136;9954
327;393;467;616;923;1529;2731;5136;9953
318;393;467;625;924;1520;2722;5136;9954
318;392;476;625;923;1520;2723;5136;9954
317;402;476;625;924;1529;2731;5146;9953
327;394;467;616;924;1530;2731;5135;9954
327;393;467;616;924;1529;2731;5137;9954
318;392;467;625;923;1520;2723;5136;9954
318;392;476;626;924;1520;2722;5136;9954
318;402;476;625;924;1529;2731;5144;9953
327;402;467;616;923;1530;2731;5136;9955
327;392;467;616;923;1529;2732;5136;9954
318;392;467;625;924;1520;2722;5135;9954
317;392;476;625;924;1521;2722;5136;9954
318;401;476;625;924;1530;2731;5144;9953
327;401;467;616;924;1529;2731;5135;9954
327;393;467;616;924;1530;2732;5136;9954
318;393;467;625;924;1520;2722;5137;9953
317;393;476;626;923;1520;2722;5135;9954
318;402;476;626;924;1529;2731;5144;9954
327;403;467;616;923;1529;2731;5136;9954
327;393;467;616;923;1529;2732;5136;9954
318;392;467;625;923;1520;2722;5136;9953
318;392;476;625;924;1520;2722;5136;9955
318;402;476;625;924;1529;2731;5145;9953
328;392;467;616;923;1529;2731;5135;9954
