0B;8B;16B;32B;64B;128B;256B;512B;1024B
383;480;573;756;1126;1856;3328;6257;12132
391;483;566;756;1120;1846;3320;6257;12133
382;474;564;746;1119;1857;3327;6259;12132
389;483;573;755;1119;1857;3321;6257;12132
384;474;565;755;1119;1854;3321;6264;12132
382;473;574;755;1119;1856;3330;6257;12132
392;483;573;755;1119;1848;3320;6257;12134
382;474;565;747;1119;1856;3327;6259;12132
389;482;573;756;1119;1856;3322;6257;12132
384;473;564;755;1119;1854;3320;6264;12131
382;473;573;755;1119;1855;3329;6257;12132
391;482;574;755;1119;1849;3320;6257;12132
383;474;565;746;1119;1856;3327;6259;12132
392;483;573;756;1119;1856;3320;6257;12139
382;473;564;746;1119;1856;3320;6266;12132
383;481;574;755;1126;1856;3329;6257;12132
392;482;566;755;1119;1847;3320;6257;12132
382;473;564;746;1119;1856;3328;6259;12132
389;482;573;755;1119;1856;3319;6257;12140
383;473;564;746;1119;1856;3320;6267;12133
383;481;573;755;1126;1855;3329;6258;12131
392;483;566;755;1119;1847;3320;6257;12131
382;473;565;746;1119;1856;3327;6259;12132
389;483;573;756;1119;1855;3322;6257;12132
384;474;564;756;1120;1854;3320;6264;12132
382;481;574;756;1119;1856;3328;6257;12132
391;483;573;755;1119;1849;3320;6257;12132
383;474;565;747;1119;1855;3321;6266;12132
389;482;573;755;1119;1856;3320;6257;12139
383;473;564;746;1119;1856;3320;6267;12133
383;482;573;755;1129;1856;3329;6257;12133
392;476;566;756;1119;1846;3320;6258;12131
382;473;564;746;1119;1855;3320;6259;12131
389;483;574;755;1119;1856;3321;6258;12131
384;473;564;756;1119;1855;3319;6264;12132
382;481;573;756;1127;1856;3329;6257;12132
392;483;574;756;1120;1849;3320;6257;12132
383;473;564;746;1119;1857;3327;6259;12132
389;482;573;755;1119;1856;3321;6257;12139
383;473;564;746;1119;1855;3320;6266;12132
383;483;574;755;1128;1855;3329;6257;12133
391;475;566;756;1119;1847;3320;6257;12133
382;473;564;747;1119;1855;3320;6267;12132
390;482;573;755;1119;1856;3321;6258;12131
385;473;564;755;1119;1853;3320;6265;12131
383;481;574;755;1119;1855;3329;6257;12132
391;483;566;756;1119;1848;3319;6257;12132
382;474;564;746;1120;1855;3319;6266;12132
390;482;573;755;1119;1857;3322;6257;12132
384;473;564;755;1119;1854;3320;6264;12132
382;473;573;755;1119;1856;3329;6257;12132
391;482;574;755;1119;1848;3320;6257;12134
382;474;565;746;1119;1856;3319;6260;12132
390;483;574;755;1119;1856;3320;6258;12139
383;473;565;746;1119;1856;3320;6266;12131
382;480;573;755;1127;1856;3329;6258;12132
392;484;574;755;1119;1848;3320;6258;12132
383;473;564;746;1119;1856;3319;6266;12132
390;482;573;755;1120;1856;3321;6257;12132
384;474;564;756;1119;1854;3319;6265;12132
383;481;574;756;1119;1856;3329;6257;12133
391;483;566;755;1119;1848;3320;6257;12132
383;473;564;746;1119;1856;3328;6259;12132
389;482;574;755;1119;1855;3320;6256;12139
382;474;564;746;1119;1856;3320;6267;12132
382;482;573;756;1121;1856;3321;6258;12132
391;473;564;755;1119;1854;3319;6257;12131
382;474;573;755;1119;1856;3329;6258;12132
391;483;574;755;1119;1855;3319;6257;12134
382;473;564;746;1119;1856;3319;6267;12133
382;483;573;755;1119;1856;3321;6257;12132
384;474;564;756;1119;1854;3320;6264;12132
382;481;573;755;1119;1856;3330;6257;12132
392;482;566;756;1119;1847;3321;6257;12133
382;473;565;746;1120;1856;3327;6259;12132
392;482;573;755;1119;1855;3320;6258;12140
382;474;565;746;1119;1855;3320;6267;12132
382;483;573;755;1126;1855;3328;6258;12131
392;482;567;755;1119;1847;3319;6258;12131
383;473;564;746;1119;1855;3320;6267;12131
390;483;574;756;1119;1855;3322;6257;12133
385;473;564;755;1120;1854;3319;6264;12133
383;481;574;755;1119;1856;3329;6257;12132
392;483;574;755;1119;1848;3320;6257;12132
383;473;564;746;1119;1856;3320;6266;12133
390;483;574;755;1119;1856;3322;6257;12132
384;474;564;755;1119;1854;3320;6264;12132
383;481;573;755;1126;1855;3329;6258;12132
391;482;566;755;1119;1846;3320;6258;12131
383;474;565;746;1119;1856;3327;6260;12131
392;483;573;756;1119;1856;3320;6258;12139
382;473;564;746;1119;1856;3320;6266;12132
382;481;574;756;1127;1856;3329;6257;12132
392;483;567;756;1119;1848;3320;6257;12132
383;473;564;746;1119;1857;3327;6259;12132
390;483;573;756;1119;1856;3320;6257;12140
382;474;565;746;1119;1856;3321;6266;12132
383;480;573;755;1126;1856;3329;6257;12132
392;483;566;755;1119;1846;3319;6258;12132
383;473;564;746;1119;1856;3320;6266;12132
389;482;573;755;1119;1855;3322;6258;12132
384;474;564;755;1120;1854;3320;6265;12132
383;474;574;755;1119;1856;3329;6257;12132
392;482;574;756;1119;1848;3319;6257;12134
383;474;565;746;1120;1855;3320;6266;12132
390;482;573;755;1119;1856;3321;6257;12132
384;473;564;755;1118;1854;3320;6264;12132
383;481;573;755;1126;1855;3329;6257;12132
391;483;566;755;1119;1848;3320;6257;12132
383;474;565;747;1119;1855;3320;6260;12132
390;482;574;756;1119;1855;3320;6258;12139
383;473;564;746;1119;1856;3319;6266;12131
383;482;574;756;1128;1856;3329;6258;12131
391;475;566;755;1119;1847;3320;6257;12131
383;473;565;746;1119;1855;3319;6266;12132
390;483;574;755;1119;1856;3322;6257;12132
384;474;565;755;1119;1854;3319;6264;12132
383;473;574;756;1119;1857;3329;6257;12132
392;483;574;756;1119;1848;3320;6257;12134
382;473;565;746;1119;1856;3327;6259;12132
390;482;573;755;1119;1855;3320;6257;12141
382;474;565;747;1119;1855;3319;6267;12132
382;483;573;755;1128;1856;3328;6258;12132
392;476;566;755;1119;1847;3320;6258;12132
382;474;565;746;1119;1855;3320;6267;12132
390;482;574;755;1119;1856;3321;6257;12131
384;474;564;748;1119;1856;3320;6266;12132
382;482;573;755;1129;1856;3329;6257;12132
392;475;566;755;1119;1847;3320;6257;12133
382;474;564;747;1119;1855;3327;6259;12132
390;483;574;756;1119;1856;3321;6257;12139
383;474;565;746;1119;1856;3321;6266;12132
383;481;574;755;1126;1856;3329;6258;12133
391;475;566;756;1119;1846;3320;6258;12132
383;474;565;746;1119;1856;3327;6259;12131
391;483;573;756;1119;1855;3322;6257;12131
384;473;564;755;1119;1854;3320;6265;12132
382;481;573;756;1119;1856;3329;6257;12132
392;483;574;756;1120;1848;3319;6257;12134
383;474;564;746;1119;1856;3327;6259;12132
390;483;574;755;1119;1856;3319;6257;12140
382;474;564;746;1119;1856;3320;6266;12132
382;482;573;755;1128;1855;3329;6257;12132
392;475;566;756;1119;1846;3320;6257;12132
383;474;564;747;1119;1855;3327;6260;12132
390;482;574;756;1119;1856;3320;6257;12140
382;473;565;746;1119;1856;3320;6267;12132
383;483;574;755;1120;1855;3329;6257;12131
