0B;8B;16B;32B;64B;128B;256B;512B;1024B
387;474;552;707;1019;1644;2906;5425;10446
387;465;543;699;1020;1650;2906;5424;10453
396;465;543;701;1019;1651;2907;5416;10444
397;474;552;708;1019;1641;2898;5416;10444
387;474;552;708;1019;1642;2906;5425;10446
387;465;542;705;1019;1651;2907;5424;10453
389;465;543;701;1019;1651;2905;5415;10443
396;474;552;707;1019;1642;2898;5415;10444
387;474;552;708;1019;1643;2906;5424;10444
387;465;550;706;1019;1651;2905;5425;10453
389;464;543;698;1019;1651;2906;5416;10443
396;474;552;707;1020;1641;2898;5415;10444
387;474;552;707;1019;1641;2907;5424;10444
387;465;550;708;1020;1651;2906;5425;10453
387;465;543;698;1019;1651;2906;5416;10443
396;474;552;707;1019;1642;2898;5415;10444
387;474;552;707;1019;1642;2906;5425;10443
387;465;543;705;1019;1651;2906;5425;10453
389;465;543;699;1019;1652;2906;5416;10444
396;474;552;708;1019;1642;2906;5415;10444
387;474;551;707;1019;1642;2906;5425;10446
387;465;543;699;1019;1651;2905;5425;10453
397;465;543;700;1019;1651;2907;5415;10444
396;474;552;708;1019;1642;2898;5416;10443
387;474;553;707;1019;1644;2905;5424;10446
387;465;543;698;1019;1652;2905;5424;10453
396;465;543;700;1019;1651;2905;5416;10443
397;474;552;707;1019;1642;2898;5415;10444
387;474;551;707;1019;1641;2906;5425;10444
388;465;550;707;1019;1651;2906;5424;10453
387;465;543;698;1019;1651;2906;5416;10444
397;474;551;708;1020;1641;2905;5415;10444
387;472;552;708;1019;1642;2907;5425;10446
388;465;543;699;1019;1651;2906;5425;10453
389;465;543;701;1019;1651;2906;5416;10444
396;475;552;708;1019;1643;2906;5415;10443
388;474;552;708;1019;1642;2906;5425;10445
387;465;543;699;1019;1651;2906;5425;10452
396;465;543;700;1019;1651;2906;5415;10444
396;474;552;708;1019;1642;2899;5416;10444
387;474;552;708;1019;1642;2906;5425;10443
387;465;550;707;1019;1651;2906;5424;10453
389;465;542;698;1019;1651;2907;5415;10444
397;474;552;707;1019;1642;2906;5416;10444
387;473;552;707;1019;1644;2906;5424;10446
387;465;543;699;1019;1651;2905;5422;10453
396;467;543;708;1019;1651;2904;5416;10444
394;474;552;707;1019;1642;2905;5415;10443
387;464;551;708;1020;1651;2906;5424;10453
387;465;542;699;1019;1650;2906;5422;10453
397;467;543;708;1019;1651;2904;5416;10444
395;474;553;708;1019;1642;2906;5415;10443
387;465;552;707;1019;1652;2905;5424;10453
387;465;543;698;1019;1651;2906;5423;10452
397;465;543;708;1019;1651;2904;5415;10444
394;474;552;707;1019;1642;2906;5417;10444
388;465;552;708;1019;1651;2907;5425;10453
387;465;543;698;1019;1651;2906;5423;10452
397;465;543;708;1019;1651;2904;5416;10444
387;474;552;707;1019;1642;2907;5417;10444
387;465;552;707;1019;1650;2906;5425;10452
388;464;543;699;1019;1651;2905;5423;10453
396;467;544;707;1019;1651;2904;5415;10444
394;474;552;708;1019;1642;2905;5416;10443
387;465;552;708;1019;1651;2906;5424;10452
387;465;543;699;1020;1651;2906;5415;10444
396;474;552;708;1019;1642;2899;5415;10444
387;474;552;707;1019;1642;2906;5425;10443
387;465;550;709;1019;1651;2906;5424;10453
389;465;543;699;1019;1651;2907;5415;10444
397;474;552;708;1019;1642;2899;5416;10444
388;474;552;707;1019;1642;2906;5424;10444
387;465;550;708;1019;1651;2906;5424;10453
389;465;543;698;1019;1651;2905;5415;10444
396;474;552;708;1019;1642;2899;5416;10443
387;474;552;708;1020;1642;2906;5425;10444
387;465;550;707;1019;1651;2907;5425;10453
387;465;543;698;1019;1651;2905;5416;10443
396;474;553;708;1019;1642;2898;5415;10444
388;474;552;707;1019;1642;2906;5425;10447
387;465;543;698;1019;1651;2905;5425;10453
389;465;543;707;1019;1651;2904;5415;10444
394;474;551;707;1019;1642;2905;5417;10444
387;465;552;708;1019;1651;2907;5425;10453
387;464;543;699;1019;1651;2905;5416;10453
397;467;543;708;1019;1650;2904;5415;10444
387;474;552;708;1019;1642;2907;5417;10444
387;465;551;708;1020;1651;2906;5425;10452
388;465;543;698;1019;1651;2906;5416;10453
396;467;543;707;1019;1651;2904;5415;10444
395;474;552;707;1019;1642;2906;5416;10443
387;465;551;707;1019;1651;2906;5425;10453
387;465;543;699;1020;1651;2905;5416;10453
396;467;542;708;1019;1651;2905;5415;10444
394;474;551;708;1019;1642;2906;5416;10443
388;465;552;709;1019;1651;2906;5425;10453
387;465;543;699;1019;1651;2906;5415;10453
396;467;543;707;1019;1651;2904;5416;10443
394;475;552;708;1019;1642;2906;5415;10443
387;465;552;708;1019;1651;2906;5424;10453
387;465;543;699;1019;1651;2906;5423;10453
396;467;543;707;1019;1651;2903;5416;10443
395;474;552;708;1019;1641;2905;5415;10444
387;465;552;707;1019;1651;2906;5425;10453
387;465;543;698;1019;1651;2905;5416;10452
396;474;553;708;1019;1651;2903;5415;10444
387;474;552;708;1019;1642;2906;5417;10444
387;465;552;708;1019;1651;2905;5425;10452
387;465;543;698;1019;1651;2906;5422;10453
396;467;542;707;1019;1651;2904;5415;10444
387;474;552;708;1019;1642;2906;5417;10444
387;465;552;707;1019;1651;2905;5425;10452
388;465;542;698;1019;1651;2906;5422;10453
396;467;542;708;1019;1651;2904;5415;10444
394;474;552;708;1019;1642;2906;5416;10443
387;465;553;708;1019;1651;2905;5424;10453
388;465;543;698;1019;1652;2906;5422;10453
397;466;543;708;1019;1651;2904;5416;10444
396;474;552;708;1019;1642;2905;5415;10443
387;465;552;707;1019;1651;2906;5424;10453
387;465;542;699;1019;1651;2906;5415;10453
396;467;543;707;1019;1651;2904;5416;10444
395;474;552;708;1019;1641;2906;5417;10444
387;465;552;708;1019;1651;2906;5424;10454
387;465;543;699;1019;1651;2906;5416;10453
396;467;542;708;1019;1651;2904;5416;10444
394;474;552;707;1019;1642;2905;5415;10444
387;465;552;708;1019;1651;2906;5425;10453
387;464;543;698;1019;1651;2906;5423;10452
396;468;543;707;1020;1651;2904;5415;10445
395;474;552;708;1019;1642;2907;5415;10444
387;465;552;708;1026;1651;2906;5425;10452
387;465;543;699;1019;1651;2905;5415;10453
396;474;544;708;1019;1650;2905;5416;10444
395;474;552;708;1019;1642;2906;5416;10444
387;465;552;708;1019;1651;2906;5424;10453
387;465;543;699;1019;1651;2905;5415;10453
396;474;545;708;1019;1651;2904;5415;10444
387;475;552;708;1019;1642;2906;5417;10443
387;465;552;708;1020;1651;2906;5424;10453
388;465;543;698;1019;1651;2906;5423;10453
396;465;543;707;1019;1651;2904;5416;10443
394;474;553;708;1019;1642;2906;5415;10444
387;465;551;708;1019;1651;2906;5425;10453
387;465;543;699;1019;1651;2906;5415;10452
397;474;552;708;1019;1642;2898;5415;10444
