0B;8B;16B;32B;64B;128B;256B;512B;1024B
192;224;259;340;491;787;1391;2587;4979
193;222;259;341;491;788;1390;2587;4979
192;222;259;342;483;788;1383;2580;4980
185;222;259;343;484;788;1383;2579;4979
185;222;267;335;484;788;1383;2580;4979
187;222;266;335;484;788;1383;2579;4979
186;222;267;335;484;781;1384;2580;4980
187;222;267;335;482;781;1381;2578;4979
185;223;261;333;482;781;1381;2578;4972
185;222;261;333;482;781;1381;2579;4973
185;229;261;334;481;786;1381;2585;4980
185;229;261;333;489;786;1381;2585;4980
185;229;259;333;489;785;1389;2585;4979
185;222;259;333;489;788;1389;2587;4980
185;224;260;341;491;788;1389;2587;4980
185;224;259;340;491;788;1390;2587;4980
193;222;259;340;491;787;1390;2587;4979
193;222;259;341;491;788;1391;2587;4980
192;222;260;341;483;788;1383;2580;4980
185;224;259;341;491;788;1390;2587;4980
192;224;259;341;491;788;1391;2587;4980
192;222;259;340;491;788;1384;2580;4980
185;222;259;342;484;787;1383;2580;4979
185;222;260;343;483;788;1384;2581;4979
185;222;259;342;483;787;1383;2580;4980
185;223;259;342;483;788;1383;2579;4979
185;222;259;343;483;788;1383;2580;4980
185;222;260;342;484;788;1383;2580;4980
185;222;259;342;484;787;1383;2579;4980
185;223;267;343;483;787;1383;2580;4981
185;222;259;342;483;788;1383;2580;4980
185;222;267;343;484;788;1383;2580;4980
185;222;267;336;484;788;1383;2579;4979
186;222;259;342;484;788;1383;2579;4980
185;222;267;336;483;787;1383;2579;4979
187;222;266;335;483;788;1383;2579;4980
187;222;266;335;483;789;1384;2580;4980
186;223;266;335;484;780;1384;2579;4980
187;222;266;335;482;781;1381;2577;4980
185;222;261;333;482;781;1382;2578;4972
185;222;261;334;482;786;1382;2585;4980
185;229;261;334;482;786;1381;2585;4980
185;229;261;333;489;786;1381;2585;4980
185;229;259;334;489;786;1382;2585;4981
185;229;259;333;489;786;1389;2585;4979
185;222;260;333;489;788;1388;2587;4980
185;224;259;333;489;787;1388;2587;4980
185;224;259;334;489;788;1389;2587;4979
185;224;259;333;489;787;1388;2587;4979
185;224;259;333;489;787;1388;2586;4980
185;224;259;341;492;788;1389;2587;4980
185;224;259;341;491;789;1389;2587;4979
185;224;259;340;491;788;1389;2586;4980
193;224;259;334;489;787;1389;2587;4979
185;224;260;341;489;788;1389;2588;4980
185;224;259;341;491;788;1388;2588;4980
192;224;259;341;491;788;1389;2588;4980
192;224;259;340;491;787;1390;2587;4981
192;222;259;341;484;788;1384;2580;4981
185;222;259;342;484;787;1384;2579;4980
185;223;259;342;484;788;1383;2580;4980
185;222;267;336;484;788;1383;2580;4981
187;222;267;335;484;781;1383;2580;4980
187;222;259;343;484;788;1384;2579;4980
185;223;259;342;484;787;1384;2580;4980
185;222;259;344;484;787;1383;2579;4980
187;222;266;335;484;788;1384;2580;4980
187;222;267;335;483;781;1383;2580;4980
187;222;267;336;481;781;1384;2580;4979
187;222;267;335;482;780;1381;2577;4979
185;222;267;335;483;780;1383;2580;4980
187;222;267;335;484;781;1383;2580;4980
187;222;266;335;482;781;1382;2578;4980
185;222;261;333;482;780;1381;2577;4980
185;222;261;333;482;780;1382;2578;4973
185;229;261;333;482;786;1381;2585;4980
185;229;261;334;482;786;1382;2584;4981
185;230;261;333;489;786;1381;2585;4979
185;229;259;333;489;788;1389;2587;4979
185;224;260;333;489;788;1388;2587;4980
185;224;259;342;491;788;1389;2587;4980
185;224;259;341;492;788;1391;2587;4980
192;222;260;340;491;788;1391;2587;4980
193;222;259;341;484;788;1384;2579;4980
185;222;259;340;491;787;1391;2587;4980
192;224;259;340;491;788;1391;2588;4980
192;224;259;341;491;788;1390;2588;4980
192;222;259;340;491;788;1390;2587;4979
192;222;259;343;484;788;1384;2579;4980
185;222;266;336;484;788;1384;2580;4981
187;222;266;335;483;788;1383;2580;4981
187;222;266;336;484;781;1383;2580;4980
186;222;266;335;482;780;1381;2578;4980
185;222;261;333;482;788;1381;2585;4980
185;230;261;333;482;786;1381;2585;4980
185;230;262;334;482;786;1381;2585;4980
185;229;261;333;489;786;1382;2585;4979
185;229;259;333;489;786;1388;2585;4979
185;229;259;334;489;788;1389;2587;4980
185;222;259;334;489;787;1390;2587;4980
185;224;259;333;489;787;1388;2587;4980
185;224;259;334;489;788;1389;2587;4980
185;224;259;334;489;788;1389;2588;4980
185;224;259;340;491;787;1389;2587;4980
185;224;259;340;491;788;1389;2587;4980
192;224;259;340;491;788;1390;2586;4981
192;222;259;340;491;787;1391;2587;4981
192;222;259;341;491;788;1391;2587;4980
193;224;259;341;491;788;1391;2587;4979
193;222;260;341;491;788;1391;2587;4980
192;222;259;340;483;788;1383;2580;4980
185;222;259;344;484;788;1384;2580;4980
185;222;266;342;483;788;1383;2580;4980
185;222;266;335;483;788;1384;2579;4980
186;223;266;335;484;787;1384;2579;4980
187;222;267;336;483;781;1384;2580;4980
187;222;266;335;482;781;1381;2578;4979
185;222;261;333;482;780;1382;2578;4973
185;229;261;334;482;786;1381;2585;4981
185;229;261;334;481;786;1381;2585;4981
185;229;261;333;489;786;1381;2585;4980
185;229;259;333;489;786;1389;2585;4980
185;229;259;334;489;788;1388;2586;4981
185;224;260;333;489;788;1388;2587;4980
185;224;259;341;491;787;1389;2587;4980
185;223;259;340;491;788;1391;2587;4980
192;224;259;341;491;788;1390;2586;4980
192;224;259;340;491;787;1390;2587;4979
193;222;259;340;483;788;1383;2580;4980
185;222;259;342;483;788;1384;2579;4980
185;222;260;343;484;788;1384;2580;4980
185;222;260;343;484;788;1383;2581;4980
185;222;260;343;484;787;1383;2581;4979
185;222;259;336;483;788;1383;2580;4980
185;222;260;342;484;787;1384;2580;4981
187;222;266;335;483;787;1383;2579;4981
186;222;267;335;484;788;1384;2580;4981
187;223;267;335;484;781;1383;2580;4980
187;222;266;336;482;780;1382;2578;4981
185;222;261;333;482;781;1381;2578;4972
185;230;262;333;482;786;1382;2585;4980
185;230;262;333;482;786;1381;2585;4980
185;229;261;334;490;786;1381;2585;4979
185;229;259;333;489;786;1388;2587;4978
185;224;259;333;489;788;1390;2587;4980
185;224;260;340;491;787;1389;2587;4980
192;224;259;341;491;788;1391;2587;4980
192;222;259;341;491;788;1390;2588;4979
192;222;259;340;491;788;1390;2588;4980
192;222;260;341;491;788;1391;2587;4980
192;222;259;341;491;787;1390;2587;4980
192;223;259;341;491;787;1390;2587;4980
192;222;260;343;484;788;1383;2580;4980
185;223;259;342;484;788;1384;2579;4981
185;222;259;342;484;788;1383;2580;4980
185;222;259;341;491;788;1390;2587;4980
192;222;259;342;484;787;1383;2580;4980
185;222;259;342;484;788;1384;2580;4980
185;222;259;341;491;788;1390;2587;4979
193;222;259;341;490;789;1391;2586;4979
192;222;259;340;491;788;1391;2587;4980
192;222;259;340;491;787;1391;2587;4980
193;222;260;342;483;788;1383;2580;4980
185;222;259;342;483;787;1383;2581;4979
185;222;260;341;491;788;1391;2587;4980
192;222;259;340;491;788;1391;2587;4981
192;222;259;340;490;787;1390;2587;4981
193;222;259;341;491;787;1391;2587;4980
192;222;259;341;490;788;1391;2587;4980
193;222;259;343;483;788;1384;2580;4980
185;222;259;340;490;788;1390;2587;4980
185;222;259;342;483;788;1384;2580;4979
185;223;259;343;484;788;1383;2580;4980
185;222;259;343;484;788;1383;2580;4980
185;222;259;343;484;788;1383;2579;4980
185;222;259;342;484;789;1383;2580;4979
185;222;259;343;484;788;1384;2580;4979
185;222;259;342;484;788;1383;2579;4980
185;222;259;342;484;787;1384;2580;4980
185;222;259;343;484;788;1384;2580;4980
187;222;267;336;484;787;1384;2580;4980
187;222;266;335;484;781;1385;2579;4981
187;222;267;336;481;780;1383;2580;4980
187;222;266;335;482;781;1384;2580;4980
186;222;266;335;482;780;1384;2579;4980
187;222;266;335;482;781;1384;2580;4981
186;222;266;335;482;780;1381;2577;4980
185;222;261;333;482;781;1382;2578;4972
185;222;262;334;482;780;1381;2585;4979
185;229;261;334;482;786;1381;2585;4980
185;222;261;334;482;787;1381;2585;4980
185;230;261;333;482;785;1381;2585;4979
185;229;261;334;482;786;1382;2585;4980
185;229;261;333;489;786;1382;2585;4980
185;229;261;334;489;786;1382;2585;4979
185;229;259;334;489;786;1389;2588;4980
185;224;260;334;489;788;1389;2587;4980
185;224;259;340;491;788;1389;2587;4980
185;224;259;341;491;788;1390;2587;4980
193;224;260;341;491;788;1391;2587;4980
192;223;259;340;491;788;1391;2587;4980
192;222;259;341;491;788;1391;2586;4980
193;224;259;341;491;788;1391;2587;4980
192;224;259;341;491;788;1391;2587;4980
192;222;259;341;491;788;1391;2587;4980
192;222;259;340;491;788;1390;2587;4980
192;222;259;341;491;789;1391;2586;4980
192;222;259;341;491;788;1384;2580;4980
185;222;259;342;483;788;1383;2580;4980
184;223;259;343;483;788;1383;2581;4980
185;222;259;342;483;788;1383;2581;4980
185;222;259;341;491;787;1390;2587;4979
192;222;259;341;491;788;1390;2586;4980
192;222;259;340;491;787;1391;2587;4981
192;222;259;340;490;788;1391;2587;4981
193;222;260;341;491;788;1391;2587;4981
192;222;259;340;491;788;1391;2587;4980
192;222;259;340;490;788;1391;2587;4980
185;222;260;343;484;788;1383;2580;4980
185;222;260;343;484;787;1383;2579;4980
185;222;259;343;484;787;1384;2579;4980
185;222;259;342;484;788;1383;2579;4979
185;222;259;342;483;788;1383;2579;4979
185;222;259;342;484;787;1384;2580;4980
185;222;259;341;491;788;1391;2586;4979
192;223;259;340;491;788;1391;2587;4980
192;222;259;341;483;788;1384;2580;4980
185;222;259;342;483;788;1384;2580;4980
185;222;259;342;483;788;1383;2580;4980
185;222;259;342;484;788;1383;2580;4980
185;222;266;335;483;788;1383;2580;4980
187;222;266;335;484;781;1383;2580;4981
187;222;266;336;482;780;1381;2578;4980
185;222;261;333;482;780;1381;2578;4973
185;230;261;334;482;781;1382;2578;4972
185;229;261;333;482;785;1381;2585;4980
185;229;261;334;490;786;1382;2585;4980
185;230;261;333;489;786;1381;2585;4979
185;229;261;333;489;786;1390;2585;4980
185;222;259;334;489;787;1389;2587;4980
185;224;259;334;489;788;1389;2587;4980
185;224;259;333;489;788;1389;2587;4980
185;224;259;334;489;787;1389;2588;4980
185;223;260;333;489;788;1388;2587;4981
185;224;259;334;489;788;1389;2587;4980
185;224;259;341;491;788;1389;2587;4980
185;224;259;341;491;788;1389;2587;4981
192;223;259;341;490;787;1390;2587;4981
193;222;260;341;491;788;1390;2587;4979
185;222;260;343;483;788;1383;2579;4979
185;222;259;343;484;788;1383;2580;4980
185;222;267;335;484;788;1383;2580;4980
187;222;266;335;484;788;1383;2580;4979
187;223;267;336;484;789;1383;2580;4980
187;222;266;335;484;781;1384;2579;4980
187;222;266;335;482;781;1384;2577;4979
185;222;267;336;482;780;1381;2578;4980
185;223;261;333;482;780;1382;2585;4980
185;222;261;333;482;781;1382;2577;4973
185;229;261;334;482;786;1382;2585;4981
185;229;261;334;482;786;1382;2585;4980
185;229;261;334;489;786;1382;2585;4980
185;229;259;334;489;786;1388;2585;4980
185;229;259;334;489;787;1388;2586;4980
185;224;259;334;489;788;1388;2586;4980
185;224;259;334;489;788;1389;2587;4979
185;224;260;334;489;788;1388;2587;4980
185;224;259;334;490;788;1389;2587;4979
185;224;259;334;489;788;1389;2587;4980
184;224;259;334;489;788;1389;2586;4979
185;224;259;341;491;788;1390;2587;4980
192;224;259;341;491;788;1391;2588;4980
192;222;259;340;491;787;1391;2588;4980
192;222;259;343;483;788;1384;2579;4980
185;222;259;343;484;788;1383;2579;4980
185;224;260;341;491;788;1390;2587;4980
192;222;260;341;491;788;1391;2586;4980
192;222;259;343;484;787;1383;2580;4980
185;222;259;342;484;787;1383;2579;4980
185;222;259;342;484;787;1383;2579;4980
185;222;266;342;484;788;1383;2580;4979
185;222;259;340;491;788;1391;2587;4980
192;222;259;342;484;788;1384;2580;4980
185;222;259;342;484;788;1383;2579;4980
185;222;266;343;484;789;1383;2579;4980
185;222;259;343;483;788;1384;2580;4980
185;222;259;342;484;788;1383;2580;4980
185;222;259;342;484;787;1384;2581;4980
185;222;260;342;484;787;1383;2580;4979
185;224;259;340;491;788;1390;2587;4980
192;222;259;341;491;788;1391;2587;4980
192;222;259;341;491;788;1390;2587;4980
193;224;259;341;491;788;1391;2587;4980
192;224;259;341;491;788;1391;2586;4980
192;222;259;341;491;788;1391;2587;4981
193;222;259;341;484;788;1384;2580;4980
185;222;259;343;483;788;1383;2580;4979
185;222;259;341;491;787;1391;2586;4980
192;222;259;341;491;788;1390;2586;4980
192;222;260;343;483;788;1383;2580;4980
185;222;259;342;484;789;1383;2580;4980
185;222;259;342;484;788;1384;2580;4980
185;222;266;343;484;788;1384;2580;4979
185;222;260;343;484;788;1384;2580;4980
185;222;266;342;484;787;1383;2580;4980
185;222;266;342;483;787;1383;2579;4979
185;222;259;342;484;787;1383;2579;4981
185;222;267;336;484;788;1383;2580;4981
187;222;266;335;484;781;1381;2580;4981
187;222;266;335;482;780;1382;2578;4980
185;222;261;333;482;780;1382;2578;4972
185;229;261;333;482;786;1381;2585;4979
185;230;261;334;482;786;1382;2585;4979
185;229;261;333;489;786;1382;2585;4979
185;229;259;334;489;786;1388;2585;4978
185;222;259;333;489;789;1389;2587;4980
185;224;259;333;489;788;1390;2587;4980
185;224;260;341;491;788;1389;2586;4980
192;224;259;341;491;788;1391;2588;4979
192;222;259;341;491;787;1390;2588;4980
192;222;259;341;491;788;1390;2587;4980
192;222;259;340;491;787;1390;2587;4980
192;222;259;342;484;787;1383;2580;4981
185;222;259;343;484;788;1383;2580;4981
185;222;266;342;484;787;1383;2580;4980
185;222;267;335;483;788;1383;2580;4981
187;222;267;336;484;788;1384;2579;4980
186;222;267;335;484;780;1384;2580;4979
187;222;267;335;482;781;1381;2578;4979
185;222;266;335;482;780;1381;2577;4979
185;222;261;333;482;781;1381;2578;4973
185;229;261;333;482;786;1381;2585;4980
185;229;261;333;481;786;1382;2585;4980
185;230;261;333;489;786;1381;2586;4980
185;229;259;334;489;786;1389;2586;4978
185;230;259;334;489;788;1389;2587;4980
185;224;259;333;489;788;1389;2587;4980
185;224;259;333;489;788;1389;2587;4980
185;224;259;341;491;788;1389;2587;4980
185;223;259;340;491;788;1391;2587;4980
193;224;259;341;491;788;1391;2587;4980
192;222;259;340;491;787;1390;2587;4979
193;222;260;341;491;788;1391;2587;4980
193;222;259;342;484;788;1383;2580;4980
185;222;259;344;484;788;1384;2580;4980
185;223;259;342;484;788;1383;2580;4980
185;222;259;343;483;789;1384;2579;4979
185;222;259;343;484;788;1383;2580;4980
185;223;266;336;484;788;1383;2579;4980
187;222;259;342;483;788;1383;2580;4980
185;222;259;342;484;788;1384;2580;4980
185;223;259;342;484;788;1383;2580;4980
185;222;267;335;484;787;1383;2579;4980
187;222;266;335;484;781;1381;2578;4980
185;222;266;335;484;781;1381;2578;4980
185;222;266;335;482;781;1382;2578;4981
185;222;267;336;482;780;1381;2578;4981
185;222;266;335;481;780;1382;2578;4980
185;222;261;334;482;780;1381;2578;4980
185;222;261;333;482;781;1382;2578;4980
185;222;261;333;482;781;1381;2578;4973
185;230;261;333;482;787;1382;2585;4980
185;222;261;333;481;780;1382;2578;4972
185;222;266;335;482;781;1382;2578;4980
185;222;266;336;482;781;1382;2577;4979
185;222;261;334;482;781;1381;2578;4972
185;230;261;333;482;785;1381;2586;4980
185;230;261;333;482;785;1381;2585;4981
185;229;261;333;489;786;1381;2585;4980
185;229;259;333;489;787;1388;2587;4980
185;224;259;333;489;787;1388;2587;4981
185;224;260;341;491;788;1388;2587;4980
185;224;259;340;491;788;1390;2587;4980
193;222;259;340;491;788;1390;2587;4979
193;222;259;341;491;787;1390;2587;4980
192;222;259;342;491;788;1390;2587;4980
192;222;259;343;484;788;1383;2580;4980
185;222;259;341;491;789;1390;2587;4980
192;222;259;343;484;788;1384;2580;4980
185;222;267;343;483;788;1383;2580;4980
185;222;259;342;483;788;1383;2580;4980
185;222;259;342;484;787;1383;2580;4980
185;222;267;336;483;788;1383;2579;4980
187;222;267;335;484;788;1383;2580;4980
187;222;266;335;484;781;1381;2578;4980
185;222;266;335;482;781;1382;2578;4980
185;222;261;334;481;781;1381;2577;4973
185;229;261;333;482;786;1382;2585;4980
185;229;261;334;482;785;1381;2585;4980
185;230;261;333;482;786;1381;2585;4980
185;229;262;333;489;786;1381;2585;4980
185;229;259;334;490;786;1388;2585;4978
185;222;260;333;489;788;1389;2587;4980
185;224;259;334;489;788;1390;2587;4980
185;224;259;340;491;788;1390;2587;4979
184;224;259;341;491;788;1391;2587;4980
192;222;260;340;491;788;1391;2587;4980
192;224;259;341;491;787;1391;2587;4980
192;224;259;340;491;788;1388;2587;4980
192;224;259;340;490;787;1391;2586;4980
192;222;259;340;491;788;1391;2587;4980
193;222;259;341;491;788;1391;2587;4981
192;222;259;341;491;788;1390;2587;4980
193;222;259;341;491;787;1390;2587;4979
192;223;259;340;491;788;1390;2587;4980
192;222;259;341;491;787;1391;2587;4980
192;222;259;341;490;788;1390;2587;4980
193;223;259;341;492;788;1391;2587;4979
192;222;259;342;483;788;1383;2580;4980
185;222;259;342;484;788;1384;2580;4980
185;222;259;342;484;788;1383;2579;4979
185;222;267;343;483;788;1383;2581;4979
185;222;259;342;483;788;1383;2580;4979
185;222;259;340;491;788;1391;2588;4980
193;222;259;340;490;788;1391;2587;4981
193;222;259;340;484;788;1384;2579;4980
185;224;259;341;491;787;1390;2587;4981
192;224;259;340;491;788;1391;2587;4981
192;222;259;341;491;788;1390;2587;4981
192;222;259;343;483;788;1383;2579;4980
184;223;259;343;483;788;1383;2580;4979
185;222;260;342;483;788;1383;2580;4979
185;222;259;343;484;788;1383;2579;4980
187;222;266;336;484;788;1383;2580;4979
187;222;259;342;484;788;1383;2580;4980
185;222;259;343;483;787;1384;2580;4980
185;222;260;343;483;788;1383;2580;4980
185;222;260;341;491;788;1391;2588;4980
193;222;259;341;484;788;1384;2580;4980
185;222;259;341;484;788;1383;2579;4979
185;222;259;342;484;787;1383;2580;4980
185;222;259;343;484;788;1383;2580;4980
185;222;260;341;491;787;1391;2587;4981
192;222;259;341;491;787;1391;2587;4980
192;223;259;341;491;788;1390;2587;4980
192;222;260;340;491;788;1391;2587;4979
193;222;259;341;491;788;1391;2587;4980
193;224;259;340;491;788;1390;2587;4980
193;222;260;341;491;788;1390;2586;4979
192;222;259;341;492;788;1391;2587;4980
192;223;259;342;484;788;1383;2580;4980
185;224;259;340;490;788;1391;2587;4980
192;222;260;341;491;788;1391;2587;4980
192;222;259;340;491;788;1391;2587;4979
192;222;259;340;491;788;1390;2588;4980
192;222;259;342;483;788;1383;2579;4979
185;222;266;335;484;787;1383;2579;4981
187;222;259;342;484;787;1383;2579;4980
185;222;259;343;484;788;1383;2579;4980
185;224;259;341;490;788;1391;2587;4980
192;222;259;341;491;787;1390;2587;4980
192;222;260;340;491;788;1391;2587;4979
193;224;259;341;491;787;1391;2587;4980
192;222;259;341;490;787;1390;2587;4980
192;222;259;341;490;788;1391;2587;4979
192;222;259;341;492;788;1390;2587;4980
192;224;259;340;491;788;1390;2586;4980
192;224;259;340;490;787;1391;2587;4980
192;222;259;340;491;788;1391;2587;4980
193;222;259;340;490;788;1390;2587;4979
192;222;259;340;491;787;1391;2588;4979
192;222;260;341;491;787;1390;2587;4979
192;222;259;340;490;788;1391;2587;4980
193;223;259;340;491;787;1390;2587;4981
192;222;260;341;491;788;1390;2587;4980
192;222;259;343;484;788;1383;2580;4981
185;223;259;343;483;788;1384;2580;4980
185;222;259;343;484;788;1383;2580;4980
187;222;259;342;483;788;1383;2580;4980
185;222;260;343;484;787;1383;2580;4980
187;222;266;335;483;787;1384;2580;4980
187;222;266;335;482;781;1381;2577;4980
185;222;266;335;482;781;1381;2578;4980
185;222;261;334;482;781;1382;2585;4979
185;229;262;334;482;786;1381;2586;4980
185;229;261;333;482;786;1381;2586;4980
185;229;261;333;489;786;1382;2586;4980
185;230;259;333;489;788;1389;2587;4981
185;224;259;333;489;788;1388;2587;4980
185;224;259;334;489;788;1388;2586;4981
185;224;259;333;489;787;1388;2587;4981
185;224;259;333;489;788;1388;2587;4981
185;224;260;334;489;788;1389;2587;4979
185;224;259;333;489;787;1389;2587;4980
185;224;260;334;489;788;1388;2587;4980
184;224;259;333;491;788;1388;2587;4980
185;224;259;334;490;788;1389;2587;4980
185;224;259;333;489;788;1388;2586;4979
185;224;259;334;489;788;1390;2587;4980
185;224;259;341;491;787;1390;2587;4979
185;224;259;340;491;787;1388;2588;4979
192;224;259;340;491;788;1390;2588;4979
192;222;259;341;491;788;1391;2587;4980
192;222;259;341;491;788;1391;2587;4981
192;222;259;342;484;788;1383;2580;4980
185;222;259;342;483;787;1383;2580;4980
185;222;259;343;484;788;1383;2579;4981
185;222;260;341;491;788;1390;2587;4980
192;222;259;341;491;788;1390;2587;4980
193;222;259;341;491;788;1391;2587;4980
192;222;259;342;483;788;1383;2580;4979
185;222;267;335;484;787;1383;2579;4979
186;222;267;335;484;788;1383;2579;4979
187;222;259;342;484;788;1383;2579;4980
185;222;259;341;491;788;1391;2586;4979
192;222;259;341;491;788;1391;2587;4979
192;222;259;340;491;788;1390;2587;4980
192;222;259;342;483;788;1383;2581;4980
185;222;259;342;484;788;1383;2580;4979
185;222;260;343;484;788;1383;2580;4980
185;222;266;335;484;788;1383;2580;4980
187;222;266;335;483;788;1383;2580;4980
187;222;266;335;484;780;1381;2577;4980
185;222;266;335;482;781;1381;2577;4980
185;222;261;334;482;780;1381;2578;4973
185;222;261;333;482;786;1382;2585;4980
185;222;267;335;482;780;1382;2578;4980
185;222;268;333;481;780;1382;2577;4979
185;222;261;333;482;780;1382;2578;4973
185;229;261;333;482;786;1381;2585;4979
185;230;261;333;482;786;1382;2585;4980
185;230;261;333;489;786;1381;2586;4980
185;230;261;333;489;786;1382;2586;4980
185;222;261;333;482;780;1381;2579;4972
184;222;261;334;482;780;1381;2577;4973
185;222;261;333;482;787;1381;2585;4980
185;229;261;333;481;786;1381;2585;4980
185;229;261;334;489;786;1381;2585;4980
185;229;259;333;489;786;1388;2586;4978
185;224;259;333;489;787;1388;2587;4980
185;224;260;334;489;788;1389;2587;4979
185;224;259;340;491;788;1388;2587;4980
185;224;259;341;491;787;1389;2587;4980
192;224;260;341;492;788;1391;2587;4979
192;224;260;340;490;788;1390;2587;4980
192;223;259;341;491;788;1391;2587;4980
193;224;260;341;491;788;1391;2587;4979
192;222;260;341;491;788;1391;2587;4980
192;222;259;343;484;787;1384;2581;4980
187;222;266;335;484;787;1384;2580;4980
186;222;266;342;484;787;1383;2579;4980
186;222;259;341;490;787;1390;2586;4980
192;222;260;341;491;788;1391;2587;4980
192;223;259;341;491;787;1391;2586;4981
192;222;259;341;491;788;1391;2587;4981
192;225;259;340;490;787;1391;2587;4980
193;222;259;341;491;788;1390;2587;4980
193;222;259;343;491;788;1390;2587;4979
192;222;259;343;491;788;1390;2587;4980
192;223;259;342;483;788;1383;2580;4980
187;222;266;342;483;788;1384;2579;4979
187;222;266;343;484;787;1384;2580;4980
186;223;260;343;484;788;1383;2579;4980
187;222;259;342;483;788;1383;2580;4980
186;222;260;343;483;788;1383;2580;4979
187;222;266;335;484;787;1383;2580;4980
187;222;266;335;483;788;1383;2580;4981
187;222;266;336;482;781;1381;2578;4980
185;222;268;335;482;780;1381;2578;4980
185;222;261;333;482;781;1381;2578;4973
185;229;261;334;482;785;1382;2585;4980
185;229;259;333;489;786;1382;2585;4980
185;230;259;334;489;788;1388;2586;4980
185;224;259;333;491;788;1389;2587;4980
184;224;259;341;491;788;1388;2587;4980
185;223;260;341;491;789;1390;2587;4980
193;224;260;341;491;788;1391;2586;4979
192;222;259;340;491;787;1391;2587;4979
192;222;260;341;490;788;1391;2587;4980
192;222;259;343;484;788;1384;2580;4979
187;222;260;343;484;788;1383;2580;4980
187;222;259;340;491;788;1390;2586;4981
192;222;259;343;484;788;1384;2580;4980
185;222;259;343;484;787;1384;2580;4981
185;223;259;343;484;788;1384;2579;4980
186;222;259;343;483;788;1384;2580;4980
187;222;259;342;484;787;1383;2580;4980
187;222;260;343;484;787;1383;2580;4980
187;222;259;342;483;788;1383;2580;4980
187;222;266;335;484;787;1384;2580;4979
186;222;267;335;484;788;1384;2579;4980
187;222;266;335;484;781;1382;2581;4980
188;223;267;335;482;781;1382;2578;4980
185;222;269;334;482;780;1381;2578;4979
185;222;261;333;482;786;1381;2586;4979
185;222;261;335;482;781;1382;2579;4980
185;222;261;333;482;781;1381;2578;4980
185;222;267;335;482;780;1382;2578;4980
185;222;261;333;482;786;1382;2585;4981
185;222;262;333;482;781;1381;2578;4973
185;229;261;333;482;786;1382;2585;4980
185;229;261;333;482;785;1381;2585;4979
185;229;259;334;489;786;1381;2585;4978
185;230;259;334;489;788;1389;2587;4980
185;224;259;333;489;787;1388;2586;4980
185;224;259;334;490;787;1388;2587;4980
185;232;260;333;489;788;1388;2587;4980
185;224;259;333;491;787;1389;2587;4980
185;224;259;341;491;788;1391;2587;4980
192;224;259;340;491;788;1390;2588;4979
192;222;259;340;490;788;1390;2588;4980
192;222;259;341;491;788;1390;2587;4980
192;222;260;341;491;787;1391;2587;4981
192;222;260;343;484;788;1383;2580;4980
185;222;259;343;484;788;1383;2580;4981
187;222;266;335;484;788;1383;2579;4980
187;222;266;335;483;788;1383;2580;4980
187;222;260;342;483;788;1384;2580;4980
187;222;259;342;483;788;1384;2580;4980
185;222;259;342;491;788;1391;2587;4980
192;222;259;343;491;787;1390;2587;4980
192;223;259;342;483;788;1383;2580;4980
186;222;259;342;484;788;1383;2580;4980
187;222;259;343;484;788;1384;2580;4980
