0B;8B;16B;32B;64B;128B;256B;512B;1024B
270;326;391;506;732;1186;2100;3927;7576
270;336;393;497;732;1185;2100;3928;7584
277;328;383;496;723;1184;2099;3928;7586
272;327;384;506;732;1191;2099;3922;7578
270;327;393;506;732;1186;2100;3928;7577
270;335;384;496;722;1185;2107;3928;7586
280;327;384;496;732;1184;2099;3929;7586
270;327;392;505;732;1185;2100;3928;7577
270;336;393;498;732;1185;2099;3928;7584
278;329;383;497;723;1185;2099;3928;7587
270;327;384;506;732;1194;2099;3927;7577
270;333;393;506;733;1185;2099;3928;7577
271;336;383;496;723;1185;2101;3928;7586
272;327;383;506;732;1192;2099;3921;7578
270;327;393;506;732;1184;2099;3928;7576
271;337;383;497;723;1185;2101;3928;7586
279;326;383;503;732;1185;2099;3929;7586
270;327;393;506;732;1184;2100;3927;7576
270;336;393;498;732;1184;2099;3928;7584
278;329;383;497;723;1184;2099;3928;7586
272;326;384;506;732;1192;2099;3921;7579
270;327;392;506;732;1185;2099;3928;7577
271;336;384;497;723;1185;2107;3928;7586
279;327;383;496;730;1184;2099;3929;7586
271;327;391;505;732;1187;2100;3928;7576
270;336;394;499;732;1185;2099;3928;7584
277;328;383;497;723;1185;2099;3928;7587
271;327;383;506;732;1191;2099;3921;7579
271;327;393;506;732;1185;2099;3928;7577
270;336;384;496;723;1184;2107;3928;7586
280;327;384;496;730;1184;2099;3928;7585
270;326;390;506;732;1187;2099;3928;7576
270;336;393;499;732;1185;2099;3927;7585
278;329;383;497;722;1185;2099;3928;7585
279;327;383;503;732;1192;2100;3920;7579
270;327;392;506;732;1184;2099;3928;7577
270;336;385;497;732;1185;2099;3928;7586
279;327;383;497;723;1185;2099;3928;7586
270;326;384;506;732;1194;2099;3926;7577
270;334;393;499;732;1185;2099;3927;7585
278;329;383;497;723;1185;2099;3929;7585
273;327;383;506;732;1192;2099;3921;7578
271;327;394;506;732;1185;2099;3928;7577
270;336;383;496;732;1185;2099;3927;7586
280;327;383;497;730;1185;2099;3928;7586
270;327;391;506;733;1194;2099;3926;7577
270;334;393;499;732;1184;2099;3927;7585
277;328;384;497;723;1185;2101;3929;7585
272;327;383;506;732;1192;2099;3920;7578
271;327;392;505;732;1185;2099;3928;7577
270;335;386;496;732;1185;2099;3929;7585
279;327;383;496;723;1184;2102;3928;7586
272;327;384;504;732;1192;2099;3921;7579
271;327;393;506;732;1184;2099;3928;7578
270;336;383;497;725;1185;2106;3928;7585
279;326;383;497;730;1184;2099;3928;7586
270;327;391;506;732;1186;2099;3928;7577
270;335;393;499;732;1184;2099;3929;7583
277;329;383;497;723;1184;2102;3928;7585
273;327;384;506;732;1192;2099;3921;7580
271;327;393;505;732;1185;2099;3928;7577
270;336;383;497;725;1184;2107;3928;7586
280;327;383;496;730;1184;2099;3927;7587
271;326;391;506;732;1187;2099;3928;7577
270;336;392;498;732;1185;2099;3928;7584
277;329;384;496;723;1185;2099;3927;7586
272;327;383;504;732;1192;2099;3920;7579
270;326;393;505;732;1185;2099;3929;7576
270;335;386;496;732;1185;2100;3927;7586
279;327;384;497;730;1185;2099;3928;7587
270;327;390;505;732;1187;2099;3928;7577
270;336;393;499;732;1184;2099;3929;7584
278;329;383;496;723;1185;2099;3928;7586
272;327;384;505;732;1192;2099;3921;7579
270;327;392;506;732;1185;2099;3929;7577
271;336;383;496;723;1184;2107;3928;7586
279;327;384;497;730;1185;2099;3927;7587
270;327;391;506;732;1187;2099;3928;7577
271;336;392;498;732;1185;2100;3928;7584
278;329;383;497;723;1184;2099;3927;7587
272;326;384;506;732;1192;2099;3921;7579
270;327;392;505;732;1185;2099;3928;7577
270;336;383;496;732;1185;2099;3928;7586
280;327;384;497;723;1185;2101;3928;7586
272;327;383;504;732;1191;2099;3922;7579
271;326;393;506;732;1185;2100;3928;7577
270;336;383;496;732;1185;2099;3928;7586
279;326;384;496;730;1185;2099;3927;7586
270;327;390;506;732;1186;2099;3929;7577
271;334;392;498;733;1185;2099;3928;7584
277;328;384;496;723;1185;2099;3928;7587
272;327;384;503;732;1192;2099;3928;7585
270;327;392;506;732;1184;2099;3928;7577
270;337;383;497;725;1184;2106;3928;7586
280;327;383;497;730;1185;2099;3928;7585
270;327;393;505;731;1185;2099;3928;7576
270;336;392;498;732;1184;2099;3927;7585
278;329;383;497;723;1184;2101;3928;7586
272;327;383;505;731;1192;2099;3921;7578
270;327;392;506;732;1185;2099;3927;7577
270;336;383;497;732;1185;2099;3928;7586
279;327;383;496;730;1185;2099;3929;7586
270;327;390;506;732;1186;2100;3928;7577
270;334;394;499;732;1184;2099;3927;7585
278;329;383;496;723;1185;2101;3927;7586
272;327;383;506;732;1192;2099;3921;7578
270;326;393;506;733;1184;2099;3928;7577
270;335;384;496;725;1184;2106;3927;7587
279;327;383;497;732;1185;2099;3929;7586
270;327;390;505;732;1187;2099;3928;7577
270;336;392;499;732;1185;2099;3928;7584
278;329;384;497;722;1185;2099;3928;7586
271;327;383;506;731;1194;2100;3926;7576
270;334;393;507;732;1184;2099;3928;7577
271;336;383;496;723;1184;2108;3928;7586
279;327;384;504;732;1192;2099;3928;7586
271;326;393;506;732;1186;2099;3928;7577
270;336;387;497;732;1184;2099;3927;7586
279;326;383;497;723;1185;2101;3928;7586
272;327;383;506;732;1192;2100;3928;7586
270;327;393;505;732;1185;2099;3928;7577
270;336;385;496;731;1184;2099;3928;7586
279;326;383;496;731;1184;2099;3928;7586
270;327;384;505;732;1193;2100;3926;7578
271;327;393;506;732;1185;2099;3928;7577
271;336;383;497;723;1185;2101;3929;7586
280;327;384;504;732;1193;2099;3928;7586
271;327;392;506;732;1184;2099;3927;7577
270;336;385;496;732;1185;2099;3928;7586
280;327;383;497;722;1185;2099;3928;7586
270;327;384;506;732;1194;2099;3926;7577
270;334;392;506;732;1185;2099;3928;7585
278;329;383;497;722;1184;2101;3929;7585
273;327;384;504;732;1192;2099;3921;7579
270;326;393;506;732;1184;2099;3927;7578
270;335;386;497;732;1184;2099;3928;7586
279;329;384;497;722;1185;2099;3928;7586
272;327;384;506;732;1192;2099;3921;7579
270;327;393;506;732;1184;2099;3928;7576
271;336;383;497;723;1185;2107;3928;7586
280;327;383;496;731;1184;2099;3928;7586
271;326;391;506;732;1187;2099;3927;7577
270;335;393;498;732;1184;2099;3928;7584
278;329;383;497;723;1185;2101;3928;7586
272;327;383;504;731;1192;2099;3921;7579
270;327;392;505;732;1185;2099;3929;7577
271;336;385;496;732;1184;2100;3928;7585
279;327;384;496;723;1185;2099;3928;7586
270;327;391;505;732;1194;2099;3926;7577
270;334;392;498;732;1185;2099;3928;7583
277;329;383;497;723;1185;2099;3928;7586
272;327;384;504;732;1184;2099;3928;7586
270;327;393;506;732;1184;2099;3928;7576
270;335;386;496;732;1185;2099;3928;7585
279;327;384;496;731;1184;2099;3928;7586
270;327;390;505;732;1187;2099;3928;7576
271;336;392;498;732;1184;2100;3927;7584
277;329;383;496;723;1185;2099;3928;7586
273;327;383;505;732;1192;2099;3921;7579
271;327;393;506;732;1185;2099;3928;7576
271;336;383;497;725;1185;2106;3928;7586
280;327;383;496;730;1185;2099;3928;7586
270;327;391;506;732;1186;2099;3929;7577
271;334;393;499;732;1185;2100;3927;7584
277;328;384;496;723;1185;2101;3928;7586
273;327;384;505;732;1192;2099;3920;7579
270;327;393;506;732;1184;2099;3929;7576
270;336;384;496;725;1184;2106;3928;7586
280;327;384;504;730;1185;2099;3928;7586
270;327;393;506;732;1185;2099;3928;7576
271;335;392;498;732;1184;2099;3928;7584
277;328;383;497;722;1185;2099;3928;7587
272;327;383;503;732;1192;2099;3920;7578
270;327;392;505;732;1185;2099;3928;7577
270;336;383;497;725;1185;2106;3928;7586
280;327;384;497;730;1185;2099;3928;7586
270;327;390;506;732;1186;2099;3929;7576
270;334;392;499;732;1186;2099;3928;7583
278;329;383;496;722;1184;2101;3928;7586
272;327;383;506;732;1192;2099;3921;7578
270;327;393;506;732;1184;2099;3928;7577
271;336;384;497;724;1185;2107;3928;7586
280;327;384;497;730;1185;2099;3928;7587
270;326;391;506;732;1186;2099;3928;7576
270;334;393;499;733;1185;2099;3928;7585
278;329;384;497;723;1185;2101;3928;7587
272;327;383;503;732;1192;2099;3929;7585
270;327;392;506;732;1184;2099;3928;7576
271;337;383;497;725;1185;2106;3928;7586
279;327;383;496;730;1185;2099;3928;7585
270;327;391;506;732;1186;2099;3928;7577
270;334;392;498;732;1184;2099;3928;7584
278;329;383;497;723;1185;2101;3928;7586
272;327;384;504;732;1185;2099;3929;7585
270;326;391;506;732;1187;2099;3927;7576
270;336;393;498;732;1184;2099;3928;7584
277;328;383;497;723;1185;2099;3929;7586
272;327;383;506;732;1192;2100;3921;7579
270;327;393;505;732;1185;2099;3928;7577
270;336;385;497;732;1184;2099;3928;7586
280;327;383;497;723;1184;2099;3928;7586
270;326;384;506;733;1194;2099;3926;7579
270;326;392;506;732;1184;2099;3928;7577
271;336;383;496;723;1185;2107;3928;7586
279;327;384;504;732;1186;2099;3928;7586
271;326;392;505;732;1185;2099;3928;7577
270;336;393;499;732;1185;2099;3929;7584
277;328;383;497;723;1185;2101;3928;7586
272;327;383;505;732;1192;2099;3921;7579
270;327;392;505;732;1185;2099;3927;7577
270;336;385;497;732;1184;2099;3929;7585
280;327;384;497;730;1185;2099;3928;7586
270;327;390;505;732;1186;2099;3928;7577
271;336;392;498;732;1184;2099;3928;7584
277;329;383;496;722;1184;2102;3928;7586
272;327;383;503;732;1192;2100;3921;7579
270;326;392;505;732;1185;2099;3928;7576
270;336;384;497;725;1184;2107;3928;7585
280;327;383;496;731;1185;2099;3927;7586
271;326;391;505;732;1186;2099;3928;7577
270;335;392;499;732;1185;2099;3928;7583
278;329;384;497;723;1185;2101;3928;7586
272;327;384;504;732;1192;2099;3921;7579
271;327;393;506;732;1185;2099;3928;7576
271;336;385;497;732;1184;2100;3927;7586
279;327;384;496;730;1185;2099;3927;7587
270;327;391;506;732;1187;2099;3926;7577
271;334;392;498;732;1185;2099;3928;7583
277;329;383;497;723;1185;2101;3928;7586
272;327;383;504;732;1192;2099;3920;7579
271;327;392;506;732;1185;2099;3929;7577
270;336;385;496;732;1184;2099;3927;7586
279;327;383;496;730;1184;2099;3928;7586
270;327;391;506;732;1187;2099;3927;7576
271;334;393;499;732;1184;2100;3927;7584
278;329;383;497;723;1184;2101;3928;7586
272;326;384;504;732;1192;2099;3921;7579
270;327;392;506;732;1185;2099;3929;7576
270;336;384;496;724;1185;2106;3928;7586
280;327;383;497;730;1185;2099;3928;7586
270;327;390;506;732;1186;2099;3929;7576
270;334;393;499;732;1184;2099;3928;7584
277;328;384;496;723;1185;2101;3928;7586
273;327;383;504;732;1192;2099;3921;7579
270;326;393;505;732;1185;2099;3929;7577
270;336;383;497;725;1185;2106;3927;7587
279;327;383;496;730;1184;2099;3928;7586
270;327;391;506;732;1186;2099;3929;7577
270;334;393;499;732;1184;2099;3927;7584
278;329;383;497;723;1184;2101;3928;7586
273;327;384;504;732;1192;2099;3921;7578
270;327;392;506;732;1184;2100;3928;7576
271;336;385;497;732;1185;2099;3928;7586
279;327;384;496;730;1184;2099;3928;7586
270;327;390;505;732;1187;2099;3929;7576
271;334;392;499;732;1185;2099;3928;7584
278;329;383;497;723;1185;2101;3928;7586
272;327;383;503;732;1191;2099;3921;7579
271;327;392;505;732;1185;2099;3928;7576
270;336;383;496;725;1185;2107;3928;7586
279;326;383;496;730;1185;2099;3928;7586
270;327;391;506;732;1186;2099;3928;7577
270;334;393;498;733;1184;2099;3928;7584
277;328;383;497;723;1185;2101;3928;7586
272;327;384;504;732;1192;2099;3922;7578
271;327;393;505;732;1184;2099;3928;7577
270;337;384;496;723;1184;2106;3928;7586
280;327;384;497;730;1184;2099;3929;7585
271;326;391;505;732;1187;2100;3928;7577
270;335;393;499;732;1185;2099;3928;7585
278;329;384;497;723;1184;2101;3927;7587
273;327;384;504;732;1192;2099;3921;7578
270;327;392;505;732;1186;2100;3928;7577
271;335;386;496;732;1185;2099;3928;7586
280;327;384;497;723;1185;2099;3929;7585
270;327;383;505;732;1194;2100;3925;7578
271;327;393;505;732;1185;2099;3928;7577
270;336;383;497;725;1184;2106;3928;7587
280;327;383;497;730;1184;2099;3928;7586
271;326;391;506;733;1187;2099;3928;7577
270;336;392;498;732;1185;2099;3928;7584
278;329;383;497;723;1185;2101;3929;7585
272;327;384;503;732;1193;2099;3920;7578
270;327;392;505;732;1185;2099;3928;7577
270;336;383;496;725;1184;2106;3928;7585
279;327;383;496;730;1185;2100;3928;7585
270;327;391;506;732;1187;2099;3926;7577
270;334;392;498;732;1184;2099;3928;7584
277;328;384;497;723;1184;2101;3928;7586
280;327;383;504;732;1192;2099;3928;7586
270;327;392;505;732;1185;2100;3928;7577
270;336;386;497;733;1185;2099;3929;7583
278;329;383;496;722;1185;2102;3928;7585
272;327;383;504;732;1192;2100;3920;7579
270;327;392;506;732;1184;2099;3928;7576
271;336;383;497;724;1184;2107;3928;7586
279;326;383;496;731;1184;2099;3928;7586
270;327;391;506;732;1187;2099;3928;7577
270;336;392;498;732;1184;2100;3929;7584
277;328;383;497;723;1185;2101;3928;7585
272;327;384;504;732;1192;2099;3920;7579
271;327;393;506;731;1185;2099;3929;7576
270;336;383;497;724;1184;2107;3928;7586
280;327;383;496;730;1184;2100;3928;7587
270;327;390;506;732;1187;2099;3928;7577
270;336;393;498;732;1185;2099;3928;7583
277;329;383;497;723;1185;2099;3928;7586
272;327;383;504;732;1192;2099;3920;7579
270;327;393;506;732;1184;2099;3928;7577
270;336;383;496;724;1184;2107;3928;7585
279;327;383;496;731;1185;2099;3928;7586
270;327;392;505;732;1185;2099;3928;7576
270;336;392;498;732;1184;2099;3928;7584
278;329;384;497;723;1185;2101;3927;7586
272;327;383;504;732;1192;2099;3921;7579
270;327;393;506;732;1184;2099;3929;7577
