0B;8B;16B;32B;64B;128B;256B;512B;1024B
272;336;392;495;726;1171;2072;3870;7471
279;327;383;503;727;1180;2072;3862;7461
272;337;383;494;726;1171;2071;3871;7471
271;327;383;504;726;1181;2071;3863;7461
272;337;383;494;726;1171;2071;3871;7470
271;327;383;504;726;1181;2071;3861;7462
271;336;383;494;716;1172;2080;3871;7471
271;327;383;504;726;1181;2071;3861;7461
272;337;383;494;727;1172;2071;3871;7471
271;327;383;504;726;1181;2071;3870;7462
271;337;383;494;726;1172;2080;3871;7469
272;327;383;503;726;1180;2071;3870;7459
271;336;383;494;716;1171;2079;3869;7468
272;328;383;503;726;1180;2070;3869;7459
272;336;383;494;717;1172;2079;3870;7467
271;327;392;503;726;1172;2071;3870;7459
272;336;383;495;717;1171;2070;3870;7468
271;327;383;504;726;1179;2071;3862;7458
272;336;383;494;726;1171;2071;3869;7468
271;327;383;504;726;1180;2071;3860;7459
272;336;383;494;717;1171;2079;3869;7468
272;327;383;504;725;1180;2071;3871;7458
271;336;383;494;717;1172;2080;3870;7468
271;327;392;504;726;1171;2071;3870;7460
272;336;383;494;717;1171;2071;3871;7468
272;327;392;503;726;1171;2071;3869;7459
280;328;383;494;717;1171;2070;3870;7460
272;327;392;503;726;1171;2070;3869;7460
281;328;383;494;717;1171;2070;3870;7459
271;327;392;503;726;1171;2070;3869;7467
280;327;383;494;726;1171;2070;3861;7459
271;327;392;503;726;1171;2070;3869;7468
280;327;383;494;726;1171;2071;3869;7459
271;327;392;503;727;1172;2072;3870;7471
280;327;383;494;726;1171;2072;3861;7461
271;337;392;494;726;1172;2072;3872;7470
281;327;383;503;726;1180;2072;3861;7461
272;336;383;494;726;1171;2080;3871;7472
272;328;383;504;726;1181;2071;3871;7462
272;337;383;494;717;1171;2080;3872;7470
272;327;392;503;726;1172;2072;3871;7460
271;337;383;494;717;1171;2071;3872;7472
271;327;392;504;726;1171;2071;3872;7460
271;336;383;494;716;1171;2072;3871;7470
272;327;392;504;726;1172;2071;3870;7460
272;337;383;494;717;1171;2071;3870;7469
272;328;392;503;726;1171;2071;3871;7461
271;337;383;494;717;1172;2072;3871;7470
272;327;392;503;726;1171;2071;3871;7462
272;336;382;494;717;1171;2071;3871;7470
271;327;392;503;726;1171;2072;3871;7461
272;337;383;494;717;1171;2071;3871;7471
271;327;392;503;726;1172;2072;3871;7462
272;337;383;494;717;1171;2071;3871;7470
272;327;392;504;726;1172;2071;3871;7461
272;337;383;494;716;1171;2072;3870;7471
271;327;392;504;726;1171;2071;3871;7461
271;336;383;494;717;1171;2072;3871;7470
271;328;392;503;727;1171;2071;3871;7462
272;336;382;494;717;1171;2072;3871;7471
271;327;392;504;726;1171;2072;3872;7461
271;336;383;495;717;1172;2072;3871;7470
272;327;393;504;726;1171;2071;3871;7461
272;336;383;494;717;1171;2072;3871;7471
