0B;8B;16B;32B;64B;128B;256B;512B;1024B
247;295;352;452;654;1055;1862;3474;6699
244;302;345;446;646;1053;1862;3473;6706
245;302;346;447;646;1054;1861;3478;6704
252;296;347;453;652;1053;1862;3478;6707
245;297;352;452;652;1054;1855;3472;6699
246;295;352;447;654;1053;1863;3473;6700
245;302;344;447;647;1053;1863;3479;6706
252;295;347;446;654;1053;1861;3478;6704
252;297;346;452;652;1054;1862;3479;6704
244;296;344;452;651;1053;1862;3473;6707
247;295;352;452;654;1055;1863;3473;6700
245;301;345;446;647;1053;1863;3473;6707
245;295;347;446;654;1053;1861;3479;6704
252;296;347;452;652;1053;1863;3478;6706
244;297;352;452;653;1054;1855;3473;6699
247;295;352;445;654;1054;1862;3473;6700
244;301;345;446;646;1053;1862;3478;6707
252;295;347;446;654;1054;1860;3479;6704
251;296;346;452;651;1053;1862;3479;6706
244;297;351;451;651;1054;1855;3473;6699
247;294;352;447;653;1053;1862;3473;6699
245;302;345;447;646;1053;1862;3478;6707
251;295;347;448;653;1061;1863;3479;6705
245;297;345;452;652;1054;1863;3473;6707
244;295;352;452;653;1054;1862;3473;6699
246;302;345;446;646;1054;1863;3472;6707
245;302;347;447;646;1053;1861;3478;6705
252;295;346;452;651;1053;1862;3478;6705
244;297;345;452;652;1053;1862;3473;6707
245;295;352;452;653;1054;1862;3473;6699
246;302;345;446;647;1053;1863;3473;6706
245;302;347;446;646;1054;1860;3478;6704
252;295;347;452;652;1054;1862;3479;6705
245;296;344;452;652;1054;1862;3473;6707
245;295;352;452;654;1053;1863;3473;6699
244;302;345;446;647;1053;1863;3474;6706
245;302;347;446;646;1054;1861;3478;6704
252;296;347;452;653;1054;1862;3478;6704
245;296;345;452;652;1053;1862;3472;6707
244;295;352;452;654;1053;1863;3473;6699
247;302;345;446;647;1054;1862;3474;6706
245;302;347;447;647;1054;1861;3478;6704
252;296;347;451;652;1053;1863;3478;6706
244;296;352;453;652;1053;1855;3473;6699
246;294;352;447;654;1053;1863;3473;6700
245;301;345;446;646;1053;1862;3478;6707
252;295;346;447;647;1054;1860;3479;6704
252;297;347;452;652;1053;1863;3479;6706
245;297;352;452;652;1054;1855;3473;6699
246;295;353;452;654;1053;1863;3473;6699
247;302;345;447;646;1054;1863;3473;6707
244;302;346;447;646;1053;1860;3478;6705
252;297;345;452;652;1054;1862;3479;6706
244;294;352;451;651;1054;1856;3472;6699
247;295;351;445;655;1054;1862;3473;6699
244;303;344;446;647;1053;1862;3473;6707
245;302;347;446;646;1053;1861;3478;6705
252;297;346;452;652;1053;1862;3479;6705
245;296;345;452;652;1053;1862;3473;6706
245;295;352;451;653;1053;1863;3472;6699
247;302;352;446;647;1053;1862;3473;6699
244;302;347;446;647;1054;1861;3478;6705
251;294;346;452;653;1054;1863;3478;6705
244;297;344;452;652;1053;1862;3474;6706
245;294;352;452;654;1053;1863;3472;6698
247;302;345;446;647;1055;1862;3472;6706
245;302;346;447;647;1054;1860;3478;6705
251;297;346;452;652;1054;1862;3478;6706
245;297;352;451;651;1054;1855;3473;6700
247;295;352;444;653;1054;1863;3473;6699
245;302;344;447;647;1054;1863;3473;6699
245;302;347;447;647;1054;1861;3478;6707
252;294;347;445;653;1053;1862;3478;6705
244;297;345;452;652;1053;1862;3473;6707
245;295;351;452;654;1054;1863;3473;6699
247;302;345;446;646;1053;1862;3474;6706
245;302;346;447;646;1054;1861;3478;6704
252;297;346;452;653;1054;1863;3478;6707
244;297;352;452;651;1053;1855;3473;6699
247;295;352;444;654;1053;1863;3473;6700
245;302;345;447;647;1054;1862;3474;6706
245;302;346;447;647;1054;1860;3478;6707
252;295;347;444;653;1054;1863;3478;6704
245;296;345;453;652;1054;1863;3473;6707
244;294;352;452;654;1054;1862;3472;6700
245;302;345;446;646;1054;1863;3473;6707
244;302;346;446;647;1054;1861;3479;6704
252;295;347;452;652;1054;1863;3478;6705
245;297;345;452;652;1054;1863;3472;6706
244;295;352;452;654;1053;1863;3473;6699
246;302;345;447;647;1053;1862;3473;6707
245;302;347;447;647;1053;1860;3478;6705
252;294;346;452;652;1053;1863;3479;6704
244;297;345;451;652;1054;1863;3472;6706
245;295;352;452;654;1054;1862;3473;6699
247;295;352;445;654;1053;1863;3473;6700
244;302;345;447;647;1054;1862;3478;6707
252;295;346;447;647;1054;1860;3478;6704
252;297;347;452;652;1053;1863;3479;6705
245;297;344;451;651;1054;1862;3473;6706
245;295;352;452;653;1053;1863;3472;6699
247;302;345;447;647;1054;1862;3473;6707
245;302;347;447;646;1053;1861;3478;6705
252;295;347;452;651;1054;1863;3479;6704
244;297;345;451;652;1054;1864;3473;6706
247;295;352;452;653;1056;1862;3473;6699
246;302;345;446;646;1053;1862;3473;6707
245;302;347;446;646;1054;1860;3478;6705
252;295;346;452;654;1054;1862;3478;6705
245;296;344;452;652;1053;1862;3474;6707
245;294;352;452;654;1054;1863;3472;6699
246;302;344;447;646;1054;1862;3473;6706
245;295;352;445;653;1054;1862;3473;6700
245;302;345;446;646;1054;1863;3473;6707
244;295;347;447;647;1054;1860;3479;6705
252;294;346;452;654;1054;1863;3479;6704
244;297;344;452;652;1054;1862;3472;6707
245;295;352;453;654;1054;1862;3473;6699
247;301;345;447;646;1053;1863;3471;6707
245;295;347;447;647;1054;1860;3478;6705
252;297;347;452;652;1054;1862;3479;6704
245;297;344;452;652;1053;1863;3472;6706
244;295;352;452;654;1054;1862;3473;6699
247;302;344;446;647;1053;1863;3473;6707
245;302;347;447;646;1054;1860;3478;6705
252;297;347;452;651;1053;1862;3478;6705
245;297;344;451;651;1054;1863;3474;6706
244;295;351;451;654;1054;1863;3473;6699
246;302;345;447;647;1054;1862;3473;6706
244;303;347;447;647;1054;1860;3478;6705
251;295;347;445;654;1053;1863;3478;6705
244;297;345;452;651;1054;1863;3473;6706
244;295;352;451;654;1054;1862;3474;6699
246;302;352;447;647;1054;1863;3473;6699
244;302;345;447;647;1054;1860;3478;6704
253;294;346;444;653;1053;1862;3478;6705
245;296;345;451;652;1054;1862;3473;6707
244;295;352;452;654;1054;1862;3473;6699
247;301;345;446;646;1054;1862;3473;6706
245;294;347;447;647;1054;1861;3478;6704
252;296;347;453;652;1053;1862;3478;6707
245;297;352;452;651;1053;1855;3473;6700
246;295;352;446;653;1054;1863;3472;6700
244;302;345;446;646;1054;1862;3473;6706
244;295;347;447;653;1053;1862;3478;6704
252;297;344;452;652;1055;1863;3478;6706
245;296;345;452;652;1053;1862;3473;6707
245;297;352;452;652;1053;1855;3473;6700
247;294;352;445;653;1054;1863;3472;6699
244;302;344;446;646;1054;1863;3479;6706
252;295;346;446;654;1061;1863;3478;6705
