0B;8B;16B;32B;64B;128B;256B;512B;1024B
295;365;427;543;797;1291;2286;4287;8266
295;356;425;551;798;1299;2287;4279;8264
304;356;418;542;796;1291;2296;4279;8264
301;366;418;541;790;1291;2287;4289;8263
295;366;427;551;797;1291;2287;4279;8273
294;357;428;551;798;1300;2287;4279;8271
296;357;418;548;795;1291;2296;4279;8264
305;358;418;541;790;1291;2286;4288;8264
294;365;428;550;798;1291;2287;4280;8272
295;357;427;550;798;1299;2287;4279;8264
304;356;418;542;795;1291;2296;4279;8263
302;366;418;541;797;1290;2287;4288;8264
295;364;427;551;797;1292;2287;4279;8274
295;356;428;550;797;1300;2287;4280;8263
304;356;418;542;795;1291;2295;4279;8264
294;366;420;541;797;1291;2287;4286;8266
295;357;427;551;798;1300;2288;4279;8271
295;357;418;548;797;1291;2296;4279;8264
303;359;418;541;790;1290;2287;4289;8263
295;364;427;550;797;1293;2287;4279;8273
295;356;425;551;798;1300;2287;4279;8264
304;357;418;542;795;1291;2297;4280;8263
302;366;418;541;797;1291;2287;4288;8264
295;366;427;550;797;1293;2286;4280;8273
295;356;425;551;797;1299;2287;4279;8264
303;357;418;541;788;1291;2296;4279;8264
295;365;420;541;797;1291;2286;4287;8265
295;356;427;551;797;1299;2287;4279;8271
295;356;418;548;797;1291;2296;4280;8263
303;358;418;542;791;1290;2287;4288;8263
294;365;427;550;797;1290;2287;4279;8273
294;357;425;551;797;1300;2287;4279;8263
304;356;418;542;797;1291;2296;4279;8264
302;366;418;541;797;1291;2287;4289;8264
294;366;427;550;798;1292;2288;4279;8273
294;357;426;551;798;1298;2287;4279;8264
304;356;418;541;788;1291;2296;4280;8264
295;366;420;543;798;1291;2287;4287;8266
295;356;427;551;797;1300;2286;4279;8271
297;356;418;549;798;1291;2296;4279;8263
303;358;418;541;790;1291;2287;4288;8264
294;366;427;544;798;1291;2287;4280;8272
294;356;426;551;798;1300;2286;4279;8264
303;357;418;541;796;1291;2296;4279;8264
302;366;418;541;797;1291;2287;4288;8264
295;365;428;551;798;1293;2287;4279;8273
295;356;425;551;797;1300;2286;4280;8263
304;357;418;542;795;1292;2296;4279;8265
302;366;418;542;797;1291;2287;4288;8264
295;366;428;550;798;1293;2287;4279;8273
295;357;426;551;797;1300;2287;4279;8264
304;356;418;541;795;1291;2296;4280;8263
294;366;420;541;797;1291;2286;4286;8265
295;356;427;551;797;1300;2286;4279;8271
295;356;419;549;797;1291;2296;4279;8264
304;358;418;542;790;1291;2287;4289;8264
295;366;427;543;797;1291;2287;4280;8272
295;356;425;551;797;1300;2288;4279;8263
304;357;418;542;788;1291;2294;4279;8264
294;365;420;541;797;1291;2287;4287;8265
295;357;427;550;798;1300;2287;4279;8272
295;357;418;550;797;1291;2295;4279;8264
304;357;418;542;788;1291;2294;4280;8263
295;366;420;541;797;1291;2287;4286;8265
295;356;427;551;798;1300;2286;4279;8271
294;356;418;550;798;1291;2296;4279;8264
304;356;418;542;788;1290;2294;4281;8264
295;366;420;541;797;1291;2287;4286;8265
295;356;428;551;797;1300;2287;4279;8273
