0B;8B;16B;32B;64B;128B;256B;512B;1024B
315;369;423;534;747;1180;2029;3737;7165
321;369;422;528;740;1171;2029;3737;7168
321;374;422;529;740;1173;2029;3744;7166
314;374;427;528;748;1171;2029;3743;7165
316;367;427;533;745;1172;2029;3744;7172
316;369;427;533;747;1179;2031;3744;7165
314;369;422;535;747;1172;2029;3737;7165
321;367;422;529;740;1173;2029;3744;7165
314;375;427;528;748;1172;2029;3742;7165
316;367;427;533;745;1171;2029;3744;7173
314;369;427;534;747;1179;2029;3745;7165
314;369;423;535;747;1172;2030;3737;7165
322;367;422;528;740;1174;2029;3744;7166
314;374;427;528;748;1171;2029;3742;7166
316;367;427;533;745;1172;2029;3745;7172
316;369;427;533;748;1179;2031;3744;7164
314;369;422;536;748;1171;2029;3737;7165
321;367;422;528;740;1173;2029;3744;7165
314;375;427;529;747;1172;2029;3743;7164
316;367;427;534;746;1172;2029;3744;7172
314;369;422;533;748;1179;2029;3744;7166
321;369;422;528;748;1172;2029;3736;7168
321;375;422;528;740;1173;2029;3745;7165
314;374;428;528;748;1173;2029;3742;7164
316;367;427;533;745;1171;2029;3744;7173
314;369;427;533;747;1179;2029;3744;7165
314;369;422;528;747;1172;2029;3737;7165
321;367;422;528;741;1171;2029;3744;7167
314;374;420;528;748;1172;2029;3742;7166
316;367;427;533;745;1171;2029;3745;7172
316;369;427;534;747;1179;2031;3744;7165
314;369;422;535;748;1172;2029;3737;7166
321;367;422;529;741;1171;2029;3737;7167
322;375;421;528;747;1172;2029;3743;7165
316;367;427;533;746;1172;2030;3744;7172
314;369;427;534;747;1179;2029;3744;7165
314;369;422;528;747;1171;2029;3737;7165
321;367;423;528;740;1171;2029;3745;7165
314;374;420;528;747;1171;2029;3742;7165
316;367;428;533;746;1172;2029;3742;7173
316;369;427;533;749;1179;2031;3744;7165
314;369;422;536;747;1172;2029;3737;7165
321;367;422;528;740;1173;2029;3736;7167
321;375;422;528;740;1173;2029;3745;7165
314;374;427;535;747;1171;2029;3742;7166
316;367;427;533;746;1172;2029;3745;7173
314;369;420;534;747;1180;2029;3744;7165
322;369;422;528;747;1172;2029;3737;7166
321;367;422;528;741;1171;2029;3745;7166
314;374;420;528;747;1172;2029;3743;7164
316;367;428;534;746;1172;2029;3742;7173
316;369;427;533;745;1179;2029;3744;7166
314;369;422;536;748;1171;2029;3738;7165
321;367;422;528;740;1171;2030;3744;7164
314;374;427;528;747;1172;2029;3742;7166
316;367;427;533;745;1171;2029;3743;7173
316;369;427;534;745;1178;2029;3745;7165
314;369;422;535;747;1172;2029;3737;7165
