0B;8B;16B;32B;64B;128B;256B;512B;1024B
235;297;342;449;664;1102;1969;3692;7160
235;288;342;449;663;1102;1968;3702;7160
235;288;342;458;673;1103;1968;3701;7169
234;288;351;449;672;1101;1968;3702;7160
234;288;342;449;664;1101;1968;3693;7160
235;288;342;458;672;1102;1969;3702;7160
235;288;351;449;673;1101;1969;3702;7159
235;297;342;449;663;1102;1969;3692;7161
235;289;342;458;672;1101;1968;3701;7160
235;298;342;449;664;1102;1968;3694;7159
244;288;342;449;672;1103;1969;3701;7162
234;288;351;459;673;1101;1968;3701;7160
234;298;342;449;663;1102;1968;3692;7161
244;289;342;459;672;1101;1968;3702;7170
235;288;351;449;673;1102;1968;3702;7160
235;297;342;449;663;1103;1968;3695;7160
235;288;342;458;673;1101;1968;3702;7160
235;297;342;449;664;1102;1969;3692;7160
244;296;342;449;664;1102;1969;3695;7160
235;288;342;458;672;1102;1968;3701;7160
235;298;351;450;672;1101;1968;3702;7160
235;288;342;450;673;1101;1968;3701;7161
235;288;351;458;673;1102;1968;3702;7160
234;297;342;449;664;1102;1968;3693;7160
244;288;342;449;673;1102;1968;3701;7160
235;288;342;458;672;1102;1968;3702;7160
234;298;342;450;663;1101;1968;3693;7161
244;289;342;449;673;1102;1968;3703;7159
235;289;351;458;673;1101;1969;3702;7159
235;298;342;449;664;1102;1969;3692;7160
244;289;342;449;673;1101;1968;3702;7160
235;288;351;459;673;1101;1969;3703;7160
234;298;341;449;663;1101;1969;3693;7159
244;288;342;449;673;1102;1968;3702;7160
234;289;351;458;673;1101;1968;3701;7160
234;298;342;450;664;1101;1968;3693;7159
244;288;342;458;673;1102;1968;3702;7169
235;289;351;450;673;1102;1968;3702;7159
235;288;342;449;666;1101;1968;3701;7160
235;289;351;458;673;1101;1968;3701;7160
235;297;341;449;663;1101;1969;3693;7159
244;288;342;449;672;1110;1968;3701;7167
235;289;351;459;673;1102;1968;3701;7158
234;297;342;449;663;1101;1967;3691;7158
235;288;342;457;673;1102;1967;3701;7158
235;297;342;449;664;1101;1967;3692;7158
243;288;342;449;664;1101;1967;3700;7158
235;289;351;458;673;1101;1967;3700;7160
234;298;342;449;664;1101;1968;3693;7160
244;288;342;449;672;1102;1968;3702;7159
235;288;351;458;673;1101;1969;3701;7160
235;297;342;449;663;1101;1968;3693;7160
244;288;342;459;673;1101;1968;3701;7170
235;288;351;449;672;1101;1968;3703;7160
235;297;342;450;664;1101;1969;3693;7160
235;288;342;458;674;1101;1968;3702;7160
235;288;351;449;673;1102;1968;3701;7160
234;298;342;449;663;1101;1968;3695;7159
235;288;342;458;672;1101;1968;3703;7160
235;288;351;449;673;1102;1968;3701;7159
235;298;342;449;663;1102;1969;3694;7161
235;288;342;458;672;1101;1968;3702;7160
235;297;342;449;664;1102;1968;3694;7159
244;288;341;450;673;1104;1969;3702;7168
234;288;351;458;672;1102;1968;3702;7160
235;297;342;449;664;1101;1968;3692;7161
235;288;341;459;673;1101;1968;3702;7160
234;288;351;449;673;1102;1968;3701;7160
235;297;342;449;663;1102;1968;3693;7160
235;288;342;458;673;1102;1968;3701;7161
235;288;351;449;664;1101;1968;3693;7160
244;288;342;449;673;1111;1968;3702;7169
235;289;342;458;672;1101;1968;3701;7160
235;288;352;449;672;1102;1969;3701;7160
235;297;341;449;663;1101;1968;3695;7160
235;288;342;458;673;1101;1968;3702;7159
234;297;342;449;664;1102;1969;3693;7160
244;288;342;449;673;1110;1968;3702;7169
234;288;351;458;673;1101;1968;3701;7160
235;298;342;449;663;1102;1968;3692;7159
235;288;342;458;673;1109;1968;3702;7169
234;288;351;459;673;1102;1959;3702;7160
235;299;342;449;664;1102;1968;3702;7160
235;289;342;458;672;1102;1969;3701;7170
235;289;351;449;673;1102;1968;3703;7160
235;297;341;449;663;1102;1969;3695;7159
234;289;342;459;673;1102;1968;3701;7161
235;288;351;450;673;1102;1969;3702;7161
235;297;342;449;663;1101;1969;3696;7159
235;288;342;458;673;1101;1969;3702;7160
234;297;342;450;664;1101;1968;3693;7159
244;288;341;449;673;1101;1968;3702;7160
235;288;351;458;673;1101;1968;3702;7160
234;298;341;449;663;1102;1968;3694;7159
244;288;342;458;672;1101;1968;3701;7169
235;289;352;459;673;1101;1959;3701;7161
235;297;341;449;663;1102;1968;3695;7160
235;288;342;458;673;1102;1968;3702;7160
235;298;342;449;664;1101;1969;3693;7159
244;288;342;449;673;1110;1969;3702;7170
235;288;351;458;672;1101;1968;3702;7160
235;298;342;449;663;1102;1968;3693;7160
234;288;341;459;673;1102;1968;3702;7159
235;288;351;449;673;1103;1968;3702;7159
235;288;342;450;673;1102;1969;3702;7160
234;288;351;459;673;1102;1969;3702;7160
235;298;342;449;664;1102;1969;3693;7160
244;288;342;458;673;1102;1969;3702;7168
234;289;351;459;673;1101;1968;3702;7160
235;298;342;449;664;1102;1968;3693;7160
244;289;342;449;672;1110;1968;3702;7169
234;288;351;458;673;1102;1969;3702;7160
235;288;351;458;673;1101;1959;3702;7159
234;298;342;450;664;1101;1968;3693;7160
235;288;342;458;672;1101;1968;3702;7161
235;289;351;449;672;1101;1968;3702;7160
235;298;342;449;663;1102;1968;3693;7160
235;289;342;458;673;1101;1968;3702;7161
234;289;351;449;673;1102;1968;3702;7160
234;288;342;449;672;1102;1968;3702;7160
235;289;351;458;672;1101;1969;3701;7160
235;297;342;449;663;1101;1968;3693;7160
244;288;342;458;673;1102;1968;3701;7170
235;289;351;449;672;1102;1968;3703;7160
235;298;342;450;664;1101;1969;3693;7159
235;288;342;458;673;1103;1969;3702;7159
235;298;342;449;664;1101;1968;3693;7160
244;288;342;449;672;1103;1968;3702;7160
235;289;351;458;673;1102;1968;3702;7160
235;297;342;449;664;1101;1969;3693;7160
235;288;342;459;673;1101;1968;3702;7160
235;288;351;449;673;1101;1969;3701;7160
235;288;342;450;664;1102;1968;3702;7160
235;288;351;458;673;1102;1969;3702;7159
235;297;342;449;664;1102;1968;3693;7159
244;289;342;459;673;1109;1968;3701;7170
235;288;351;458;672;1102;1961;3701;7161
235;288;342;449;666;1101;1968;3702;7160
234;288;351;458;673;1102;1968;3701;7160
235;298;342;449;664;1101;1969;3693;7160
244;288;342;458;672;1109;1968;3702;7169
235;288;351;459;673;1101;1961;3702;7160
235;298;342;449;663;1101;1969;3692;7160
234;289;342;458;673;1102;1968;3701;7160
235;288;351;449;673;1101;1968;3702;7160
234;298;342;449;663;1101;1968;3694;7160
235;288;342;458;673;1101;1968;3702;7160
235;288;351;450;673;1103;1968;3701;7160
234;296;342;449;664;1102;1968;3695;7160
235;289;342;458;672;1102;1968;3702;7160
235;297;342;450;664;1101;1968;3693;7159
244;288;342;449;673;1111;1969;3702;7169
234;288;351;459;673;1101;1968;3702;7160
234;297;342;449;664;1102;1968;3693;7160
235;289;342;459;672;1102;1968;3702;7159
235;291;351;449;673;1102;1968;3701;7159
235;296;342;449;664;1102;1968;3694;7160
235;288;342;458;673;1102;1968;3702;7160
234;297;342;449;664;1101;1968;3693;7160
244;288;342;449;672;1111;1968;3702;7169
235;288;351;458;673;1101;1968;3702;7159
235;297;342;449;664;1102;1969;3692;7161
234;288;342;459;673;1101;1969;3701;7161
235;290;351;449;673;1102;1969;3702;7160
235;296;342;449;664;1102;1968;3693;7159
235;288;342;458;674;1102;1968;3701;7160
235;290;351;449;672;1101;1968;3702;7160
235;295;342;449;664;1101;1968;3694;7160
235;288;342;458;672;1101;1968;3702;7160
235;290;351;449;672;1102;1969;3702;7160
234;297;342;449;664;1102;1968;3694;7160
235;289;342;458;672;1101;1968;3701;7161
234;298;342;449;663;1102;1968;3693;7160
243;288;341;450;672;1103;1969;3702;7168
235;288;351;459;673;1101;1968;3702;7161
235;298;342;449;664;1101;1968;3692;7160
234;288;342;458;673;1101;1968;3702;7159
235;298;342;450;664;1101;1968;3692;7159
244;289;342;449;673;1102;1968;3701;7160
235;289;351;458;673;1102;1968;3702;7160
234;297;342;449;664;1102;1968;3693;7160
244;288;342;458;672;1101;1968;3702;7167
235;288;351;449;672;1102;1969;3702;7160
234;296;342;449;663;1102;1968;3692;7161
235;289;342;458;672;1101;1968;3702;7160
234;297;342;449;663;1101;1968;3694;7160
243;289;342;449;673;1103;1969;3702;7162
234;288;351;459;674;1102;1968;3701;7160
235;297;342;449;664;1102;1968;3693;7160
235;289;342;458;673;1102;1968;3701;7160
235;297;342;449;664;1101;1969;3693;7160
244;288;341;449;673;1103;1968;3701;7160
235;288;352;458;673;1102;1968;3701;7160
235;297;342;449;663;1101;1968;3692;7161
244;289;342;450;672;1111;1968;3703;7169
235;288;351;458;672;1101;1969;3702;7159
235;297;342;449;664;1102;1968;3693;7160
242;288;342;458;672;1102;1968;3702;7160
235;288;351;449;672;1101;1969;3702;7160
234;296;342;449;666;1102;1968;3694;7160
235;289;342;451;673;1111;1968;3701;7169
235;288;351;458;672;1101;1969;3702;7160
235;297;342;449;663;1101;1969;3692;7161
242;289;342;458;673;1101;1969;3702;7167
235;289;351;449;673;1102;1969;3701;7160
235;296;342;449;665;1101;1968;3695;7160
235;289;342;459;673;1102;1968;3702;7160
235;297;342;449;664;1102;1969;3693;7159
244;288;342;449;673;1103;1969;3702;7162
235;288;351;459;674;1101;1968;3702;7159
235;298;342;449;663;1101;1968;3693;7160
242;288;342;458;673;1101;1969;3702;7161
235;290;351;450;673;1102;1968;3702;7159
235;296;342;449;664;1102;1968;3695;7159
235;288;342;458;673;1102;1968;3702;7160
235;297;342;449;663;1101;1968;3693;7161
244;288;342;451;673;1110;1968;3702;7169
235;288;351;458;672;1101;1962;3702;7160
234;297;342;449;663;1102;1968;3693;7160
234;289;342;458;672;1102;1968;3702;7160
235;291;351;450;673;1102;1968;3703;7159
235;295;342;449;664;1101;1968;3695;7160
235;288;342;459;672;1102;1968;3702;7160
235;298;342;449;664;1101;1968;3693;7160
244;289;342;449;673;1111;1968;3702;7170
234;289;351;458;673;1102;1967;3703;7160
234;297;342;449;663;1101;1969;3695;7159
235;289;342;459;673;1102;1968;3702;7161
234;290;351;449;673;1102;1968;3702;7160
235;296;342;449;666;1102;1968;3695;7160
234;289;342;458;673;1101;1969;3701;7160
235;290;351;450;663;1101;1968;3693;7159
245;288;342;449;672;1111;1969;3701;7169
234;288;351;458;672;1102;1967;3702;7160
234;297;342;449;664;1101;1968;3695;7160
235;288;342;458;672;1101;1968;3702;7160
235;290;351;449;672;1102;1968;3702;7161
235;295;342;450;666;1102;1968;3694;7161
235;288;342;458;673;1101;1968;3703;7159
234;297;342;449;663;1102;1969;3693;7159
244;288;342;449;673;1111;1968;3701;7170
235;288;351;458;672;1101;1968;3702;7160
235;298;342;449;663;1102;1968;3693;7159
244;288;342;450;673;1102;1969;3702;7159
235;288;342;458;673;1102;1968;3701;7160
235;289;351;457;672;1102;1968;3701;7160
235;297;342;449;663;1102;1968;3692;7160
234;288;342;459;673;1102;1968;3702;7160
235;290;350;449;663;1102;1969;3693;7160
243;288;342;449;673;1101;1968;3702;7160
235;288;351;458;672;1101;1968;3701;7161
235;298;342;450;664;1101;1969;3694;7159
