0B;8B;16B;32B;64B;128B;256B;512B;1024B
239;300;347;457;676;1123;2007;3774;7307
238;302;347;456;675;1122;2007;3775;7308
237;294;355;457;683;1122;2007;3774;7308
238;294;354;456;683;1123;2007;3776;7306
238;294;355;456;683;1123;2007;3775;7307
238;302;355;456;683;1123;2007;3775;7307
237;294;355;456;682;1123;2008;3777;7307
237;294;354;456;682;1122;2007;3775;7306
237;294;354;456;683;1123;2007;3775;7307
238;302;354;456;675;1123;2007;3774;7307
238;302;355;457;676;1123;2007;3774;7307
237;302;354;457;676;1123;2007;3776;7307
238;301;354;457;675;1123;2008;3775;7306
237;302;355;456;675;1122;2008;3775;7307
237;294;355;457;683;1123;2007;3775;7307
237;294;354;456;683;1122;2007;3777;7307
237;294;355;456;683;1123;2007;3774;7306
237;295;354;457;683;1123;2008;3775;7307
237;302;354;457;675;1123;2007;3775;7307
238;299;347;457;675;1123;2007;3776;7306
238;301;354;457;676;1123;2007;3775;7306
238;301;347;456;675;1122;2007;3775;7307
237;300;347;457;675;1122;2007;3775;7307
238;299;347;456;675;1123;2007;3775;7306
238;301;354;456;676;1123;2007;3775;7306
237;300;347;456;675;1122;2007;3775;7307
238;301;354;456;676;1122;2007;3774;7307
238;299;347;457;675;1123;2007;3775;7306
238;301;355;457;675;1123;2007;3775;7307
237;300;347;457;676;1122;2007;3775;7307
238;300;347;456;677;1122;2007;3775;7307
238;302;354;456;676;1123;2007;3776;7306
238;302;355;456;675;1123;2007;3775;7306
238;300;347;457;678;1122;2008;3775;7307
238;299;354;457;676;1122;2007;3775;7307
237;299;348;456;676;1123;2007;3776;7306
237;302;355;456;675;1123;2007;3775;7307
237;300;348;457;676;1123;2007;3775;7307
237;300;348;456;677;1123;2007;3774;7307
238;300;347;456;676;1122;2007;3775;7306
238;301;355;456;675;1123;2007;3775;7307
238;300;354;456;676;1122;2007;3775;7307
237;299;347;457;676;1122;2007;3775;7307
238;299;347;456;676;1123;2007;3776;7306
237;302;354;457;676;1123;2007;3775;7306
237;300;347;457;676;1123;2007;3775;7307
238;299;347;457;675;1122;2007;3775;7307
238;299;347;456;676;1123;2007;3775;7306
238;301;354;457;675;1123;2007;3774;7307
238;300;347;456;676;1122;2007;3774;7307
238;299;348;457;675;1122;2008;3775;7307
237;300;347;457;676;1122;2007;3775;7306
238;299;354;457;675;1124;2007;3775;7306
238;301;347;457;675;1123;2007;3775;7307
238;299;347;456;677;1122;2007;3775;7307
237;300;347;456;678;1122;2007;3775;7307
238;299;355;457;675;1123;2007;3775;7306
237;300;347;457;677;1122;2007;3775;7308
237;300;347;456;675;1123;2007;3774;7307
238;300;347;457;675;1122;2007;3775;7306
237;301;355;456;675;1123;2007;3775;7306
238;300;347;457;677;1122;2007;3774;7307
238;299;347;457;677;1122;2007;3774;7307
238;299;347;456;678;1122;2007;3775;7306
238;302;355;456;675;1123;2007;3774;7307
238;301;347;456;677;1122;2007;3774;7307
238;300;347;457;677;1123;2007;3774;7307
238;300;347;457;677;1122;2007;3775;7307
237;300;354;457;676;1123;2007;3774;7307
238;300;354;456;676;1122;2007;3775;7307
238;299;347;456;677;1122;2007;3775;7307
238;301;355;456;675;1122;2007;3776;7306
237;300;354;457;676;1123;2007;3775;7306
238;300;347;456;678;1122;2007;3775;7307
237;300;347;457;677;1122;2007;3775;7307
237;299;354;457;676;1122;2007;3776;7306
238;299;355;456;675;1123;2007;3775;7307
238;300;347;456;677;1123;2007;3775;7307
238;299;347;456;677;1123;2007;3775;7307
237;299;347;457;677;1122;2007;3776;7307
237;300;355;457;676;1123;2007;3775;7307
238;300;347;457;677;1122;2007;3775;7308
237;300;347;457;678;1122;2007;3774;7307
238;299;354;457;675;1122;2007;3775;7306
238;299;355;457;675;1123;2007;3774;7307
237;300;347;456;677;1122;2007;3775;7308
238;299;347;457;677;1123;2007;3774;7307
238;299;347;456;677;1122;2007;3776;7306
238;302;354;457;675;1123;2007;3774;7307
237;301;347;456;677;1122;2007;3775;7307
238;299;347;456;677;1123;2007;3774;7307
238;300;347;456;678;1123;2007;3775;7306
237;300;354;457;675;1124;2007;3775;7307
238;300;347;457;677;1123;2007;3775;7307
238;299;354;457;675;1122;2007;3775;7307
237;299;347;457;677;1123;2007;3775;7307
238;300;355;457;675;1123;2007;3774;7307
237;301;347;457;678;1122;2007;3775;7307
238;300;347;456;677;1122;2007;3775;7308
238;300;347;457;678;1123;2008;3775;7307
238;299;354;456;676;1123;2007;3774;7307
237;301;347;457;677;1122;2007;3775;7308
237;300;347;456;678;1122;2007;3774;7307
237;299;347;457;677;1122;2008;3776;7307
237;300;354;456;675;1123;2007;3775;7306
238;301;347;456;678;1122;2008;3775;7307
237;300;347;457;677;1123;2007;3775;7307
238;300;347;457;677;1122;2007;3775;7307
237;300;354;456;677;1123;2007;3774;7307
237;300;347;457;678;1122;2007;3774;7307
238;299;347;457;678;1122;2007;3775;7307
237;300;347;457;677;1123;2007;3775;7306
238;300;354;457;676;1123;2007;3775;7306
238;301;347;456;677;1122;2007;3774;7307
237;300;347;457;678;1122;2007;3775;7307
238;299;347;456;677;1122;2008;3775;7307
238;300;354;457;675;1123;2007;3774;7306
238;300;348;457;677;1122;2007;3775;7307
238;299;347;456;677;1122;2007;3775;7307
238;300;347;457;677;1122;2007;3775;7306
237;300;354;457;677;1123;2007;3775;7306
238;300;354;457;677;1123;2007;3775;7307
238;300;347;457;677;1123;2007;3775;7307
237;300;347;457;677;1123;2007;3775;7307
238;300;355;457;678;1123;2007;3775;7306
237;294;354;464;682;1122;2007;3774;7307
238;295;354;456;683;1123;2008;3775;7307
238;295;354;457;683;1122;2007;3776;7306
237;294;354;457;683;1123;2007;3775;7307
238;300;354;456;676;1122;2008;3774;7307
237;300;355;456;677;1122;2007;3774;7307
238;300;347;456;677;1122;2007;3776;7306
237;300;354;456;677;1123;2007;3775;7307
238;300;347;456;677;1123;2007;3775;7307
238;299;347;456;677;1123;2007;3774;7307
237;300;347;457;677;1122;2007;3775;7306
238;295;355;464;683;1123;2008;3775;7313
238;294;354;456;682;1123;2008;3774;7307
238;294;354;457;683;1123;2008;3775;7308
238;299;354;456;677;1122;2007;3776;7306
237;294;354;457;683;1123;2007;3775;7307
238;294;354;456;683;1122;2007;3775;7307
238;300;354;457;678;1122;2008;3775;7307
238;299;354;457;678;1122;2007;3776;7307
237;300;355;457;677;1123;2007;3775;7307
237;300;347;456;677;1122;2007;3774;7307
238;300;354;457;678;1122;2007;3775;7307
240;300;347;457;678;1122;2007;3776;7306
238;299;354;457;678;1123;2008;3775;7306
239;300;355;457;678;1123;2007;3775;7307
239;300;347;456;678;1122;2007;3775;7307
239;300;347;457;677;1123;2007;3775;7306
237;300;354;456;677;1123;2007;3775;7307
240;300;347;456;677;1123;2007;3774;7307
240;300;347;457;677;1122;2007;3774;7307
239;300;347;456;678;1122;2007;3775;7306
238;299;355;457;677;1123;2007;3775;7306
240;301;347;456;677;1122;2007;3774;7307
240;299;347;456;677;1123;2007;3775;7307
239;299;347;457;677;1123;2007;3775;7307
238;299;354;457;677;1123;2007;3775;7306
240;300;347;457;677;1122;2007;3774;7307
239;300;347;456;677;1122;2007;3775;7307
240;300;347;457;677;1122;2007;3776;7307
237;300;354;456;675;1123;2007;3775;7306
239;300;347;457;678;1122;2007;3775;7307
240;299;347;457;677;1122;2007;3775;7307
240;300;354;456;678;1122;2007;3776;7306
237;299;354;457;677;1123;2007;3775;7306
239;301;347;457;677;1122;2007;3774;7307
239;299;354;457;677;1122;2007;3775;7307
240;299;347;456;677;1123;2007;3776;7307
238;299;354;456;677;1123;2007;3775;7306
239;300;348;457;677;1123;2008;3775;7307
239;299;347;457;677;1122;2007;3775;7307
239;300;347;456;677;1123;2007;3776;7307
238;299;355;456;677;1123;2007;3774;7307
240;300;347;456;677;1123;2007;3775;7307
239;299;347;457;677;1122;2007;3775;7307
239;300;347;457;677;1122;2007;3776;7306
238;299;354;456;677;1123;2007;3775;7306
239;300;354;457;678;1122;2008;3775;7307
239;299;355;456;677;1123;2007;3774;7307
240;300;347;457;677;1122;2007;3775;7307
238;299;354;456;677;1123;2007;3775;7306
240;300;347;456;677;1122;2007;3775;7308
240;299;347;457;678;1122;2007;3775;7308
240;300;354;457;677;1123;2007;3775;7306
237;300;354;456;677;1123;2007;3775;7306
240;300;354;457;678;1122;2007;3775;7307
240;300;347;456;678;1123;2007;3774;7307
239;299;348;457;678;1122;2007;3775;7307
238;299;354;457;676;1123;2007;3775;7306
239;300;347;456;677;1122;2007;3775;7307
239;300;347;457;677;1122;2007;3774;7307
240;299;347;456;677;1123;2007;3776;7306
238;299;354;457;678;1123;2007;3775;7306
239;300;355;457;678;1122;2007;3775;7307
240;299;347;457;677;1122;2007;3774;7307
240;300;347;457;678;1122;2007;3775;7306
238;299;354;456;675;1124;2007;3775;7307
239;300;347;457;677;1122;2007;3774;7307
240;299;347;456;677;1122;2007;3775;7307
240;299;347;456;677;1123;2007;3775;7307
238;299;354;456;677;1123;2007;3775;7306
239;300;347;456;677;1122;2007;3775;7307
240;299;354;457;678;1122;2007;3775;7308
239;299;347;457;677;1122;2007;3776;7307
238;294;354;463;682;1123;2007;3775;7306
237;294;355;457;683;1122;2007;3775;7307
238;294;354;457;682;1122;2007;3774;7307
238;299;354;456;678;1122;2008;3776;7307
237;299;354;456;677;1123;2007;3774;7307
240;300;347;456;677;1122;2007;3775;7307
239;300;354;457;677;1122;2007;3774;7307
239;295;354;464;682;1122;2007;3775;7307
237;294;354;456;682;1123;2008;3775;7306
240;301;354;457;678;1122;2007;3775;7307
240;299;347;457;677;1123;2007;3775;7307
240;299;347;456;678;1122;2007;3776;7306
240;292;354;457;682;1123;2008;3775;7306
240;300;355;457;677;1122;2007;3774;7307
239;300;347;456;677;1122;2008;3775;7308
240;300;347;457;678;1123;2007;3775;7306
239;300;354;457;678;1123;2007;3775;7307
239;300;355;457;677;1123;2007;3775;7307
239;300;355;456;677;1122;2007;3774;7307
240;299;347;456;677;1122;2008;3776;7307
239;300;354;457;678;1123;2007;3775;7307
239;301;347;456;677;1123;2007;3775;7307
239;300;355;456;677;1123;2007;3775;7307
240;299;347;457;677;1122;2007;3775;7306
239;299;354;457;678;1123;2007;3775;7306
240;301;347;457;677;1122;2007;3775;7308
240;300;347;457;678;1122;2007;3775;7308
239;300;355;456;677;1123;2007;3775;7307
239;300;355;457;677;1123;2007;3775;7307
240;300;354;456;678;1122;2007;3775;7307
240;300;347;456;677;1123;2007;3775;7307
240;300;354;456;677;1123;2007;3775;7307
239;299;355;457;677;1123;2007;3775;7306
240;293;354;456;683;1123;2007;3775;7307
240;293;354;456;683;1122;2007;3775;7307
239;300;354;456;677;1122;2007;3775;7307
240;300;354;456;677;1123;2007;3775;7306
239;300;354;457;678;1122;2007;3774;7307
