0B;8B;16B;32B;64B;128B;256B;512B;1024B
240;301;348;459;675;1116;1991;3736;7239
239;294;350;458;675;1116;1992;3736;7237
247;296;350;464;680;1116;1992;3743;7245
240;296;356;464;681;1116;1991;3741;7238
242;293;355;459;682;1117;1992;3743;7238
239;301;348;458;675;1115;1991;3737;7239
247;294;350;458;682;1116;1992;3735;7237
247;296;350;463;682;1116;1992;3743;7246
240;296;355;463;680;1116;1991;3741;7237
242;294;355;464;682;1115;1991;3744;7237
240;294;355;463;682;1116;1991;3743;7237
240;301;348;458;675;1117;1992;3743;7240
239;301;350;459;674;1115;1992;3736;7239
247;293;350;456;682;1123;1992;3744;7237
240;296;348;464;680;1115;1992;3741;7244
239;293;355;465;683;1115;1992;3743;7238
242;301;348;459;675;1117;1991;3743;7240
240;301;350;458;675;1115;1991;3737;7239
246;294;350;464;682;1122;1992;3743;7237
240;296;348;463;681;1115;1991;3741;7246
241;294;355;464;682;1115;1991;3743;7238
241;301;348;458;674;1117;1991;3744;7239
240;301;348;459;675;1116;1991;3735;7239
240;294;350;458;675;1116;1991;3736;7237
247;294;350;464;682;1122;1991;3743;7237
239;296;348;463;680;1116;1991;3741;7245
240;294;355;463;680;1115;1991;3742;7237
241;301;355;459;675;1119;1991;3743;7239
240;302;350;458;675;1116;1991;3736;7240
247;293;350;456;683;1123;1992;3743;7238
240;296;348;464;680;1115;1991;3742;7244
240;294;355;464;682;1115;1991;3743;7237
242;301;348;458;675;1118;1992;3743;7239
240;301;350;458;675;1115;1991;3735;7238
247;294;350;464;682;1122;1992;3743;7237
240;296;348;464;680;1116;1992;3741;7244
240;294;355;465;682;1115;1991;3743;7238
241;301;356;458;675;1117;1991;3743;7240
240;301;348;458;675;1115;1992;3736;7239
240;301;348;458;675;1116;1992;3736;7239
247;294;350;458;674;1115;1992;3736;7238
247;294;350;458;682;1115;1992;3743;7238
240;296;348;464;680;1116;1991;3742;7244
240;294;355;463;682;1115;1992;3743;7237
242;301;348;458;675;1117;1991;3743;7239
239;301;350;458;675;1115;1991;3736;7240
247;293;350;456;683;1123;1991;3743;7237
239;296;348;464;680;1116;1991;3743;7245
240;296;355;464;680;1116;1992;3741;7237
241;294;355;456;683;1117;1992;3743;7238
240;301;348;458;675;1116;1992;3736;7240
239;301;350;459;675;1115;1992;3737;7237
247;294;350;464;683;1123;1991;3743;7237
239;296;348;463;680;1116;1991;3741;7245
240;294;355;463;683;1115;1991;3743;7238
242;301;355;459;675;1117;1991;3744;7239
239;301;350;458;675;1115;1993;3735;7239
247;294;350;456;682;1123;1992;3743;7238
239;296;348;464;680;1115;1992;3741;7246
239;294;355;463;680;1116;1991;3742;7237
242;301;355;459;675;1117;1993;3743;7239
240;301;350;459;675;1116;1991;3736;7240
246;293;350;458;682;1122;1992;3743;7238
