0B;8B;16B;32B;64B;128B;256B;512B;1024B
356;431;512;676;1012;1673;2988;5617;10893
350;431;512;678;1011;1673;2987;5619;10886
349;431;522;685;1011;1674;2988;5626;10894
350;440;521;684;1011;1664;2988;5625;10894
349;440;522;685;1011;1664;2988;5626;10893
358;440;522;685;1011;1666;2988;5625;10893
359;439;512;685;1011;1674;2987;5616;10893
359;431;512;685;1012;1673;2988;5616;10893
359;431;513;685;1011;1673;2987;5617;10893
358;431;513;684;1012;1673;2987;5616;10894
359;431;512;675;1011;1673;2987;5616;10894
359;431;513;676;1011;1673;2988;5617;10893
357;431;513;676;1012;1673;2987;5617;10893
349;431;512;678;1011;1672;2988;5618;10886
350;431;522;685;1011;1674;2987;5625;10893
349;440;521;685;1012;1664;2987;5627;10893
349;440;521;685;1012;1664;2987;5627;10892
351;440;522;686;1011;1664;2988;5625;10894
359;440;512;685;1011;1672;2980;5623;10894
358;431;512;685;1011;1673;2988;5624;10894
359;431;513;676;1011;1673;2988;5617;10893
357;431;512;676;1011;1673;2988;5616;10893
349;431;512;676;1011;1673;2988;5616;10891
350;431;515;685;1011;1673;2987;5626;10885
349;431;521;685;1011;1673;2988;5627;10892
349;440;521;685;1012;1664;2988;5625;10894
350;440;522;685;1011;1663;2988;5626;10894
359;440;522;685;1012;1666;2988;5627;10893
359;440;512;685;1011;1673;2981;5625;10893
359;430;513;685;1012;1673;2988;5617;10893
359;431;512;676;1011;1673;2989;5616;10893
357;431;512;675;1011;1673;2988;5617;10893
349;431;512;677;1011;1673;2988;5619;10884
350;431;522;685;1012;1673;2987;5625;10894
349;433;522;685;1011;1671;2988;5625;10893
349;440;521;685;1011;1663;2987;5627;10892
350;441;522;685;1011;1663;2987;5626;10893
359;440;522;684;1011;1666;2987;5626;10893
359;438;512;685;1012;1673;2989;5616;10893
359;431;513;675;1011;1673;2988;5618;10893
357;431;512;676;1011;1673;2988;5617;10893
350;431;512;675;1011;1674;2988;5617;10884
349;431;521;685;1011;1673;2988;5625;10893
349;431;522;685;1011;1671;2987;5627;10892
350;440;523;685;1011;1664;2988;5626;10894
350;440;522;684;1011;1664;2988;5625;10893
358;440;522;685;1011;1666;2988;5625;10894
358;438;512;685;1011;1673;2988;5617;10893
359;431;513;675;1011;1673;2987;5617;10893
359;431;513;676;1012;1674;2988;5616;10893
349;431;513;676;1011;1673;2988;5616;10891
350;431;514;685;1013;1673;2988;5627;10892
349;431;521;685;1011;1671;2988;5625;10893
349;440;521;685;1011;1663;2988;5626;10894
349;440;521;685;1011;1664;2988;5626;10894
351;440;521;685;1012;1664;2987;5626;10893
359;440;513;686;1011;1673;2980;5624;10893
358;431;513;676;1011;1673;2988;5617;10893
357;431;512;675;1011;1673;2988;5617;10894
349;431;512;676;1011;1673;2988;5617;10884
350;431;521;685;1020;1673;2988;5626;10894
349;440;522;685;1011;1663;2988;5626;10894
350;440;522;685;1011;1663;2987;5627;10893
359;440;521;685;1011;1663;2987;5627;10892
358;440;512;685;1012;1673;2988;5616;10894
359;431;512;676;1011;1673;2988;5616;10894
356;430;513;676;1012;1672;2987;5617;10892
349;431;512;676;1011;1673;2987;5617;10884
350;430;522;685;1012;1673;2988;5625;10894
350;432;521;685;1011;1663;2988;5626;10893
350;441;522;685;1011;1664;2987;5626;10893
358;441;522;685;1011;1666;2988;5626;10894
359;438;513;685;1012;1674;2988;5616;10893
359;431;513;676;1011;1673;2988;5616;10893
356;431;513;675;1011;1673;2988;5617;10893
349;431;513;676;1012;1673;2987;5617;10885
350;431;521;685;1011;1674;2987;5625;10894
349;440;522;685;1011;1664;2989;5626;10893
349;440;522;685;1011;1664;2988;5627;10893
358;440;522;684;1011;1666;2988;5626;10894
359;438;512;685;1011;1674;2988;5616;10894
359;431;513;676;1011;1672;2988;5616;10893
357;431;513;676;1012;1673;2988;5617;10893
356;431;513;676;1011;1673;2987;5616;10893
349;431;512;676;1011;1674;2988;5616;10892
350;431;513;684;1011;1673;2988;5626;10887
349;431;522;685;1011;1674;2988;5627;10893
349;433;521;685;1011;1673;2988;5625;10894
349;440;521;684;1011;1664;2987;5626;10893
349;440;522;684;1011;1664;2988;5627;10893
352;440;521;685;1011;1664;2988;5626;10893
359;440;522;686;1011;1673;2987;5626;10893
358;431;512;676;1011;1673;2988;5617;10894
359;431;513;675;1011;1673;2987;5618;10893
349;431;513;676;1012;1673;2988;5617;10884
349;431;522;684;1012;1673;2987;5626;10894
350;440;522;685;1011;1664;2988;5625;10894
349;440;522;685;1011;1664;2988;5627;10892
360;440;521;685;1011;1663;2987;5627;10892
358;440;512;685;1012;1673;2988;5616;10894
359;431;512;675;1011;1673;2989;5616;10893
358;431;513;676;1011;1673;2987;5617;10892
349;431;512;676;1011;1673;2988;5617;10884
349;431;522;685;1012;1673;2988;5626;10893
349;440;522;685;1011;1664;2988;5625;10894
349;440;522;684;1011;1664;2988;5626;10893
358;441;521;684;1011;1666;2988;5625;10894
359;438;512;685;1011;1674;2988;5616;10894
359;431;512;685;1011;1673;2988;5617;10893
358;431;513;676;1011;1673;2988;5617;10893
358;431;513;676;1012;1673;2988;5617;10893
358;431;513;676;1011;1674;2987;5616;10893
359;431;512;676;1011;1673;2988;5616;10893
350;431;512;675;1012;1673;2987;5617;10893
349;430;512;678;1011;1673;2987;5618;10884
349;431;521;685;1011;1674;2987;5626;10893
350;440;522;685;1011;1664;2989;5625;10893
350;440;522;685;1011;1664;2988;5627;10893
358;440;523;685;1011;1664;2987;5625;10893
358;440;512;685;1011;1674;2987;5617;10893
358;431;513;676;1011;1673;2988;5616;10894
359;431;513;675;1011;1673;2987;5617;10892
350;431;513;676;1011;1673;2988;5616;10893
349;431;512;685;1011;1674;2988;5626;10886
350;431;522;685;1011;1673;2988;5626;10894
349;431;521;685;1011;1673;2987;5626;10893
350;440;522;686;1011;1664;2987;5626;10893
349;440;521;684;1011;1664;2988;5625;10893
359;440;522;684;1011;1664;2988;5626;10893
358;440;513;685;1011;1673;2988;5617;10893
358;430;512;676;1012;1673;2987;5616;10893
358;431;513;676;1011;1673;2988;5617;10894
350;431;512;676;1011;1674;2987;5617;10893
349;431;513;678;1011;1673;2988;5619;10884
349;431;522;685;1012;1673;2988;5626;10894
349;440;522;685;1012;1664;2988;5626;10893
349;440;522;685;1012;1664;2987;5627;10893
