0B;8B;16B;32B;64B;128B;256B;512B;1024B
353;443;523;691;1019;1680;3015;5679;10998
353;442;525;690;1019;1678;3015;5679;10998
351;443;525;690;1020;1678;3014;5679;10998
350;436;525;690;1019;1686;3015;5679;10998
351;433;518;682;1020;1687;3015;5671;10998
351;433;515;680;1019;1688;3015;5669;10998
358;433;515;688;1020;1687;3016;5677;10998
360;441;523;690;1019;1680;3014;5679;10997
353;443;526;690;1019;1681;3015;5679;10998
353;442;525;690;1019;1679;3015;5678;10998
351;435;524;690;1019;1686;3016;5679;10998
351;434;517;682;1019;1687;3015;5672;10997
351;433;516;682;1019;1688;3015;5669;10998
360;440;516;687;1019;1688;3015;5676;10998
360;440;523;689;1020;1680;3015;5678;10998
353;442;523;690;1019;1680;3015;5680;10997
352;443;525;689;1020;1678;3015;5679;10998
351;442;524;690;1020;1678;3015;5679;10998
351;436;525;690;1019;1685;3015;5679;10998
350;434;518;683;1019;1687;3015;5672;10997
351;433;516;683;1019;1687;3015;5670;10998
358;433;516;680;1020;1687;3015;5677;10998
360;440;515;688;1019;1687;3015;5677;10998
360;441;523;690;1019;1680;3014;5679;10997
353;443;525;690;1020;1680;3015;5679;10998
352;442;525;689;1020;1679;3015;5679;10998
351;443;525;690;1020;1678;3015;5679;10998
351;435;524;690;1020;1686;3015;5680;10998
351;433;518;682;1019;1687;3015;5672;10997
351;433;515;683;1019;1687;3015;5670;10998
358;433;516;688;1019;1687;3015;5677;10998
360;441;523;690;1019;1680;3015;5679;10998
353;443;525;690;1019;1680;3015;5680;10997
353;443;525;690;1019;1679;3014;5678;10998
351;435;525;690;1019;1686;3015;5679;10998
351;433;517;689;1019;1688;3014;5671;10998
351;434;515;682;1019;1687;3015;5671;10998
358;433;516;688;1020;1687;3014;5677;10999
360;441;523;688;1020;1688;3015;5678;10998
353;442;523;689;1019;1681;3015;5678;10998
353;442;525;689;1019;1679;3015;5680;10998
351;443;526;690;1020;1678;3015;5678;10998
351;435;525;690;1019;1686;3015;5679;10998
351;433;518;690;1019;1687;3016;5671;10999
350;434;516;683;1019;1687;3014;5670;10998
358;433;516;681;1019;1687;3015;5677;10998
360;440;523;687;1019;1688;3015;5678;10998
360;443;522;690;1019;1680;3017;5679;10998
352;442;524;689;1019;1680;3015;5679;10998
351;443;525;689;1019;1679;3014;5679;10998
350;435;517;689;1019;1686;3015;5679;10998
351;434;518;682;1020;1687;3016;5672;10998
351;433;515;682;1019;1687;3015;5670;10997
359;433;515;681;1019;1687;3015;5670;10998
359;433;516;680;1019;1687;3015;5677;10998
360;441;515;688;1019;1687;3016;5677;10998
360;442;523;689;1020;1680;3015;5679;10998
352;442;525;689;1019;1680;3015;5679;10997
351;442;525;690;1020;1678;3015;5678;10998
350;442;524;689;1019;1678;3016;5678;10998
351;435;525;690;1019;1686;3015;5679;10999
351;433;517;682;1019;1687;3015;5672;10997
351;434;516;683;1019;1687;3015;5670;10998
358;433;516;681;1019;1687;3015;5677;10998
360;441;522;687;1019;1688;3014;5678;10999
353;443;522;690;1019;1680;3017;5680;10997
353;442;525;690;1019;1680;3015;5679;10998
351;443;525;689;1019;1678;3015;5678;10998
351;435;524;689;1019;1686;3015;5679;10998
351;434;516;682;1019;1687;3015;5670;10997
358;433;515;688;1019;1688;3015;5677;10999
360;441;523;687;1019;1681;3014;5679;10998
353;442;525;689;1019;1680;3016;5679;10998
353;443;525;690;1019;1678;3014;5679;10998
351;442;525;690;1019;1678;3015;5678;10998
351;435;525;690;1019;1686;3014;5679;10998
351;433;517;682;1019;1688;3016;5671;10999
351;433;516;682;1019;1688;3015;5670;10997
358;434;516;680;1019;1687;3015;5677;10998
360;440;516;688;1019;1688;3015;5677;10998
360;440;523;690;1019;1680;3015;5678;10998
353;442;525;690;1019;1680;3015;5680;10998
351;443;525;690;1019;1678;3015;5679;10998
351;435;524;689;1020;1685;3014;5678;10999
351;433;518;689;1019;1687;3016;5671;10999
351;433;517;682;1019;1688;3014;5672;10997
351;433;516;680;1019;1688;3015;5669;10997
358;433;516;688;1020;1687;3015;5677;10998
360;441;523;688;1019;1687;3016;5678;10998
353;442;523;690;1019;1681;3015;5679;10997
352;442;525;689;1020;1678;3015;5679;10997
351;442;524;689;1020;1678;3015;5678;10998
351;435;524;689;1019;1686;3016;5679;10998
351;433;518;682;1019;1688;3015;5672;10998
350;433;516;682;1019;1687;3015;5671;10997
358;434;515;680;1019;1687;3015;5677;10998
360;440;515;688;1019;1687;3015;5676;10998
360;440;523;689;1019;1680;3015;5679;10998
352;442;523;690;1019;1680;3014;5679;10997
353;442;524;690;1019;1679;3015;5679;10998
351;442;524;689;1019;1678;3015;5679;10998
351;435;525;689;1019;1685;3015;5679;10999
351;434;517;690;1019;1688;3015;5672;10997
351;434;518;682;1019;1688;3014;5672;10999
351;434;516;680;1019;1688;3015;5670;10998
358;433;516;681;1019;1687;3015;5676;10998
360;440;515;688;1019;1688;3015;5677;10998
360;440;523;689;1019;1680;3015;5679;10998
353;443;525;690;1020;1681;3015;5679;10998
353;443;525;689;1019;1678;3015;5678;10998
351;442;524;689;1019;1678;3015;5680;10997
351;436;526;689;1019;1686;3014;5678;10998
351;433;518;683;1019;1689;3015;5672;10999
351;434;516;680;1019;1688;3016;5670;10998
359;433;515;688;1019;1687;3015;5677;10998
360;441;523;688;1020;1687;3015;5678;10998
353;442;523;689;1019;1680;3015;5679;10998
353;442;525;690;1019;1680;3016;5679;10998
353;443;525;690;1019;1679;3015;5679;10997
351;443;524;690;1019;1678;3015;5679;10998
351;435;525;690;1020;1685;3015;5678;10998
351;433;517;689;1019;1687;3015;5671;10999
351;433;515;680;1019;1687;3015;5670;10998
358;433;516;687;1019;1687;3015;5678;10997
360;440;522;689;1020;1680;3014;5679;10999
353;442;525;690;1020;1680;3015;5679;10998
353;443;525;689;1019;1678;3015;5679;10998
351;443;525;690;1019;1679;3015;5679;10998
351;435;525;690;1027;1686;3015;5678;10998
351;433;518;690;1020;1687;3015;5671;10999
351;433;515;680;1019;1687;3015;5671;10998
358;433;516;688;1019;1688;3015;5677;10998
360;440;523;690;1019;1680;3015;5678;10998
352;442;524;689;1019;1680;3014;5679;10998
353;442;525;689;1019;1678;3015;5680;10998
351;442;525;689;1019;1679;3014;5680;10997
351;435;525;690;1019;1686;3014;5678;10998
351;433;517;690;1020;1688;3015;5671;10998
351;433;515;680;1019;1687;3015;5669;10998
358;433;516;688;1019;1687;3015;5678;10998
360;440;523;689;1019;1680;3015;5679;10999
352;442;524;689;1019;1681;3015;5678;10998
353;443;525;690;1019;1678;3015;5679;10998
351;442;525;690;1019;1678;3015;5679;10998
351;435;526;690;1019;1686;3015;5679;10999
351;433;518;689;1019;1688;3015;5671;10998
351;434;516;683;1019;1687;3016;5672;10998
358;434;515;680;1019;1688;3015;5678;10997
360;441;516;688;1019;1688;3015;5677;10998
360;443;523;690;1019;1680;3016;5679;10998
353;443;525;690;1019;1680;3015;5679;10999
352;442;524;689;1019;1679;3015;5680;10997
351;443;525;690;1019;1679;3014;5679;10999
351;434;518;683;1022;1687;3014;5671;10998
