0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
68;138;92;188;134;271;177;359;221;448;264;533
69;140;93;189;135;271;178;357;220;446;266;534
68;139;94;188;134;272;177;359;221;447;264;534
69;140;93;189;134;270;177;359;221;445;264;534
69;139;94;189;134;270;177;359;222;445;264;533
69;139;93;190;134;270;177;358;222;447;264;533
69;139;93;190;134;270;177;358;221;447;265;533
69;139;93;189;135;270;177;358;221;447;265;534
69;139;93;189;134;272;177;358;221;447;265;534
69;139;93;189;134;272;179;358;221;445;264;534
70;139;93;189;134;270;179;359;221;445;264;534
69;140;93;189;134;270;177;359;221;445;264;534
69;139;93;189;134;270;177;359;222;445;264;533
69;139;94;190;134;270;177;358;222;447;264;533
69;139;93;190;134;270;177;358;221;447;264;533
69;139;93;189;135;270;177;358;221;447;265;533
69;139;93;189;134;272;177;358;221;447;265;534
69;139;93;189;134;272;178;358;221;445;264;534
69;139;93;189;134;270;179;358;221;445;264;534
69;140;93;189;134;270;177;359;221;445;264;534
69;140;93;189;134;270;177;359;222;445;264;533
69;139;94;189;134;270;177;359;222;447;264;533
69;139;93;190;134;270;177;358;221;447;264;533
69;139;93;189;135;270;177;358;221;447;265;533
69;139;93;189;135;272;177;358;221;447;265;534
69;139;93;189;134;272;177;358;221;445;264;534
69;139;93;189;134;272;179;358;221;445;264;534
70;139;93;189;134;270;179;359;221;445;264;534
69;140;93;189;134;270;177;359;221;445;264;534
69;139;94;189;134;270;177;359;222;445;264;533
69;139;93;190;134;270;177;358;222;447;264;533
69;139;93;190;134;270;177;358;221;447;265;533
69;139;93;189;135;270;177;358;221;447;265;534
69;139;93;189;134;272;177;358;221;447;265;534
69;139;93;189;134;272;179;358;221;445;264;534
70;139;93;189;134;270;179;359;221;445;264;534
69;140;93;189;134;270;177;359;221;445;264;534
69;139;93;189;134;270;177;359;222;445;264;533
69;139;94;190;134;270;177;358;222;447;264;533
69;139;93;190;134;270;177;358;221;447;264;533
69;139;93;189;135;270;177;358;221;447;265;533
69;139;93;189;134;272;177;358;221;447;265;534
69;139;93;189;134;272;178;358;221;445;264;534
69;139;93;189;134;270;179;358;221;445;264;534
69;140;93;189;134;270;177;359;221;445;264;534
69;140;93;189;134;270;177;359;222;445;264;533
69;139;94;189;134;270;177;359;222;447;264;533
69;139;93;190;134;270;177;358;221;447;264;533
69;139;93;189;135;270;177;358;221;447;265;533
69;139;93;189;135;272;177;358;221;447;265;534
69;139;93;189;134;272;177;358;221;445;264;534
69;139;93;189;134;272;179;358;221;445;264;534
70;139;93;189;134;270;179;359;221;445;264;534
69;140;93;189;134;270;177;359;221;445;264;534
69;139;94;189;134;270;177;359;222;445;264;533
69;139;93;190;134;270;177;358;222;447;264;533
69;139;93;190;134;270;177;358;221;447;265;533
69;139;93;189;135;270;177;358;221;447;265;534
69;139;93;189;134;272;177;358;221;447;265;534
69;139;93;189;134;272;179;358;221;445;264;534
70;139;93;189;134;270;179;359;221;445;264;534
69;140;93;189;134;270;177;359;221;445;264;534
69;139;93;189;134;270;177;359;222;445;264;533
69;139;94;190;134;270;177;358;222;447;264;533
69;139;93;190;134;270;177;358;221;447;264;533
69;139;93;189;135;270;177;358;221;447;265;533
69;139;93;189;134;272;177;358;221;447;265;534
69;139;93;189;134;272;178;358;221;445;264;534
69;139;93;189;134;270;179;358;221;445;264;534
69;140;93;189;134;270;177;359;221;445;264;534
69;140;93;189;134;270;177;359;222;445;264;533
69;139;94;189;134;270;177;359;222;447;264;533
69;139;93;190;134;270;177;358;221;447;264;533
69;139;93;189;135;270;177;358;221;447;265;533
69;139;93;189;135;272;177;358;221;447;265;534
69;139;93;189;134;272;177;358;221;445;264;534
69;139;93;189;134;272;179;358;221;445;264;534
70;139;93;189;134;270;179;359;221;445;264;534
69;140;93;189;134;270;177;359;221;445;264;534
69;139;94;189;134;270;177;359;222;445;264;533
69;139;93;190;134;270;177;358;222;447;264;533
69;139;93;190;134;270;177;358;221;447;265;533
69;139;93;189;135;270;177;358;221;447;265;534
69;139;93;189;134;272;177;358;221;447;265;534
69;139;93;189;134;272;179;358;221;445;264;534
70;139;93;189;134;270;179;359;221;445;264;534
69;140;93;189;134;270;177;359;221;445;264;534
69;139;93;189;134;270;177;359;222;445;264;533
69;139;94;190;134;270;177;358;222;447;264;533
69;139;93;190;134;270;177;358;221;447;264;533
69;139;93;189;135;270;177;358;221;447;265;533
69;139;93;189;134;272;177;358;221;447;265;534
69;139;93;189;134;272;178;358;221;445;264;534
69;139;93;189;134;270;179;358;221;445;264;534
69;140;93;189;134;270;177;359;221;445;264;534
69;140;93;189;134;270;177;359;222;445;264;533
69;139;94;189;134;270;177;359;222;447;264;533
69;139;93;190;134;270;177;358;221;447;264;533
69;139;93;189;135;270;177;358;221;447;265;533
69;139;93;189;135;272;177;358;221;447;265;534
69;139;93;189;134;272;177;358;221;445;264;534
69;139;93;189;134;272;179;358;221;445;264;534
70;139;93;189;134;270;179;359;221;445;264;534
69;140;93;189;134;270;177;359;221;445;264;534
69;139;94;189;134;270;177;359;222;445;264;533
69;139;93;190;134;270;177;358;222;447;264;533
